NDVI,month-year,landsat
0.27678226150967566,1984-06-01,LANDSAT 5
0.29784260569451004,1984-07-01,LANDSAT 5
0.18813545646563065,1984-08-01,LANDSAT 5
0.43651826191345067,1984-09-01,LANDSAT 5
0.3175224465331046,1984-10-01,LANDSAT 5
0.16466796480792265,1984-11-01,LANDSAT 5
0.055318895861555785,1985-01-01,LANDSAT 5
0.17016014757635728,1985-02-01,LANDSAT 5
0.13028156684989525,1985-03-01,LANDSAT 5
0.25335570220546144,1985-04-01,LANDSAT 5
0.41641300946978943,1985-06-01,LANDSAT 5
0.3182639896546067,1985-07-01,LANDSAT 5
0.33398273615569496,1985-08-01,LANDSAT 5
0.12975844366959965,1985-09-01,LANDSAT 5
0.2079797272526573,1985-10-01,LANDSAT 5
0.062083155043868674,1985-11-01,LANDSAT 5
0.050063359442401326,1986-01-01,LANDSAT 5
0.017851317982859622,1986-02-01,LANDSAT 5
0.04454599614632184,1986-03-01,LANDSAT 5
0.23831385141182118,1986-04-01,LANDSAT 5
0.2425858894157469,1986-05-01,LANDSAT 5
0.05484781464541469,1986-06-01,LANDSAT 5
0.26996976990726795,1986-07-01,LANDSAT 5
0.29198119143330814,1986-08-01,LANDSAT 5
0.11939070297972319,1986-09-01,LANDSAT 5
0.2433447790837264,1986-10-01,LANDSAT 5
0.1503911970785647,1986-11-01,LANDSAT 5
0.021898566125690837,1987-02-01,LANDSAT 5
0.022790526680786675,1987-03-01,LANDSAT 5
0.053721684683893677,1987-04-01,LANDSAT 5
0.33094745439085566,1987-05-01,LANDSAT 5
0.2564670267026748,1987-06-01,LANDSAT 5
0.4235653987381672,1987-07-01,LANDSAT 5
0.4375538112208196,1987-08-01,LANDSAT 5
0.38525658166977145,1987-09-01,LANDSAT 5
0.2935993759987557,1987-10-01,LANDSAT 5
0.12149633071769929,1987-11-01,LANDSAT 5
0.07710244466136217,1987-12-01,LANDSAT 5
0.009838843599583928,1988-01-01,LANDSAT 5
0.03843575984530261,1988-02-01,LANDSAT 5
0.05063618190672304,1988-03-01,LANDSAT 5
