NDVI,month-year,landsat
0.43489757543048174,1984-05-01,LANDSAT 5
0.43127367527255267,1984-06-01,LANDSAT 5
0.5616714106622728,1984-07-01,LANDSAT 5
0.5281944823878897,1984-09-01,LANDSAT 5
0.36146585021564603,1984-10-01,LANDSAT 5
0.27877086671122675,1984-11-01,LANDSAT 5
0.16035492924413344,1984-12-01,LANDSAT 5
0.15796533805468316,1985-01-01,LANDSAT 5
0.09336873620157153,1985-02-01,LANDSAT 5
0.06612285871903321,1985-03-01,LANDSAT 5
0.17848869993332964,1985-04-01,LANDSAT 5
0.657214536829771,1985-06-01,LANDSAT 5
0.6437351908202656,1985-07-01,LANDSAT 5
0.4744828650903052,1985-08-01,LANDSAT 5
0.5776530644004008,1985-09-01,LANDSAT 5
0.3449067474320332,1985-10-01,LANDSAT 5
0.0441577007662378,1985-11-01,LANDSAT 5
0.17544751083710805,1986-01-01,LANDSAT 5
0.04676618136390027,1986-02-01,LANDSAT 5
0.20273731719004157,1986-03-01,LANDSAT 5
0.1636693700264349,1986-04-01,LANDSAT 5
0.2872921976486306,1986-05-01,LANDSAT 5
0.4247527264084759,1986-06-01,LANDSAT 5
0.37333899530463915,1986-07-01,LANDSAT 5
0.5970863081097032,1986-08-01,LANDSAT 5
0.647945830253155,1986-09-01,LANDSAT 5
0.4226878471026959,1986-10-01,LANDSAT 5
0.16076326127798088,1986-11-01,LANDSAT 5
0.2182391029990389,1986-12-01,LANDSAT 5
0.10610773486862524,1987-01-01,LANDSAT 5
0.13378930689314752,1987-02-01,LANDSAT 5
0.19821844746277154,1987-03-01,LANDSAT 5
0.37213886487035386,1987-04-01,LANDSAT 5
0.3172293792001572,1987-05-01,LANDSAT 5
0.275460342524388,1987-06-01,LANDSAT 5
0.4757324292978729,1987-07-01,LANDSAT 5
0.4110944576244632,1987-08-01,LANDSAT 5
0.47468506588371373,1987-09-01,LANDSAT 5
0.02197957179995516,1987-10-01,LANDSAT 5
0.2282939941989902,1987-11-01,LANDSAT 5
0.1654261422665985,1987-12-01,LANDSAT 5
0.14200534913436516,1988-01-01,LANDSAT 5
0.1035403787649169,1988-02-01,LANDSAT 5
0.15607953522395157,1988-03-01,LANDSAT 5
0.21083707899730317,1988-04-01,LANDSAT 5
0.34810767433914097,1988-05-01,LANDSAT 5
0.37464105173905754,1988-06-01,LANDSAT 5
0.24317816641022272,1988-07-01,LANDSAT 5
0.5360158240080571,1988-08-01,LANDSAT 5
0.3165541990593746,1988-09-01,LANDSAT 5
0.07923886040092494,1988-10-01,LANDSAT 5
0.18037811042602184,1988-11-01,LANDSAT 5
0.23200492318936652,1988-12-01,LANDSAT 5
0.1297400900526246,1989-01-01,LANDSAT 5
0.1504824723855239,1989-02-01,LANDSAT 5
0.15860523535819787,1989-03-01,LANDSAT 5
0.14648927123732067,1989-04-01,LANDSAT 5
0.35806161823936034,1989-05-01,LANDSAT 5
0.5970164547714101,1989-06-01,LANDSAT 5
0.47022068666923933,1989-07-01,LANDSAT 5
0.1797944402864285,1989-08-01,LANDSAT 5
0.5626800594758712,1989-09-01,LANDSAT 5
0.40570431010982916,1989-10-01,LANDSAT 5
0.35120319929183585,1989-11-01,LANDSAT 5
0.12051958670631348,1989-12-01,LANDSAT 5
0.12124879014016768,1990-01-01,LANDSAT 5
0.1331499488065253,1990-03-01,LANDSAT 5
0.4481033022999238,1990-05-01,LANDSAT 5
0.5019502968991703,1990-06-01,LANDSAT 5
0.43420286847665723,1990-07-01,LANDSAT 5
0.307610295847212,1990-08-01,LANDSAT 5
0.5495971039504817,1990-09-01,LANDSAT 5
0.20544449356489558,1990-10-01,LANDSAT 5
0.20636282460771452,1990-11-01,LANDSAT 5
0.3157360668894276,1990-12-01,LANDSAT 5
0.06283110895152678,1991-01-01,LANDSAT 5
0.08862213001882066,1991-02-01,LANDSAT 5
0.2167570820272172,1991-03-01,LANDSAT 5
0.2347709346421422,1991-04-01,LANDSAT 5
0.5693274794373135,1991-05-01,LANDSAT 5
0.5144075020190981,1991-06-01,LANDSAT 5
0.4985234772339906,1991-07-01,LANDSAT 5
0.2767356310483323,1991-08-01,LANDSAT 5
0.49380546108410206,1991-09-01,LANDSAT 5
0.39130171270844666,1991-10-01,LANDSAT 5
0.06951003581368405,1991-11-01,LANDSAT 5
0.1451347451257854,1991-12-01,LANDSAT 5
0.145042855258029,1992-01-01,LANDSAT 5
0.055607189045731496,1992-02-01,LANDSAT 5
0.09963366371782649,1992-03-01,LANDSAT 5
0.19219728323426075,1992-04-01,LANDSAT 5
0.265512530099144,1992-05-01,LANDSAT 5
0.41061063091379735,1992-06-01,LANDSAT 5
0.19967654168101892,1992-07-01,LANDSAT 5
0.5886825468153959,1992-08-01,LANDSAT 5
0.40470239904511535,1992-09-01,LANDSAT 5
0.378829288919434,1992-10-01,LANDSAT 5
0.3307162035256753,1992-11-01,LANDSAT 5
0.13647978101973277,1992-12-01,LANDSAT 5
0.15108157751414578,1993-01-01,LANDSAT 5
0.12837264540948978,1993-02-01,LANDSAT 5
0.08153351887747731,1993-03-01,LANDSAT 5
0.10541660087530146,1993-04-01,LANDSAT 5
0.20175604971907082,1993-05-01,LANDSAT 5
0.5467127338745763,1993-06-01,LANDSAT 5
0.643598265780499,1993-07-01,LANDSAT 5
0.36781047760327346,1993-08-01,LANDSAT 5
0.3407883356862379,1993-09-01,LANDSAT 5
0.4045375557344709,1993-10-01,LANDSAT 5
0.10057208788278112,1993-11-01,LANDSAT 5
0.07704190830725259,1993-12-01,LANDSAT 5
0.10673292674431038,1994-01-01,LANDSAT 5
0.12494683305701061,1994-02-01,LANDSAT 5
0.27209424086492817,1994-04-01,LANDSAT 5
0.3762759795947814,1994-05-01,LANDSAT 5
0.4872855799494692,1994-06-01,LANDSAT 5
0.5195003638801557,1994-07-01,LANDSAT 5
0.40613649449280814,1994-08-01,LANDSAT 5
0.36735107095330405,1994-09-01,LANDSAT 5
0.12574620057775496,1994-11-01,LANDSAT 5
0.2929675339866223,1994-12-01,LANDSAT 5
0.13884086382686545,1995-01-01,LANDSAT 5
0.17648001733111152,1995-02-01,LANDSAT 5
0.055874738143506505,1995-03-01,LANDSAT 5
0.297302124117937,1995-04-01,LANDSAT 5
0.23877062898249096,1995-05-01,LANDSAT 5
0.45412238668681276,1995-06-01,LANDSAT 5
0.4457027332571229,1995-07-01,LANDSAT 5
0.4730259330378951,1995-08-01,LANDSAT 5
0.3994862836289747,1995-09-01,LANDSAT 5
0.38052167686818233,1995-10-01,LANDSAT 5
0.24798434734520386,1995-11-01,LANDSAT 5
0.1607237673076754,1995-12-01,LANDSAT 5
0.11817324795353121,1996-01-01,LANDSAT 5
0.2265981019505245,1996-02-01,LANDSAT 5
0.13500923551797767,1996-03-01,LANDSAT 5
0.2021207018042705,1996-04-01,LANDSAT 5
0.5344142996751766,1996-05-01,LANDSAT 5
0.4468960520433165,1996-06-01,LANDSAT 5
0.6755492270722744,1996-07-01,LANDSAT 5
0.5077760442788775,1996-08-01,LANDSAT 5
0.3662661901059038,1996-09-01,LANDSAT 5
0.3133642834608569,1996-10-01,LANDSAT 5
0.21188973916093543,1996-11-01,LANDSAT 5
0.048403732852808745,1996-12-01,LANDSAT 5
0.05550578273305333,1997-01-01,LANDSAT 5
0.14141402083536764,1997-02-01,LANDSAT 5
0.22051816847575215,1997-04-01,LANDSAT 5
0.16012148203895904,1997-05-01,LANDSAT 5
0.591955583979358,1997-06-01,LANDSAT 5
0.41724342862256947,1997-07-01,LANDSAT 5
0.6424933756998001,1997-08-01,LANDSAT 5
0.598590830757925,1997-09-01,LANDSAT 5
0.21564536680706295,1997-11-01,LANDSAT 5
0.18929046702282384,1997-12-01,LANDSAT 5
0.11294993282179433,1998-01-01,LANDSAT 5
0.09602211016236495,1998-02-01,LANDSAT 5
0.1413616163779194,1998-03-01,LANDSAT 5
0.12402099865521209,1998-04-01,LANDSAT 5
0.46822062873741854,1998-05-01,LANDSAT 5
0.6244213088629276,1998-06-01,LANDSAT 5
0.37574868650149545,1998-07-01,LANDSAT 5
0.5388455925488649,1998-08-01,LANDSAT 5
0.34039445629007864,1998-09-01,LANDSAT 5
0.11788275622065404,1998-10-01,LANDSAT 5
0.33674441770057384,1998-11-01,LANDSAT 5
0.1939025228800479,1998-12-01,LANDSAT 5
0.47005316010876574,1999-06-01,LANDSAT 7
0.4403956454017326,1999-07-01,LANDSAT 7
0.47035223846077795,1999-08-01,LANDSAT 7
0.30897655212974345,1999-09-01,LANDSAT 7
0.33725760479768946,1999-10-01,LANDSAT 7
0.2659058082318589,1999-11-01,LANDSAT 7
0.24980003488181618,1999-12-01,LANDSAT 7
0.3382478808963955,2000-01-01,LANDSAT 7
0.031076258137013348,2000-02-01,LANDSAT 7
0.156795364916711,2000-03-01,LANDSAT 7
0.24720159156434862,2000-04-01,LANDSAT 7
0.5108455503090604,2000-05-01,LANDSAT 7
0.5194138949468365,2000-06-01,LANDSAT 7
0.3963663089280888,2000-07-01,LANDSAT 7
0.5808884663545753,2000-08-01,LANDSAT 7
0.5961832913817514,2000-09-01,LANDSAT 7
0.3099975587952724,2000-10-01,LANDSAT 7
0.3301077852538707,2000-11-01,LANDSAT 7
0.14764944660996376,2000-12-01,LANDSAT 7
0.1662792387099043,2001-01-01,LANDSAT 7
0.15443626538962701,2001-02-01,LANDSAT 7
0.08908121050837474,2001-03-01,LANDSAT 7
0.211197963966322,2001-04-01,LANDSAT 7
0.45927138730570194,2001-05-01,LANDSAT 7
0.6151986279012411,2001-06-01,LANDSAT 7
0.5786384988105154,2001-07-01,LANDSAT 7
0.43684777802054636,2001-08-01,LANDSAT 7
0.5577068540397873,2001-09-01,LANDSAT 7
0.49412830404419,2001-10-01,LANDSAT 7
0.18168529958170607,2001-11-01,LANDSAT 7
0.1767882674969817,2001-12-01,LANDSAT 7
0.126114055705295,2002-01-01,LANDSAT 7
0.1319179694400524,2002-02-01,LANDSAT 7
0.17751402770398123,2002-03-01,LANDSAT 7
0.24799119256294574,2002-04-01,LANDSAT 7
0.3438232958453815,2002-05-01,LANDSAT 7
0.4267752025689633,2002-06-01,LANDSAT 7
0.5277618933242934,2002-07-01,LANDSAT 7
0.5091395300304679,2002-08-01,LANDSAT 7
0.44739029190198276,2002-09-01,LANDSAT 7
0.2846042229015758,2002-10-01,LANDSAT 7
0.04444087438710262,2002-11-01,LANDSAT 7
0.05700075582198668,2002-12-01,LANDSAT 7
0.11874135252283419,2003-01-01,LANDSAT 7
0.10735439761408255,2003-02-01,LANDSAT 7
0.17699508441002226,2003-03-01,LANDSAT 7
0.3172974797451079,2003-04-01,LANDSAT 7
0.2765234951470598,2003-05-01,LANDSAT 7
0.4001512412791544,2003-07-01,LANDSAT 7
0.6326756689295379,2003-08-01,LANDSAT 7
0.12715505339778835,2003-09-01,LANDSAT 7
0.3532800126309275,2003-11-01,LANDSAT 7
0.14298455619190692,2003-12-01,LANDSAT 7
0.21690267648027567,2004-01-01,LANDSAT 7
0.1340416965746506,2004-02-01,LANDSAT 7
0.28508352510102475,2004-03-01,LANDSAT 7
0.32589666540879564,2004-04-01,LANDSAT 7
0.29526557353320654,2004-05-01,LANDSAT 7
0.5082395520584673,2004-06-01,LANDSAT 7
0.4692827465857098,2004-07-01,LANDSAT 7
0.444226987558842,2004-08-01,LANDSAT 7
0.5506431184096708,2004-09-01,LANDSAT 7
0.2767687053646439,2004-10-01,LANDSAT 7
0.20884998220017822,2004-11-01,LANDSAT 7
0.09030916011746053,2004-12-01,LANDSAT 7
0.20586908379239538,2005-01-01,LANDSAT 7
0.16558813368793057,2005-02-01,LANDSAT 7
0.157515664068124,2005-03-01,LANDSAT 7
0.3252705743049012,2005-04-01,LANDSAT 7
0.36150784190470375,2005-05-01,LANDSAT 7
0.5944160017165522,2005-06-01,LANDSAT 7
0.49443272340117045,2005-07-01,LANDSAT 7
0.6072455957244567,2005-08-01,LANDSAT 7
0.460994086353844,2005-09-01,LANDSAT 7
0.3596734986993352,2005-10-01,LANDSAT 7
0.31559779102117436,2005-11-01,LANDSAT 7
0.23051254802666266,2005-12-01,LANDSAT 7
0.09778348175217652,2006-01-01,LANDSAT 7
0.16952161558712195,2006-02-01,LANDSAT 7
0.25943641627422304,2006-03-01,LANDSAT 7
0.36398531539135537,2006-04-01,LANDSAT 7
0.4923469959365433,2006-05-01,LANDSAT 7
0.583226790858693,2006-06-01,LANDSAT 7
0.6253358183837969,2006-07-01,LANDSAT 7
0.4002307218814108,2006-08-01,LANDSAT 7
0.49968510193893656,2006-09-01,LANDSAT 7
0.3018519663048868,2006-10-01,LANDSAT 7
0.38338911606272075,2006-11-01,LANDSAT 7
0.14695131536031797,2006-12-01,LANDSAT 7
0.1798833442656598,2007-01-01,LANDSAT 7
0.14601434088554077,2007-02-01,LANDSAT 7
0.16830837072288884,2007-03-01,LANDSAT 7
0.24212082000248394,2007-04-01,LANDSAT 7
0.4236376304388835,2007-05-01,LANDSAT 7
0.47499604671860624,2007-06-01,LANDSAT 7
0.5076514949155644,2007-07-01,LANDSAT 7
0.43507217949782534,2007-08-01,LANDSAT 7
0.3619997962034889,2007-09-01,LANDSAT 7
0.4717941966505413,2007-10-01,LANDSAT 7
0.3155642618008097,2007-11-01,LANDSAT 7
0.05920808201421866,2007-12-01,LANDSAT 7
0.15915565694576428,2008-01-01,LANDSAT 7
0.1599241074400915,2008-02-01,LANDSAT 7
0.13533739496880268,2008-03-01,LANDSAT 7
0.31799592229754753,2008-04-01,LANDSAT 7
0.5022798751524068,2008-05-01,LANDSAT 7
0.5757867746061226,2008-06-01,LANDSAT 7
0.6601339027871611,2008-07-01,LANDSAT 7
0.43345212393865135,2008-08-01,LANDSAT 7
0.47871059797733256,2008-09-01,LANDSAT 7
0.4417309698023601,2008-10-01,LANDSAT 7
0.19299298923903557,2008-11-01,LANDSAT 7
0.11621105687011553,2008-12-01,LANDSAT 7
0.20735199980727112,2009-01-01,LANDSAT 7
0.10447460071421298,2009-02-01,LANDSAT 7
0.15539265672737665,2009-03-01,LANDSAT 7
0.37431138491241045,2009-04-01,LANDSAT 7
0.38194244745068157,2009-05-01,LANDSAT 7
0.5726269637994019,2009-06-01,LANDSAT 7
0.5227556197422994,2009-07-01,LANDSAT 7
0.5873148169608602,2009-08-01,LANDSAT 7
0.5935182878393072,2009-09-01,LANDSAT 7
0.1811179916071502,2009-10-01,LANDSAT 7
0.26011741301206287,2009-11-01,LANDSAT 7
0.19565518585406205,2009-12-01,LANDSAT 7
0.19378906253731282,2010-01-01,LANDSAT 7
0.2041371397519051,2010-02-01,LANDSAT 7
0.19727552576381427,2010-03-01,LANDSAT 7
0.2983452868217025,2010-04-01,LANDSAT 7
0.47394555272017963,2010-05-01,LANDSAT 7
0.6717376730914958,2010-06-01,LANDSAT 7
0.6224691466476688,2010-07-01,LANDSAT 7
0.5868142508073998,2010-08-01,LANDSAT 7
0.3704536669014312,2010-09-01,LANDSAT 7
0.4192971541226807,2010-10-01,LANDSAT 7
0.3266194903056075,2010-11-01,LANDSAT 7
0.20298234010675512,2010-12-01,LANDSAT 7
0.17930898484419003,2011-01-01,LANDSAT 7
0.13444594893964457,2011-02-01,LANDSAT 7
0.16439412045944723,2011-03-01,LANDSAT 7
0.29472477173720923,2011-04-01,LANDSAT 7
0.4860459123515337,2011-05-01,LANDSAT 7
0.5767548963883644,2011-06-01,LANDSAT 7
0.4076701285374383,2011-07-01,LANDSAT 7
0.398064289669954,2011-08-01,LANDSAT 7
0.626123538412564,2011-09-01,LANDSAT 7
0.34034836362415993,2011-10-01,LANDSAT 7
0.32473717582738354,2011-11-01,LANDSAT 7
0.2608509779781353,2011-12-01,LANDSAT 7
0.1392799095116137,2012-01-01,LANDSAT 7
0.19837000798087923,2012-02-01,LANDSAT 7
0.28268286877976606,2012-03-01,LANDSAT 7
