NDVI,month-year,landsat
0.16631993312796697,1984-04-01,LANDSAT 5
0.4003838603875884,1984-05-01,LANDSAT 5
0.45611398372073064,1984-07-01,LANDSAT 5
0.24959713577215362,1984-08-01,LANDSAT 5
0.3450311357368974,1984-09-01,LANDSAT 5
0.44002818027862656,1984-10-01,LANDSAT 5
0.3194702897608194,1984-11-01,LANDSAT 5
0.30998357963686035,1984-12-01,LANDSAT 5
0.25967252469103613,1985-01-01,LANDSAT 5
0.3921388835464649,1985-03-01,LANDSAT 5
0.205634840948511,1985-04-01,LANDSAT 5
0.27998683685823156,1985-05-01,LANDSAT 5
0.2720696456594502,1985-07-01,LANDSAT 5
0.32631603085527994,1985-08-01,LANDSAT 5
0.22229908838781243,1985-09-01,LANDSAT 5
0.19464302667591363,1985-10-01,LANDSAT 5
0.24586465276208788,1985-11-01,LANDSAT 5
0.01304339479071939,1985-12-01,LANDSAT 5
0.1598524745950439,1986-01-01,LANDSAT 5
0.296275051577196,1986-02-01,LANDSAT 5
0.35499067879585744,1986-03-01,LANDSAT 5
0.06751715135717308,1986-04-01,LANDSAT 5
0.3222360882722526,1986-05-01,LANDSAT 5
0.2432446412356472,1986-06-01,LANDSAT 5
0.30285257083518463,1986-07-01,LANDSAT 5
0.4082303659929433,1986-08-01,LANDSAT 5
0.23789843908218225,1986-09-01,LANDSAT 5
0.39808839103584653,1986-10-01,LANDSAT 5
0.1931952538880039,1986-11-01,LANDSAT 5
0.03192728468645671,1986-12-01,LANDSAT 5
0.0535447124304003,1987-01-01,LANDSAT 5
0.2868458432730202,1987-02-01,LANDSAT 5
0.4243639216826957,1987-03-01,LANDSAT 5
0.1696693764495781,1987-04-01,LANDSAT 5
0.21016673468579475,1987-05-01,LANDSAT 5
0.27598794530234044,1987-06-01,LANDSAT 5
0.43736874934471925,1987-07-01,LANDSAT 5
0.3358583441739479,1987-08-01,LANDSAT 5
0.4454035667129156,1987-09-01,LANDSAT 5
0.3851526132581942,1987-10-01,LANDSAT 5
0.3337726192164635,1987-11-01,LANDSAT 5
0.03397850212551834,1987-12-01,LANDSAT 5
0.2574864756833337,1988-01-01,LANDSAT 5
0.1033842925676558,1988-02-01,LANDSAT 5
0.2214600192052427,1988-03-01,LANDSAT 5
0.4231254679411796,1988-04-01,LANDSAT 5
0.31032910564481475,1988-05-01,LANDSAT 5
0.4031407811543069,1988-06-01,LANDSAT 5
0.28181805994735665,1988-07-01,LANDSAT 5
0.32774352919499017,1988-08-01,LANDSAT 5
0.3424207802996806,1988-09-01,LANDSAT 5
0.3243351969326347,1988-10-01,LANDSAT 5
0.27338550019978036,1988-11-01,LANDSAT 5
0.266533539165595,1988-12-01,LANDSAT 5
0.27088705594693463,1989-01-01,LANDSAT 5
0.2177668646299494,1989-02-01,LANDSAT 5
0.3259502777026692,1989-03-01,LANDSAT 5
0.47501158284608774,1989-04-01,LANDSAT 5
