NDVI,month-year,landsat
0.13156229890355095,1984-03-01,LANDSAT 5
0.2538081700429957,1984-04-01,LANDSAT 5
0.23006774073585934,1984-05-01,LANDSAT 5
0.2708227643004752,1984-06-01,LANDSAT 5
0.41798085627399884,1984-07-01,LANDSAT 5
0.23215839521024306,1984-08-01,LANDSAT 5
0.5380659845375388,1984-09-01,LANDSAT 5
0.18270497290825327,1984-10-01,LANDSAT 5
0.26622711106772934,1984-11-01,LANDSAT 5
0.21495639072624265,1984-12-01,LANDSAT 5
0.30435629203772796,1985-04-01,LANDSAT 5
0.29899995702479576,1985-08-01,LANDSAT 5
0.3758203656864927,1985-09-01,LANDSAT 5
0.09475185389476386,1985-12-01,LANDSAT 5
0.0429410911531984,1986-03-01,LANDSAT 5
0.18061104194778663,1986-05-01,LANDSAT 5
0.6021189593622431,1986-06-01,LANDSAT 5
0.30981229458115134,1986-07-01,LANDSAT 5
0.3774511766308012,1986-08-01,LANDSAT 5
0.1631756818217665,1986-09-01,LANDSAT 5
0.5199022181471117,1986-10-01,LANDSAT 5
0.19529378076567883,1986-11-01,LANDSAT 5
0.07629843462555556,1986-12-01,LANDSAT 5
0.0993512379612466,1987-01-01,LANDSAT 5
0.030518346109434075,1987-03-01,LANDSAT 5
0.3148712679508097,1987-04-01,LANDSAT 5
0.5226404866154843,1987-05-01,LANDSAT 5
0.5891094591694732,1987-06-01,LANDSAT 5
0.3888767476221558,1987-07-01,LANDSAT 5
0.4577088524274028,1987-08-01,LANDSAT 5
0.4338282694738292,1987-09-01,LANDSAT 5
0.25203272228977996,1987-11-01,LANDSAT 5
0.12916722131174962,1987-12-01,LANDSAT 5
0.11213569721535356,1988-01-01,LANDSAT 5
0.16281769981481176,1988-02-01,LANDSAT 5
0.28128051747078997,1988-03-01,LANDSAT 5
0.4256026140006219,1988-04-01,LANDSAT 5
0.5694973126907312,1988-05-01,LANDSAT 5
0.41305152248957044,1988-06-01,LANDSAT 5
0.0608935353472029,1988-07-01,LANDSAT 5
0.4693795809600331,1988-08-01,LANDSAT 5
0.27528246323015687,1988-09-01,LANDSAT 5
0.5384775238103618,1988-10-01,LANDSAT 5
0.1554021014038846,1988-11-01,LANDSAT 5
0.19534940671818293,1989-01-01,LANDSAT 5
0.20133548856709801,1989-02-01,LANDSAT 5
0.11044243223226043,1989-03-01,LANDSAT 5
0.08406215656640671,1989-04-01,LANDSAT 5
0.46297406351866177,1989-06-01,LANDSAT 5
0.48447673298712435,1989-07-01,LANDSAT 5
0.20388707146802892,1989-08-01,LANDSAT 5
0.1504525682809193,1989-11-01,LANDSAT 5
0.028972009748260263,1989-12-01,LANDSAT 5
0.3643023950763138,1990-04-01,LANDSAT 5
0.35761728626211997,1990-06-01,LANDSAT 5
0.48660505819673033,1990-07-01,LANDSAT 5
0.4483013775062591,1990-08-01,LANDSAT 5
0.13770677208920565,1990-09-01,LANDSAT 5
0.4616287500406936,1990-10-01,LANDSAT 5
0.19163628843824082,1990-11-01,LANDSAT 5
0.0324438176382426,1991-01-01,LANDSAT 5
0.1017856557557974,1991-04-01,LANDSAT 5
0.3944818119207299,1991-05-01,LANDSAT 5
0.052049294839527194,1991-06-01,LANDSAT 5
0.3296138547693831,1991-07-01,LANDSAT 5
0.021696428962055477,1991-08-01,LANDSAT 5
0.41136376109592837,1991-09-01,LANDSAT 5
0.3341338124478071,1991-10-01,LANDSAT 5
0.009714613829953749,1991-11-01,LANDSAT 5
0.14438231165668172,1991-12-01,LANDSAT 5
0.18195336152513678,1992-01-01,LANDSAT 5
0.15063487817167068,1992-02-01,LANDSAT 5
0.39450503236405743,1992-06-01,LANDSAT 5
0.28618488785733753,1992-07-01,LANDSAT 5
0.31286618106483804,1992-08-01,LANDSAT 5
0.5075091886399847,1992-09-01,LANDSAT 5
