NDVI,month-year,landsat
0.10109302729213906,1984-04-01,LANDSAT 5
0.19557061595716152,1984-05-01,LANDSAT 5
0.20682739847968565,1984-06-01,LANDSAT 5
0.19563717790549226,1984-07-01,LANDSAT 5
0.19625575522710825,1984-08-01,LANDSAT 5
0.21018262529904327,1984-09-01,LANDSAT 5
0.06089389916001237,1984-11-01,LANDSAT 5
0.054086381304257525,1984-12-01,LANDSAT 5
0.04080745415356134,1985-01-01,LANDSAT 5
0.053507019400310316,1985-02-01,LANDSAT 5
0.15536691748627862,1985-04-01,LANDSAT 5
0.24471695602255558,1985-05-01,LANDSAT 5
0.1589952771491033,1985-06-01,LANDSAT 5
0.29435354058169894,1985-07-01,LANDSAT 5
0.304250645801213,1985-08-01,LANDSAT 5
0.16161307439202924,1985-09-01,LANDSAT 5
0.17122096201137885,1985-10-01,LANDSAT 5
0.05877242868611399,1985-11-01,LANDSAT 5
0.08705955374515177,1985-12-01,LANDSAT 5
0.09129708267271722,1986-01-01,LANDSAT 5
0.06254650321269395,1986-02-01,LANDSAT 5
0.05305104935452113,1986-03-01,LANDSAT 5
0.13601168371535508,1986-04-01,LANDSAT 5
0.2344440943937635,1986-05-01,LANDSAT 5
0.24796967018757574,1986-06-01,LANDSAT 5
0.22036296982757245,1986-07-01,LANDSAT 5
0.2544374727949204,1986-08-01,LANDSAT 5
0.018388075765261885,1986-09-01,LANDSAT 5
0.12990783783973373,1986-10-01,LANDSAT 5
0.1138711631798857,1986-11-01,LANDSAT 5
0.08408558336104811,1986-12-01,LANDSAT 5
0.10524409429962135,1987-01-01,LANDSAT 5
0.0566846811622307,1987-02-01,LANDSAT 5
0.1250416367949854,1987-03-01,LANDSAT 5
0.20629338126470365,1987-04-01,LANDSAT 5
0.19070708198086975,1987-05-01,LANDSAT 5
0.32556316006640845,1987-06-01,LANDSAT 5
0.30091391255591365,1987-07-01,LANDSAT 5
0.19680676155123927,1987-08-01,LANDSAT 5
0.1815641679524706,1987-09-01,LANDSAT 5
0.18462793674678527,1987-10-01,LANDSAT 5
0.10520295693551587,1988-03-01,LANDSAT 5
0.13817963378103285,1988-04-01,LANDSAT 5
0.16109345682041296,1988-05-01,LANDSAT 5
0.2742590172978813,1988-06-01,LANDSAT 5
0.2921459225609143,1988-07-01,LANDSAT 5
0.17691515406949324,1988-08-01,LANDSAT 5
0.1519268511327586,1988-09-01,LANDSAT 5
0.17005384573074964,1988-10-01,LANDSAT 5
0.030359194725821135,1989-03-01,LANDSAT 5
0.09444017269409202,1989-04-01,LANDSAT 5
0.16526035372479983,1989-05-01,LANDSAT 5
0.2283987654030154,1989-06-01,LANDSAT 5
0.20051380700396257,1989-07-01,LANDSAT 5
0.2662350663895984,1989-08-01,LANDSAT 5
0.2569352599325935,1989-09-01,LANDSAT 5
0.2310694462204499,1989-10-01,LANDSAT 5
0.05747116451349536,1990-03-01,LANDSAT 5
0.14038350489399015,1990-04-01,LANDSAT 5
0.19842803856425018,1990-05-01,LANDSAT 5
0.31028447636090983,1990-06-01,LANDSAT 5
0.20817248851480002,1990-07-01,LANDSAT 5
0.276934185887427,1990-08-01,LANDSAT 5
0.23607412688968563,1990-09-01,LANDSAT 5
0.08730436549079881,1990-10-01,LANDSAT 5
0.04935323807114747,1991-03-01,LANDSAT 5
0.10590099841426197,1991-04-01,LANDSAT 5
0.1484571319053876,1991-05-01,LANDSAT 5
0.3559544553901193,1991-06-01,LANDSAT 5
0.3250676829269396,1991-07-01,LANDSAT 5
0.28985503054668155,1991-08-01,LANDSAT 5
0.2235363279387982,1991-09-01,LANDSAT 5
0.02140559941180394,1991-10-01,LANDSAT 5
0.019098830188669865,1992-01-01,LANDSAT 5
0.07127452328801051,1992-03-01,LANDSAT 5
0.1716404922173777,1992-04-01,LANDSAT 5
0.18484121249046082,1992-05-01,LANDSAT 5
0.19267777415599474,1992-06-01,LANDSAT 5
0.2595706759018278,1992-07-01,LANDSAT 5
0.1720921760590093,1992-08-01,LANDSAT 5
0.21648231917380245,1992-09-01,LANDSAT 5
0.12135793706441776,1992-10-01,LANDSAT 5
0.013450164211195775,1992-11-01,LANDSAT 5
0.02738421526217595,1992-12-01,LANDSAT 5
0.024875178698374977,1993-01-01,LANDSAT 5
0.04137317585959174,1993-02-01,LANDSAT 5
0.07622865682133195,1993-03-01,LANDSAT 5
0.11820610715534875,1993-04-01,LANDSAT 5
0.23442499209876913,1993-05-01,LANDSAT 5
0.17352114205013114,1993-06-01,LANDSAT 5
0.2535879205404748,1993-07-01,LANDSAT 5
0.2319764377150901,1993-08-01,LANDSAT 5
0.21110619735066785,1993-09-01,LANDSAT 5
0.12751180320218275,1993-10-01,LANDSAT 5
0.0421635984719201,1993-11-01,LANDSAT 5
0.04173528086887433,1993-12-01,LANDSAT 5
0.025525061187644867,1994-01-01,LANDSAT 5
0.0174269516038222,1994-02-01,LANDSAT 5
0.08078373248083538,1994-03-01,LANDSAT 5
0.19564458673112614,1994-04-01,LANDSAT 5
0.1878633205304353,1994-05-01,LANDSAT 5
0.2853188890869625,1994-06-01,LANDSAT 5
0.1392202279320986,1994-07-01,LANDSAT 5
0.15833713363653232,1994-08-01,LANDSAT 5
0.1116995208658233,1994-09-01,LANDSAT 5
0.18841368672920958,1994-10-01,LANDSAT 5
0.0947560725806643,1994-11-01,LANDSAT 5
0.07608625963066316,1994-12-01,LANDSAT 5
0.06891985896740457,1995-01-01,LANDSAT 5
0.058585044868968664,1995-02-01,LANDSAT 5
0.08216229551361864,1995-03-01,LANDSAT 5
0.11720085666598518,1995-04-01,LANDSAT 5
0.18002902932989373,1995-05-01,LANDSAT 5
0.3133131386796083,1995-06-01,LANDSAT 5
0.2688701518753231,1995-07-01,LANDSAT 5
0.26367076815560075,1995-08-01,LANDSAT 5
0.2646055254868541,1995-09-01,LANDSAT 5
0.1651622258379039,1995-10-01,LANDSAT 5
0.10189170859971398,1995-11-01,LANDSAT 5
0.08951229476544373,1995-12-01,LANDSAT 5
0.013692310394705944,1996-01-01,LANDSAT 5
0.11723917084712539,1996-02-01,LANDSAT 5
0.04493902321596069,1996-03-01,LANDSAT 5
0.14072963435390798,1996-04-01,LANDSAT 5
0.25355462331281814,1996-05-01,LANDSAT 5
0.27012555323729287,1996-06-01,LANDSAT 5
0.1873740767984573,1996-07-01,LANDSAT 5
0.23239792224471967,1996-08-01,LANDSAT 5
0.19664749097713397,1996-09-01,LANDSAT 5
0.2225226907754852,1996-10-01,LANDSAT 5
0.09263840894543306,1996-11-01,LANDSAT 5
0.06959105486301428,1996-12-01,LANDSAT 5
0.094764174115472,1997-01-01,LANDSAT 5
0.08800814076990009,1997-02-01,LANDSAT 5
0.06789649727414536,1997-03-01,LANDSAT 5
0.08177206590649808,1997-04-01,LANDSAT 5
0.21093779071625587,1997-05-01,LANDSAT 5
0.27378563250927046,1997-06-01,LANDSAT 5
0.17985834048511373,1997-07-01,LANDSAT 5
0.2955079520417599,1997-08-01,LANDSAT 5
0.32937059678628705,1997-09-01,LANDSAT 5
0.03954770461207142,1997-10-01,LANDSAT 5
0.1821208184017372,1997-11-01,LANDSAT 5
0.028430537032555124,1997-12-01,LANDSAT 5
0.0800519544508186,1998-01-01,LANDSAT 5
0.11384445485261276,1998-02-01,LANDSAT 5
0.09484922061228895,1998-03-01,LANDSAT 5
0.15311609814553553,1998-04-01,LANDSAT 5
0.21678330817077246,1998-05-01,LANDSAT 5
0.23178975738112417,1998-06-01,LANDSAT 5
0.10526645452475866,1998-07-01,LANDSAT 5
0.16826106291992632,1998-08-01,LANDSAT 5
0.22241481783056857,1998-09-01,LANDSAT 5
0.14777808943011467,1998-10-01,LANDSAT 5
0.09058609035481832,1998-11-01,LANDSAT 5
0.057223226711737296,1998-12-01,LANDSAT 5
0.3477646197400526,1999-06-01,LANDSAT 7
0.27575361649752705,1999-07-01,LANDSAT 7
0.23527606106824908,1999-08-01,LANDSAT 7
0.27749285996037704,1999-09-01,LANDSAT 7
0.20110811402351653,1999-10-01,LANDSAT 7
0.15549575174790228,1999-11-01,LANDSAT 7
0.09848092943692043,1999-12-01,LANDSAT 7
0.07287739015371661,2000-01-01,LANDSAT 7
0.07102835876901499,2000-02-01,LANDSAT 7
0.1006188228916284,2000-03-01,LANDSAT 7
0.12147650600512422,2000-04-01,LANDSAT 7
0.15544137552009982,2000-05-01,LANDSAT 7
0.27049106346419627,2000-06-01,LANDSAT 7
0.21260037288508665,2000-07-01,LANDSAT 7
0.18936741671702106,2000-08-01,LANDSAT 7
0.235728782122335,2000-09-01,LANDSAT 7
