NDVI,month-year,landsat
0.4434651112310019,1984-04-01,LANDSAT 5
0.43349054826474215,1984-05-01,LANDSAT 5
0.46302873096170144,1984-06-01,LANDSAT 5
0.50545468109096,1984-07-01,LANDSAT 5
0.3292910670987316,1984-08-01,LANDSAT 5
0.457001745902558,1984-09-01,LANDSAT 5
0.3563210949604399,1984-10-01,LANDSAT 5
0.37807998024352324,1984-11-01,LANDSAT 5
0.23101422119714318,1984-12-01,LANDSAT 5
0.3368245878703914,1985-01-01,LANDSAT 5
0.19160231697979188,1985-02-01,LANDSAT 5
0.3470428998352249,1985-03-01,LANDSAT 5
0.43116793013452964,1985-04-01,LANDSAT 5
0.4788228671154958,1985-05-01,LANDSAT 5
0.25540595739559063,1985-06-01,LANDSAT 5
0.1817053026970421,1985-08-01,LANDSAT 5
0.5161018535149287,1985-09-01,LANDSAT 5
0.3574616140119768,1985-10-01,LANDSAT 5
0.23645864404625966,1985-11-01,LANDSAT 5
0.31718971906207755,1985-12-01,LANDSAT 5
0.3348676271342132,1986-01-01,LANDSAT 5
0.24990743982852828,1986-02-01,LANDSAT 5
0.3109645815545975,1986-03-01,LANDSAT 5
0.41371528537134805,1986-04-01,LANDSAT 5
0.328913837207826,1986-05-01,LANDSAT 5
0.38533542455718756,1986-06-01,LANDSAT 5
0.42457656365316976,1986-07-01,LANDSAT 5
0.3463705677430581,1986-08-01,LANDSAT 5
0.42836066548819746,1986-09-01,LANDSAT 5
0.45443960434723124,1986-10-01,LANDSAT 5
0.40732082446252366,1986-11-01,LANDSAT 5
0.2534906507831988,1986-12-01,LANDSAT 5
0.3138422492021565,1987-01-01,LANDSAT 5
0.09548108587770057,1987-02-01,LANDSAT 5
0.08108562619624055,1987-03-01,LANDSAT 5
0.26148625950507653,1987-04-01,LANDSAT 5
0.4027760667021121,1987-05-01,LANDSAT 5
0.32314109057837737,1987-06-01,LANDSAT 5
0.3637623969048869,1987-07-01,LANDSAT 5
0.40013889203864583,1987-08-01,LANDSAT 5
0.5019335745568186,1987-09-01,LANDSAT 5
0.44430599562067635,1987-10-01,LANDSAT 5
0.3745388089648706,1987-11-01,LANDSAT 5
0.11441741765808093,1987-12-01,LANDSAT 5
0.32998366839516363,1988-02-01,LANDSAT 5
0.242272860733468,1988-03-01,LANDSAT 5
0.252076172838569,1988-04-01,LANDSAT 5
0.45124230538839083,1988-05-01,LANDSAT 5
0.1265866408403631,1988-06-01,LANDSAT 5
0.34760702119923415,1988-07-01,LANDSAT 5
0.3416080283666139,1988-08-01,LANDSAT 5
0.3976634321581731,1988-09-01,LANDSAT 5
0.3755249874127645,1988-10-01,LANDSAT 5
