NDVI,month-year,landsat
0.3551468852771151,1984-05-01,LANDSAT 5
0.15471868552899523,1984-06-01,LANDSAT 5
0.43122679860902385,1984-07-01,LANDSAT 5
0.2387743068797769,1984-09-01,LANDSAT 5
0.14602803640026346,1984-10-01,LANDSAT 5
0.18018646911477448,1984-11-01,LANDSAT 5
0.2295473394354128,1984-12-01,LANDSAT 5
0.022055551961156102,1985-01-01,LANDSAT 5
0.07549563458163547,1985-02-01,LANDSAT 5
0.20685692105352496,1985-03-01,LANDSAT 5
0.26597245449791185,1985-04-01,LANDSAT 5
0.34866096938952035,1985-08-01,LANDSAT 5
0.2697234266732847,1985-09-01,LANDSAT 5
0.16769887255719074,1985-10-01,LANDSAT 5
0.22176819174462006,1985-11-01,LANDSAT 5
0.14832503595301855,1986-01-01,LANDSAT 5
0.20808296341393204,1986-03-01,LANDSAT 5
0.2954573956370426,1986-04-01,LANDSAT 5
0.16306360390928837,1986-05-01,LANDSAT 5
0.4178875695796981,1986-06-01,LANDSAT 5
0.6786482733396519,1986-07-01,LANDSAT 5
0.4585548147961122,1986-08-01,LANDSAT 5
0.37726333032821435,1986-09-01,LANDSAT 5
0.023018391936965206,1986-10-01,LANDSAT 5
0.10626898247388575,1986-12-01,LANDSAT 5
0.0721604777573078,1987-01-01,LANDSAT 5
0.1093727227216995,1987-02-01,LANDSAT 5
0.15735292119432484,1987-03-01,LANDSAT 5
0.24494996934090862,1987-04-01,LANDSAT 5
0.3313961173455759,1987-05-01,LANDSAT 5
0.1691155371219602,1987-06-01,LANDSAT 5
0.2354810595735236,1987-07-01,LANDSAT 5
0.4031125407586279,1987-08-01,LANDSAT 5
0.21309805876730234,1987-09-01,LANDSAT 5
0.1801720160065716,1987-10-01,LANDSAT 5
0.18626682746304257,1987-11-01,LANDSAT 5
0.036133622455180245,1987-12-01,LANDSAT 5
0.05703000252494459,1988-01-01,LANDSAT 5
0.02698573168683097,1988-02-01,LANDSAT 5
0.1632006216866674,1988-03-01,LANDSAT 5
0.27197525325870336,1988-04-01,LANDSAT 5
0.3547827785118465,1988-05-01,LANDSAT 5
0.34662889143652115,1988-06-01,LANDSAT 5
0.4258018363099163,1988-07-01,LANDSAT 5
0.42159669154807433,1988-08-01,LANDSAT 5
0.45967346848783347,1988-09-01,LANDSAT 5
0.27905970386954526,1988-10-01,LANDSAT 5
0.1044912713803491,1988-11-01,LANDSAT 5
0.13483854682248478,1988-12-01,LANDSAT 5
0.16327135817412064,1989-01-01,LANDSAT 5
0.05358604288720675,1989-02-01,LANDSAT 5
0.08328630845290094,1989-03-01,LANDSAT 5
0.13210731678426924,1989-04-01,LANDSAT 5
0.3734744487573005,1989-05-01,LANDSAT 5
0.08778532555752067,1989-06-01,LANDSAT 5
0.18343075492602706,1989-07-01,LANDSAT 5
0.25227306202112126,1989-08-01,LANDSAT 5
0.451490723637023,1989-09-01,LANDSAT 5
0.23586304838143338,1989-10-01,LANDSAT 5
0.28555191200477287,1989-11-01,LANDSAT 5
0.018658566830243573,1989-12-01,LANDSAT 5
0.31879185674420135,1990-04-01,LANDSAT 5
0.3164465063622842,1990-05-01,LANDSAT 5
0.3074986468612987,1990-06-01,LANDSAT 5
0.24933930566345655,1990-07-01,LANDSAT 5
0.39321514819331455,1990-08-01,LANDSAT 5
0.34565585112580266,1990-09-01,LANDSAT 5
0.3303214207053183,1990-10-01,LANDSAT 5
0.17213177856921097,1990-11-01,LANDSAT 5
0.2412529192645249,1990-12-01,LANDSAT 5
0.19621911325208957,1991-01-01,LANDSAT 5
0.0468923468769232,1991-02-01,LANDSAT 5
0.19769817420077287,1991-03-01,LANDSAT 5
0.2356314834532317,1991-04-01,LANDSAT 5
0.42829172119562303,1991-05-01,LANDSAT 5
0.42258402049516586,1991-06-01,LANDSAT 5
0.2197472311886964,1991-07-01,LANDSAT 5
0.34968511677271336,1991-08-01,LANDSAT 5
0.040009386375658804,1991-09-01,LANDSAT 5
0.1998541961520992,1991-10-01,LANDSAT 5
0.13864419053811566,1991-12-01,LANDSAT 5
0.11623916511970346,1992-01-01,LANDSAT 5
0.13071061533540385,1992-02-01,LANDSAT 5
0.2622049087074764,1992-04-01,LANDSAT 5
0.22726421496993512,1992-05-01,LANDSAT 5
0.35853319575174375,1992-06-01,LANDSAT 5
0.31791371858663753,1992-07-01,LANDSAT 5
0.3407856514833194,1992-08-01,LANDSAT 5
0.38788541703623536,1992-09-01,LANDSAT 5
0.24919257052127372,1992-10-01,LANDSAT 5
0.06197904641508797,1992-12-01,LANDSAT 5
0.09392769841164672,1993-01-01,LANDSAT 5
0.15074261852193802,1993-02-01,LANDSAT 5
0.13748487706233517,1993-03-01,LANDSAT 5
0.26883563459474547,1993-04-01,LANDSAT 5
0.22364502085604063,1993-05-01,LANDSAT 5
0.21739542227213776,1993-06-01,LANDSAT 5
0.4885163301324757,1993-07-01,LANDSAT 5
0.5570918888818879,1993-08-01,LANDSAT 5
0.37071219489494345,1993-09-01,LANDSAT 5
0.27039732133373007,1993-10-01,LANDSAT 5
0.23113886915013962,1993-11-01,LANDSAT 5
0.0029589229331951307,1993-12-01,LANDSAT 5
0.01945263028307558,1994-01-01,LANDSAT 5
0.12281563181740109,1994-02-01,LANDSAT 5
0.07125272545774279,1994-03-01,LANDSAT 5
0.22833635074175768,1994-04-01,LANDSAT 5
0.266094088340864,1994-05-01,LANDSAT 5
0.11838631582390331,1994-06-01,LANDSAT 5
0.3582610393845426,1994-07-01,LANDSAT 5
0.3355808421098288,1994-08-01,LANDSAT 5
0.4308820307960165,1994-09-01,LANDSAT 5
0.07875414923307007,1994-10-01,LANDSAT 5
0.2515512663846435,1994-11-01,LANDSAT 5
0.18181241453678487,1994-12-01,LANDSAT 5
0.011221921525591682,1995-01-01,LANDSAT 5
0.01992925836417472,1995-02-01,LANDSAT 5
0.12059890949681136,1995-03-01,LANDSAT 5
0.2586320182909615,1995-04-01,LANDSAT 5
0.38951893285523004,1995-06-01,LANDSAT 5
0.15169876096960547,1995-07-01,LANDSAT 5
0.4322520025649328,1995-08-01,LANDSAT 5
0.44262257914565056,1995-09-01,LANDSAT 5
0.22033721865304096,1995-10-01,LANDSAT 5
0.04507851425219254,1996-02-01,LANDSAT 5
0.0916445385681472,1996-03-01,LANDSAT 5
0.262164184656364,1996-04-01,LANDSAT 5
0.32477672433251725,1996-05-01,LANDSAT 5
0.25200803185615483,1996-06-01,LANDSAT 5
0.299067370844596,1996-07-01,LANDSAT 5
0.34766426004866546,1996-08-01,LANDSAT 5
0.4522972950519569,1996-09-01,LANDSAT 5
0.36977734612715873,1996-10-01,LANDSAT 5
0.2677676321159494,1996-11-01,LANDSAT 5
0.21502211702237453,1996-12-01,LANDSAT 5
0.0260912581397482,1997-01-01,LANDSAT 5
0.18530249476046312,1997-02-01,LANDSAT 5
0.18830197919602662,1997-03-01,LANDSAT 5
0.023371519374984044,1997-04-01,LANDSAT 5
0.30652433102735055,1997-05-01,LANDSAT 5
0.2801347758520501,1997-06-01,LANDSAT 5
0.3960884590753695,1997-07-01,LANDSAT 5
0.26566251661188006,1997-08-01,LANDSAT 5
0.3572842722734737,1997-09-01,LANDSAT 5
0.2239023063329497,1997-10-01,LANDSAT 5
0.1194871447782364,1997-12-01,LANDSAT 5
0.049876621880936195,1998-01-01,LANDSAT 5
0.04812772174271276,1998-02-01,LANDSAT 5
0.13288330565621784,1998-03-01,LANDSAT 5
0.3142581012679118,1998-04-01,LANDSAT 5
0.2991711153968748,1998-05-01,LANDSAT 5
0.22822871318105062,1998-06-01,LANDSAT 5
0.4213291955057528,1998-07-01,LANDSAT 5
0.26228087168197406,1998-08-01,LANDSAT 5
0.21787049903892577,1998-09-01,LANDSAT 5
0.31745835441975817,1998-10-01,LANDSAT 5
0.25996173730378175,1998-11-01,LANDSAT 5
0.2812846514919238,1998-12-01,LANDSAT 5
0.38665512942884955,1999-07-01,LANDSAT 7
0.33862697619338167,1999-08-01,LANDSAT 7
0.36531864880502884,1999-09-01,LANDSAT 7
0.3089593082424484,1999-10-01,LANDSAT 7
0.20420413229690174,1999-11-01,LANDSAT 7
0.10559519247968084,1999-12-01,LANDSAT 7
0.059173477063940695,2000-01-01,LANDSAT 7
0.1824818718846435,2000-02-01,LANDSAT 7
0.32226162562300853,2000-03-01,LANDSAT 7
0.29947433472325047,2000-04-01,LANDSAT 7
0.23370994017023558,2000-05-01,LANDSAT 7
0.3286436083949702,2000-06-01,LANDSAT 7
0.4396611259687092,2000-07-01,LANDSAT 7
0.3896994388725602,2000-08-01,LANDSAT 7
0.3494061411459346,2000-09-01,LANDSAT 7
0.3400876705081303,2000-10-01,LANDSAT 7
0.17864159416614858,2000-11-01,LANDSAT 7
0.042708184501095696,2000-12-01,LANDSAT 7
0.0877645427572691,2001-01-01,LANDSAT 7
0.09437280699927618,2001-02-01,LANDSAT 7
0.1468724740517837,2001-03-01,LANDSAT 7
0.19140728277341706,2001-04-01,LANDSAT 7
0.33437379245500026,2001-05-01,LANDSAT 7
0.37968401605993385,2001-06-01,LANDSAT 7
0.4181812829555845,2001-07-01,LANDSAT 7
0.4158460261718843,2001-08-01,LANDSAT 7
0.37832682677017254,2001-09-01,LANDSAT 7
0.31378371288365253,2001-10-01,LANDSAT 7
0.32929776791507404,2001-11-01,LANDSAT 7
0.21620437351771743,2001-12-01,LANDSAT 7
0.12495606185635923,2002-01-01,LANDSAT 7
0.03565976388637034,2002-02-01,LANDSAT 7
0.15609708572276682,2002-03-01,LANDSAT 7
0.29208993713671455,2002-04-01,LANDSAT 7
0.20997172531400968,2002-05-01,LANDSAT 7
0.2809017057242237,2002-06-01,LANDSAT 7
0.37737160860155544,2002-07-01,LANDSAT 7
0.34235754080927794,2002-08-01,LANDSAT 7
0.2699757519021845,2002-09-01,LANDSAT 7
0.19830974767900122,2002-10-01,LANDSAT 7
0.06375144362457126,2002-11-01,LANDSAT 7
0.14778167778814702,2002-12-01,LANDSAT 7
0.1440797145951562,2003-01-01,LANDSAT 7
0.06187114752103951,2003-02-01,LANDSAT 7
0.17428564716071698,2003-03-01,LANDSAT 7
0.25073325770388055,2003-04-01,LANDSAT 7
0.34504276347607793,2003-05-01,LANDSAT 7
0.47807901453373197,2003-07-01,LANDSAT 7
0.4301520770506996,2003-08-01,LANDSAT 7
0.42367894091424557,2003-09-01,LANDSAT 7
0.3067840398951289,2003-10-01,LANDSAT 7
0.2704687081965392,2003-11-01,LANDSAT 7
0.15289811197322395,2003-12-01,LANDSAT 7
0.19889866215456323,2004-02-01,LANDSAT 7
0.21826348541219,2004-03-01,LANDSAT 7
0.3168926468941459,2004-04-01,LANDSAT 7
0.29563137546407087,2004-05-01,LANDSAT 7
0.3268096388635816,2004-06-01,LANDSAT 7
0.26310746119521083,2004-07-01,LANDSAT 7
0.44612700425973306,2004-08-01,LANDSAT 7
0.40855423581460715,2004-09-01,LANDSAT 7
0.22695259218839636,2004-10-01,LANDSAT 7
0.16701857219251853,2004-11-01,LANDSAT 7
0.003938451059223428,2004-12-01,LANDSAT 7
0.030860947270785265,2005-02-01,LANDSAT 7
0.23082376190785753,2005-03-01,LANDSAT 7
0.3093890157868952,2005-04-01,LANDSAT 7
0.3990784482495902,2005-05-01,LANDSAT 7
0.3482163424140352,2005-06-01,LANDSAT 7
0.346285094686335,2005-07-01,LANDSAT 7
0.36166702510056153,2005-08-01,LANDSAT 7
0.39535621011294214,2005-09-01,LANDSAT 7
0.30997310984267457,2005-10-01,LANDSAT 7
0.3007797608589951,2005-11-01,LANDSAT 7
0.08806937119532643,2005-12-01,LANDSAT 7
0.17126569585709772,2006-01-01,LANDSAT 7
0.18868689790970533,2006-02-01,LANDSAT 7
0.07488428958878895,2006-03-01,LANDSAT 7
0.3565921214712988,2006-04-01,LANDSAT 7
0.4046871236464887,2006-05-01,LANDSAT 7
0.3124453975742988,2006-06-01,LANDSAT 7
0.4433646735369656,2006-08-01,LANDSAT 7
0.36911390378740544,2006-09-01,LANDSAT 7
0.2629033557690095,2006-10-01,LANDSAT 7
0.2201253373905338,2006-11-01,LANDSAT 7
0.16409560937401707,2006-12-01,LANDSAT 7
0.2233522845279001,2007-01-01,LANDSAT 7
0.09024111424803026,2007-02-01,LANDSAT 7
0.17902048598683676,2007-03-01,LANDSAT 7
0.33930994387639407,2007-04-01,LANDSAT 7
0.30702829524418945,2007-05-01,LANDSAT 7
0.39855012939583084,2007-06-01,LANDSAT 7
0.3672210671907292,2007-07-01,LANDSAT 7
0.3166790680935445,2007-08-01,LANDSAT 7
0.40006314605872434,2007-09-01,LANDSAT 7
0.3742293562266973,2007-10-01,LANDSAT 7
0.10013878667312978,2007-11-01,LANDSAT 7
0.02187262903975686,2008-02-01,LANDSAT 7
0.16395230413626094,2008-03-01,LANDSAT 7
0.1897387401501214,2008-04-01,LANDSAT 7
0.42393514348648725,2008-05-01,LANDSAT 7
0.3385003419890523,2008-06-01,LANDSAT 7
0.37209581146796217,2008-07-01,LANDSAT 7
0.3778210662315266,2008-08-01,LANDSAT 7
