NDVI,month-year,landsat
0.5146482376106071,1984-06-01,LANDSAT 5
0.5635192646420004,1984-09-01,LANDSAT 5
0.2983527095781422,1984-10-01,LANDSAT 5
0.25883614561360907,1984-11-01,LANDSAT 5
0.17193439998695725,1985-01-01,LANDSAT 5
0.1741024053990542,1985-02-01,LANDSAT 5
0.32214506988373187,1985-03-01,LANDSAT 5
0.24063242918172767,1985-04-01,LANDSAT 5
0.6396710101594464,1985-06-01,LANDSAT 5
0.6458637094025859,1985-08-01,LANDSAT 5
0.38602604647510363,1985-09-01,LANDSAT 5
0.44677129834556595,1985-10-01,LANDSAT 5
0.18444708639158203,1985-11-01,LANDSAT 5
0.17751994812429597,1986-01-01,LANDSAT 5
0.2925626467557925,1986-03-01,LANDSAT 5
0.28637482947074566,1986-04-01,LANDSAT 5
0.2662074111794988,1986-05-01,LANDSAT 5
0.3633479294627975,1986-06-01,LANDSAT 5
0.6231272242258927,1986-07-01,LANDSAT 5
0.49285114178333994,1986-08-01,LANDSAT 5
0.6333598451576375,1986-09-01,LANDSAT 5
0.38308584541867313,1986-10-01,LANDSAT 5
0.13444184634421838,1986-11-01,LANDSAT 5
0.08036122876583092,1986-12-01,LANDSAT 5
0.08036122876583092,1987-01-01,LANDSAT 5
0.1385718966086371,1987-02-01,LANDSAT 5
0.11187063523644465,1987-03-01,LANDSAT 5
0.372179601578139,1987-04-01,LANDSAT 5
0.21460759574952024,1987-05-01,LANDSAT 5
0.4223797624298183,1987-06-01,LANDSAT 5
0.42680969077087044,1987-07-01,LANDSAT 5
0.6059199511621661,1987-08-01,LANDSAT 5
0.5145680804904872,1987-09-01,LANDSAT 5
0.40299691839813834,1987-10-01,LANDSAT 5
0.3579736536184193,1987-11-01,LANDSAT 5
0.09110650187218461,1987-12-01,LANDSAT 5
0.16738352702080853,1988-01-01,LANDSAT 5
0.14288463181996616,1988-02-01,LANDSAT 5
0.22232302581222596,1988-03-01,LANDSAT 5
0.2729112184301996,1988-04-01,LANDSAT 5
0.47312182623358173,1988-05-01,LANDSAT 5
0.355307034929062,1988-06-01,LANDSAT 5
0.31087419512463804,1988-07-01,LANDSAT 5
0.4904161517254147,1988-08-01,LANDSAT 5
0.40976485295417936,1988-09-01,LANDSAT 5
0.39873421683856447,1988-10-01,LANDSAT 5
0.19847705778773794,1988-11-01,LANDSAT 5
0.22008703660968004,1988-12-01,LANDSAT 5
0.11695533914276951,1989-01-01,LANDSAT 5
0.20737767277881833,1989-02-01,LANDSAT 5
0.2787690257202999,1989-03-01,LANDSAT 5
0.30036120674625977,1989-04-01,LANDSAT 5
0.1794081905135881,1989-05-01,LANDSAT 5
0.20158992650308818,1989-06-01,LANDSAT 5
0.4549214313428961,1989-07-01,LANDSAT 5
0.5032252175820832,1989-08-01,LANDSAT 5
0.40033969290267724,1989-09-01,LANDSAT 5
0.3959900130221103,1989-10-01,LANDSAT 5
0.17641891140836094,1989-12-01,LANDSAT 5
0.07950684792408387,1990-01-01,LANDSAT 5
0.30852339988268673,1990-04-01,LANDSAT 5
0.31879211915388905,1990-05-01,LANDSAT 5
0.40848266733057437,1990-06-01,LANDSAT 5
0.36845045174416435,1990-07-01,LANDSAT 5
0.46241787611453555,1990-08-01,LANDSAT 5
0.41325883317539847,1990-09-01,LANDSAT 5
0.26374687069335306,1990-10-01,LANDSAT 5
0.19805127084735624,1990-11-01,LANDSAT 5
0.30387813793688956,1990-12-01,LANDSAT 5
0.1538073438917048,1991-01-01,LANDSAT 5
0.08314629244221564,1991-02-01,LANDSAT 5
0.28068223290664357,1991-03-01,LANDSAT 5
0.18298544674060724,1991-04-01,LANDSAT 5
0.5670739399632011,1991-05-01,LANDSAT 5
0.4949759898268293,1991-06-01,LANDSAT 5
0.5787058946804002,1991-07-01,LANDSAT 5
0.5596736349178687,1991-08-01,LANDSAT 5
0.3257755662326296,1991-09-01,LANDSAT 5
0.3206772502094719,1991-10-01,LANDSAT 5
0.05950379324857633,1991-11-01,LANDSAT 5
0.18886766501921295,1991-12-01,LANDSAT 5
0.24357722409556268,1992-01-01,LANDSAT 5
0.09693320159200662,1992-02-01,LANDSAT 5
0.25176373357966636,1992-03-01,LANDSAT 5
0.28599280196027055,1992-04-01,LANDSAT 5
0.4060376608378417,1992-05-01,LANDSAT 5
0.43232755263746325,1992-06-01,LANDSAT 5
0.4057268587038083,1992-07-01,LANDSAT 5
0.2773430388768523,1992-08-01,LANDSAT 5
0.5613949163435883,1992-09-01,LANDSAT 5
0.3312486325651054,1992-10-01,LANDSAT 5
0.07850700701734022,1992-12-01,LANDSAT 5
0.12379082853780678,1993-01-01,LANDSAT 5
0.11265351804770823,1993-02-01,LANDSAT 5
0.14424533025184616,1993-03-01,LANDSAT 5
0.17003478345907813,1993-04-01,LANDSAT 5
0.2725958098284479,1993-05-01,LANDSAT 5
0.5994575576489222,1993-06-01,LANDSAT 5
0.5410904668319082,1993-07-01,LANDSAT 5
0.5305749920517592,1993-08-01,LANDSAT 5
0.2995947812375333,1993-09-01,LANDSAT 5
0.39089926784863505,1993-10-01,LANDSAT 5
0.25250305689051533,1993-11-01,LANDSAT 5
0.24470284176720988,1993-12-01,LANDSAT 5
0.121988810690823,1994-01-01,LANDSAT 5
0.13118270736366092,1994-02-01,LANDSAT 5
0.10597548204251236,1994-03-01,LANDSAT 5
0.23825762253512853,1994-04-01,LANDSAT 5
0.4123966003602184,1994-05-01,LANDSAT 5
0.4439119738493897,1994-06-01,LANDSAT 5
0.3293154280643022,1994-07-01,LANDSAT 5
0.6008914409174521,1994-08-01,LANDSAT 5
0.4632816178454466,1994-09-01,LANDSAT 5
0.43359880015172303,1994-10-01,LANDSAT 5
0.3032326559128603,1994-11-01,LANDSAT 5
0.2345264607960017,1994-12-01,LANDSAT 5
0.17340592952669487,1995-01-01,LANDSAT 5
0.0928466491876259,1995-02-01,LANDSAT 5
