NDVI,month-year,landsat
0.18776549625816547,1984-04-01,LANDSAT 5
0.413841008512729,1984-05-01,LANDSAT 5
0.361520102773395,1984-06-01,LANDSAT 5
0.465057590072111,1984-07-01,LANDSAT 5
0.4280781369974721,1984-08-01,LANDSAT 5
0.2056711439764762,1984-10-01,LANDSAT 5
0.19482357863120633,1984-11-01,LANDSAT 5
0.17903095064512653,1984-12-01,LANDSAT 5
0.08010836225236356,1985-01-01,LANDSAT 5
0.2324110671053065,1985-04-01,LANDSAT 5
0.4693329911738957,1985-06-01,LANDSAT 5
0.4965774912432193,1985-07-01,LANDSAT 5
0.4622761390831202,1985-08-01,LANDSAT 5
0.03489515041461669,1985-10-01,LANDSAT 5
0.11976380115146754,1985-11-01,LANDSAT 5
0.06237332117094524,1986-01-01,LANDSAT 5
0.12224102418293367,1986-03-01,LANDSAT 5
0.1805026235362461,1986-04-01,LANDSAT 5
0.29072499541209934,1986-06-01,LANDSAT 5
0.46920087835222274,1986-07-01,LANDSAT 5
0.3554036927524505,1986-08-01,LANDSAT 5
0.3550913716047387,1986-09-01,LANDSAT 5
0.35807787936893126,1986-10-01,LANDSAT 5
0.2518531732730899,1986-11-01,LANDSAT 5
0.15167258641613343,1986-12-01,LANDSAT 5
0.0249794484936435,1987-01-01,LANDSAT 5
0.16206413252490787,1987-02-01,LANDSAT 5
0.2067795023583237,1987-03-01,LANDSAT 5
0.33549680146780647,1987-04-01,LANDSAT 5
0.2871233168461387,1987-05-01,LANDSAT 5
0.4552872051866167,1987-06-01,LANDSAT 5
0.5217161738443796,1987-07-01,LANDSAT 5
0.5186530117161732,1987-08-01,LANDSAT 5
0.4434294666142463,1987-09-01,LANDSAT 5
0.22748966977217835,1987-10-01,LANDSAT 5
0.2266972052513767,1987-11-01,LANDSAT 5
0.04166743986690237,1988-01-01,LANDSAT 5
0.08431755099872815,1988-02-01,LANDSAT 5
0.08739870559248923,1988-03-01,LANDSAT 5
0.2858650198542764,1988-04-01,LANDSAT 5
0.40657005381765193,1988-05-01,LANDSAT 5
0.39560026804611265,1988-06-01,LANDSAT 5
0.4949729917545561,1988-07-01,LANDSAT 5
0.46162534466850846,1988-08-01,LANDSAT 5
0.29550747136038047,1988-09-01,LANDSAT 5
0.3372507670357389,1988-10-01,LANDSAT 5
0.14565781913727607,1988-11-01,LANDSAT 5
0.039764347726088015,1988-12-01,LANDSAT 5
0.11957441917804225,1989-01-01,LANDSAT 5
0.16231399918768058,1989-03-01,LANDSAT 5
0.1978521171753071,1989-04-01,LANDSAT 5
0.2941679323386116,1989-05-01,LANDSAT 5
0.27475125669101086,1989-06-01,LANDSAT 5
0.4578556705991221,1989-07-01,LANDSAT 5
0.28411428472953687,1989-08-01,LANDSAT 5
0.40934466072233333,1989-09-01,LANDSAT 5
0.2777218090725928,1989-10-01,LANDSAT 5
0.2168499229132859,1989-11-01,LANDSAT 5
0.11573651881684616,1989-12-01,LANDSAT 5
0.0782193769221424,1990-01-01,LANDSAT 5
0.3904720739288853,1990-05-01,LANDSAT 5
0.41977448028213504,1990-06-01,LANDSAT 5
0.42868810394265844,1990-07-01,LANDSAT 5
0.351967266847191,1990-08-01,LANDSAT 5
0.4055579280216971,1990-09-01,LANDSAT 5
0.344781568891854,1990-10-01,LANDSAT 5
0.2280113955973626,1990-11-01,LANDSAT 5
0.022855686453556304,1990-12-01,LANDSAT 5
0.13675329876213216,1991-02-01,LANDSAT 5
0.20564139155754885,1991-03-01,LANDSAT 5
0.15350435946996516,1991-04-01,LANDSAT 5
0.28690075862341724,1991-05-01,LANDSAT 5
0.44357849571823216,1991-06-01,LANDSAT 5
0.37708927353204275,1991-07-01,LANDSAT 5
0.4654454490411988,1991-08-01,LANDSAT 5
0.3535363217696698,1991-09-01,LANDSAT 5
0.28131832982529414,1991-10-01,LANDSAT 5
0.03206107422277239,1991-11-01,LANDSAT 5
0.15570413039833397,1991-12-01,LANDSAT 5
0.119873026286061,1992-01-01,LANDSAT 5
0.1085028075069809,1992-02-01,LANDSAT 5
0.1896340611690175,1992-03-01,LANDSAT 5
0.23967980918826287,1992-04-01,LANDSAT 5
0.35277514685072126,1992-05-01,LANDSAT 5
0.4174801494662332,1992-06-01,LANDSAT 5
0.4015175836849112,1992-08-01,LANDSAT 5
0.3099275107021084,1992-09-01,LANDSAT 5
0.312109510879338,1992-10-01,LANDSAT 5
0.003566914118680945,1992-11-01,LANDSAT 5
0.062027124918450326,1992-12-01,LANDSAT 5
0.16329493179009807,1993-03-01,LANDSAT 5
0.17113113274974262,1993-04-01,LANDSAT 5
0.40942870267534565,1993-05-01,LANDSAT 5
0.4760551024694202,1993-06-01,LANDSAT 5
0.19044817321269267,1993-07-01,LANDSAT 5
0.3221059679628263,1993-08-01,LANDSAT 5
0.4565766476100889,1993-09-01,LANDSAT 5
0.2721920654209274,1993-10-01,LANDSAT 5
0.16410648500915515,1993-11-01,LANDSAT 5
0.18467715268897608,1993-12-01,LANDSAT 5
0.035079881816523106,1994-01-01,LANDSAT 5
0.049505874980612874,1994-02-01,LANDSAT 5
0.10961487047387918,1994-03-01,LANDSAT 5
0.2199171976314751,1994-04-01,LANDSAT 5
0.4210381271532982,1994-05-01,LANDSAT 5
0.4393770977753397,1994-06-01,LANDSAT 5
0.49712657675774913,1994-07-01,LANDSAT 5
0.4950581847795485,1994-08-01,LANDSAT 5
0.4135216602846593,1994-09-01,LANDSAT 5
0.3601210075660079,1994-10-01,LANDSAT 5
0.21438950566242973,1994-11-01,LANDSAT 5
0.12658315403254672,1994-12-01,LANDSAT 5
0.03211827957658591,1995-01-01,LANDSAT 5
0.1015005412537823,1995-02-01,LANDSAT 5
0.17650124285985402,1995-03-01,LANDSAT 5
0.38186883276693145,1995-05-01,LANDSAT 5
0.45575896022551987,1995-06-01,LANDSAT 5
0.4367501527511234,1995-07-01,LANDSAT 5
0.2048679646062005,1995-08-01,LANDSAT 5
0.41368987666953494,1995-09-01,LANDSAT 5
0.28142142178378265,1995-10-01,LANDSAT 5
0.13799380137661013,1995-11-01,LANDSAT 5
0.06903117700730431,1995-12-01,LANDSAT 5
0.1442180390008358,1996-01-01,LANDSAT 5
0.14621908480150037,1996-02-01,LANDSAT 5
0.11759626832135169,1996-03-01,LANDSAT 5
0.21880667751742142,1996-04-01,LANDSAT 5
0.4152999535293375,1996-05-01,LANDSAT 5
0.454073981831943,1996-06-01,LANDSAT 5
0.5064923417691123,1996-07-01,LANDSAT 5
0.4775163543959672,1996-08-01,LANDSAT 5
0.4715718154547425,1996-09-01,LANDSAT 5
0.2471899195173543,1996-10-01,LANDSAT 5
0.10356838050474447,1997-01-01,LANDSAT 5
0.0429462795739268,1997-02-01,LANDSAT 5
0.13431011482320437,1997-03-01,LANDSAT 5
0.09089959705565878,1997-04-01,LANDSAT 5
0.35535454269365635,1997-05-01,LANDSAT 5
0.4821496414682858,1997-06-01,LANDSAT 5
0.48886991229880683,1997-07-01,LANDSAT 5
0.47295565104899784,1997-08-01,LANDSAT 5
0.4208189635502693,1997-09-01,LANDSAT 5
0.19292542439471524,1997-11-01,LANDSAT 5
0.07970137927363377,1997-12-01,LANDSAT 5
0.1373890101075175,1998-01-01,LANDSAT 5
0.017014145633312303,1998-03-01,LANDSAT 5
0.1963404402939751,1998-04-01,LANDSAT 5
0.40275240521787464,1998-05-01,LANDSAT 5
0.29892814569047427,1998-06-01,LANDSAT 5
0.37037695957343764,1998-07-01,LANDSAT 5
0.3808953457299501,1998-08-01,LANDSAT 5
0.4517297475497303,1998-09-01,LANDSAT 5
0.262120139090419,1998-10-01,LANDSAT 5
0.2457016604176861,1998-11-01,LANDSAT 5
0.16347783561591633,1998-12-01,LANDSAT 5
0.33917088072428786,1999-06-01,LANDSAT 7
0.40964919596126576,1999-07-01,LANDSAT 7
0.5078196105301919,1999-08-01,LANDSAT 7
0.47177768726603486,1999-09-01,LANDSAT 7
0.2743979249837159,1999-10-01,LANDSAT 7
0.19470969299531832,1999-11-01,LANDSAT 7
0.11643841817968098,1999-12-01,LANDSAT 7
0.12802174200995836,2000-01-01,LANDSAT 7
0.09534500597382507,2000-02-01,LANDSAT 7
0.23061077394045437,2000-03-01,LANDSAT 7
0.3410981279881961,2000-04-01,LANDSAT 7
0.266143969500533,2000-05-01,LANDSAT 7
0.44834488704307784,2000-06-01,LANDSAT 7
0.30333443556751355,2000-07-01,LANDSAT 7
0.21899600524437474,2000-08-01,LANDSAT 7
0.32366468207924975,2000-09-01,LANDSAT 7
0.1703500946718867,2000-10-01,LANDSAT 7
0.22302236871919442,2000-11-01,LANDSAT 7
0.05315029962158165,2000-12-01,LANDSAT 7
-0.0022746596518001534,2001-01-01,LANDSAT 7
0.01947061359564588,2001-02-01,LANDSAT 7
0.15227032987454342,2001-03-01,LANDSAT 7
0.26910753397555853,2001-04-01,LANDSAT 7
0.3469246546277357,2001-05-01,LANDSAT 7
0.32391635142769326,2001-06-01,LANDSAT 7
0.41499498518236744,2001-07-01,LANDSAT 7
0.5044267884335121,2001-08-01,LANDSAT 7
0.43017714924966843,2001-09-01,LANDSAT 7
0.2268407663543354,2001-10-01,LANDSAT 7
0.28448123495348115,2001-11-01,LANDSAT 7
0.1510077061366115,2001-12-01,LANDSAT 7
0.07770152125169824,2002-01-01,LANDSAT 7
0.07454726560307756,2002-02-01,LANDSAT 7
0.07388584112078934,2002-03-01,LANDSAT 7
0.4130032414121072,2002-05-01,LANDSAT 7
0.46187305607742035,2002-06-01,LANDSAT 7
0.4936537996756629,2002-07-01,LANDSAT 7
0.40496935570329606,2002-08-01,LANDSAT 7
0.41024217388769635,2002-09-01,LANDSAT 7
0.06938991175337136,2002-10-01,LANDSAT 7
0.25635051127495667,2002-11-01,LANDSAT 7
0.15730310313762058,2002-12-01,LANDSAT 7
0.100097011046739,2003-01-01,LANDSAT 7
0.09376239467862316,2003-02-01,LANDSAT 7
0.11967404123472111,2003-03-01,LANDSAT 7
0.3156832729144219,2003-04-01,LANDSAT 7
0.3779005416364021,2003-05-01,LANDSAT 7
0.19891859857835228,2003-07-01,LANDSAT 7
0.3401574489685666,2003-08-01,LANDSAT 7
0.2913549371230958,2003-09-01,LANDSAT 7
0.18656158711178866,2003-10-01,LANDSAT 7
0.1438050562916816,2003-11-01,LANDSAT 7
0.10099351430384297,2003-12-01,LANDSAT 7
0.08314168540107456,2004-01-01,LANDSAT 7
0.05628468759238288,2004-02-01,LANDSAT 7
0.1609309657756001,2004-03-01,LANDSAT 7
0.26426911287987764,2004-04-01,LANDSAT 7
0.3524188067286001,2004-05-01,LANDSAT 7
