NDVI,month-year,landsat
0.33032158786888777,1984-06-01,LANDSAT 5
0.5075835104164,1984-07-01,LANDSAT 5
0.43577203050442337,1984-09-01,LANDSAT 5
0.25001735497519056,1984-12-01,LANDSAT 5
0.05645257458355869,1985-01-01,LANDSAT 5
0.3421487903266977,1985-03-01,LANDSAT 5
0.5322458085985966,1985-08-01,LANDSAT 5
0.4947760041231318,1985-09-01,LANDSAT 5
-0.0022973774850617813,1985-10-01,LANDSAT 5
0.1872191183772043,1985-11-01,LANDSAT 5
0.0635372196995234,1985-12-01,LANDSAT 5
0.17875384906991654,1986-01-01,LANDSAT 5
0.2991040705097534,1986-03-01,LANDSAT 5
0.34536360516196607,1986-04-01,LANDSAT 5
0.260441131163725,1986-05-01,LANDSAT 5
0.4917423859956379,1986-06-01,LANDSAT 5
0.505084274951505,1986-07-01,LANDSAT 5
0.43608293896369005,1986-08-01,LANDSAT 5
0.48692220843191725,1986-09-01,LANDSAT 5
0.10508411272690928,1986-12-01,LANDSAT 5
0.1880531403956665,1987-02-01,LANDSAT 5
0.10881505471312375,1987-03-01,LANDSAT 5
0.04085033959948384,1987-05-01,LANDSAT 5
0.5290966901473879,1987-06-01,LANDSAT 5
0.13993002780634264,1987-07-01,LANDSAT 5
0.48420532602663136,1987-08-01,LANDSAT 5
0.2583441234188518,1987-09-01,LANDSAT 5
0.08293737224912824,1987-10-01,LANDSAT 5
0.1814282610177488,1987-12-01,LANDSAT 5
0.13077194225876318,1988-01-01,LANDSAT 5
-0.0008203487047982126,1988-02-01,LANDSAT 5
0.38529794406903217,1988-04-01,LANDSAT 5
0.41441948230250336,1988-05-01,LANDSAT 5
0.4351300506566548,1988-06-01,LANDSAT 5
0.34098243926064736,1988-07-01,LANDSAT 5
0.5167111160666485,1988-08-01,LANDSAT 5
0.3760500923955804,1988-09-01,LANDSAT 5
0.3340021341878142,1988-10-01,LANDSAT 5
0.27909664164685904,1988-11-01,LANDSAT 5
0.08629203014183169,1988-12-01,LANDSAT 5
0.23731953293930766,1989-01-01,LANDSAT 5
0.008840454942110694,1989-02-01,LANDSAT 5
0.22987125033757544,1989-03-01,LANDSAT 5
0.2772333011980083,1989-04-01,LANDSAT 5
0.4806709597781889,1989-05-01,LANDSAT 5
0.4037832218130861,1989-06-01,LANDSAT 5
0.36028751073474696,1989-07-01,LANDSAT 5
0.45424899112873135,1989-08-01,LANDSAT 5
0.23008533489103009,1989-09-01,LANDSAT 5
0.4145166676477701,1989-10-01,LANDSAT 5
0.328144008399364,1989-11-01,LANDSAT 5
0.03851269375637186,1989-12-01,LANDSAT 5
0.315888618166857,1990-04-01,LANDSAT 5
0.5312797736396353,1990-05-01,LANDSAT 5
0.515769417910393,1990-06-01,LANDSAT 5
0.36298672145564365,1990-07-01,LANDSAT 5
0.3851507329428259,1990-08-01,LANDSAT 5
0.4712201569854619,1990-09-01,LANDSAT 5
0.19200375067758063,1990-11-01,LANDSAT 5
0.34651072319766163,1990-12-01,LANDSAT 5
0.14707181414262382,1991-01-01,LANDSAT 5
0.25670179633162027,1991-02-01,LANDSAT 5
0.14841229484146531,1991-03-01,LANDSAT 5
0.1271482622565871,1991-04-01,LANDSAT 5
0.23119871616552348,1991-05-01,LANDSAT 5
0.21701191666248637,1991-06-01,LANDSAT 5
0.4968707262210085,1991-07-01,LANDSAT 5
0.16900795751416656,1991-08-01,LANDSAT 5
0.3991089784137536,1991-09-01,LANDSAT 5
0.3742433573724079,1991-10-01,LANDSAT 5
0.19127445116811176,1991-11-01,LANDSAT 5
0.21306088311712693,1991-12-01,LANDSAT 5
0.08287322422912496,1992-01-01,LANDSAT 5
0.18696077366884228,1992-02-01,LANDSAT 5
0.2546146678948234,1992-04-01,LANDSAT 5
0.30739817137752645,1992-05-01,LANDSAT 5
0.2541545587240292,1992-06-01,LANDSAT 5
0.4162416041268912,1992-07-01,LANDSAT 5
0.4288539453269709,1992-08-01,LANDSAT 5
0.15180638412317035,1992-09-01,LANDSAT 5
0.3884780299628479,1992-10-01,LANDSAT 5
0.0756591490901209,1992-12-01,LANDSAT 5
