NDVI,month-year,landsat
0.040628718823736566,1984-03-01,LANDSAT 5
0.061968265983690624,1984-04-01,LANDSAT 5
0.21280273886938922,1984-06-01,LANDSAT 5
0.26472613365326675,1984-08-01,LANDSAT 5
0.16769834281161955,1984-10-01,LANDSAT 5
0.05974048785286559,1984-11-01,LANDSAT 5
0.030863394461616275,1984-12-01,LANDSAT 5
0.01578210143646574,1985-01-01,LANDSAT 5
0.01177066322666193,1985-02-01,LANDSAT 5
0.038837043154689076,1985-03-01,LANDSAT 5
0.18800186044723216,1985-05-01,LANDSAT 5
0.06586482420451946,1985-06-01,LANDSAT 5
0.2190522429372875,1985-07-01,LANDSAT 5
0.19082092056094377,1985-08-01,LANDSAT 5
0.16105231080425286,1985-09-01,LANDSAT 5
0.17734424466746826,1985-10-01,LANDSAT 5
0.08304638173933063,1985-11-01,LANDSAT 5
0.021492288609796753,1986-01-01,LANDSAT 5
0.006207012180565828,1986-02-01,LANDSAT 5
-0.01766103437085669,1986-03-01,LANDSAT 5
0.22600506401627582,1986-05-01,LANDSAT 5
0.1527316795141962,1986-06-01,LANDSAT 5
0.20741601389108444,1986-07-01,LANDSAT 5
0.1681016211814952,1986-08-01,LANDSAT 5
0.19775889698113905,1986-09-01,LANDSAT 5
0.18037569790911626,1986-10-01,LANDSAT 5
0.06266446193211865,1986-11-01,LANDSAT 5
0.004311156130437832,1986-12-01,LANDSAT 5
-0.01696163699917281,1987-01-01,LANDSAT 5
-0.010154836790611368,1987-02-01,LANDSAT 5
0.00966236664548728,1987-03-01,LANDSAT 5
0.10676837531661412,1987-04-01,LANDSAT 5
0.21724689032670286,1987-05-01,LANDSAT 5
0.24351090267656722,1987-06-01,LANDSAT 5
0.17833769230095317,1987-07-01,LANDSAT 5
0.14881758489921462,1987-08-01,LANDSAT 5
0.17457889430224863,1987-09-01,LANDSAT 5
0.1266578839338882,1987-10-01,LANDSAT 5
0.04685540671613218,1987-11-01,LANDSAT 5
0.004430242445253605,1987-12-01,LANDSAT 5
-0.012483315185330043,1988-01-01,LANDSAT 5
-0.037042512861013566,1988-02-01,LANDSAT 5
0.01753385147365059,1988-03-01,LANDSAT 5
0.16735774718470434,1988-05-01,LANDSAT 5
0.2144645020400465,1988-06-01,LANDSAT 5
0.17768481965668395,1988-07-01,LANDSAT 5
0.14568472110056602,1988-08-01,LANDSAT 5
0.1557615644977436,1988-09-01,LANDSAT 5
0.14887633949941512,1988-10-01,LANDSAT 5
0.027991839045439358,1988-11-01,LANDSAT 5
0.025748493069436117,1988-12-01,LANDSAT 5
0.007016317139024869,1989-01-01,LANDSAT 5
0.019127644318984807,1989-02-01,LANDSAT 5
