NDVI,month-year,landsat
0.37682462714461606,1984-06-01,LANDSAT 5
0.3739337222181788,1984-09-01,LANDSAT 5
0.1577428395721227,1984-10-01,LANDSAT 5
0.07290301886684758,1984-11-01,LANDSAT 5
0.13272525013336073,1985-02-01,LANDSAT 5
0.17426708754807504,1985-03-01,LANDSAT 5
0.24561415927990266,1985-04-01,LANDSAT 5
0.29045450201050216,1985-08-01,LANDSAT 5
0.3974295694771205,1985-09-01,LANDSAT 5
0.054355528193552806,1986-01-01,LANDSAT 5
0.08235071662388671,1986-02-01,LANDSAT 5
0.15479574925653725,1986-03-01,LANDSAT 5
0.2427865399163688,1986-04-01,LANDSAT 5
0.17289292622722632,1986-05-01,LANDSAT 5
0.3413243132247647,1986-06-01,LANDSAT 5
0.30299664105316765,1986-07-01,LANDSAT 5
0.1915641386000603,1986-08-01,LANDSAT 5
0.2581059592951675,1986-09-01,LANDSAT 5
0.2662122208090282,1986-10-01,LANDSAT 5
0.12940419719523535,1986-11-01,LANDSAT 5
0.03956352298791569,1987-02-01,LANDSAT 5
0.13297356809483382,1987-03-01,LANDSAT 5
0.3069312333174589,1987-05-01,LANDSAT 5
0.35382336949477594,1987-06-01,LANDSAT 5
0.4107616483207605,1987-07-01,LANDSAT 5
0.1429225513883387,1987-08-01,LANDSAT 5
0.27089364764393725,1987-09-01,LANDSAT 5
0.32817510098693314,1987-10-01,LANDSAT 5
0.02368127798196063,1988-01-01,LANDSAT 5
0.040382336840435754,1988-02-01,LANDSAT 5
0.16600953138009392,1988-03-01,LANDSAT 5
0.2852443631404786,1988-04-01,LANDSAT 5
0.3919461384952275,1988-06-01,LANDSAT 5
0.1797813017389171,1988-07-01,LANDSAT 5
0.3788374257894984,1988-08-01,LANDSAT 5
0.08622651341885114,1988-09-01,LANDSAT 5
0.2771446649705556,1988-10-01,LANDSAT 5
0.22329291213044816,1988-11-01,LANDSAT 5
0.08240542838340725,1988-12-01,LANDSAT 5
0.11219895823031058,1989-01-01,LANDSAT 5
