NDVI,month-year,landsat
0.11877625623480895,1990-08-01,LANDSAT 5
0.07563907655877157,1990-09-01,LANDSAT 5
0.1486932756335684,1991-10-01,LANDSAT 5
0.19921618602938462,1991-11-01,LANDSAT 5
0.15245280856656387,1991-12-01,LANDSAT 5
0.342473992657447,1999-06-01,LANDSAT 7
0.17233789691859877,1999-07-01,LANDSAT 7
0.29720305637859135,1999-08-01,LANDSAT 7
0.16612118700599665,1999-09-01,LANDSAT 7
0.14229346675890078,1999-10-01,LANDSAT 7
0.2083024916775561,1999-11-01,LANDSAT 7
0.12748204143169833,1999-12-01,LANDSAT 7
0.272143696699444,2000-01-01,LANDSAT 7
0.3157002069357617,2000-02-01,LANDSAT 7
0.21261509246750734,2000-03-01,LANDSAT 7
0.19279486243304736,2000-04-01,LANDSAT 7
0.25749862201881435,2000-05-01,LANDSAT 7
0.3148827151099314,2000-06-01,LANDSAT 7
0.14925152988295834,2000-07-01,LANDSAT 7
0.24367259706612085,2000-08-01,LANDSAT 7
0.2012214647527624,2000-09-01,LANDSAT 7
0.16560252737396103,2000-10-01,LANDSAT 7
0.3186796207124517,2000-11-01,LANDSAT 7
0.25966276783714454,2000-12-01,LANDSAT 7
0.15619443683979248,2001-01-01,LANDSAT 7
0.18313353873354565,2001-02-01,LANDSAT 7
0.2659929828824745,2001-03-01,LANDSAT 7
0.21164158774111802,2001-04-01,LANDSAT 7
0.2067527635245844,2001-05-01,LANDSAT 7
0.24174351927473836,2001-06-01,LANDSAT 7
0.21506339588750537,2001-07-01,LANDSAT 7
0.19946005039323061,2001-08-01,LANDSAT 7
0.23706570785353032,2001-09-01,LANDSAT 7
0.25070773006278574,2001-10-01,LANDSAT 7
0.29888960241581014,2001-11-01,LANDSAT 7
0.38394072482861147,2001-12-01,LANDSAT 7
0.26581621769165953,2002-01-01,LANDSAT 7
0.2351959706671697,2002-02-01,LANDSAT 7
0.25077254207054944,2002-03-01,LANDSAT 7
0.29563841392725815,2002-04-01,LANDSAT 7
0.23610931424977447,2002-05-01,LANDSAT 7
0.25913295199543573,2002-06-01,LANDSAT 7
0.2513610934911406,2002-07-01,LANDSAT 7
0.17053432181238634,2002-08-01,LANDSAT 7
0.1952650317504127,2002-09-01,LANDSAT 7
0.2014576861191841,2002-10-01,LANDSAT 7
0.18492395773482945,2002-11-01,LANDSAT 7
0.20010527250834503,2002-12-01,LANDSAT 7
0.1326225111138321,2003-01-01,LANDSAT 7
0.3763098613885402,2003-02-01,LANDSAT 7
0.34745314238775005,2003-03-01,LANDSAT 7
0.20690534272624686,2003-04-01,LANDSAT 7
0.3226634965499227,2003-05-01,LANDSAT 7
0.20174757546528035,2003-07-01,LANDSAT 7
0.21744705082665003,2003-08-01,LANDSAT 7
0.1851310905579791,2003-09-01,LANDSAT 7
0.17669834777607452,2003-10-01,LANDSAT 7
0.1796819774811717,2003-11-01,LANDSAT 7
0.19622860312608553,2003-12-01,LANDSAT 7
0.3238368690450115,2004-01-01,LANDSAT 7
0.2057021471455355,2004-02-01,LANDSAT 7
0.2518737597884997,2004-03-01,LANDSAT 7
0.35789741979152573,2004-04-01,LANDSAT 7
0.23408800696906948,2004-05-01,LANDSAT 7
0.2675386931953564,2004-06-01,LANDSAT 7
0.2654282142426786,2004-07-01,LANDSAT 7
0.3260308950058273,2004-08-01,LANDSAT 7
0.2566538828704763,2004-09-01,LANDSAT 7
0.23124271161346488,2004-10-01,LANDSAT 7
0.3529533614464316,2004-11-01,LANDSAT 7
0.26752961570400835,2004-12-01,LANDSAT 7
0.3661169954438175,2005-01-01,LANDSAT 7
0.2294586225742965,2005-02-01,LANDSAT 7
0.19527724203981542,2005-03-01,LANDSAT 7
0.27134674240610257,2005-04-01,LANDSAT 7
0.23689782365328807,2005-05-01,LANDSAT 7
0.23814237380793774,2005-06-01,LANDSAT 7
0.25725073368798795,2005-07-01,LANDSAT 7
0.24604002565974953,2005-08-01,LANDSAT 7
0.2734409046613776,2005-09-01,LANDSAT 7
0.18508533187798076,2005-10-01,LANDSAT 7
0.21544268279537748,2005-11-01,LANDSAT 7
0.26777710485016915,2005-12-01,LANDSAT 7
0.1701232174789267,2006-01-01,LANDSAT 7
0.36840946247787865,2006-02-01,LANDSAT 7
0.18702963531904318,2006-03-01,LANDSAT 7
0.2736616661202909,2006-04-01,LANDSAT 7
0.2557972816413151,2006-05-01,LANDSAT 7
0.30543152478230423,2006-06-01,LANDSAT 7
0.2798598677987222,2006-07-01,LANDSAT 7
0.2312316088629951,2006-08-01,LANDSAT 7
0.2340401954906384,2006-09-01,LANDSAT 7
0.24445141980296733,2006-10-01,LANDSAT 7
0.2763342234757425,2006-11-01,LANDSAT 7
0.11657161313997103,2006-12-01,LANDSAT 7
0.20778404428338879,2007-01-01,LANDSAT 7
0.27829324597557975,2007-02-01,LANDSAT 7
0.23444470439150994,2007-03-01,LANDSAT 7
