NDVI,month-year,landsat
0.32646328473288555,1984-04-01,LANDSAT 5
0.48069744846152207,1984-05-01,LANDSAT 5
0.44596249645244757,1984-07-01,LANDSAT 5
0.05692833873675283,1984-08-01,LANDSAT 5
0.3305701203826068,1984-09-01,LANDSAT 5
0.4490940008098613,1984-10-01,LANDSAT 5
0.3299796207547854,1984-11-01,LANDSAT 5
0.13125763891291917,1984-12-01,LANDSAT 5
0.20605923367150134,1985-01-01,LANDSAT 5
0.3499912565403978,1985-03-01,LANDSAT 5
0.4767708751579117,1985-04-01,LANDSAT 5
0.4122970894657183,1985-07-01,LANDSAT 5
0.4075911314554029,1985-08-01,LANDSAT 5
0.34493606941836785,1985-09-01,LANDSAT 5
0.35797664616838076,1985-10-01,LANDSAT 5
0.33246562110170724,1985-11-01,LANDSAT 5
0.1666776012898743,1986-01-01,LANDSAT 5
0.28545048811480345,1986-02-01,LANDSAT 5
0.3148839765838442,1986-03-01,LANDSAT 5
0.2906053355749111,1986-04-01,LANDSAT 5
0.43374207589378705,1986-05-01,LANDSAT 5
0.4637683365808284,1986-06-01,LANDSAT 5
0.18067536229102912,1986-07-01,LANDSAT 5
0.42760528658520647,1986-08-01,LANDSAT 5
0.3660516809819299,1986-09-01,LANDSAT 5
0.3730157528088199,1986-10-01,LANDSAT 5
0.13377202982933292,1986-11-01,LANDSAT 5
0.2594896740153075,1986-12-01,LANDSAT 5
0.2838136851064147,1987-02-01,LANDSAT 5
0.3696856358672009,1987-03-01,LANDSAT 5
0.4129246728823969,1987-04-01,LANDSAT 5
0.46284200113347285,1987-05-01,LANDSAT 5
0.34253515704700055,1987-06-01,LANDSAT 5
0.44533070098097133,1987-07-01,LANDSAT 5
0.22331700502055823,1987-08-01,LANDSAT 5
0.2989512720037843,1987-09-01,LANDSAT 5
0.3979771563932938,1987-10-01,LANDSAT 5
0.30288012153921823,1987-11-01,LANDSAT 5
0.009749706780010619,1987-12-01,LANDSAT 5
0.11879949039881857,1988-01-01,LANDSAT 5
0.15145091043855624,1988-02-01,LANDSAT 5
0.20975046452578056,1988-03-01,LANDSAT 5
0.4702254032815404,1988-04-01,LANDSAT 5
0.5036462675383058,1988-05-01,LANDSAT 5
0.42195875201651134,1988-06-01,LANDSAT 5
0.4300909309273539,1988-07-01,LANDSAT 5
0.3917395540093955,1988-08-01,LANDSAT 5
0.41279833771225793,1988-09-01,LANDSAT 5
0.4578688467908838,1988-10-01,LANDSAT 5
0.30613695126977025,1988-11-01,LANDSAT 5
0.3181277713003631,1988-12-01,LANDSAT 5
0.2989075280158318,1989-01-01,LANDSAT 5
0.12492641858991417,1989-03-01,LANDSAT 5
0.5013220092018648,1989-04-01,LANDSAT 5
0.5200238021285145,1989-05-01,LANDSAT 5
0.3215514334630943,1989-06-01,LANDSAT 5
0.47601575111420813,1989-07-01,LANDSAT 5
0.3129813938268339,1989-08-01,LANDSAT 5
0.47737164819817435,1989-09-01,LANDSAT 5
0.46375653161527514,1989-10-01,LANDSAT 5
0.10148092555111442,1989-11-01,LANDSAT 5
0.2690923949084675,1989-12-01,LANDSAT 5
0.09936522938643169,1990-01-01,LANDSAT 5
0.29998796237363085,1990-04-01,LANDSAT 5
0.44151969629068916,1990-05-01,LANDSAT 5
0.47489202362026384,1990-06-01,LANDSAT 5
0.4848702255318126,1990-07-01,LANDSAT 5
0.359717463373818,1990-08-01,LANDSAT 5
0.39741262835114044,1990-09-01,LANDSAT 5
0.1512105370390618,1990-10-01,LANDSAT 5
0.3824357715323331,1990-11-01,LANDSAT 5
0.3070810774302176,1990-12-01,LANDSAT 5
0.19748773308567158,1991-01-01,LANDSAT 5
0.27795057936512413,1991-02-01,LANDSAT 5
0.31631943216114405,1991-03-01,LANDSAT 5
0.3811742343270367,1991-04-01,LANDSAT 5
0.23994298791627755,1991-05-01,LANDSAT 5
0.47701827715445466,1991-06-01,LANDSAT 5
0.4344252437976485,1991-07-01,LANDSAT 5
0.34215377833965843,1991-08-01,LANDSAT 5
0.3866724062501792,1991-09-01,LANDSAT 5
0.40261952660796396,1991-10-01,LANDSAT 5
0.343519321855779,1991-11-01,LANDSAT 5
0.1695346584334616,1991-12-01,LANDSAT 5
0.14392222693991552,1992-01-01,LANDSAT 5
0.19843955037660668,1992-02-01,LANDSAT 5
0.2896188890756806,1992-03-01,LANDSAT 5
0.4226458974362934,1992-04-01,LANDSAT 5
0.3760327678018579,1992-05-01,LANDSAT 5
0.27284853936350517,1992-06-01,LANDSAT 5
0.38035757680491533,1992-07-01,LANDSAT 5
0.4414975456252927,1992-08-01,LANDSAT 5
0.39935460829862146,1992-09-01,LANDSAT 5
0.32579113540583393,1992-10-01,LANDSAT 5
0.2920407984692998,1992-11-01,LANDSAT 5
0.2280679597989932,1992-12-01,LANDSAT 5
0.24107034271862793,1993-01-01,LANDSAT 5
0.1998846274691377,1993-02-01,LANDSAT 5
0.13874858824847272,1993-03-01,LANDSAT 5
0.4948192875756709,1993-04-01,LANDSAT 5
0.5005718190182392,1993-05-01,LANDSAT 5
0.26453864127450505,1993-06-01,LANDSAT 5
0.4027912817575464,1993-07-01,LANDSAT 5
0.45135471106915426,1993-08-01,LANDSAT 5
0.45166804846107217,1993-09-01,LANDSAT 5
0.19389994870012053,1993-10-01,LANDSAT 5
0.16070558449577202,1993-11-01,LANDSAT 5
0.17122923038295448,1993-12-01,LANDSAT 5
0.27870549791140214,1994-01-01,LANDSAT 5
0.40162421396317266,1994-03-01,LANDSAT 5
0.45083001989349686,1994-04-01,LANDSAT 5
0.3942979750077671,1994-05-01,LANDSAT 5
0.1213780150341673,1994-06-01,LANDSAT 5
0.4461811933691693,1994-07-01,LANDSAT 5
0.34677348899219296,1994-08-01,LANDSAT 5
0.45858335589271315,1994-09-01,LANDSAT 5
0.36917744832739724,1994-11-01,LANDSAT 5
0.2878286063271678,1995-01-01,LANDSAT 5
0.02605533287248012,1995-02-01,LANDSAT 5
0.2056431795529246,1995-03-01,LANDSAT 5
0.5412712973886733,1995-04-01,LANDSAT 5
0.39871252078371877,1995-05-01,LANDSAT 5
0.2676906438432583,1995-06-01,LANDSAT 5
0.45843593641367253,1995-07-01,LANDSAT 5
0.4298907314999707,1995-08-01,LANDSAT 5
0.468519785768998,1995-09-01,LANDSAT 5
0.5326104014303983,1995-10-01,LANDSAT 5
0.26148782168993784,1995-11-01,LANDSAT 5
0.1361859846882759,1995-12-01,LANDSAT 5
0.13867384819139716,1996-01-01,LANDSAT 5
0.23845537084902232,1996-03-01,LANDSAT 5
0.3549770337993112,1996-04-01,LANDSAT 5
0.4018195883074225,1996-05-01,LANDSAT 5
0.38324603782132716,1996-06-01,LANDSAT 5
0.43421795560245896,1996-07-01,LANDSAT 5
