NDVI,month-year,landsat
0.03995184993184635,1984-04-01,LANDSAT 5
0.08609821557869778,1984-05-01,LANDSAT 5
0.10618157328024967,1984-06-01,LANDSAT 5
0.14119358920376904,1984-07-01,LANDSAT 5
0.13833421011670136,1984-08-01,LANDSAT 5
0.1552778318651455,1984-09-01,LANDSAT 5
0.08915391800676935,1984-10-01,LANDSAT 5
0.020626163983791825,1984-11-01,LANDSAT 5
-0.013765818868583192,1984-12-01,LANDSAT 5
0.023777194284471618,1985-01-01,LANDSAT 5
0.02535420767608441,1985-02-01,LANDSAT 5
0.016974677972233516,1985-03-01,LANDSAT 5
0.04104519061922827,1985-04-01,LANDSAT 5
0.00476726226052434,1985-05-01,LANDSAT 5
0.014876562482355672,1985-06-01,LANDSAT 5
0.04504220553063999,1985-07-01,LANDSAT 5
0.0995306421668913,1985-08-01,LANDSAT 5
0.06765653389126333,1985-09-01,LANDSAT 5
0.030029486154042846,1985-10-01,LANDSAT 5
0.020963912412926358,1985-11-01,LANDSAT 5
0.036973891424291506,1986-01-01,LANDSAT 5
0.019868970865673078,1986-02-01,LANDSAT 5
0.044224476773302615,1986-03-01,LANDSAT 5
0.04864029027536163,1986-04-01,LANDSAT 5
0.047447347666485236,1986-05-01,LANDSAT 5
0.08480819175340626,1986-06-01,LANDSAT 5
0.023222649784895463,1986-07-01,LANDSAT 5
0.04241578518089884,1986-08-01,LANDSAT 5
0.13000210988524263,1986-09-01,LANDSAT 5
0.05508688395207145,1986-10-01,LANDSAT 5
0.021862561712133414,1986-11-01,LANDSAT 5
0.00889938627662729,1987-03-01,LANDSAT 5
0.025450250765205157,1987-04-01,LANDSAT 5
0.03678835849824124,1987-05-01,LANDSAT 5
0.020076838682107415,1987-06-01,LANDSAT 5
0.1860072293190693,1987-07-01,LANDSAT 5
0.1352189858133908,1987-08-01,LANDSAT 5
0.019111992811547848,1987-10-01,LANDSAT 5
0.04279077311527801,1988-04-01,LANDSAT 5
0.05876093882899208,1988-05-01,LANDSAT 5
0.07739866965718054,1988-06-01,LANDSAT 5
0.0076322808234719885,1988-07-01,LANDSAT 5
0.05076183359531271,1988-09-01,LANDSAT 5
-0.0024966115284958145,1988-10-01,LANDSAT 5
0.022245587298116293,1989-03-01,LANDSAT 5
0.021105906837836523,1989-04-01,LANDSAT 5
0.006528278351062718,1989-05-01,LANDSAT 5
0.20823857094846762,1989-06-01,LANDSAT 5
0.18591359310992697,1989-07-01,LANDSAT 5
0.08677707598184241,1989-08-01,LANDSAT 5
0.21992781901338815,1989-09-01,LANDSAT 5
0.03710909005249096,1989-10-01,LANDSAT 5
0.024317026517717128,1990-04-01,LANDSAT 5
0.01775997929134749,1990-05-01,LANDSAT 5
0.10727712031537523,1990-06-01,LANDSAT 5
0.13124738377689418,1990-07-01,LANDSAT 5
0.19611175042191337,1990-08-01,LANDSAT 5
0.08492585128239646,1990-09-01,LANDSAT 5
0.025961435657798466,1990-10-01,LANDSAT 5
0.00735798794328318,1991-03-01,LANDSAT 5
0.02070390954180693,1991-04-01,LANDSAT 5
0.0276988426425834,1991-05-01,LANDSAT 5
0.1112102484045921,1991-06-01,LANDSAT 5
0.10509715996766825,1991-07-01,LANDSAT 5
0.08319215568341244,1991-08-01,LANDSAT 5
0.020867766518656978,1991-10-01,LANDSAT 5
0.01591300651199687,1992-03-01,LANDSAT 5
0.0066879880781010835,1992-04-01,LANDSAT 5
0.027332410433416915,1992-05-01,LANDSAT 5
0.06322300704420106,1992-06-01,LANDSAT 5
0.0458058697468246,1992-07-01,LANDSAT 5
0.08453282208307134,1992-08-01,LANDSAT 5
0.040781322554234854,1992-10-01,LANDSAT 5
0.019730804561678958,1993-03-01,LANDSAT 5
0.002639224458037129,1993-04-01,LANDSAT 5
0.04193043656355776,1993-05-01,LANDSAT 5
0.13193951488926045,1993-06-01,LANDSAT 5
0.09624976475070725,1993-07-01,LANDSAT 5
0.12499981286354246,1993-08-01,LANDSAT 5
0.0754138330105544,1993-09-01,LANDSAT 5
0.2058583805306247,1993-10-01,LANDSAT 5
0.01320837112976029,1994-03-01,LANDSAT 5
0.025018918842080108,1994-04-01,LANDSAT 5
0.022369286087620267,1994-05-01,LANDSAT 5
0.057875767746926265,1994-06-01,LANDSAT 5
0.15598420153178322,1994-07-01,LANDSAT 5
0.1294176107734756,1994-08-01,LANDSAT 5
0.06161944831761979,1994-09-01,LANDSAT 5
0.024046106322145114,1994-10-01,LANDSAT 5
-0.018002233190718277,1995-03-01,LANDSAT 5
0.006902247989876764,1995-04-01,LANDSAT 5
0.039959555327291695,1995-05-01,LANDSAT 5
0.1199609136807023,1995-06-01,LANDSAT 5
0.016688209907734442,1995-07-01,LANDSAT 5
0.21548348233541312,1995-08-01,LANDSAT 5
0.14857987273707002,1995-09-01,LANDSAT 5
0.0102335179214593,1995-10-01,LANDSAT 5
0.026135231073517336,1996-03-01,LANDSAT 5
0.0592229667973895,1996-04-01,LANDSAT 5
0.0429262432386492,1996-05-01,LANDSAT 5
0.09411856159328306,1996-06-01,LANDSAT 5
0.16994467750371614,1996-07-01,LANDSAT 5
0.21025422800889357,1996-08-01,LANDSAT 5
0.01589549824848229,1996-09-01,LANDSAT 5
0.02306061687805167,1996-10-01,LANDSAT 5
0.03105159998096884,1997-03-01,LANDSAT 5
0.04993315211424067,1997-04-01,LANDSAT 5
0.04350787883527615,1997-05-01,LANDSAT 5
0.09466362195288165,1997-06-01,LANDSAT 5
0.08594740350885231,1997-07-01,LANDSAT 5
0.07486215055535837,1997-08-01,LANDSAT 5
0.19525522577598867,1997-09-01,LANDSAT 5
0.08960310311410773,1997-10-01,LANDSAT 5
0.020193489420469057,1998-03-01,LANDSAT 5
0.016402613248672288,1998-04-01,LANDSAT 5
0.06762707315470892,1998-05-01,LANDSAT 5
0.22723416994048287,1998-06-01,LANDSAT 5
0.247969696571273,1998-07-01,LANDSAT 5
-0.0075444242795324095,1998-08-01,LANDSAT 5
0.13854707212527684,1998-09-01,LANDSAT 5
0.12269912438083122,1998-10-01,LANDSAT 5
0.2790211304728435,1999-06-01,LANDSAT 7
0.26039732175882513,1999-07-01,LANDSAT 7
0.11475327608281095,1999-08-01,LANDSAT 7
0.05145802317766861,1999-09-01,LANDSAT 7
0.012284646423573353,1999-10-01,LANDSAT 7
0.027210620377253063,1999-11-01,LANDSAT 7
0.030733685316753342,1999-12-01,LANDSAT 7
0.022792542094499976,2000-01-01,LANDSAT 7
0.02905991164144533,2000-02-01,LANDSAT 7
0.06915470607459864,2000-03-01,LANDSAT 7
0.11268459873736128,2000-04-01,LANDSAT 7
0.1980564276643608,2000-05-01,LANDSAT 7
0.2189537877725359,2000-06-01,LANDSAT 7
0.25971024993504754,2000-07-01,LANDSAT 7
0.15959294387680614,2000-08-01,LANDSAT 7
0.07404607543304784,2000-09-01,LANDSAT 7
0.03408106196100639,2000-10-01,LANDSAT 7
0.014542652867765547,2000-11-01,LANDSAT 7
0.009888304280842088,2000-12-01,LANDSAT 7
0.07069513908536824,2001-03-01,LANDSAT 7
0.15627929213257932,2001-04-01,LANDSAT 7
0.2090265336872534,2001-05-01,LANDSAT 7
0.2417610444820211,2001-06-01,LANDSAT 7
0.21758215370925912,2001-07-01,LANDSAT 7
0.21229756493536256,2001-08-01,LANDSAT 7
0.10216603835501992,2001-09-01,LANDSAT 7
0.021737062697136402,2001-10-01,LANDSAT 7
0.003551904897316865,2001-11-01,LANDSAT 7
0.016594005580773355,2001-12-01,LANDSAT 7
0.012130296181427021,2002-01-01,LANDSAT 7
0.02303932499842858,2002-02-01,LANDSAT 7
0.09650943084022319,2002-03-01,LANDSAT 7
0.2138016668269237,2002-04-01,LANDSAT 7
0.19820423829274558,2002-05-01,LANDSAT 7
0.2089080578984857,2002-06-01,LANDSAT 7
0.2932839604978715,2002-07-01,LANDSAT 7
0.17982098451653714,2002-08-01,LANDSAT 7
0.05900423560736849,2002-09-01,LANDSAT 7
0.06622630816896131,2002-10-01,LANDSAT 7
0.08187079000002333,2002-11-01,LANDSAT 7
0.006109987476138984,2003-02-01,LANDSAT 7
0.08542941637252685,2003-03-01,LANDSAT 7
0.12821147767767574,2003-04-01,LANDSAT 7
0.184307948011918,2003-05-01,LANDSAT 7
0.21067733920119688,2003-07-01,LANDSAT 7
0.22541405413300714,2003-08-01,LANDSAT 7
0.13222247977017054,2003-09-01,LANDSAT 7
0.032541849918119814,2003-10-01,LANDSAT 7
0.01684258521769477,2003-11-01,LANDSAT 7
0.024120277883806083,2004-02-01,LANDSAT 7
0.13490775695451204,2004-03-01,LANDSAT 7
0.15600941162122733,2004-04-01,LANDSAT 7
0.1968987687707966,2004-05-01,LANDSAT 7
0.1963417034807923,2004-06-01,LANDSAT 7
0.23340234860708592,2004-07-01,LANDSAT 7
0.27442828224731874,2004-08-01,LANDSAT 7
0.18840619797622793,2004-09-01,LANDSAT 7
0.08304002049918188,2004-10-01,LANDSAT 7
0.12356103451337097,2005-03-01,LANDSAT 7
0.10666387101143165,2005-04-01,LANDSAT 7
0.19284596831816028,2005-05-01,LANDSAT 7
0.25121285317112785,2005-06-01,LANDSAT 7
0.22011592839182012,2005-07-01,LANDSAT 7
0.22032031088590745,2005-08-01,LANDSAT 7
0.0494511332015688,2005-09-01,LANDSAT 7
0.03435965747816128,2005-10-01,LANDSAT 7
0.027176919852541444,2005-11-01,LANDSAT 7
0.029769915114640763,2006-02-01,LANDSAT 7
0.10691854653472341,2006-03-01,LANDSAT 7
0.140668703859457,2006-04-01,LANDSAT 7
0.15212865611389312,2006-05-01,LANDSAT 7
0.24252348702151372,2006-06-01,LANDSAT 7
0.21723049911161918,2006-07-01,LANDSAT 7
0.10024603834483892,2006-08-01,LANDSAT 7
0.15308123408810903,2006-09-01,LANDSAT 7
0.0600697050468428,2006-10-01,LANDSAT 7
0.011772534617051786,2006-11-01,LANDSAT 7
0.03683913242270342,2007-02-01,LANDSAT 7
0.10819093329498047,2007-03-01,LANDSAT 7
0.1337597907722998,2007-04-01,LANDSAT 7
0.1904521437123544,2007-05-01,LANDSAT 7
0.20457194336857024,2007-06-01,LANDSAT 7
0.24768530004724953,2007-07-01,LANDSAT 7
0.21483206990786452,2007-08-01,LANDSAT 7
0.06619672463005621,2007-09-01,LANDSAT 7
0.07409671071528753,2007-10-01,LANDSAT 7
0.01784477693723716,2007-11-01,LANDSAT 7
0.09795142926916015,2008-03-01,LANDSAT 7
0.1450034171923548,2008-04-01,LANDSAT 7
0.14243680373846407,2008-05-01,LANDSAT 7
0.21253236798114944,2008-06-01,LANDSAT 7
0.17899018859044585,2008-07-01,LANDSAT 7
0.13651396212202432,2008-08-01,LANDSAT 7
0.07427179680752945,2008-09-01,LANDSAT 7
0.02206901721934052,2008-10-01,LANDSAT 7
0.010644044304138048,2009-02-01,LANDSAT 7
0.08677793106529852,2009-03-01,LANDSAT 7
0.11038969074717211,2009-04-01,LANDSAT 7
0.17984450324489967,2009-05-01,LANDSAT 7
0.20249682690725718,2009-06-01,LANDSAT 7
0.2838832763176721,2009-07-01,LANDSAT 7
0.1892375657198937,2009-08-01,LANDSAT 7
0.03984073442494211,2009-09-01,LANDSAT 7
0.03985918883491422,2009-10-01,LANDSAT 7
0.050157952483094834,2009-11-01,LANDSAT 7
0.02773441513247068,2010-02-01,LANDSAT 7
0.04438030147258012,2010-03-01,LANDSAT 7
0.14772690765943405,2010-04-01,LANDSAT 7
0.17665082665001589,2010-05-01,LANDSAT 7
0.22380668162521186,2010-06-01,LANDSAT 7
0.17412296154964585,2010-07-01,LANDSAT 7
0.1396791101498864,2010-08-01,LANDSAT 7
0.17726483789185316,2010-09-01,LANDSAT 7
0.041809506931275206,2010-10-01,LANDSAT 7
0.012120875793938392,2010-11-01,LANDSAT 7
0.03582348043737281,2011-02-01,LANDSAT 7
0.09668195016017042,2011-03-01,LANDSAT 7
0.15733706485256563,2011-04-01,LANDSAT 7
0.16746886388446594,2011-05-01,LANDSAT 7
0.22418335084713792,2011-06-01,LANDSAT 7
0.19798057501482333,2011-07-01,LANDSAT 7
0.23803890771863545,2011-08-01,LANDSAT 7
0.091808781671084,2011-09-01,LANDSAT 7
0.01401329659633412,2011-10-01,LANDSAT 7
0.04679463563482687,2011-11-01,LANDSAT 7
0.01927040136683989,2012-02-01,LANDSAT 7
0.09929435580490477,2012-03-01,LANDSAT 7
0.11402600140237984,2012-04-01,LANDSAT 7
0.2130955568412514,2012-05-01,LANDSAT 7
0.12657762061840205,2012-06-01,LANDSAT 7
0.08930704409185986,2012-07-01,LANDSAT 7
0.19787035733425418,2012-08-01,LANDSAT 7
0.10694081552288597,2012-09-01,LANDSAT 7
0.042953450211059,2012-10-01,LANDSAT 7
0.027801612121389627,2013-02-01,LANDSAT 7
0.0784287470477272,2013-03-01,LANDSAT 7
0.17196474344454682,2013-04-01,LANDSAT 7
0.21183889023699956,2013-05-01,LANDSAT 7
