NDVI,month-year,landsat
0.049613578706014655,1984-03-01,LANDSAT 5
0.18892508453767165,1984-04-01,LANDSAT 5
0.3605291216108696,1984-05-01,LANDSAT 5
0.2861266997474497,1984-06-01,LANDSAT 5
0.40330201948309075,1984-07-01,LANDSAT 5
0.3439568597473937,1984-08-01,LANDSAT 5
0.35717029241128656,1984-09-01,LANDSAT 5
0.3316417427335391,1984-10-01,LANDSAT 5
0.2788666161846058,1984-11-01,LANDSAT 5
0.0706231536351517,1984-12-01,LANDSAT 5
0.1423952899680802,1985-01-01,LANDSAT 5
0.021080384338900703,1985-02-01,LANDSAT 5
0.19003709893985715,1985-03-01,LANDSAT 5
0.2486812645062463,1985-04-01,LANDSAT 5
0.46942913714979645,1985-05-01,LANDSAT 5
0.36071050571838276,1985-06-01,LANDSAT 5
0.4403526311938487,1985-07-01,LANDSAT 5
0.4331908571246029,1985-08-01,LANDSAT 5
0.36465969004887516,1985-09-01,LANDSAT 5
0.2319107675145395,1985-10-01,LANDSAT 5
0.2644788649930288,1985-11-01,LANDSAT 5
0.03854827037706479,1986-01-01,LANDSAT 5
0.027804136051844053,1986-02-01,LANDSAT 5
0.20093471288283343,1986-03-01,LANDSAT 5
0.06430415836358501,1986-04-01,LANDSAT 5
0.3501331266023089,1986-05-01,LANDSAT 5
0.46474318809842957,1986-06-01,LANDSAT 5
0.4201000586669946,1986-07-01,LANDSAT 5
0.4679185738031998,1986-08-01,LANDSAT 5
0.3327556646336498,1986-09-01,LANDSAT 5
0.11799487826082719,1986-10-01,LANDSAT 5
0.05272500814440588,1986-11-01,LANDSAT 5
0.13572032658087085,1987-02-01,LANDSAT 5
0.190692964487564,1987-03-01,LANDSAT 5
0.26527811592283196,1987-04-01,LANDSAT 5
0.35414520241812436,1987-05-01,LANDSAT 5
0.2934864831541496,1987-06-01,LANDSAT 5
0.4418919681144963,1987-07-01,LANDSAT 5
0.22825021288609004,1987-08-01,LANDSAT 5
