NDVI,month-year,landsat
0.41572320899914467,1984-04-01,LANDSAT 5
0.3271460038452147,1984-05-01,LANDSAT 5
0.467784205821321,1984-06-01,LANDSAT 5
0.486715093802951,1984-07-01,LANDSAT 5
0.504851064918799,1984-08-01,LANDSAT 5
0.481380243731243,1984-09-01,LANDSAT 5
0.2730312796068773,1984-10-01,LANDSAT 5
0.2994909580170874,1984-11-01,LANDSAT 5
0.3939231875817073,1984-12-01,LANDSAT 5
0.24251926964673826,1985-01-01,LANDSAT 5
0.23627998726536587,1985-03-01,LANDSAT 5
0.35875771385465716,1985-04-01,LANDSAT 5
0.44206683442247136,1985-08-01,LANDSAT 5
0.5661343792027669,1985-09-01,LANDSAT 5
0.44347092104605623,1985-10-01,LANDSAT 5
0.25781432839798735,1986-01-01,LANDSAT 5
0.15002373959009602,1986-02-01,LANDSAT 5
0.4357297003146959,1986-04-01,LANDSAT 5
0.5502855064084018,1986-05-01,LANDSAT 5
0.5372116478593968,1986-06-01,LANDSAT 5
0.4856517010804884,1986-07-01,LANDSAT 5
0.24860492793150002,1986-08-01,LANDSAT 5
0.33326104945655455,1986-09-01,LANDSAT 5
0.41264067867491533,1986-10-01,LANDSAT 5
0.19613890290725985,1986-12-01,LANDSAT 5
0.15321018749658943,1987-01-01,LANDSAT 5
0.14329254696341528,1987-02-01,LANDSAT 5
0.2841912687427327,1987-03-01,LANDSAT 5
0.4752479007685807,1987-04-01,LANDSAT 5
0.45297595081961156,1987-05-01,LANDSAT 5
0.31279641178186157,1987-06-01,LANDSAT 5
0.42283140694536997,1987-07-01,LANDSAT 5
0.3524875574589326,1987-08-01,LANDSAT 5
0.4707648815587062,1987-09-01,LANDSAT 5
0.3768808776214832,1987-10-01,LANDSAT 5
0.28161555573067754,1987-11-01,LANDSAT 5
0.2725358973139981,1987-12-01,LANDSAT 5
0.09385965562241098,1988-01-01,LANDSAT 5
0.217614099827678,1988-02-01,LANDSAT 5
0.2602556657604983,1988-03-01,LANDSAT 5
0.39876552649364505,1988-04-01,LANDSAT 5
0.5138290366092839,1988-05-01,LANDSAT 5
0.35802529928032006,1988-06-01,LANDSAT 5
0.30505727477434974,1988-07-01,LANDSAT 5
0.4929903172618079,1988-08-01,LANDSAT 5
0.4926971601031752,1988-09-01,LANDSAT 5
0.04275649405573759,1988-10-01,LANDSAT 5
0.421136771883901,1988-12-01,LANDSAT 5
0.41069171743967103,1989-01-01,LANDSAT 5
0.23296495301701378,1989-02-01,LANDSAT 5
0.1657457836316684,1989-03-01,LANDSAT 5
0.36783590837025437,1989-04-01,LANDSAT 5
0.4098818297316734,1989-06-01,LANDSAT 5
0.2088258077226457,1989-07-01,LANDSAT 5
0.20028694648371217,1989-09-01,LANDSAT 5
0.44419173485703534,1989-10-01,LANDSAT 5
0.31490465284246566,1989-11-01,LANDSAT 5
0.23285310777766355,1989-12-01,LANDSAT 5
0.6368081790817915,1990-04-01,LANDSAT 5
0.4824139648787001,1990-05-01,LANDSAT 5
0.4820375303398413,1990-06-01,LANDSAT 5
0.38754797914694294,1990-07-01,LANDSAT 5
0.4259907640639323,1990-08-01,LANDSAT 5
0.44556053664115886,1990-09-01,LANDSAT 5
0.4480715671112539,1990-10-01,LANDSAT 5
0.3305314947062403,1990-11-01,LANDSAT 5
0.27492516723561766,1990-12-01,LANDSAT 5
0.3242791593776476,1991-01-01,LANDSAT 5
0.11559746179778033,1991-02-01,LANDSAT 5
0.3206811667877715,1991-03-01,LANDSAT 5
0.423363874998783,1991-04-01,LANDSAT 5
0.4893033334718127,1991-07-01,LANDSAT 5
0.2604773445955366,1991-08-01,LANDSAT 5
0.3682659267977205,1991-09-01,LANDSAT 5
0.4131840377061201,1991-10-01,LANDSAT 5
