NDVI,month-year,landsat
0.47818733970143745,1984-06-01,LANDSAT 5
0.46893863191653506,1984-07-01,LANDSAT 5
0.4302535592507111,1984-08-01,LANDSAT 5
0.41725272446442035,1984-09-01,LANDSAT 5
0.3152059124454601,1984-10-01,LANDSAT 5
0.25365725657113297,1984-11-01,LANDSAT 5
0.09267946148659725,1985-01-01,LANDSAT 5
0.11893040203125652,1985-02-01,LANDSAT 5
0.1885532541473341,1985-03-01,LANDSAT 5
0.3445666225502756,1985-04-01,LANDSAT 5
0.02529222356327219,1985-05-01,LANDSAT 5
0.3692444926212051,1985-06-01,LANDSAT 5
0.4950847776507971,1985-07-01,LANDSAT 5
0.3021160712869626,1985-08-01,LANDSAT 5
0.46044742607696343,1985-09-01,LANDSAT 5
0.32150265241024084,1985-10-01,LANDSAT 5
0.02957077320865998,1985-11-01,LANDSAT 5
0.14393727046541505,1986-01-01,LANDSAT 5
0.07130819096571739,1986-02-01,LANDSAT 5
0.08908899611403663,1986-03-01,LANDSAT 5
0.2540006255043279,1986-04-01,LANDSAT 5
0.5835410451117216,1986-05-01,LANDSAT 5
0.10939098513222055,1986-06-01,LANDSAT 5
0.33774967552079155,1986-07-01,LANDSAT 5
0.6239046652093709,1986-08-01,LANDSAT 5
0.5429143010911146,1986-09-01,LANDSAT 5
0.33978279790867116,1986-10-01,LANDSAT 5
0.09212255393626323,1986-11-01,LANDSAT 5
0.08243064230426955,1986-12-01,LANDSAT 5
0.1253617815259289,1987-01-01,LANDSAT 5
0.12331010596909159,1987-02-01,LANDSAT 5
0.08699418766089605,1987-03-01,LANDSAT 5
0.20084570535078852,1987-04-01,LANDSAT 5
0.30000903353439107,1987-05-01,LANDSAT 5
0.2975727739497022,1987-06-01,LANDSAT 5
0.613100949595876,1987-07-01,LANDSAT 5
0.6684230473397255,1987-08-01,LANDSAT 5
0.3393198725962837,1987-09-01,LANDSAT 5
0.23811304754357276,1987-10-01,LANDSAT 5
0.2315348299009614,1987-11-01,LANDSAT 5
0.16206011242627627,1987-12-01,LANDSAT 5
0.11295886506791634,1988-01-01,LANDSAT 5
0.11012455451804695,1988-02-01,LANDSAT 5
0.13435124971834583,1988-03-01,LANDSAT 5
0.16503155179068077,1988-04-01,LANDSAT 5
0.606477371658649,1988-05-01,LANDSAT 5
0.40621235822319046,1988-06-01,LANDSAT 5
0.5298440702778947,1988-07-01,LANDSAT 5
0.4913773282699213,1988-08-01,LANDSAT 5
0.6027024689857482,1988-09-01,LANDSAT 5
0.4155914697023271,1988-10-01,LANDSAT 5
0.10944927181372775,1988-11-01,LANDSAT 5
0.10431842750997411,1988-12-01,LANDSAT 5
0.09781459570405467,1989-01-01,LANDSAT 5
0.11093955134103334,1989-02-01,LANDSAT 5
0.18817403562308865,1989-03-01,LANDSAT 5
0.18213803681409338,1989-04-01,LANDSAT 5
0.19066090863176077,1989-05-01,LANDSAT 5
0.13290224755789407,1989-06-01,LANDSAT 5
0.46847559786577153,1989-07-01,LANDSAT 5
0.48086247392050113,1989-08-01,LANDSAT 5
0.3879833624429411,1989-09-01,LANDSAT 5
0.3695938028735423,1989-10-01,LANDSAT 5
0.08416581317437785,1989-11-01,LANDSAT 5
0.10784327373612551,1989-12-01,LANDSAT 5
0.04531782670735043,1990-01-01,LANDSAT 5
0.15549275954802724,1990-02-01,LANDSAT 5
0.2660305550730843,1990-04-01,LANDSAT 5
0.49327440151140417,1990-05-01,LANDSAT 5
0.26709480171467875,1990-06-01,LANDSAT 5
