NDVI,month-year,landsat
0.16988133430263558,1984-05-01,LANDSAT 5
0.14952665951899316,1984-06-01,LANDSAT 5
0.15908537631973724,1984-07-01,LANDSAT 5
0.05565841073981368,1984-08-01,LANDSAT 5
0.19001700092159177,1984-09-01,LANDSAT 5
0.15354491292439085,1984-10-01,LANDSAT 5
0.21825843148682952,1985-01-01,LANDSAT 5
0.2601502697368058,1985-02-01,LANDSAT 5
0.24502027510074065,1985-03-01,LANDSAT 5
0.1877526888974357,1985-04-01,LANDSAT 5
0.1682142968009569,1985-05-01,LANDSAT 5
0.1311992036354065,1985-06-01,LANDSAT 5
0.17207433240965153,1985-07-01,LANDSAT 5
0.1598752368612219,1985-08-01,LANDSAT 5
0.09714190046370723,1985-09-01,LANDSAT 5
0.17575311160383914,1985-10-01,LANDSAT 5
0.059266232280680765,1985-11-01,LANDSAT 5
0.19029788793581554,1985-12-01,LANDSAT 5
0.20104528643911912,1986-01-01,LANDSAT 5
0.08573110246626649,1986-02-01,LANDSAT 5
0.20556543324867071,1986-03-01,LANDSAT 5
0.16969018557853227,1986-04-01,LANDSAT 5
0.14799231909409924,1986-05-01,LANDSAT 5
0.15017149751356723,1986-06-01,LANDSAT 5
0.15510252367994828,1986-07-01,LANDSAT 5
0.13603687045934867,1986-08-01,LANDSAT 5
0.13948968085899655,1986-09-01,LANDSAT 5
0.16979681941226593,1986-10-01,LANDSAT 5
0.14552714975867984,1986-11-01,LANDSAT 5
0.10910096032173285,1986-12-01,LANDSAT 5
0.13581314325903343,1987-01-01,LANDSAT 5
0.1021825610174802,1987-02-01,LANDSAT 5
0.16951289879398612,1987-03-01,LANDSAT 5
0.1682537811961348,1987-04-01,LANDSAT 5
0.13819742390231465,1987-05-01,LANDSAT 5
0.1449552086419286,1987-06-01,LANDSAT 5
0.15181979812822521,1987-07-01,LANDSAT 5
0.1586868192289683,1987-08-01,LANDSAT 5
0.15068835802255498,1987-09-01,LANDSAT 5
0.13708160417715648,1987-10-01,LANDSAT 5
0.1777598697595299,1988-03-01,LANDSAT 5
0.1610155799061031,1988-04-01,LANDSAT 5
0.14625104506149808,1988-05-01,LANDSAT 5
0.12581554765587252,1988-06-01,LANDSAT 5
0.11131249589405459,1988-07-01,LANDSAT 5
0.16643109915438903,1988-08-01,LANDSAT 5
0.16715589982358217,1988-09-01,LANDSAT 5
0.09727020408874057,1988-10-01,LANDSAT 5
0.17048847511502171,1988-12-01,LANDSAT 5
0.15008071746946533,1989-04-01,LANDSAT 5
0.13464620165809593,1989-05-01,LANDSAT 5
0.14843718345963605,1989-06-01,LANDSAT 5
0.11243565285882384,1989-07-01,LANDSAT 5
0.15538821363995287,1989-08-01,LANDSAT 5
0.15853279776647874,1989-09-01,LANDSAT 5
0.13745937336043373,1989-10-01,LANDSAT 5
0.1375053357572693,1989-11-01,LANDSAT 5
0.1323048448692576,1990-03-01,LANDSAT 5
0.0698229083216389,1990-04-01,LANDSAT 5
0.14150195144615463,1990-05-01,LANDSAT 5
0.14672928530259194,1990-06-01,LANDSAT 5
0.1919763586645219,1990-08-01,LANDSAT 5
0.17045960997206752,1990-09-01,LANDSAT 5
0.16659729856227448,1990-10-01,LANDSAT 5
0.18461522348099366,1991-03-01,LANDSAT 5
0.18459147417273122,1991-04-01,LANDSAT 5
0.15350225889048988,1991-05-01,LANDSAT 5
0.15618409758057195,1991-06-01,LANDSAT 5
0.14621834389857066,1991-07-01,LANDSAT 5
0.09092924310358368,1991-08-01,LANDSAT 5
0.13329846560659867,1991-09-01,LANDSAT 5
0.14803026808337055,1991-10-01,LANDSAT 5
0.13930960045681928,1991-11-01,LANDSAT 5
0.2573822325672864,1992-03-01,LANDSAT 5
0.1703362692178149,1992-04-01,LANDSAT 5
0.15513750866785367,1992-05-01,LANDSAT 5
0.15581095714087775,1992-06-01,LANDSAT 5
0.157635959114243,1992-07-01,LANDSAT 5
0.18354514545810227,1992-08-01,LANDSAT 5
0.16262635183755084,1992-09-01,LANDSAT 5
0.1471667003155576,1992-10-01,LANDSAT 5
0.1453478874516483,1992-11-01,LANDSAT 5
0.08101281204734931,1992-12-01,LANDSAT 5
0.1218828726409549,1993-01-01,LANDSAT 5
0.09873476085149362,1993-02-01,LANDSAT 5
0.2500342359248157,1993-03-01,LANDSAT 5
0.23411686505489884,1993-04-01,LANDSAT 5
0.1813700844607143,1993-05-01,LANDSAT 5
0.17720020168769857,1993-06-01,LANDSAT 5
0.15022920080217558,1993-07-01,LANDSAT 5
0.14945341934066075,1993-08-01,LANDSAT 5
0.16445860250740738,1993-09-01,LANDSAT 5
0.11842520102859877,1993-10-01,LANDSAT 5
0.18879003963557417,1993-11-01,LANDSAT 5
0.2169505110716459,1993-12-01,LANDSAT 5
0.15434997548643345,1994-01-01,LANDSAT 5
0.20497156533347477,1994-02-01,LANDSAT 5
0.14888247549998748,1994-03-01,LANDSAT 5
0.1280765054846558,1994-04-01,LANDSAT 5
0.13445494881137102,1994-05-01,LANDSAT 5
0.12708026590670965,1994-06-01,LANDSAT 5
0.12007761812370414,1994-07-01,LANDSAT 5
0.12446451511505371,1994-08-01,LANDSAT 5
0.12890483887177023,1994-09-01,LANDSAT 5
0.15745995443520236,1994-10-01,LANDSAT 5
0.15854839920832373,1994-11-01,LANDSAT 5
0.09223234696765974,1994-12-01,LANDSAT 5
0.14922611340701433,1995-01-01,LANDSAT 5
0.2635324629552695,1995-02-01,LANDSAT 5
0.26683770863591944,1995-03-01,LANDSAT 5
0.16412294797794533,1995-04-01,LANDSAT 5
0.11230105988221506,1995-05-01,LANDSAT 5
0.15120191198294733,1995-06-01,LANDSAT 5
0.1559852758008696,1995-07-01,LANDSAT 5
0.15377262275539474,1995-08-01,LANDSAT 5
0.15048911363328202,1995-09-01,LANDSAT 5
0.18502929513647293,1995-10-01,LANDSAT 5
0.18756977184840612,1995-11-01,LANDSAT 5
0.135892188259652,1995-12-01,LANDSAT 5
0.15553844521482554,1996-01-01,LANDSAT 5
0.12009528393473606,1996-02-01,LANDSAT 5
0.17862322191444108,1996-03-01,LANDSAT 5
0.16067481934252392,1996-04-01,LANDSAT 5
0.12719414444308952,1996-05-01,LANDSAT 5
0.15137689893119538,1996-06-01,LANDSAT 5
0.13934992033924695,1996-07-01,LANDSAT 5
0.14385751009290312,1996-08-01,LANDSAT 5
0.1692709653545893,1996-09-01,LANDSAT 5
0.09263675719736934,1996-10-01,LANDSAT 5
0.14918225178386868,1996-11-01,LANDSAT 5
0.11510301818705347,1996-12-01,LANDSAT 5
0.1419428392509629,1997-01-01,LANDSAT 5
0.15264617398225164,1997-02-01,LANDSAT 5
0.17247909677897144,1997-03-01,LANDSAT 5
0.15087046014003858,1997-04-01,LANDSAT 5
0.1421579110346223,1997-05-01,LANDSAT 5
0.1413556207603019,1997-06-01,LANDSAT 5
0.1402653523360915,1997-07-01,LANDSAT 5
0.10822653109276514,1997-08-01,LANDSAT 5
0.10039570445272272,1997-09-01,LANDSAT 5
0.15447945891586976,1997-10-01,LANDSAT 5
0.1347073453285736,1997-11-01,LANDSAT 5
0.13267638859887346,1997-12-01,LANDSAT 5
0.14953985818655047,1998-01-01,LANDSAT 5
0.22027456219577735,1998-02-01,LANDSAT 5
0.2576607005276528,1998-03-01,LANDSAT 5
0.21831171186433856,1998-04-01,LANDSAT 5
0.12991576313549102,1998-05-01,LANDSAT 5
0.1742669651871165,1998-06-01,LANDSAT 5
0.16172400690771055,1998-07-01,LANDSAT 5
0.12872633773600614,1998-08-01,LANDSAT 5
0.1527329531612258,1998-09-01,LANDSAT 5
0.16313890573749198,1998-10-01,LANDSAT 5
0.08705821097612981,1998-11-01,LANDSAT 5
0.16575751282583556,1998-12-01,LANDSAT 5
0.13889365284787708,1999-07-01,LANDSAT 7
0.12573182488604562,1999-08-01,LANDSAT 7
0.1593745423866195,1999-09-01,LANDSAT 7
0.13358131483870025,1999-10-01,LANDSAT 7
0.15597070122918053,1999-11-01,LANDSAT 7
0.11761497178830616,1999-12-01,LANDSAT 7
0.1187760229158913,2000-01-01,LANDSAT 7
0.13198838109119038,2000-02-01,LANDSAT 7
0.17942928363217847,2000-03-01,LANDSAT 7
0.16967828082641032,2000-04-01,LANDSAT 7
0.15326378723396122,2000-05-01,LANDSAT 7
0.24062800020908623,2000-06-01,LANDSAT 7
0.1340942690598809,2000-07-01,LANDSAT 7
0.1280261868628733,2000-08-01,LANDSAT 7
0.12141638040036437,2000-09-01,LANDSAT 7
0.10534182590930762,2000-10-01,LANDSAT 7
0.19231308704468913,2000-11-01,LANDSAT 7
0.1792276794499485,2000-12-01,LANDSAT 7
0.23014410087598822,2001-01-01,LANDSAT 7
0.10612554161263547,2001-02-01,LANDSAT 7
0.1948952797111489,2001-03-01,LANDSAT 7
0.17884975964876387,2001-04-01,LANDSAT 7
0.16396951002007928,2001-05-01,LANDSAT 7
0.1603130228251709,2001-06-01,LANDSAT 7
0.14262808907255256,2001-07-01,LANDSAT 7
0.12109925570205736,2001-08-01,LANDSAT 7
0.12748885701520404,2001-09-01,LANDSAT 7
0.1417991698586902,2001-10-01,LANDSAT 7
0.13956649093662882,2001-11-01,LANDSAT 7
0.13444145841206348,2001-12-01,LANDSAT 7
0.09910177413831209,2002-01-01,LANDSAT 7
0.12540865968379153,2002-02-01,LANDSAT 7
0.12391103129842668,2002-03-01,LANDSAT 7
0.1308355309389689,2002-04-01,LANDSAT 7
0.14031944413284328,2002-05-01,LANDSAT 7
0.13525470469235965,2002-06-01,LANDSAT 7
0.14866746522500798,2002-07-01,LANDSAT 7
0.12937678109383244,2002-08-01,LANDSAT 7
0.14447219078600954,2002-09-01,LANDSAT 7
0.13940133004939637,2002-10-01,LANDSAT 7
0.09449664259088662,2002-11-01,LANDSAT 7
0.08551881847957038,2002-12-01,LANDSAT 7
0.11062518433175537,2003-01-01,LANDSAT 7
0.12210520591397189,2003-02-01,LANDSAT 7
0.20365577088417855,2003-03-01,LANDSAT 7
0.15739838736923992,2003-04-01,LANDSAT 7
0.1758151648992049,2003-05-01,LANDSAT 7
0.11544279321868624,2003-07-01,LANDSAT 7
0.13579471555399683,2003-08-01,LANDSAT 7
0.14712458227663713,2003-09-01,LANDSAT 7
0.1538871634412858,2003-10-01,LANDSAT 7
0.15204604488370668,2003-11-01,LANDSAT 7
0.12049344826772906,2003-12-01,LANDSAT 7
0.10265959672294196,2004-01-01,LANDSAT 7
0.1609969037088007,2004-02-01,LANDSAT 7
0.151269473106478,2004-03-01,LANDSAT 7
0.17011196308127866,2004-04-01,LANDSAT 7
0.14910256659484084,2004-05-01,LANDSAT 7
0.13974560685306556,2004-06-01,LANDSAT 7
0.13613183891603228,2004-07-01,LANDSAT 7
0.15142127561764887,2004-08-01,LANDSAT 7
0.13834917021687773,2004-09-01,LANDSAT 7
0.14975871807283533,2004-10-01,LANDSAT 7
0.14397771604951123,2004-11-01,LANDSAT 7
0.1824187972415961,2004-12-01,LANDSAT 7
0.09137647874099813,2005-01-01,LANDSAT 7
0.2767297646591783,2005-02-01,LANDSAT 7
0.2655079271538993,2005-03-01,LANDSAT 7
0.18626544217474011,2005-04-01,LANDSAT 7
0.16163844235775002,2005-05-01,LANDSAT 7
0.15196668785206607,2005-06-01,LANDSAT 7
0.1431666124912476,2005-07-01,LANDSAT 7
0.1343148713410164,2005-08-01,LANDSAT 7
0.13804449656298368,2005-09-01,LANDSAT 7
0.15641269511325193,2005-10-01,LANDSAT 7
0.12743882821750369,2005-11-01,LANDSAT 7
0.13485504920508387,2005-12-01,LANDSAT 7
0.11091458457583678,2006-01-01,LANDSAT 7
0.13326862697230957,2006-02-01,LANDSAT 7
0.13763634992916535,2006-03-01,LANDSAT 7
0.15695858127648205,2006-04-01,LANDSAT 7
0.2208873584883594,2006-05-01,LANDSAT 7
0.11424015661756948,2006-06-01,LANDSAT 7
0.1701115808616666,2006-07-01,LANDSAT 7
0.12051557186004445,2006-08-01,LANDSAT 7
0.1463453119048325,2006-09-01,LANDSAT 7
0.11423036990573217,2006-10-01,LANDSAT 7
0.1238068659353126,2006-11-01,LANDSAT 7
0.09935179148969166,2006-12-01,LANDSAT 7
0.12595647008070027,2007-01-01,LANDSAT 7
0.1072206133667723,2007-02-01,LANDSAT 7
0.17627529994697558,2007-03-01,LANDSAT 7
0.1362794947105673,2007-04-01,LANDSAT 7
0.11793534339569867,2007-05-01,LANDSAT 7
0.12210521051606207,2007-06-01,LANDSAT 7
0.12162541589752197,2007-07-01,LANDSAT 7
0.11900344311692343,2007-08-01,LANDSAT 7
0.11660544745952438,2007-09-01,LANDSAT 7
0.12590475825443465,2007-10-01,LANDSAT 7
0.12552323404296406,2007-11-01,LANDSAT 7
0.1411404041258359,2007-12-01,LANDSAT 7
0.1450230841880167,2008-01-01,LANDSAT 7
0.2198542178578786,2008-02-01,LANDSAT 7
0.20331459739955432,2008-03-01,LANDSAT 7
0.15220349647419001,2008-04-01,LANDSAT 7
0.1512286181706145,2008-05-01,LANDSAT 7
0.14122967581569318,2008-06-01,LANDSAT 7
0.12769860454641047,2008-07-01,LANDSAT 7
0.17946809464156824,2008-08-01,LANDSAT 7
0.13658852656036533,2008-09-01,LANDSAT 7
0.14017998088162656,2008-10-01,LANDSAT 7
0.14742986453858978,2008-11-01,LANDSAT 7
0.15730931138857027,2008-12-01,LANDSAT 7
0.12115015602098805,2009-01-01,LANDSAT 7
0.12781544277552287,2009-02-01,LANDSAT 7
0.17109343254002363,2009-03-01,LANDSAT 7
0.14049022509347286,2009-04-01,LANDSAT 7
0.1333946470836707,2009-05-01,LANDSAT 7
0.13552878287734918,2009-06-01,LANDSAT 7
0.11034174549997493,2009-07-01,LANDSAT 7
0.12184220443860592,2009-08-01,LANDSAT 7
0.12898996770853827,2009-09-01,LANDSAT 7
0.13161277871859595,2009-10-01,LANDSAT 7
0.09684963213516214,2009-11-01,LANDSAT 7
0.13812945065158755,2009-12-01,LANDSAT 7
0.14510987399810168,2010-01-01,LANDSAT 7
0.13703904969613134,2010-02-01,LANDSAT 7
0.2424583936429795,2010-03-01,LANDSAT 7
0.18736034099622417,2010-04-01,LANDSAT 7
0.15493736773876984,2010-05-01,LANDSAT 7
0.15714403136222763,2010-06-01,LANDSAT 7
0.13929018332966162,2010-07-01,LANDSAT 7
0.12300821595362672,2010-08-01,LANDSAT 7
0.12599552255155055,2010-09-01,LANDSAT 7
0.14353219254656696,2010-10-01,LANDSAT 7
0.1653472334461348,2010-11-01,LANDSAT 7
0.13651467091280434,2010-12-01,LANDSAT 7
0.15322876163752083,2011-01-01,LANDSAT 7
0.15489230592012504,2011-02-01,LANDSAT 7
0.14569616420158923,2011-03-01,LANDSAT 7
0.13921694139237306,2011-04-01,LANDSAT 7
0.132046305593638,2011-05-01,LANDSAT 7
0.1334519311238414,2011-06-01,LANDSAT 7
0.10682256477305675,2011-07-01,LANDSAT 7
0.10550378008270997,2011-08-01,LANDSAT 7
0.11981696489971677,2011-09-01,LANDSAT 7
0.1357562191012419,2011-10-01,LANDSAT 7
0.1054288850385622,2011-11-01,LANDSAT 7
0.10449659080514226,2011-12-01,LANDSAT 7
0.13181274932221615,2012-01-01,LANDSAT 7
0.14003000064875853,2012-02-01,LANDSAT 7
0.12254103870431672,2012-03-01,LANDSAT 7
0.12102297876854741,2012-04-01,LANDSAT 7
0.12794696104074207,2012-05-01,LANDSAT 7
0.12159255388156531,2012-06-01,LANDSAT 7
0.10096634275336325,2012-07-01,LANDSAT 7
0.11521840062814422,2012-08-01,LANDSAT 7
0.12033927066492361,2012-09-01,LANDSAT 7
0.13796506763306712,2012-10-01,LANDSAT 7
0.13044913410471082,2012-11-01,LANDSAT 7
0.1271048404529877,2012-12-01,LANDSAT 7
0.12160706660274916,2013-01-01,LANDSAT 7
0.1378803419650591,2013-02-01,LANDSAT 7
0.16443560102217356,2013-03-01,LANDSAT 7
0.14608571342657348,2013-04-01,LANDSAT 7
0.13265545960945158,2013-05-01,LANDSAT 7
0.1310446873537878,2013-06-01,LANDSAT 7
0.10959476404355831,2013-07-01,LANDSAT 7
0.10528244991336022,2013-08-01,LANDSAT 7
0.14150628048291372,2013-09-01,LANDSAT 7
0.14793651127181753,2013-10-01,LANDSAT 7
0.1423580575539299,2013-11-01,LANDSAT 7
0.16352608882872402,2013-12-01,LANDSAT 7
0.14591374863498574,2014-01-01,LANDSAT 7
0.12550773115835998,2014-02-01,LANDSAT 7
0.16079426137478367,2014-03-01,LANDSAT 7
0.22473454510311175,2014-04-01,LANDSAT 7
0.12197746453709044,2014-05-01,LANDSAT 7
0.12043055976788249,2014-06-01,LANDSAT 7
0.08890163109895971,2014-07-01,LANDSAT 7
0.13509140628019692,2014-08-01,LANDSAT 7
0.19312796568019325,2014-09-01,LANDSAT 7
0.171044805784413,2014-10-01,LANDSAT 7
0.17395506980586437,2014-11-01,LANDSAT 7
0.12106235169346806,2014-12-01,LANDSAT 7
0.14844531803064512,2015-01-01,LANDSAT 7
0.16680755703686326,2015-02-01,LANDSAT 7
0.13849432771352976,2015-03-01,LANDSAT 7
0.1449953680159198,2015-04-01,LANDSAT 7
0.14324423672858178,2015-05-01,LANDSAT 7
0.1266840639576509,2015-06-01,LANDSAT 7
0.0997738931053005,2015-07-01,LANDSAT 7
0.11834320217759617,2015-08-01,LANDSAT 7
0.12339822454402719,2015-09-01,LANDSAT 7
0.14252229225779534,2015-10-01,LANDSAT 7
0.1584749130592329,2015-11-01,LANDSAT 7
0.10005400842416126,2015-12-01,LANDSAT 7
0.10987565996779314,2016-01-01,LANDSAT 7
0.1650887412478728,2016-02-01,LANDSAT 7
0.14265088649016808,2016-03-01,LANDSAT 7
0.14254726961086392,2016-04-01,LANDSAT 7
0.12885629097753054,2016-05-01,LANDSAT 7
