NDVI,month-year,landsat
0.14358457549454418,1984-04-01,LANDSAT 5
0.1652344407884099,1984-06-01,LANDSAT 5
0.27240386708669073,1984-09-01,LANDSAT 5
0.1445417567198463,1984-10-01,LANDSAT 5
0.06601717686159944,1984-11-01,LANDSAT 5
0.037841062853044644,1985-01-01,LANDSAT 5
0.05791437843546412,1985-02-01,LANDSAT 5
0.10850707250788313,1985-04-01,LANDSAT 5
0.30981432325085306,1985-06-01,LANDSAT 5
0.3175037007481036,1985-08-01,LANDSAT 5
0.22007423693541495,1985-10-01,LANDSAT 5
0.08460506679892736,1986-01-01,LANDSAT 5
0.05947014937863064,1986-05-01,LANDSAT 5
0.2208924737370457,1986-06-01,LANDSAT 5
0.3282959710210635,1986-07-01,LANDSAT 5
0.32034310233402497,1986-08-01,LANDSAT 5
0.3173187903311708,1986-09-01,LANDSAT 5
0.2160572531253718,1986-10-01,LANDSAT 5
0.029503384029383788,1986-11-01,LANDSAT 5
0.01176333911156447,1986-12-01,LANDSAT 5
0.01176333911156447,1987-01-01,LANDSAT 5
-0.004670886493326937,1987-02-01,LANDSAT 5
0.07555088737104097,1987-03-01,LANDSAT 5
0.054962007010933144,1987-04-01,LANDSAT 5
0.2643773759441564,1987-06-01,LANDSAT 5
0.28056395316448285,1987-08-01,LANDSAT 5
0.23694164389076414,1987-09-01,LANDSAT 5
0.20785855798969893,1987-10-01,LANDSAT 5
0.09124677794249904,1987-11-01,LANDSAT 5
0.039123068232487186,1987-12-01,LANDSAT 5
0.028390694386201565,1988-01-01,LANDSAT 5
0.14653519910546836,1988-04-01,LANDSAT 5
0.22092968151743234,1988-05-01,LANDSAT 5
0.29051352133388575,1988-06-01,LANDSAT 5
0.23982219474944558,1988-07-01,LANDSAT 5
0.2796244910417673,1988-08-01,LANDSAT 5
0.0067769548293530385,1988-09-01,LANDSAT 5
0.1534464358279923,1988-10-01,LANDSAT 5
0.07484805301749814,1988-11-01,LANDSAT 5
0.06510230850684645,1989-01-01,LANDSAT 5
0.03193190186503679,1989-02-01,LANDSAT 5
0.08768761020457955,1989-03-01,LANDSAT 5
0.051090400931635103,1989-04-01,LANDSAT 5
-0.0009421913997728654,1989-05-01,LANDSAT 5
0.2659625366303788,1989-06-01,LANDSAT 5
0.22990986677947287,1989-07-01,LANDSAT 5
0.1375320700948987,1989-08-01,LANDSAT 5
0.26432944025620003,1989-09-01,LANDSAT 5
0.22571878760213265,1989-10-01,LANDSAT 5
0.069702785793468,1989-12-01,LANDSAT 5
0.0294734829872729,1990-01-01,LANDSAT 5
0.20717496082241874,1990-05-01,LANDSAT 5
0.1291549292990369,1990-06-01,LANDSAT 5
0.09286110436304529,1990-07-01,LANDSAT 5
0.0383832754321095,1990-08-01,LANDSAT 5
0.2771997033397889,1990-09-01,LANDSAT 5
0.17547455462745715,1990-10-01,LANDSAT 5
0.1513284481337378,1990-11-01,LANDSAT 5
0.06147194511087667,1990-12-01,LANDSAT 5
0.01905614155356431,1991-01-01,LANDSAT 5
0.11783154263043961,1991-03-01,LANDSAT 5
0.09956543582019899,1991-04-01,LANDSAT 5
0.21746539154376027,1991-05-01,LANDSAT 5
0.21476626344886696,1991-06-01,LANDSAT 5
0.22216249800563573,1991-07-01,LANDSAT 5
0.2653639892059424,1991-08-01,LANDSAT 5
0.26828980862267887,1991-09-01,LANDSAT 5
0.22662338532681292,1991-10-01,LANDSAT 5
0.15543835416570442,1991-11-01,LANDSAT 5
0.09263840782740465,1991-12-01,LANDSAT 5
0.09994276240016424,1992-01-01,LANDSAT 5
0.08942105149942943,1992-02-01,LANDSAT 5
0.04640868612146188,1992-03-01,LANDSAT 5
0.10218281781465083,1992-04-01,LANDSAT 5
0.19245975968148485,1992-05-01,LANDSAT 5
0.2395869718470752,1992-06-01,LANDSAT 5
0.16946313869096838,1992-07-01,LANDSAT 5
0.22479669205037547,1992-09-01,LANDSAT 5
0.03429570362436858,1992-10-01,LANDSAT 5
0.1493875003411043,1992-11-01,LANDSAT 5
0.0834538797733429,1992-12-01,LANDSAT 5
0.0502164859871887,1993-01-01,LANDSAT 5
0.06569761053519128,1993-02-01,LANDSAT 5
0.0026392492881167355,1993-03-01,LANDSAT 5
0.09223112906981756,1993-04-01,LANDSAT 5
0.24263508377871681,1993-05-01,LANDSAT 5
