NDVI,month-year,landsat
0.3293815135440949,1984-04-01,LANDSAT 5
0.535427330815402,1984-05-01,LANDSAT 5
0.41781967693940625,1984-06-01,LANDSAT 5
0.3547346595522674,1984-07-01,LANDSAT 5
0.4229235052585905,1984-08-01,LANDSAT 5
0.4654926498168785,1984-09-01,LANDSAT 5
0.08551080212522198,1984-10-01,LANDSAT 5
0.2325739066520767,1984-11-01,LANDSAT 5
0.1334322457363543,1984-12-01,LANDSAT 5
0.23898958799706335,1985-01-01,LANDSAT 5
0.14526192675961788,1985-02-01,LANDSAT 5
0.30807591636469267,1985-03-01,LANDSAT 5
0.2639972040522248,1985-04-01,LANDSAT 5
0.4885792689648055,1985-05-01,LANDSAT 5
0.3824283519126668,1985-08-01,LANDSAT 5
0.5232629616566128,1985-09-01,LANDSAT 5
0.45936581743781363,1985-10-01,LANDSAT 5
0.2894058289975347,1985-11-01,LANDSAT 5
0.35468158471743394,1985-12-01,LANDSAT 5
0.29743373134758383,1986-01-01,LANDSAT 5
0.19251613490805675,1986-02-01,LANDSAT 5
0.22838759047376217,1986-03-01,LANDSAT 5
0.39711151762458036,1986-04-01,LANDSAT 5
0.5025645596808291,1986-05-01,LANDSAT 5
0.4495625331990539,1986-06-01,LANDSAT 5
0.32760905455241385,1986-07-01,LANDSAT 5
0.4551373393739795,1986-08-01,LANDSAT 5
0.3465413139529494,1986-09-01,LANDSAT 5
0.2396979291449283,1986-10-01,LANDSAT 5
0.02214418755838013,1986-11-01,LANDSAT 5
0.23990131910896387,1986-12-01,LANDSAT 5
0.19232900150593069,1987-01-01,LANDSAT 5
0.20996833983330931,1987-02-01,LANDSAT 5
0.2722268090682795,1987-03-01,LANDSAT 5
0.4694933974742568,1987-04-01,LANDSAT 5
0.39117260204193655,1987-05-01,LANDSAT 5
0.38731271716710247,1987-06-01,LANDSAT 5
0.386839087873977,1987-07-01,LANDSAT 5
0.2315010356111849,1987-08-01,LANDSAT 5
0.25972369433013814,1987-09-01,LANDSAT 5
0.46279660229632136,1987-10-01,LANDSAT 5
0.33492863941750306,1987-11-01,LANDSAT 5
0.1109961033096393,1987-12-01,LANDSAT 5
0.30069379904374555,1988-01-01,LANDSAT 5
0.23426686228072652,1988-03-01,LANDSAT 5
0.3214062237887884,1988-04-01,LANDSAT 5
0.2870447452754482,1988-05-01,LANDSAT 5
0.25772739128968275,1988-06-01,LANDSAT 5
0.40660502499750373,1988-07-01,LANDSAT 5
0.38863633691791916,1988-08-01,LANDSAT 5
0.4999503729896667,1988-09-01,LANDSAT 5
0.3636259705381113,1988-10-01,LANDSAT 5
0.07125339071533822,1988-11-01,LANDSAT 5
0.3553145047785434,1988-12-01,LANDSAT 5
0.18799017281071478,1989-01-01,LANDSAT 5
0.16682609422629535,1989-02-01,LANDSAT 5
0.1829172910565001,1989-03-01,LANDSAT 5
