NDVI,month-year,landsat
0.3040176566801513,1984-04-01,LANDSAT 5
0.20666283177723052,1984-05-01,LANDSAT 5
0.2663070274833411,1984-06-01,LANDSAT 5
0.2653721012342546,1984-07-01,LANDSAT 5
0.28286524248741773,1984-08-01,LANDSAT 5
0.25446035978670295,1984-09-01,LANDSAT 5
0.22586755132549266,1984-10-01,LANDSAT 5
0.08547772019573173,1984-12-01,LANDSAT 5
0.019961581193656527,1985-01-01,LANDSAT 5
0.37251572736928373,1985-03-01,LANDSAT 5
0.3471589229085017,1985-04-01,LANDSAT 5
0.2685495143722378,1985-05-01,LANDSAT 5
0.2554972834557089,1985-06-01,LANDSAT 5
0.262647244748655,1985-07-01,LANDSAT 5
0.2255597651905527,1985-08-01,LANDSAT 5
0.2333270897857174,1985-09-01,LANDSAT 5
0.2162253452471493,1985-10-01,LANDSAT 5
0.13960003064761498,1985-11-01,LANDSAT 5
0.2189483366455752,1985-12-01,LANDSAT 5
0.21105643437622032,1986-01-01,LANDSAT 5
0.2810750526103907,1986-02-01,LANDSAT 5
0.33614137186204274,1986-03-01,LANDSAT 5
0.3604517581207418,1986-04-01,LANDSAT 5
0.29911378559750984,1986-05-01,LANDSAT 5
0.27039832670633107,1986-06-01,LANDSAT 5
0.2675496224254745,1986-07-01,LANDSAT 5
0.26950491388272424,1986-08-01,LANDSAT 5
0.2486177395711255,1986-09-01,LANDSAT 5
0.21618055957749793,1986-10-01,LANDSAT 5
0.16897067034606528,1986-11-01,LANDSAT 5
0.008909529591594753,1986-12-01,LANDSAT 5
0.1804723814016544,1987-01-01,LANDSAT 5
0.13842759754853273,1987-02-01,LANDSAT 5
0.14254719172859906,1987-03-01,LANDSAT 5
0.33340763382714717,1987-04-01,LANDSAT 5
0.2733792576626815,1987-05-01,LANDSAT 5
0.2638753919238169,1987-06-01,LANDSAT 5
0.26473872229881296,1987-07-01,LANDSAT 5
0.2522855403913329,1987-08-01,LANDSAT 5
0.23082364428189753,1987-09-01,LANDSAT 5
0.22413974700442885,1987-10-01,LANDSAT 5
0.33702726395013755,1988-03-01,LANDSAT 5
0.23063806284723032,1988-04-01,LANDSAT 5
0.2652409206606495,1988-05-01,LANDSAT 5
0.25588091212185254,1988-06-01,LANDSAT 5
0.2542261373471184,1988-07-01,LANDSAT 5
0.24238176443521195,1988-08-01,LANDSAT 5
0.10233468417699024,1988-09-01,LANDSAT 5
0.20421286229944646,1988-10-01,LANDSAT 5
0.1132764068828318,1988-11-01,LANDSAT 5
0.17771501659732905,1988-12-01,LANDSAT 5
0.213977150733307,1989-01-01,LANDSAT 5
0.053160582342569526,1989-02-01,LANDSAT 5
0.28102600883990864,1989-03-01,LANDSAT 5
0.3636901956020926,1989-04-01,LANDSAT 5
0.27925047546810844,1989-05-01,LANDSAT 5
0.26348444071136956,1989-06-01,LANDSAT 5
0.25857400706012884,1989-07-01,LANDSAT 5
0.26336833735473153,1989-08-01,LANDSAT 5
0.2798560047210501,1989-09-01,LANDSAT 5
-0.0035134174619728857,1989-10-01,LANDSAT 5
0.27735578878011147,1989-11-01,LANDSAT 5
0.14135321483622454,1989-12-01,LANDSAT 5
0.15209043395063418,1990-01-01,LANDSAT 5
0.21479786102312426,1990-02-01,LANDSAT 5
0.24940847532232674,1990-03-01,LANDSAT 5
0.2723420700714695,1990-04-01,LANDSAT 5
0.28491600248201376,1990-05-01,LANDSAT 5
0.2661595873307023,1990-06-01,LANDSAT 5
0.23901267746231616,1990-08-01,LANDSAT 5
0.23808295961766845,1990-09-01,LANDSAT 5
0.23634701942893196,1990-10-01,LANDSAT 5
0.27959631404186214,1991-03-01,LANDSAT 5
0.32692075054905856,1991-04-01,LANDSAT 5
0.3115368963424086,1991-05-01,LANDSAT 5
0.226554470188027,1991-06-01,LANDSAT 5
0.24642349909584146,1991-07-01,LANDSAT 5
0.2560917919837608,1991-08-01,LANDSAT 5
0.23885391284752008,1991-09-01,LANDSAT 5
0.19036349480327067,1991-10-01,LANDSAT 5
0.22346250855763322,1991-11-01,LANDSAT 5
0.1002732262218094,1991-12-01,LANDSAT 5
0.09616447087516158,1992-01-01,LANDSAT 5
0.27367921790833194,1992-03-01,LANDSAT 5
0.33840938248455,1992-04-01,LANDSAT 5
0.26960022382954346,1992-05-01,LANDSAT 5
0.2461293831573832,1992-06-01,LANDSAT 5
0.21496871838168016,1992-07-01,LANDSAT 5
0.2360477672197804,1992-08-01,LANDSAT 5
0.23376532988902357,1992-09-01,LANDSAT 5
0.15780270818475745,1992-10-01,LANDSAT 5
0.2019266837586077,1992-11-01,LANDSAT 5
0.19254443770488125,1992-12-01,LANDSAT 5
0.1941829693577415,1993-01-01,LANDSAT 5
0.1591715926201502,1993-02-01,LANDSAT 5
0.24347701096879398,1993-03-01,LANDSAT 5
0.17492459773450514,1993-04-01,LANDSAT 5
0.0726399151088895,1993-05-01,LANDSAT 5
0.2815112601059784,1993-06-01,LANDSAT 5
0.27006105002027847,1993-07-01,LANDSAT 5
0.2609127447781047,1993-08-01,LANDSAT 5
0.24770631128806728,1993-09-01,LANDSAT 5
0.2528366118582173,1993-10-01,LANDSAT 5
0.21388505400540422,1993-11-01,LANDSAT 5
0.18704813498617157,1993-12-01,LANDSAT 5
0.1685325585380017,1994-01-01,LANDSAT 5
0.1743614066086366,1994-02-01,LANDSAT 5
0.33949897651892175,1994-03-01,LANDSAT 5
0.33967357686842964,1994-04-01,LANDSAT 5
0.26488450018542464,1994-05-01,LANDSAT 5
0.27290638766079967,1994-06-01,LANDSAT 5
0.27457419811548667,1994-07-01,LANDSAT 5
0.26720635516712055,1994-08-01,LANDSAT 5
0.2458363546846809,1994-09-01,LANDSAT 5
0.2511577568164724,1994-10-01,LANDSAT 5
0.20846028469800842,1994-11-01,LANDSAT 5
0.12244885583798401,1994-12-01,LANDSAT 5
0.16594076315941106,1995-01-01,LANDSAT 5
0.10980950424929001,1995-02-01,LANDSAT 5
0.29898218270701044,1995-03-01,LANDSAT 5
0.14689756449998032,1995-04-01,LANDSAT 5
0.330074213561743,1995-05-01,LANDSAT 5
0.16855900615197086,1995-06-01,LANDSAT 5
0.2795694399671788,1995-07-01,LANDSAT 5
0.2732876709819541,1995-08-01,LANDSAT 5
0.2519061992188393,1995-09-01,LANDSAT 5
0.24666631886126256,1995-10-01,LANDSAT 5
0.1680464073315542,1995-11-01,LANDSAT 5
0.1621217631635004,1995-12-01,LANDSAT 5
0.002696174835321269,1996-01-01,LANDSAT 5
0.3338699911010986,1996-03-01,LANDSAT 5
0.3415822873545557,1996-04-01,LANDSAT 5
0.2921657533481486,1996-06-01,LANDSAT 5
0.29434166046148397,1996-07-01,LANDSAT 5
0.2618217226684602,1996-08-01,LANDSAT 5
0.260350598520301,1996-09-01,LANDSAT 5
0.25727545189373574,1996-10-01,LANDSAT 5
0.18326641543389777,1996-11-01,LANDSAT 5
0.1888233154852327,1996-12-01,LANDSAT 5
0.1266012548260165,1997-01-01,LANDSAT 5
0.23171199332428558,1997-02-01,LANDSAT 5
0.2313285741218363,1997-03-01,LANDSAT 5
0.13041715670284454,1997-04-01,LANDSAT 5
0.16516529502256402,1997-05-01,LANDSAT 5
0.27799941981178133,1997-06-01,LANDSAT 5
0.2633509711423066,1997-07-01,LANDSAT 5
0.12291967472894662,1997-08-01,LANDSAT 5
0.25715088784164586,1997-09-01,LANDSAT 5
0.25748915677588663,1997-10-01,LANDSAT 5
0.0666813154285987,1997-11-01,LANDSAT 5
0.005321922490317744,1997-12-01,LANDSAT 5
0.19166530446258115,1998-01-01,LANDSAT 5
0.19623817810656644,1998-02-01,LANDSAT 5
0.3117484654763654,1998-03-01,LANDSAT 5
0.2675127665816212,1998-05-01,LANDSAT 5
0.16826429425687342,1998-06-01,LANDSAT 5
0.2879498794399043,1998-07-01,LANDSAT 5
0.2659908589333497,1998-08-01,LANDSAT 5
0.25857858755322216,1998-09-01,LANDSAT 5
0.2566278874157556,1998-10-01,LANDSAT 5
0.07919690141677412,1998-11-01,LANDSAT 5
0.12314275049411488,1998-12-01,LANDSAT 5
0.15106079197214325,1999-06-01,LANDSAT 7
0.27057070765927516,1999-07-01,LANDSAT 7
0.26500055751772833,1999-08-01,LANDSAT 7
0.19965809276566715,1999-09-01,LANDSAT 7
0.17665412778517264,1999-10-01,LANDSAT 7
0.14565904409917105,1999-11-01,LANDSAT 7
0.16106878481268247,1999-12-01,LANDSAT 7
0.09199302520956085,2000-01-01,LANDSAT 7
0.08487046816457398,2000-02-01,LANDSAT 7
0.2750976696842152,2000-03-01,LANDSAT 7
0.23248643352732382,2000-04-01,LANDSAT 7
0.3029595900485131,2000-05-01,LANDSAT 7
0.28557933234316035,2000-06-01,LANDSAT 7
0.2743502366401919,2000-07-01,LANDSAT 7
0.26535403097686133,2000-08-01,LANDSAT 7
0.25101991267322565,2000-09-01,LANDSAT 7
0.20648761762584755,2000-10-01,LANDSAT 7
0.13175516610281493,2000-11-01,LANDSAT 7
0.12020548519555418,2000-12-01,LANDSAT 7
0.20269530161840818,2001-01-01,LANDSAT 7
0.25738065564937124,2001-02-01,LANDSAT 7
0.2516548833219221,2001-03-01,LANDSAT 7
0.291207355012799,2001-04-01,LANDSAT 7
0.2824017053801522,2001-05-01,LANDSAT 7
0.2395829038671114,2001-06-01,LANDSAT 7
0.2629773373879767,2001-07-01,LANDSAT 7
0.24992672022327947,2001-08-01,LANDSAT 7
0.23519113873470665,2001-09-01,LANDSAT 7
0.07273858476266315,2001-10-01,LANDSAT 7
0.16751412585648257,2001-11-01,LANDSAT 7
