NDVI,month-year,landsat
0.16445607292284192,1984-03-01,LANDSAT 5
0.172883588920278,1984-04-01,LANDSAT 5
0.22274849238191735,1984-06-01,LANDSAT 5
0.4534090174426983,1984-07-01,LANDSAT 5
0.4697824325380237,1984-08-01,LANDSAT 5
0.02201023586765546,1984-09-01,LANDSAT 5
0.20872453807892172,1984-10-01,LANDSAT 5
0.2253340584500106,1984-11-01,LANDSAT 5
0.12336941771199861,1984-12-01,LANDSAT 5
0.07778751548448169,1985-01-01,LANDSAT 5
0.13627761167863728,1985-03-01,LANDSAT 5
0.25702873647227786,1985-04-01,LANDSAT 5
0.3611543229052023,1985-05-01,LANDSAT 5
0.13504406507501848,1985-08-01,LANDSAT 5
0.37553279763740754,1985-09-01,LANDSAT 5
0.2818696093856097,1985-10-01,LANDSAT 5
0.2325392284608467,1985-11-01,LANDSAT 5
0.0762097404141071,1986-01-01,LANDSAT 5
0.04225055851158535,1986-02-01,LANDSAT 5
0.09762049614718434,1986-03-01,LANDSAT 5
0.2702610107711543,1986-04-01,LANDSAT 5
0.2501985226432579,1986-05-01,LANDSAT 5
0.3558015415896259,1986-06-01,LANDSAT 5
0.49378485762299,1986-07-01,LANDSAT 5
0.3677528861432818,1986-08-01,LANDSAT 5
0.1095631560842424,1986-09-01,LANDSAT 5
0.22946576040829514,1986-10-01,LANDSAT 5
0.22537800335338576,1986-11-01,LANDSAT 5
0.08993922573429766,1986-12-01,LANDSAT 5
0.04667487654543673,1987-01-01,LANDSAT 5
0.10973971455843803,1987-02-01,LANDSAT 5
0.1350515132556356,1987-03-01,LANDSAT 5
0.32371737526196587,1987-04-01,LANDSAT 5
0.29654136205071857,1987-05-01,LANDSAT 5
0.22442042399743126,1987-06-01,LANDSAT 5
0.4592638477851662,1987-07-01,LANDSAT 5
0.3836727646054062,1987-08-01,LANDSAT 5
0.30182914634329155,1987-09-01,LANDSAT 5
0.10730889375219954,1987-10-01,LANDSAT 5
0.1341432034212967,1987-11-01,LANDSAT 5
0.09772477505451765,1987-12-01,LANDSAT 5
0.07621740058363391,1988-01-01,LANDSAT 5
0.04046892769973478,1988-02-01,LANDSAT 5
0.07954421001234228,1988-03-01,LANDSAT 5
0.25587312563914877,1988-04-01,LANDSAT 5
0.3456952895471125,1988-05-01,LANDSAT 5
0.3215163307959364,1988-06-01,LANDSAT 5
0.27281103667102363,1988-07-01,LANDSAT 5
0.2927720383214032,1988-08-01,LANDSAT 5
0.3638708458135966,1988-09-01,LANDSAT 5
0.2021469943719379,1988-10-01,LANDSAT 5
0.12293594207543432,1988-11-01,LANDSAT 5
0.1576254487876802,1988-12-01,LANDSAT 5
0.09998972766583965,1989-01-01,LANDSAT 5
0.006055405882383342,1989-02-01,LANDSAT 5
0.0824966120849049,1989-03-01,LANDSAT 5
0.23446533975628625,1989-04-01,LANDSAT 5
0.2802118321082466,1989-05-01,LANDSAT 5
0.35236050211727044,1989-06-01,LANDSAT 5
0.3855366040038413,1989-07-01,LANDSAT 5
0.46319079432465365,1989-08-01,LANDSAT 5
0.38133034226951695,1989-09-01,LANDSAT 5
0.3283447616962668,1989-10-01,LANDSAT 5
0.20799079259096395,1989-11-01,LANDSAT 5
0.05660259835577024,1989-12-01,LANDSAT 5
0.13011264620878407,1990-01-01,LANDSAT 5
0.24197167176361692,1990-04-01,LANDSAT 5
0.33079278495582765,1990-05-01,LANDSAT 5
0.38893415708197193,1990-06-01,LANDSAT 5
0.4462196376730804,1990-07-01,LANDSAT 5
0.3918012624686422,1990-08-01,LANDSAT 5
0.2603547034339331,1990-09-01,LANDSAT 5
0.24225749877887154,1990-10-01,LANDSAT 5
0.13566892104918749,1990-11-01,LANDSAT 5
-0.00034090791196743407,1990-12-01,LANDSAT 5
0.008280915505511603,1991-01-01,LANDSAT 5
0.10278340081348576,1991-02-01,LANDSAT 5
0.1796083771465984,1991-03-01,LANDSAT 5
0.296754716045538,1991-04-01,LANDSAT 5
0.04335096559838001,1991-05-01,LANDSAT 5
0.3140759517197,1991-06-01,LANDSAT 5
0.4514048805792444,1991-07-01,LANDSAT 5
0.4166525531310956,1991-08-01,LANDSAT 5
0.2161976163054696,1991-09-01,LANDSAT 5
0.28562238506763105,1991-10-01,LANDSAT 5
0.08497675465657982,1991-11-01,LANDSAT 5
0.06533110139039523,1991-12-01,LANDSAT 5
0.060447536582171925,1992-01-01,LANDSAT 5
0.05240139935962747,1992-02-01,LANDSAT 5
0.022215332509474495,1992-03-01,LANDSAT 5
0.18067515164429168,1992-04-01,LANDSAT 5
0.23009502136753787,1992-05-01,LANDSAT 5
0.17748741955894345,1992-06-01,LANDSAT 5
0.05664582635397146,1992-07-01,LANDSAT 5
0.3744930904291916,1992-08-01,LANDSAT 5
0.3675262909521383,1992-09-01,LANDSAT 5
0.21213814737544762,1992-10-01,LANDSAT 5
0.1574302833277347,1992-11-01,LANDSAT 5
0.1345703569947911,1992-12-01,LANDSAT 5
0.06161695306409876,1993-01-01,LANDSAT 5
0.017424570918693334,1993-02-01,LANDSAT 5
0.06819749216009642,1993-03-01,LANDSAT 5
0.24639728203599914,1993-04-01,LANDSAT 5
