NDVI,month-year,landsat
0.3449047167693106,1984-06-01,LANDSAT 5
0.4706169875346067,1984-07-01,LANDSAT 5
0.5042924449070243,1984-08-01,LANDSAT 5
0.5015871464132556,1984-09-01,LANDSAT 5
0.2688440349106066,1984-10-01,LANDSAT 5
0.08410007295493808,1984-12-01,LANDSAT 5
0.18653124544644248,1985-01-01,LANDSAT 5
0.3463790602892834,1985-03-01,LANDSAT 5
0.5160161777943892,1985-04-01,LANDSAT 5
0.4043229054932016,1985-08-01,LANDSAT 5
0.3775330861851008,1985-09-01,LANDSAT 5
0.20235995959983744,1985-10-01,LANDSAT 5
0.24970927485052302,1985-11-01,LANDSAT 5
0.20797213414979246,1985-12-01,LANDSAT 5
0.016382691307924687,1986-02-01,LANDSAT 5
0.5005629456701861,1986-04-01,LANDSAT 5
0.4126285696362113,1986-05-01,LANDSAT 5
0.25058727334384934,1986-06-01,LANDSAT 5
0.29555636723778095,1986-07-01,LANDSAT 5
0.2417489256768676,1986-08-01,LANDSAT 5
0.3866854197900498,1986-09-01,LANDSAT 5
0.16610588206240887,1986-10-01,LANDSAT 5
0.4688730340162664,1986-11-01,LANDSAT 5
0.4139507112643282,1986-12-01,LANDSAT 5
0.32723737670462255,1987-01-01,LANDSAT 5
0.22442106963706893,1987-02-01,LANDSAT 5
0.4944193507781046,1987-04-01,LANDSAT 5
0.40006646417458225,1987-05-01,LANDSAT 5
0.47181352410518757,1987-06-01,LANDSAT 5
0.4606462927080616,1987-07-01,LANDSAT 5
0.4827253560952661,1987-08-01,LANDSAT 5
0.42432352097541814,1987-09-01,LANDSAT 5
0.25495777375090933,1987-10-01,LANDSAT 5
0.4159016977840977,1987-11-01,LANDSAT 5
0.14649603966446115,1988-01-01,LANDSAT 5
0.42349670821778385,1988-03-01,LANDSAT 5
0.4995350647759387,1988-04-01,LANDSAT 5
0.35311556121530463,1988-05-01,LANDSAT 5
0.4113012718896819,1988-06-01,LANDSAT 5
