NDVI,month-year,landsat
0.09984795873499122,1984-04-01,LANDSAT 5
0.13678534374513363,1984-05-01,LANDSAT 5
0.13727758534699241,1984-06-01,LANDSAT 5
0.11696668295159567,1984-07-01,LANDSAT 5
0.15154332420913852,1984-10-01,LANDSAT 5
0.13155063287212415,1984-11-01,LANDSAT 5
0.0722602216603382,1984-12-01,LANDSAT 5
0.06270544118806515,1985-01-01,LANDSAT 5
0.10511742419411604,1985-02-01,LANDSAT 5
0.1431527860776104,1985-03-01,LANDSAT 5
0.09627255640562014,1985-04-01,LANDSAT 5
0.14172000045197794,1985-06-01,LANDSAT 5
0.1618391187015142,1985-07-01,LANDSAT 5
0.14202348553183836,1985-08-01,LANDSAT 5
0.17909520034745494,1985-09-01,LANDSAT 5
0.17256752909181952,1985-10-01,LANDSAT 5
0.15360615179923637,1985-11-01,LANDSAT 5
0.04964188934260671,1985-12-01,LANDSAT 5
0.10259190807617984,1986-01-01,LANDSAT 5
0.0866388270479068,1986-02-01,LANDSAT 5
0.09629513112881384,1986-03-01,LANDSAT 5
0.10017259596195985,1986-04-01,LANDSAT 5
0.14422026842740576,1986-05-01,LANDSAT 5
0.14214057161226476,1986-06-01,LANDSAT 5
0.1315177197310011,1986-07-01,LANDSAT 5
0.17385636720771622,1986-08-01,LANDSAT 5
0.12296373484894647,1986-09-01,LANDSAT 5
0.15191061221320584,1986-10-01,LANDSAT 5
0.09136729514912291,1986-11-01,LANDSAT 5
0.11063991405103124,1986-12-01,LANDSAT 5
0.07253061771970352,1987-01-01,LANDSAT 5
0.0967002709066166,1987-02-01,LANDSAT 5
0.11202182388782463,1987-03-01,LANDSAT 5
0.08965411433311345,1987-04-01,LANDSAT 5
0.14690182583686406,1987-05-01,LANDSAT 5
0.13746205676586476,1987-06-01,LANDSAT 5
0.14683844145720087,1987-07-01,LANDSAT 5
0.10286380643418576,1987-08-01,LANDSAT 5
0.18879721595552915,1987-09-01,LANDSAT 5
0.14564871814305896,1987-10-01,LANDSAT 5
0.015492333999898914,1988-01-01,LANDSAT 5
0.07274673678838034,1988-02-01,LANDSAT 5
0.11271074434329151,1988-03-01,LANDSAT 5
0.13418157103548425,1988-04-01,LANDSAT 5
0.15111473989374333,1988-05-01,LANDSAT 5
0.1624846441926599,1988-06-01,LANDSAT 5
0.17728005097262312,1988-07-01,LANDSAT 5
0.13563264932282443,1988-08-01,LANDSAT 5
0.17741165091418354,1988-09-01,LANDSAT 5
0.0879736596798143,1988-10-01,LANDSAT 5
0.09387502861406509,1989-03-01,LANDSAT 5
0.14931271144926697,1989-04-01,LANDSAT 5
0.15577066705322626,1989-05-01,LANDSAT 5
