NDVI,month-year,landsat
0.1964094173590878,1984-03-01,LANDSAT 5
0.4051172288424151,1984-06-01,LANDSAT 5
0.4366039617810018,1984-08-01,LANDSAT 5
0.40430991816079076,1984-09-01,LANDSAT 5
0.16500470516143997,1984-10-01,LANDSAT 5
0.21198339649169473,1984-11-01,LANDSAT 5
0.05250195064766632,1984-12-01,LANDSAT 5
0.11245795891311755,1985-02-01,LANDSAT 5
0.05042043035052344,1985-03-01,LANDSAT 5
0.16302584257132632,1985-04-01,LANDSAT 5
0.3532543369506394,1985-06-01,LANDSAT 5
0.05816624184228401,1985-07-01,LANDSAT 5
0.31195409940869007,1985-08-01,LANDSAT 5
0.39810147432482057,1985-09-01,LANDSAT 5
0.38856973829008773,1985-10-01,LANDSAT 5
0.16480558822694463,1985-11-01,LANDSAT 5
0.04146969453063241,1985-12-01,LANDSAT 5
0.16384441213925152,1986-01-01,LANDSAT 5
0.025837495454816888,1986-02-01,LANDSAT 5
0.16219262934880851,1986-03-01,LANDSAT 5
0.25863424301890675,1986-04-01,LANDSAT 5
0.3541423032560858,1986-05-01,LANDSAT 5
0.31550602168180325,1986-06-01,LANDSAT 5
0.1964330781530997,1986-07-01,LANDSAT 5
0.3273382848996788,1986-08-01,LANDSAT 5
0.27392430019782044,1986-09-01,LANDSAT 5
0.2477943122448397,1986-10-01,LANDSAT 5
0.19016374106265416,1986-11-01,LANDSAT 5
0.17879438715712634,1986-12-01,LANDSAT 5
0.09630245122543195,1987-01-01,LANDSAT 5
0.01007507494994973,1987-02-01,LANDSAT 5
0.12104141968041968,1987-03-01,LANDSAT 5
0.2902442784967306,1987-04-01,LANDSAT 5
0.4047412492288884,1987-05-01,LANDSAT 5
0.3961156860493646,1987-06-01,LANDSAT 5
0.21564295336963282,1987-07-01,LANDSAT 5
0.3751570175243796,1987-08-01,LANDSAT 5
0.31068591017712116,1987-09-01,LANDSAT 5
0.3274392797401559,1987-10-01,LANDSAT 5
0.02793673156481266,1987-11-01,LANDSAT 5
0.057489854113217435,1987-12-01,LANDSAT 5
0.06414210657972018,1988-01-01,LANDSAT 5
0.08941104159464792,1988-02-01,LANDSAT 5
0.11468836456575696,1988-03-01,LANDSAT 5
0.15668870315936104,1988-04-01,LANDSAT 5
0.3826867213785185,1988-05-01,LANDSAT 5
0.35449083583092905,1988-06-01,LANDSAT 5
0.18925730913272865,1988-07-01,LANDSAT 5
0.3719426295712049,1988-08-01,LANDSAT 5
0.4108892927488674,1988-09-01,LANDSAT 5
0.3625757559204483,1988-10-01,LANDSAT 5
0.16578377192170676,1988-11-01,LANDSAT 5
-0.0746835395693779,1989-01-01,LANDSAT 5
0.16591703601163887,1989-02-01,LANDSAT 5
0.16855202178261433,1989-03-01,LANDSAT 5
0.30505122164706117,1989-04-01,LANDSAT 5
0.11573595309953105,1989-05-01,LANDSAT 5
0.3647121655297817,1989-06-01,LANDSAT 5
0.3035160065910416,1989-07-01,LANDSAT 5
0.409505451393136,1989-08-01,LANDSAT 5
0.3673499214818357,1989-09-01,LANDSAT 5
0.26888634411996454,1989-10-01,LANDSAT 5
0.04196334677737836,1989-11-01,LANDSAT 5
0.04912270704944369,1989-12-01,LANDSAT 5
0.14066978485830983,1990-01-01,LANDSAT 5
0.439856082367485,1990-05-01,LANDSAT 5
