NDVI,month-year,landsat
0.28035874557032603,1984-04-01,LANDSAT 5
0.247586833721127,1984-05-01,LANDSAT 5
0.21392519371568117,1984-06-01,LANDSAT 5
0.3145598801918187,1984-07-01,LANDSAT 5
0.29590543638393124,1984-08-01,LANDSAT 5
0.08929434539591655,1984-10-01,LANDSAT 5
0.1746316940805698,1985-01-01,LANDSAT 5
0.23394482371533568,1985-03-01,LANDSAT 5
0.06854039248780947,1985-04-01,LANDSAT 5
0.3119650082065645,1985-07-01,LANDSAT 5
0.29503067378068026,1985-08-01,LANDSAT 5
0.3297115268429797,1985-09-01,LANDSAT 5
0.3167179948486826,1985-11-01,LANDSAT 5
0.21458958787899862,1985-12-01,LANDSAT 5
0.16030342991554816,1986-01-01,LANDSAT 5
0.2512747139751863,1986-03-01,LANDSAT 5
0.2439667833447567,1986-06-01,LANDSAT 5
0.35993370452334555,1986-07-01,LANDSAT 5
0.3359162071705588,1986-08-01,LANDSAT 5
0.2349047302889346,1986-09-01,LANDSAT 5
0.30408577242195545,1986-10-01,LANDSAT 5
0.27716211773706845,1986-11-01,LANDSAT 5
0.15349504677650563,1986-12-01,LANDSAT 5
0.16853359231987847,1987-01-01,LANDSAT 5
0.11597155244921468,1987-02-01,LANDSAT 5
0.2621895921249786,1987-03-01,LANDSAT 5
0.31449926133647793,1987-04-01,LANDSAT 5
0.0976969244660915,1987-05-01,LANDSAT 5
0.34471244103467075,1987-06-01,LANDSAT 5
0.32198250610708273,1987-07-01,LANDSAT 5
0.2899309737850617,1987-08-01,LANDSAT 5
0.3211657108026972,1987-09-01,LANDSAT 5
0.23026073726365676,1987-10-01,LANDSAT 5
0.21689627230502273,1987-11-01,LANDSAT 5
0.03345327275833127,1987-12-01,LANDSAT 5
0.1288053052747851,1988-01-01,LANDSAT 5
0.16361020940977786,1988-02-01,LANDSAT 5
0.26898089240085504,1988-03-01,LANDSAT 5
0.219266542626303,1988-04-01,LANDSAT 5
0.3204680965608902,1988-06-01,LANDSAT 5
0.2832743990920939,1988-07-01,LANDSAT 5
0.21922547698192943,1988-08-01,LANDSAT 5
0.3101677001169865,1988-09-01,LANDSAT 5
0.33977454237073756,1988-10-01,LANDSAT 5
0.24573284173527854,1988-11-01,LANDSAT 5
0.09658855444178754,1989-01-01,LANDSAT 5
0.1282221401084687,1989-03-01,LANDSAT 5
0.31951138397363343,1989-04-01,LANDSAT 5
0.2194457030311723,1989-05-01,LANDSAT 5
0.078629883831958,1989-06-01,LANDSAT 5
0.3483509463133236,1989-07-01,LANDSAT 5
0.3499971460803903,1989-08-01,LANDSAT 5
0.3333929276975284,1989-09-01,LANDSAT 5
0.25730765867997313,1989-10-01,LANDSAT 5
0.09317497855294911,1989-11-01,LANDSAT 5
0.2121970793463037,1989-12-01,LANDSAT 5
0.24084898143076122,1990-05-01,LANDSAT 5
0.35322217879252144,1990-06-01,LANDSAT 5
0.08103743220486888,1990-07-01,LANDSAT 5
0.2445493442401644,1990-08-01,LANDSAT 5
0.3342280245513479,1990-10-01,LANDSAT 5
0.12078860373643292,1991-02-01,LANDSAT 5
0.17130435075647388,1991-03-01,LANDSAT 5
0.42913969765157123,1991-04-01,LANDSAT 5
0.2897439383529287,1991-05-01,LANDSAT 5
0.22775372823152426,1991-06-01,LANDSAT 5
0.34679969780746667,1991-07-01,LANDSAT 5
0.3649596445972911,1991-08-01,LANDSAT 5
0.205638039582241,1991-09-01,LANDSAT 5
0.26496239828689955,1991-10-01,LANDSAT 5
0.07902983836534633,1991-11-01,LANDSAT 5
0.14104812617033258,1991-12-01,LANDSAT 5
0.10357137075322194,1992-01-01,LANDSAT 5
0.1985465922638867,1992-02-01,LANDSAT 5
0.27291678069831554,1992-03-01,LANDSAT 5
0.3764306346330802,1992-04-01,LANDSAT 5
0.3366685823212526,1992-06-01,LANDSAT 5
0.2982770857615591,1992-07-01,LANDSAT 5
0.3719357948276347,1992-08-01,LANDSAT 5
0.12621592927674166,1992-09-01,LANDSAT 5
0.3415975540812777,1992-10-01,LANDSAT 5
0.18062735912718775,1992-11-01,LANDSAT 5
0.08613954838082215,1992-12-01,LANDSAT 5
0.03533675286182669,1993-01-01,LANDSAT 5
0.05093878040979799,1993-02-01,LANDSAT 5
0.2935731189140365,1993-03-01,LANDSAT 5
0.3047019873852406,1993-04-01,LANDSAT 5
0.3900247624347346,1993-05-01,LANDSAT 5
0.2694481599021364,1993-06-01,LANDSAT 5
0.34330312561902854,1993-07-01,LANDSAT 5
0.21073208839131036,1993-08-01,LANDSAT 5
0.3067934932359453,1993-09-01,LANDSAT 5
0.03731075448059126,1993-10-01,LANDSAT 5
0.17526268184944485,1993-12-01,LANDSAT 5
