NDVI,month-year,landsat
0.3918851747473572,1984-05-01,LANDSAT 5
0.4822611175896556,1984-06-01,LANDSAT 5
0.36800061334387796,1984-07-01,LANDSAT 5
0.39321616838357026,1984-09-01,LANDSAT 5
0.40272787095182355,1984-10-01,LANDSAT 5
0.1401147753413087,1984-11-01,LANDSAT 5
0.15111480638138883,1984-12-01,LANDSAT 5
0.019754983276461538,1985-01-01,LANDSAT 5
0.07240720710958669,1985-02-01,LANDSAT 5
0.2766623102649396,1985-04-01,LANDSAT 5
0.30675590993602636,1985-08-01,LANDSAT 5
0.3294710059355064,1985-09-01,LANDSAT 5
0.12054980325718839,1985-11-01,LANDSAT 5
0.03368077878125436,1986-01-01,LANDSAT 5
0.2220819949824576,1986-02-01,LANDSAT 5
0.24566782387347386,1986-03-01,LANDSAT 5
0.2464279046288329,1986-04-01,LANDSAT 5
0.3074157714937374,1986-05-01,LANDSAT 5
0.23936170321929495,1986-06-01,LANDSAT 5
0.3156224434338846,1986-07-01,LANDSAT 5
0.13512390910450006,1986-08-01,LANDSAT 5
0.2932239042215919,1986-09-01,LANDSAT 5
0.3972181109780568,1986-10-01,LANDSAT 5
0.13176585474381375,1986-12-01,LANDSAT 5
0.06473979713963639,1987-02-01,LANDSAT 5
0.37672085076522216,1987-04-01,LANDSAT 5
0.27588685841382005,1987-05-01,LANDSAT 5
0.5085470075317922,1987-06-01,LANDSAT 5
0.41020628489228217,1987-07-01,LANDSAT 5
0.2157186408171264,1987-08-01,LANDSAT 5
0.3504364625170041,1987-09-01,LANDSAT 5
0.35668565703769417,1987-10-01,LANDSAT 5
0.3040180249595727,1987-11-01,LANDSAT 5
0.10643704304435814,1987-12-01,LANDSAT 5
0.24303508249171452,1988-01-01,LANDSAT 5
0.19918903111915084,1988-02-01,LANDSAT 5
0.27555856274432505,1988-03-01,LANDSAT 5
0.49542007537822835,1988-04-01,LANDSAT 5
0.4681660222635042,1988-05-01,LANDSAT 5
0.4187247209524728,1988-06-01,LANDSAT 5
0.4153999193000257,1988-07-01,LANDSAT 5
0.4657545596311308,1988-08-01,LANDSAT 5
0.2680831487282231,1988-09-01,LANDSAT 5
0.23372247772313282,1988-10-01,LANDSAT 5
0.10228553560501742,1988-11-01,LANDSAT 5
0.24779384843604557,1988-12-01,LANDSAT 5
0.22646094677417913,1989-02-01,LANDSAT 5
0.2411079707063497,1989-03-01,LANDSAT 5
0.4895341214374974,1989-05-01,LANDSAT 5
0.4191106520645543,1989-06-01,LANDSAT 5
0.5037860960405343,1989-08-01,LANDSAT 5
0.43863083791410373,1989-10-01,LANDSAT 5
0.35895078648601597,1989-11-01,LANDSAT 5
0.06761658845286954,1989-12-01,LANDSAT 5
0.3869085911864791,1990-04-01,LANDSAT 5
0.2024074485933205,1990-05-01,LANDSAT 5
0.4803327427090004,1990-06-01,LANDSAT 5
0.3074116793606332,1990-07-01,LANDSAT 5
0.17604874896625572,1990-08-01,LANDSAT 5
0.4089515606959848,1990-09-01,LANDSAT 5
0.2857047841230498,1990-10-01,LANDSAT 5
0.3883970320873142,1990-11-01,LANDSAT 5
0.028177611827891146,1991-01-01,LANDSAT 5
0.1557851033413013,1991-02-01,LANDSAT 5
0.26117469982740554,1991-03-01,LANDSAT 5
0.2147475505091886,1991-04-01,LANDSAT 5
0.5305666696558582,1991-05-01,LANDSAT 5
0.5090117178156913,1991-06-01,LANDSAT 5
0.40446742325508306,1991-07-01,LANDSAT 5
0.03760718402221721,1991-08-01,LANDSAT 5
0.44679503843402557,1991-09-01,LANDSAT 5
0.2899710191958254,1991-10-01,LANDSAT 5
0.2547988102005159,1991-12-01,LANDSAT 5
