NDVI,month-year,landsat
0.3739878006441507,1984-04-01,LANDSAT 5
0.27426011476084317,1984-05-01,LANDSAT 5
0.22089747055652714,1984-06-01,LANDSAT 5
0.31897819649900666,1984-07-01,LANDSAT 5
0.23644172912469394,1984-08-01,LANDSAT 5
0.09646828477254694,1984-10-01,LANDSAT 5
0.12620934847374912,1984-11-01,LANDSAT 5
0.0061889361561119636,1984-12-01,LANDSAT 5
0.09990364528829873,1985-01-01,LANDSAT 5
0.3923553018062994,1985-07-01,LANDSAT 5
0.337313960368278,1985-08-01,LANDSAT 5
0.2047860329898873,1985-11-01,LANDSAT 5
0.30504178181774866,1985-12-01,LANDSAT 5
0.15178656682744587,1986-03-01,LANDSAT 5
0.08729491915267362,1986-06-01,LANDSAT 5
0.38719232857493924,1986-07-01,LANDSAT 5
0.13913603724114273,1986-08-01,LANDSAT 5
0.2523102616291603,1986-09-01,LANDSAT 5
0.39865918522907723,1986-10-01,LANDSAT 5
0.21490416107779362,1986-11-01,LANDSAT 5
0.3088386641601216,1986-12-01,LANDSAT 5
0.09913102082307604,1987-01-01,LANDSAT 5
0.1549576293011597,1987-02-01,LANDSAT 5
0.1615376576671985,1987-03-01,LANDSAT 5
0.41614172908721275,1987-04-01,LANDSAT 5
0.07025740971377836,1987-05-01,LANDSAT 5
0.374810729456269,1987-06-01,LANDSAT 5
0.3697275880658656,1987-07-01,LANDSAT 5
0.3417865742184543,1987-08-01,LANDSAT 5
0.42784469675400383,1987-09-01,LANDSAT 5
0.3732295176432031,1987-10-01,LANDSAT 5
0.33094319113924797,1987-11-01,LANDSAT 5
0.2255433357937922,1988-01-01,LANDSAT 5
0.17031792200533422,1988-02-01,LANDSAT 5
0.22468860137123048,1988-03-01,LANDSAT 5
0.3586525456158188,1988-04-01,LANDSAT 5
0.43854881183161376,1988-05-01,LANDSAT 5
0.38330475629069405,1988-06-01,LANDSAT 5
0.3511548331276305,1988-07-01,LANDSAT 5
0.35819943369317375,1988-08-01,LANDSAT 5
0.33179493842074687,1988-09-01,LANDSAT 5
0.3486782545068939,1988-10-01,LANDSAT 5
0.21406331212687257,1988-11-01,LANDSAT 5
0.25754948529614674,1989-03-01,LANDSAT 5
0.38853731306632927,1989-04-01,LANDSAT 5
0.1294552557206354,1989-05-01,LANDSAT 5
0.27146672482208756,1989-07-01,LANDSAT 5
0.3064847375753289,1989-08-01,LANDSAT 5
0.15580793138322518,1989-09-01,LANDSAT 5
0.34295201783009777,1989-10-01,LANDSAT 5
0.2306281974788305,1989-11-01,LANDSAT 5
0.33856594903789067,1989-12-01,LANDSAT 5
0.18393860479374746,1990-04-01,LANDSAT 5
0.2657009414209575,1990-05-01,LANDSAT 5
0.2803743023933711,1990-06-01,LANDSAT 5
0.045708119086432956,1990-07-01,LANDSAT 5
0.30815273109106395,1990-08-01,LANDSAT 5
0.2754406231587836,1990-09-01,LANDSAT 5
0.39474250856821463,1990-10-01,LANDSAT 5
0.15738238872741936,1990-11-01,LANDSAT 5
0.30846045873510547,1990-12-01,LANDSAT 5
0.18392072812958682,1991-02-01,LANDSAT 5
0.12645280930479277,1991-03-01,LANDSAT 5
0.4669995467579489,1991-04-01,LANDSAT 5
0.24297194204330141,1991-05-01,LANDSAT 5
0.3888478524676155,1991-06-01,LANDSAT 5
0.3901377381401034,1991-07-01,LANDSAT 5
0.38259288475818326,1991-08-01,LANDSAT 5
0.33730492583870386,1991-09-01,LANDSAT 5
0.26505618577543494,1991-11-01,LANDSAT 5
0.23182690888112675,1991-12-01,LANDSAT 5
0.14057451514867572,1992-01-01,LANDSAT 5
0.31296624898878694,1992-02-01,LANDSAT 5
0.3991903912545026,1992-03-01,LANDSAT 5
0.30934161691429274,1992-06-01,LANDSAT 5
0.23321067145936125,1992-07-01,LANDSAT 5
0.36940997025756733,1992-08-01,LANDSAT 5
0.25334502902783945,1992-09-01,LANDSAT 5
0.3197680140239333,1992-10-01,LANDSAT 5
0.29017030311608744,1992-11-01,LANDSAT 5
0.2005956363131002,1992-12-01,LANDSAT 5
0.10710639170446054,1993-01-01,LANDSAT 5
0.3811353916889993,1993-03-01,LANDSAT 5
0.38110853151509616,1993-04-01,LANDSAT 5
0.4304005592226035,1993-05-01,LANDSAT 5
0.20202442399166942,1993-06-01,LANDSAT 5
