NDVI,month-year,landsat
0.23842833476034117,1984-04-01,LANDSAT 5
0.20317070451345243,1984-05-01,LANDSAT 5
0.19692226560851506,1984-06-01,LANDSAT 5
0.25617518295048763,1984-07-01,LANDSAT 5
0.2892906021758463,1984-08-01,LANDSAT 5
0.21918354677108878,1984-09-01,LANDSAT 5
0.2016619123731699,1984-10-01,LANDSAT 5
0.1930963515603839,1984-11-01,LANDSAT 5
0.1398878980687875,1984-12-01,LANDSAT 5
0.09907710740770294,1985-01-01,LANDSAT 5
0.2583593974569822,1985-02-01,LANDSAT 5
0.20838593340467587,1985-03-01,LANDSAT 5
0.24277639065008885,1985-04-01,LANDSAT 5
0.2381896152711917,1985-06-01,LANDSAT 5
0.24668106582095436,1985-07-01,LANDSAT 5
0.27930278137395237,1985-08-01,LANDSAT 5
0.2375019403201122,1985-09-01,LANDSAT 5
0.23364022947146462,1985-10-01,LANDSAT 5
0.1517057794524689,1985-11-01,LANDSAT 5
0.06548031531728356,1985-12-01,LANDSAT 5
0.2397004602678784,1986-01-01,LANDSAT 5
0.1630516423142288,1986-02-01,LANDSAT 5
0.08126570520588117,1986-03-01,LANDSAT 5
0.148482033909305,1986-04-01,LANDSAT 5
0.22258893012319914,1986-05-01,LANDSAT 5
0.22782873837726084,1986-06-01,LANDSAT 5
0.27239114275129456,1986-07-01,LANDSAT 5
0.2748321711383529,1986-08-01,LANDSAT 5
0.258166391939904,1986-09-01,LANDSAT 5
0.13779751303855434,1986-10-01,LANDSAT 5
0.1807335667511045,1986-11-01,LANDSAT 5
0.029424997010647713,1986-12-01,LANDSAT 5
0.13174075289991105,1987-01-01,LANDSAT 5
0.13535885197687145,1987-02-01,LANDSAT 5
0.166001885051859,1987-03-01,LANDSAT 5
0.200095917893714,1987-04-01,LANDSAT 5
0.20001713729244167,1987-05-01,LANDSAT 5
0.24224930816813298,1987-06-01,LANDSAT 5
0.2569503097526245,1987-07-01,LANDSAT 5
0.2624909965462151,1987-08-01,LANDSAT 5
0.241584885138389,1987-09-01,LANDSAT 5
0.13191770154928953,1987-10-01,LANDSAT 5
0.2363038950356686,1988-03-01,LANDSAT 5
0.19634452572109176,1988-04-01,LANDSAT 5
0.21108061038811926,1988-05-01,LANDSAT 5
0.23559683099840362,1988-06-01,LANDSAT 5
0.2670466735040259,1988-07-01,LANDSAT 5
0.26969897531057957,1988-08-01,LANDSAT 5
0.23827109909924427,1988-09-01,LANDSAT 5
0.19528924483386648,1988-10-01,LANDSAT 5
0.12064246959366436,1988-12-01,LANDSAT 5
0.17556550060963394,1989-01-01,LANDSAT 5
0.2316888284114032,1989-02-01,LANDSAT 5
0.22828137650850439,1989-03-01,LANDSAT 5
0.2141197237792196,1989-04-01,LANDSAT 5
0.18055004951622936,1989-05-01,LANDSAT 5
0.24727575940285249,1989-06-01,LANDSAT 5
0.26235748656324615,1989-07-01,LANDSAT 5
0.2616947181553226,1989-08-01,LANDSAT 5
0.2524854425215206,1989-09-01,LANDSAT 5
0.18465494801240753,1989-10-01,LANDSAT 5
0.1902689842582369,1989-11-01,LANDSAT 5
0.07684445245432349,1989-12-01,LANDSAT 5
0.0818755798503822,1990-01-01,LANDSAT 5
0.13255954258839597,1990-02-01,LANDSAT 5
0.2276627409868683,1990-03-01,LANDSAT 5
0.22977151854835967,1990-04-01,LANDSAT 5
0.22332352822931723,1990-05-01,LANDSAT 5
0.23779297512219236,1990-06-01,LANDSAT 5
0.2726976053827883,1990-07-01,LANDSAT 5
0.26784690955341667,1990-08-01,LANDSAT 5
0.2373519319700313,1990-09-01,LANDSAT 5
0.21042423868336077,1990-10-01,LANDSAT 5
0.266695522285642,1991-03-01,LANDSAT 5
0.22841370250133536,1991-04-01,LANDSAT 5
0.22397004116355057,1991-05-01,LANDSAT 5
0.2468629110996656,1991-06-01,LANDSAT 5
0.27331442730394656,1991-07-01,LANDSAT 5
0.291343461119352,1991-08-01,LANDSAT 5
0.2525797180790192,1991-09-01,LANDSAT 5
0.23953610818678664,1991-10-01,LANDSAT 5
0.1526823084280065,1991-11-01,LANDSAT 5
0.06683873468496859,1991-12-01,LANDSAT 5
0.15510215815830236,1992-01-01,LANDSAT 5
0.10622394451309537,1992-02-01,LANDSAT 5
0.24550427477685652,1992-03-01,LANDSAT 5
0.1875396706720657,1992-04-01,LANDSAT 5
0.2110263834588287,1992-05-01,LANDSAT 5
0.23945216615834902,1992-06-01,LANDSAT 5
0.21118215844976773,1992-07-01,LANDSAT 5
0.24944599036576226,1992-08-01,LANDSAT 5
0.2295606865120191,1992-09-01,LANDSAT 5
0.17772232410908437,1992-10-01,LANDSAT 5
0.17391292135198685,1992-11-01,LANDSAT 5
0.1522877157541398,1992-12-01,LANDSAT 5
0.08987934774881677,1993-01-01,LANDSAT 5
0.18172083518658375,1993-02-01,LANDSAT 5
0.21867498504863628,1993-03-01,LANDSAT 5
0.23692803954729114,1993-04-01,LANDSAT 5
0.21928319696897053,1993-05-01,LANDSAT 5
0.17930115164360547,1993-06-01,LANDSAT 5
0.25789250116719564,1993-07-01,LANDSAT 5
0.2494177709475411,1993-08-01,LANDSAT 5
0.22512933496927925,1993-09-01,LANDSAT 5
0.2128471448645691,1993-10-01,LANDSAT 5
0.15278502158710405,1993-11-01,LANDSAT 5
0.09995416776309546,1993-12-01,LANDSAT 5
0.16652847962084225,1994-01-01,LANDSAT 5
0.2170972577844855,1994-02-01,LANDSAT 5
0.23962176083001102,1994-03-01,LANDSAT 5
0.1542469658976117,1994-04-01,LANDSAT 5
