NDVI,month-year,landsat
0.15329994380748035,1984-03-01,LANDSAT 5
0.30938922288297704,1984-06-01,LANDSAT 5
0.3111823271408554,1984-08-01,LANDSAT 5
0.11090433253543505,1984-09-01,LANDSAT 5
0.24936804118321965,1984-10-01,LANDSAT 5
0.15965281137089507,1984-11-01,LANDSAT 5
0.018563865067545048,1984-12-01,LANDSAT 5
0.03112470421642503,1985-02-01,LANDSAT 5
0.03228058601444113,1985-03-01,LANDSAT 5
0.14936514196594058,1985-04-01,LANDSAT 5
0.24831191470883715,1985-08-01,LANDSAT 5
0.3076307760608254,1985-09-01,LANDSAT 5
0.31370812763517736,1985-10-01,LANDSAT 5
0.18037642702620377,1985-11-01,LANDSAT 5
0.06410930320489486,1985-12-01,LANDSAT 5
0.14590323293638585,1986-01-01,LANDSAT 5
0.1164012175379673,1986-02-01,LANDSAT 5
0.10803553447303177,1986-03-01,LANDSAT 5
0.23990616756539632,1986-06-01,LANDSAT 5
0.14194342864358908,1986-07-01,LANDSAT 5
0.286122439923998,1986-09-01,LANDSAT 5
0.30066344464193895,1986-10-01,LANDSAT 5
0.14181191879893737,1986-12-01,LANDSAT 5
0.06939638473728206,1987-01-01,LANDSAT 5
0.004680519367194475,1987-02-01,LANDSAT 5
0.14173974482823884,1987-03-01,LANDSAT 5
0.2677089904812645,1987-04-01,LANDSAT 5
0.3059739612376085,1987-05-01,LANDSAT 5
0.30345058271831954,1987-06-01,LANDSAT 5
0.22751760039347846,1987-07-01,LANDSAT 5
0.2897302649158492,1987-08-01,LANDSAT 5
0.30536698014157354,1987-09-01,LANDSAT 5
0.044289647881290535,1987-10-01,LANDSAT 5
0.14313753190052236,1987-11-01,LANDSAT 5
0.06275359895024571,1987-12-01,LANDSAT 5
0.01575810933501368,1988-01-01,LANDSAT 5
0.013414428680477786,1988-02-01,LANDSAT 5
0.14089592845529658,1988-03-01,LANDSAT 5
0.0814925828752785,1988-04-01,LANDSAT 5
0.2841978603715356,1988-06-01,LANDSAT 5
0.1521315412352933,1988-07-01,LANDSAT 5
0.2636531260735694,1988-08-01,LANDSAT 5
0.2956447727580482,1988-09-01,LANDSAT 5
0.2865782993390962,1988-10-01,LANDSAT 5
0.15555774907927192,1988-11-01,LANDSAT 5
0.11821297485411704,1989-02-01,LANDSAT 5
0.12208458090713303,1989-03-01,LANDSAT 5
0.2603336419632512,1989-05-01,LANDSAT 5
0.19963861922350673,1989-07-01,LANDSAT 5
0.34585339434523255,1989-08-01,LANDSAT 5
0.26175912466137985,1989-09-01,LANDSAT 5
0.10168439861416682,1990-01-01,LANDSAT 5
0.3476564069729101,1990-05-01,LANDSAT 5
0.15667823765054364,1990-06-01,LANDSAT 5
0.03425317114858938,1990-07-01,LANDSAT 5
0.2774671977396354,1990-08-01,LANDSAT 5
0.20494910111579087,1990-09-01,LANDSAT 5
0.19079188259183535,1990-10-01,LANDSAT 5
0.14851534080599252,1990-11-01,LANDSAT 5
0.02247954252461636,1990-12-01,LANDSAT 5
0.08352757407451478,1991-01-01,LANDSAT 5
0.1439177244176658,1991-02-01,LANDSAT 5
0.06713479518243036,1991-03-01,LANDSAT 5
0.17234857148906696,1991-04-01,LANDSAT 5
0.20393284667694386,1991-05-01,LANDSAT 5
0.16030393223204412,1991-06-01,LANDSAT 5
0.10241025850743196,1991-07-01,LANDSAT 5
0.18885074405494243,1991-08-01,LANDSAT 5
0.23862694866706488,1991-09-01,LANDSAT 5
0.3190565139449682,1991-10-01,LANDSAT 5
0.1473107422031398,1991-11-01,LANDSAT 5
0.1495804465914618,1991-12-01,LANDSAT 5
0.1020782599361944,1992-01-01,LANDSAT 5
0.06744463194958808,1992-02-01,LANDSAT 5
0.1453054706315086,1992-04-01,LANDSAT 5
0.09264923855312933,1992-05-01,LANDSAT 5
0.22077567732803363,1992-06-01,LANDSAT 5
0.23024089330839864,1992-09-01,LANDSAT 5
0.31701007305393925,1992-10-01,LANDSAT 5
0.03452960208064102,1992-12-01,LANDSAT 5
0.14735941657545448,1993-01-01,LANDSAT 5
0.09842696696796406,1993-02-01,LANDSAT 5
