NDVI,month-year,landsat
0.1993218625979506,1984-04-01,LANDSAT 5
0.04302780058552646,1984-05-01,LANDSAT 5
0.3351255289463593,1984-06-01,LANDSAT 5
0.35202412809238587,1984-07-01,LANDSAT 5
0.2966781814811169,1984-08-01,LANDSAT 5
0.2525388719860824,1984-09-01,LANDSAT 5
0.08013806800988871,1984-10-01,LANDSAT 5
0.10464258723229655,1984-11-01,LANDSAT 5
0.09591569145873605,1984-12-01,LANDSAT 5
0.06447829238834593,1985-01-01,LANDSAT 5
0.10363381942559909,1985-02-01,LANDSAT 5
0.041693445109770674,1985-03-01,LANDSAT 5
0.06035475878739897,1985-04-01,LANDSAT 5
0.3004283061713083,1985-05-01,LANDSAT 5
0.2760326212299364,1985-06-01,LANDSAT 5
0.2969191726274014,1985-07-01,LANDSAT 5
0.2953306006150576,1985-08-01,LANDSAT 5
0.35835118704159086,1985-09-01,LANDSAT 5
0.24978177563099882,1985-10-01,LANDSAT 5
0.08872396970649653,1985-11-01,LANDSAT 5
0.02581039779497607,1986-01-01,LANDSAT 5
0.04812190681596872,1986-02-01,LANDSAT 5
0.038834201155473584,1986-03-01,LANDSAT 5
0.14016163504044513,1986-04-01,LANDSAT 5
0.29586221461598755,1986-05-01,LANDSAT 5
0.4086382275363023,1986-06-01,LANDSAT 5
0.42995767402147944,1986-07-01,LANDSAT 5
0.38003544387727245,1986-08-01,LANDSAT 5
0.010010289253185521,1986-09-01,LANDSAT 5
0.20333752920502024,1986-10-01,LANDSAT 5
0.020778377506651395,1986-11-01,LANDSAT 5
0.037958322052102214,1986-12-01,LANDSAT 5
0.061775730063684774,1987-01-01,LANDSAT 5
0.0538856919743484,1987-02-01,LANDSAT 5
0.1306928928299592,1987-03-01,LANDSAT 5
0.16780648752177516,1987-04-01,LANDSAT 5
0.40398830819806897,1987-05-01,LANDSAT 5
0.38439838085883365,1987-06-01,LANDSAT 5
0.23297537596373405,1987-07-01,LANDSAT 5
0.3819191604464181,1987-08-01,LANDSAT 5
0.3154697338437267,1987-09-01,LANDSAT 5
0.12544248854419318,1987-10-01,LANDSAT 5
0.06059393499504527,1988-03-01,LANDSAT 5
0.1546638812501648,1988-04-01,LANDSAT 5
0.2511617395152549,1988-05-01,LANDSAT 5
0.27215923218505345,1988-06-01,LANDSAT 5
0.1884648791463798,1988-07-01,LANDSAT 5
0.26767450108987856,1988-08-01,LANDSAT 5
0.20741975875447016,1988-09-01,LANDSAT 5
0.20304168077676427,1988-10-01,LANDSAT 5
0.04353359886001569,1989-03-01,LANDSAT 5
0.07881169985317811,1989-04-01,LANDSAT 5
0.23078693849811474,1989-05-01,LANDSAT 5
0.1964284686958813,1989-06-01,LANDSAT 5
0.2581434735306892,1989-07-01,LANDSAT 5
0.31969218643319325,1989-08-01,LANDSAT 5
0.2833015475119799,1989-09-01,LANDSAT 5
0.1366971386258049,1989-10-01,LANDSAT 5
0.03481146881139138,1990-03-01,LANDSAT 5
0.14824593416093917,1990-04-01,LANDSAT 5
0.1538694952231921,1990-05-01,LANDSAT 5
0.1980246633150239,1990-06-01,LANDSAT 5
0.346089917267496,1990-07-01,LANDSAT 5
0.3245942732671464,1990-08-01,LANDSAT 5
0.18361947254003247,1990-09-01,LANDSAT 5
0.19491107196314203,1990-10-01,LANDSAT 5
0.1356931055468305,1991-03-01,LANDSAT 5
0.1255701050117917,1991-04-01,LANDSAT 5
0.278963583594834,1991-05-01,LANDSAT 5
0.3566711793866292,1991-06-01,LANDSAT 5
0.3767203825170777,1991-07-01,LANDSAT 5
0.2690227109153154,1991-08-01,LANDSAT 5
0.21658639669034108,1991-09-01,LANDSAT 5
0.09709636091179832,1991-10-01,LANDSAT 5
0.0628785107081642,1992-03-01,LANDSAT 5
0.21757825198982989,1992-04-01,LANDSAT 5
0.3327549323679882,1992-05-01,LANDSAT 5
0.3229341282567495,1992-06-01,LANDSAT 5
0.28379127839730556,1992-07-01,LANDSAT 5
0.37823180046714927,1992-08-01,LANDSAT 5
0.29321189033666695,1992-09-01,LANDSAT 5
0.17238114886927,1992-10-01,LANDSAT 5
0.06461253740396795,1992-11-01,LANDSAT 5
0.024999862805278817,1992-12-01,LANDSAT 5
0.0029087472773582086,1993-01-01,LANDSAT 5
0.021967794987694477,1993-02-01,LANDSAT 5
0.06793326965826998,1993-03-01,LANDSAT 5
0.18579952388214183,1993-04-01,LANDSAT 5
0.19425113359289628,1993-05-01,LANDSAT 5
0.25975674769856205,1993-06-01,LANDSAT 5
0.17065028262177281,1993-07-01,LANDSAT 5
0.38579196284334344,1993-08-01,LANDSAT 5
0.1983431653540792,1993-09-01,LANDSAT 5
0.18457882236229795,1993-10-01,LANDSAT 5
0.11485637800698285,1993-11-01,LANDSAT 5
0.004833136801878192,1993-12-01,LANDSAT 5
0.005904083364122183,1994-01-01,LANDSAT 5
0.00621170671500074,1994-02-01,LANDSAT 5
0.01818875836242355,1994-03-01,LANDSAT 5
0.029435654632860127,1994-04-01,LANDSAT 5
0.3533949268841739,1994-05-01,LANDSAT 5
0.23188600444882654,1994-06-01,LANDSAT 5
0.3752004786092147,1994-07-01,LANDSAT 5
0.3377234438191136,1994-08-01,LANDSAT 5
0.07168591092695499,1994-09-01,LANDSAT 5
0.29318902018482534,1994-10-01,LANDSAT 5
0.060998416813464434,1994-11-01,LANDSAT 5
0.0014870987103239625,1994-12-01,LANDSAT 5
0.019027587386000147,1995-01-01,LANDSAT 5
0.023341050567256726,1995-02-01,LANDSAT 5
0.06615701194865048,1995-03-01,LANDSAT 5
0.13095332432310303,1995-04-01,LANDSAT 5
0.2653147178487954,1995-05-01,LANDSAT 5
0.18866699339385662,1995-06-01,LANDSAT 5
0.45729005996568123,1995-07-01,LANDSAT 5
0.37931569581984537,1995-08-01,LANDSAT 5
0.14160664621444288,1995-09-01,LANDSAT 5
0.25056009397688006,1995-10-01,LANDSAT 5
0.08639146153419812,1995-11-01,LANDSAT 5
0.02336711730580937,1995-12-01,LANDSAT 5
0.01644158278818089,1996-02-01,LANDSAT 5
0.07002080995890418,1996-03-01,LANDSAT 5
