NDVI,month-year,landsat
0.33431550200073973,1984-05-01,LANDSAT 5
0.3057313376686201,1984-06-01,LANDSAT 5
0.2933163002309615,1984-07-01,LANDSAT 5
0.3511263682323269,1984-08-01,LANDSAT 5
0.2031244218742073,1984-10-01,LANDSAT 5
0.059181731900488435,1984-12-01,LANDSAT 5
0.03234216039994644,1985-01-01,LANDSAT 5
0.0942451638665077,1985-02-01,LANDSAT 5
0.16777725769398988,1985-03-01,LANDSAT 5
0.26709806559333404,1985-04-01,LANDSAT 5
0.3054293565983415,1985-05-01,LANDSAT 5
0.33045578904956646,1985-06-01,LANDSAT 5
0.27055146776892897,1985-07-01,LANDSAT 5
0.19573762095569494,1985-08-01,LANDSAT 5
0.21000406381891001,1985-09-01,LANDSAT 5
0.2844487950031686,1985-10-01,LANDSAT 5
0.19223263619080755,1985-11-01,LANDSAT 5
0.01671011542796957,1985-12-01,LANDSAT 5
0.0963142771817748,1986-01-01,LANDSAT 5
0.22977825523735815,1986-02-01,LANDSAT 5
0.0706470141460185,1986-03-01,LANDSAT 5
0.24325407882103295,1986-04-01,LANDSAT 5
0.23806604787017357,1986-05-01,LANDSAT 5
0.28760334507841023,1986-06-01,LANDSAT 5
0.29809263335296227,1986-07-01,LANDSAT 5
0.16429110335270666,1986-08-01,LANDSAT 5
0.23739139447866225,1986-09-01,LANDSAT 5
0.21640106746478524,1986-10-01,LANDSAT 5
0.1313754803294411,1986-11-01,LANDSAT 5
0.08361126026388661,1986-12-01,LANDSAT 5
0.07301207627703193,1987-01-01,LANDSAT 5
0.1506057362118982,1987-02-01,LANDSAT 5
0.1534622585705504,1987-03-01,LANDSAT 5
0.25506611846933913,1987-04-01,LANDSAT 5
0.3021412457030242,1987-05-01,LANDSAT 5
0.21022285444305586,1987-06-01,LANDSAT 5
0.187948852485696,1987-07-01,LANDSAT 5
0.2035033960195266,1987-08-01,LANDSAT 5
0.21810228811778273,1987-09-01,LANDSAT 5
0.13971424053187123,1987-10-01,LANDSAT 5
0.19651279012296924,1988-03-01,LANDSAT 5
0.21687266232712651,1988-04-01,LANDSAT 5
0.29225229153208104,1988-05-01,LANDSAT 5
0.2865310254783707,1988-06-01,LANDSAT 5
0.2400970014160946,1988-07-01,LANDSAT 5
0.16573153944460375,1988-08-01,LANDSAT 5
0.16418489900576444,1988-09-01,LANDSAT 5
0.09582023315721229,1988-10-01,LANDSAT 5
0.06380593449604247,1989-02-01,LANDSAT 5
0.02990382285566498,1989-03-01,LANDSAT 5
0.26601087538811746,1989-04-01,LANDSAT 5
0.2834067387454736,1989-05-01,LANDSAT 5
0.2670213963448705,1989-06-01,LANDSAT 5
0.2872156951428596,1989-07-01,LANDSAT 5
0.23533843628540663,1989-08-01,LANDSAT 5
0.2043551444597883,1989-09-01,LANDSAT 5
0.23855809759387273,1989-10-01,LANDSAT 5
0.19047585940734213,1990-03-01,LANDSAT 5
0.07757176551397345,1990-04-01,LANDSAT 5
0.23838236931740972,1990-05-01,LANDSAT 5
0.21684822850844473,1990-06-01,LANDSAT 5
0.32873907311496164,1990-07-01,LANDSAT 5
0.19020135270557462,1990-08-01,LANDSAT 5
0.12495420607182034,1990-09-01,LANDSAT 5
0.07225640470777409,1990-10-01,LANDSAT 5
0.23209820817833007,1991-03-01,LANDSAT 5
0.2947248809702828,1991-04-01,LANDSAT 5
0.3755483641584597,1991-05-01,LANDSAT 5
0.32195973239903736,1991-06-01,LANDSAT 5
0.2951817409320375,1991-07-01,LANDSAT 5
0.242475973236754,1991-08-01,LANDSAT 5
0.21835388818383597,1991-09-01,LANDSAT 5
0.10404502471607946,1991-10-01,LANDSAT 5
0.13295593004607162,1992-01-01,LANDSAT 5
0.13292108242300307,1992-02-01,LANDSAT 5
0.27311743537332667,1992-03-01,LANDSAT 5
0.30278616833736416,1992-04-01,LANDSAT 5
0.20621632607963106,1992-05-01,LANDSAT 5
0.24602091091933445,1992-06-01,LANDSAT 5
0.23084775680795855,1992-07-01,LANDSAT 5
0.18733889772176884,1992-08-01,LANDSAT 5
0.17963444245500296,1992-09-01,LANDSAT 5
0.1296066372979557,1992-10-01,LANDSAT 5
0.06768389197747418,1992-11-01,LANDSAT 5
0.04866480773465219,1992-12-01,LANDSAT 5
0.0072891201100942,1993-01-01,LANDSAT 5
0.01694969048871579,1993-02-01,LANDSAT 5
0.08867153398141804,1993-03-01,LANDSAT 5
0.21190702795870922,1993-04-01,LANDSAT 5
0.32566287740666033,1993-05-01,LANDSAT 5
0.2844805664174124,1993-06-01,LANDSAT 5
0.3206527911699993,1993-07-01,LANDSAT 5
0.28681924979635154,1993-08-01,LANDSAT 5
0.23334821541844922,1993-09-01,LANDSAT 5
0.19307680120522522,1993-10-01,LANDSAT 5
0.16159693904447614,1993-11-01,LANDSAT 5
0.11564186607786053,1993-12-01,LANDSAT 5
0.05220279695053599,1994-01-01,LANDSAT 5
0.10112492628592085,1994-02-01,LANDSAT 5
0.18697093601189288,1994-03-01,LANDSAT 5
0.1546526851605089,1994-04-01,LANDSAT 5
0.252821095430021,1994-05-01,LANDSAT 5
0.2871399284080747,1994-06-01,LANDSAT 5
0.23417896699180218,1994-07-01,LANDSAT 5
0.169484685113157,1994-08-01,LANDSAT 5
0.20828808366617993,1994-09-01,LANDSAT 5
0.20202992533482286,1994-10-01,LANDSAT 5
0.1661355034374646,1994-11-01,LANDSAT 5
-0.0008681193712104069,1994-12-01,LANDSAT 5
0.06180245516682689,1995-01-01,LANDSAT 5
0.14888014126392904,1995-02-01,LANDSAT 5
0.2519311540461417,1995-03-01,LANDSAT 5
0.3076710963916019,1995-04-01,LANDSAT 5
0.2929200870483139,1995-05-01,LANDSAT 5
0.34343192944971035,1995-06-01,LANDSAT 5
0.28421634068729223,1995-07-01,LANDSAT 5
0.22727020929606115,1995-08-01,LANDSAT 5
0.09897702119727661,1995-09-01,LANDSAT 5
0.1967352467040889,1995-10-01,LANDSAT 5
0.12388685923599375,1995-11-01,LANDSAT 5
0.08140580480394315,1995-12-01,LANDSAT 5
0.05984534110800343,1996-01-01,LANDSAT 5
0.16617022911570642,1996-02-01,LANDSAT 5
0.1448788396252095,1996-03-01,LANDSAT 5
0.26426088835276607,1996-04-01,LANDSAT 5
0.33728685227969335,1996-05-01,LANDSAT 5
0.33988886428065407,1996-06-01,LANDSAT 5
0.25401185199492,1996-07-01,LANDSAT 5
0.17531588158506933,1996-08-01,LANDSAT 5
0.21824764454435744,1996-09-01,LANDSAT 5
0.18197008178183444,1996-10-01,LANDSAT 5
0.12702859178086945,1996-11-01,LANDSAT 5
0.06730796173307133,1996-12-01,LANDSAT 5
0.0830087647550837,1997-01-01,LANDSAT 5
0.05032197480380305,1997-02-01,LANDSAT 5
0.20881108140816804,1997-03-01,LANDSAT 5
0.1557194825781736,1997-04-01,LANDSAT 5
0.24916497975973684,1997-05-01,LANDSAT 5
0.33315204953442995,1997-06-01,LANDSAT 5
0.30448473905205475,1997-07-01,LANDSAT 5
0.24916957766270664,1997-08-01,LANDSAT 5
0.25264425521790457,1997-09-01,LANDSAT 5
0.2031722573341449,1997-10-01,LANDSAT 5
0.12568265591745245,1997-11-01,LANDSAT 5
0.07448985069750072,1997-12-01,LANDSAT 5
0.06248472754070629,1998-01-01,LANDSAT 5
0.09034165164867793,1998-02-01,LANDSAT 5
