NDVI,month-year,landsat
0.08728244401478763,1984-04-01,LANDSAT 5
0.20457753170771575,1984-06-01,LANDSAT 5
0.031112292383319005,1984-08-01,LANDSAT 5
0.26192092051572047,1984-09-01,LANDSAT 5
0.13460885072390535,1984-10-01,LANDSAT 5
0.0653484415208499,1984-11-01,LANDSAT 5
0.02988333635994956,1985-01-01,LANDSAT 5
0.038963412684419337,1985-02-01,LANDSAT 5
0.0778493949176923,1985-04-01,LANDSAT 5
0.32353720442526146,1985-06-01,LANDSAT 5
0.3161635963586297,1985-08-01,LANDSAT 5
0.10858329758602954,1985-09-01,LANDSAT 5
0.23037750162705503,1985-10-01,LANDSAT 5
0.08039327471222595,1986-01-01,LANDSAT 5
0.045432189581683255,1986-05-01,LANDSAT 5
0.2349437188423071,1986-06-01,LANDSAT 5
0.30966773314399354,1986-07-01,LANDSAT 5
0.18061114891226165,1986-08-01,LANDSAT 5
0.3084723944685412,1986-09-01,LANDSAT 5
0.2060089450242934,1986-10-01,LANDSAT 5
0.07309319840268312,1986-11-01,LANDSAT 5
0.01862690463190493,1986-12-01,LANDSAT 5
0.01862690463190493,1987-01-01,LANDSAT 5
0.015291450193039806,1987-02-01,LANDSAT 5
0.05721647843358411,1987-03-01,LANDSAT 5
0.10017885481342677,1987-04-01,LANDSAT 5
0.2792710096721438,1987-06-01,LANDSAT 5
0.009487840727884805,1987-07-01,LANDSAT 5
0.24504478788951803,1987-08-01,LANDSAT 5
0.2942507933387528,1987-09-01,LANDSAT 5
0.20705569613671485,1987-10-01,LANDSAT 5
0.10099287582439993,1987-11-01,LANDSAT 5
0.07495611551382039,1987-12-01,LANDSAT 5
0.009774053995774596,1988-01-01,LANDSAT 5
0.1397222320545881,1988-04-01,LANDSAT 5
0.2155649552797351,1988-05-01,LANDSAT 5
0.29034615090639626,1988-06-01,LANDSAT 5
0.1435700892817496,1988-07-01,LANDSAT 5
0.2655876864765179,1988-08-01,LANDSAT 5
0.10590928468345365,1988-09-01,LANDSAT 5
0.15448593133519367,1988-10-01,LANDSAT 5
0.050080700944315895,1988-11-01,LANDSAT 5
0.06790119811034175,1989-01-01,LANDSAT 5
0.012039834258871507,1989-02-01,LANDSAT 5
0.03712906253807714,1989-03-01,LANDSAT 5
0.03605507880890718,1989-04-01,LANDSAT 5
0.018553292353421555,1989-05-01,LANDSAT 5
0.1676551131465596,1989-06-01,LANDSAT 5
0.25763745646471603,1989-07-01,LANDSAT 5
0.1237977502263861,1989-08-01,LANDSAT 5
0.2640716036991898,1989-09-01,LANDSAT 5
0.22462014247451947,1989-10-01,LANDSAT 5
0.08422222581089636,1989-12-01,LANDSAT 5
0.010249574993487099,1990-01-01,LANDSAT 5
0.14121984283484262,1990-05-01,LANDSAT 5
0.06283280907042255,1990-06-01,LANDSAT 5
0.14210397575976733,1990-07-01,LANDSAT 5
0.06306181051847959,1990-08-01,LANDSAT 5
0.2431810262368303,1990-09-01,LANDSAT 5
-0.02326098444726762,1990-10-01,LANDSAT 5
0.10515625573308322,1990-11-01,LANDSAT 5
0.01879386574456851,1990-12-01,LANDSAT 5
0.01858435558731446,1991-01-01,LANDSAT 5
0.11334705900108658,1991-03-01,LANDSAT 5
0.13650597228150654,1991-04-01,LANDSAT 5
0.21019461376133824,1991-05-01,LANDSAT 5
0.2110911707695467,1991-06-01,LANDSAT 5
0.3088565071073592,1991-07-01,LANDSAT 5
0.26720209060714595,1991-08-01,LANDSAT 5
0.19615887468404403,1991-09-01,LANDSAT 5
0.22961841673636738,1991-10-01,LANDSAT 5
0.13967567806413025,1991-11-01,LANDSAT 5
0.052659832721902694,1991-12-01,LANDSAT 5
0.06147874136562765,1992-01-01,LANDSAT 5
0.04440953277465649,1992-02-01,LANDSAT 5
0.04348494241232733,1992-03-01,LANDSAT 5
0.07667783732136277,1992-04-01,LANDSAT 5
0.12213743640997522,1992-05-01,LANDSAT 5
0.2466677366143939,1992-06-01,LANDSAT 5
0.14976238233586778,1992-07-01,LANDSAT 5
0.22749513597711618,1992-09-01,LANDSAT 5
0.005858794274591508,1992-10-01,LANDSAT 5
0.1435007642770102,1992-11-01,LANDSAT 5
0.05525059350264829,1992-12-01,LANDSAT 5
0.02857528842746115,1993-01-01,LANDSAT 5
0.04474139237775674,1993-02-01,LANDSAT 5
-0.011213151272184614,1993-03-01,LANDSAT 5
0.06790871988867908,1993-04-01,LANDSAT 5
0.2113164888914005,1993-05-01,LANDSAT 5
0.2386686328109316,1993-06-01,LANDSAT 5
0.2468398680445307,1993-07-01,LANDSAT 5
0.24165960940322656,1993-08-01,LANDSAT 5
0.16190453036823496,1993-09-01,LANDSAT 5
0.1647291998526834,1993-10-01,LANDSAT 5
0.03367123263631791,1993-11-01,LANDSAT 5
0.01670606967237224,1994-01-01,LANDSAT 5
-0.000106256366081934,1994-02-01,LANDSAT 5
0.1689657226457858,1994-04-01,LANDSAT 5
0.24098549240682293,1994-05-01,LANDSAT 5
0.23606753696349975,1994-06-01,LANDSAT 5
0.1589558602766325,1994-07-01,LANDSAT 5
0.3024831150600121,1994-08-01,LANDSAT 5
0.29360195644142656,1994-09-01,LANDSAT 5
0.11541253088460975,1994-11-01,LANDSAT 5
0.06773551965372766,1994-12-01,LANDSAT 5
0.0639249803034318,1995-01-01,LANDSAT 5
0.049450013531628784,1995-02-01,LANDSAT 5
0.027669708694757655,1995-03-01,LANDSAT 5
0.01898309083397979,1995-04-01,LANDSAT 5
0.01340383020145841,1995-05-01,LANDSAT 5
0.2085116324225768,1995-06-01,LANDSAT 5
0.2853595069767846,1995-07-01,LANDSAT 5
0.2455754903585685,1995-08-01,LANDSAT 5
0.24660123699967168,1995-09-01,LANDSAT 5
