NDVI,month-year,landsat
0.10100899168921142,1984-04-01,LANDSAT 5
0.23500723320943906,1984-05-01,LANDSAT 5
0.22978669507552912,1984-06-01,LANDSAT 5
0.15078896073750933,1984-07-01,LANDSAT 5
0.19822276531908645,1984-08-01,LANDSAT 5
0.19902646661587042,1984-09-01,LANDSAT 5
0.06367611098385906,1984-10-01,LANDSAT 5
0.21313497038583756,1984-11-01,LANDSAT 5
0.18317178714004537,1984-12-01,LANDSAT 5
0.1313733422740663,1985-01-01,LANDSAT 5
0.22065015108539796,1985-03-01,LANDSAT 5
0.23363924200659236,1985-05-01,LANDSAT 5
0.2308133355734947,1985-06-01,LANDSAT 5
0.21170833387685542,1985-07-01,LANDSAT 5
0.2211201354555867,1985-08-01,LANDSAT 5
0.20349669634988843,1985-09-01,LANDSAT 5
0.11996059296574405,1985-10-01,LANDSAT 5
0.0832238239372613,1985-11-01,LANDSAT 5
0.11339270585261993,1985-12-01,LANDSAT 5
0.11964355241408269,1986-01-01,LANDSAT 5
0.1257083212302191,1986-02-01,LANDSAT 5
0.17818091196750233,1986-03-01,LANDSAT 5
0.15663384245573114,1986-04-01,LANDSAT 5
0.20371631007091448,1986-05-01,LANDSAT 5
0.2242348063721228,1986-06-01,LANDSAT 5
0.23808310034920935,1986-07-01,LANDSAT 5
0.22788664721689364,1986-08-01,LANDSAT 5
0.22187132803258888,1986-09-01,LANDSAT 5
0.18420792589450397,1986-10-01,LANDSAT 5
0.19873568760291863,1986-11-01,LANDSAT 5
0.16870330051458285,1986-12-01,LANDSAT 5
0.06336485076225645,1987-01-01,LANDSAT 5
0.11145564369310408,1987-02-01,LANDSAT 5
0.15799157187891613,1987-03-01,LANDSAT 5
0.12555673833095385,1987-04-01,LANDSAT 5
0.21057977499303418,1987-05-01,LANDSAT 5
0.2048040178522136,1987-06-01,LANDSAT 5
0.2136634251708427,1987-07-01,LANDSAT 5
0.19790109662141517,1987-08-01,LANDSAT 5
0.1982201487790166,1987-09-01,LANDSAT 5
0.19458198249672548,1987-10-01,LANDSAT 5
0.18215474180273533,1988-03-01,LANDSAT 5
0.20204529701573004,1988-04-01,LANDSAT 5
0.2095753373018997,1988-05-01,LANDSAT 5
0.1409333458095997,1988-06-01,LANDSAT 5
0.1697802084267712,1988-07-01,LANDSAT 5
0.1751648276885845,1988-08-01,LANDSAT 5
0.17610011527602323,1988-09-01,LANDSAT 5
