NDVI,month-year,landsat
0.43305211309338393,1984-04-01,LANDSAT 5
0.5129912235254537,1984-05-01,LANDSAT 5
0.4042784275760416,1984-06-01,LANDSAT 5
0.5622805019633706,1984-07-01,LANDSAT 5
0.44254474075586125,1984-08-01,LANDSAT 5
0.46262625536993507,1984-09-01,LANDSAT 5
0.4283719648650599,1984-10-01,LANDSAT 5
0.45128925239458234,1984-11-01,LANDSAT 5
0.03832136242860378,1984-12-01,LANDSAT 5
0.31403905231530127,1985-01-01,LANDSAT 5
0.1402471160573806,1985-02-01,LANDSAT 5
0.39261761882779134,1985-03-01,LANDSAT 5
0.48477357253962394,1985-04-01,LANDSAT 5
0.30232214306453187,1985-08-01,LANDSAT 5
0.27294048529193365,1985-09-01,LANDSAT 5
0.44774163949851276,1985-10-01,LANDSAT 5
0.44386302165681407,1985-11-01,LANDSAT 5
0.27239791909972777,1985-12-01,LANDSAT 5
0.27239882183233693,1986-01-01,LANDSAT 5
0.17117860449530994,1986-02-01,LANDSAT 5
0.3137855837594303,1986-03-01,LANDSAT 5
0.34965166121178226,1986-04-01,LANDSAT 5
0.44376658125967167,1986-05-01,LANDSAT 5
0.46044885084235987,1986-06-01,LANDSAT 5
0.30166002893758426,1986-07-01,LANDSAT 5
0.40654307945551976,1986-08-01,LANDSAT 5
0.37635015494375035,1986-09-01,LANDSAT 5
0.4760504637625684,1986-10-01,LANDSAT 5
0.012002872410278788,1986-11-01,LANDSAT 5
0.2646517797898323,1986-12-01,LANDSAT 5
0.3046723981228181,1987-01-01,LANDSAT 5
0.06205785091158974,1987-02-01,LANDSAT 5
0.032471634023020605,1987-03-01,LANDSAT 5
0.22251728830517278,1987-04-01,LANDSAT 5
0.5075326641349445,1987-05-01,LANDSAT 5
0.12490065817541889,1987-06-01,LANDSAT 5
0.2370022964313631,1987-07-01,LANDSAT 5
0.43995320616274414,1987-08-01,LANDSAT 5
0.5314778453819416,1987-09-01,LANDSAT 5
0.44639990994776063,1987-10-01,LANDSAT 5
0.3280784520363967,1987-11-01,LANDSAT 5
0.0503984589914116,1987-12-01,LANDSAT 5
0.2842834994198881,1988-02-01,LANDSAT 5
0.25038281111674676,1988-03-01,LANDSAT 5
0.364303231498115,1988-04-01,LANDSAT 5
0.5017652119424334,1988-05-01,LANDSAT 5
0.3129098435032476,1988-06-01,LANDSAT 5
0.4015027141837268,1988-07-01,LANDSAT 5
0.2790449933827439,1988-08-01,LANDSAT 5
0.5526014422309538,1988-09-01,LANDSAT 5
0.45019563468409457,1988-10-01,LANDSAT 5
0.19999446055234965,1988-11-01,LANDSAT 5
0.26920849581589523,1988-12-01,LANDSAT 5
0.22563051685226881,1989-01-01,LANDSAT 5
0.3143750539068912,1989-02-01,LANDSAT 5
0.3222955836309476,1989-03-01,LANDSAT 5
0.4371862125706916,1989-04-01,LANDSAT 5
0.22251356052056753,1989-05-01,LANDSAT 5
0.48958078426791496,1989-06-01,LANDSAT 5
0.34585217442195276,1989-07-01,LANDSAT 5
0.48645981171458497,1989-08-01,LANDSAT 5
0.4107139194805965,1989-09-01,LANDSAT 5
0.4492996317988186,1989-10-01,LANDSAT 5
0.37757223535241957,1989-11-01,LANDSAT 5
0.16748295564975907,1989-12-01,LANDSAT 5
0.1556967288689821,1990-01-01,LANDSAT 5
0.1645148962559942,1990-04-01,LANDSAT 5
0.11535884166897803,1990-05-01,LANDSAT 5
0.3094692616476657,1990-06-01,LANDSAT 5
0.3405782986982168,1990-07-01,LANDSAT 5
0.22820246421751084,1990-08-01,LANDSAT 5
0.3446216456601254,1990-09-01,LANDSAT 5
0.4863880373410927,1990-10-01,LANDSAT 5
0.40501696786781477,1990-11-01,LANDSAT 5
0.1848520763553962,1990-12-01,LANDSAT 5
0.30638545659272504,1991-01-01,LANDSAT 5
0.16208302094448582,1991-02-01,LANDSAT 5
0.19960605494403885,1991-03-01,LANDSAT 5
0.42938255895968835,1991-04-01,LANDSAT 5
0.42091777598518093,1991-06-01,LANDSAT 5
0.3690611074508647,1991-07-01,LANDSAT 5
0.20601655163157961,1991-08-01,LANDSAT 5
0.45403259158714654,1991-09-01,LANDSAT 5
0.022394922994376232,1991-10-01,LANDSAT 5
0.15453036109704674,1991-11-01,LANDSAT 5
0.2787691019427539,1991-12-01,LANDSAT 5
0.25258599615801786,1992-01-01,LANDSAT 5
0.17829877840676772,1992-02-01,LANDSAT 5
0.1992528143584645,1992-03-01,LANDSAT 5
0.34525051690293646,1992-04-01,LANDSAT 5
0.38559838258701656,1992-05-01,LANDSAT 5
0.5132183016012114,1992-06-01,LANDSAT 5
