NDVI,month-year,landsat
0.1465949066245334,1984-04-01,LANDSAT 5
0.14235684406225796,1984-05-01,LANDSAT 5
0.05817315317354904,1984-06-01,LANDSAT 5
0.23988058444620974,1984-08-01,LANDSAT 5
0.1832127052953332,1984-09-01,LANDSAT 5
0.09898320824767373,1984-10-01,LANDSAT 5
0.12295008439278543,1984-11-01,LANDSAT 5
0.05727230067742549,1984-12-01,LANDSAT 5
0.032349432208107855,1985-01-01,LANDSAT 5
0.02591772081337523,1985-02-01,LANDSAT 5
0.1347512714901821,1985-04-01,LANDSAT 5
0.17979021601006873,1985-05-01,LANDSAT 5
0.13975543661107062,1985-08-01,LANDSAT 5
0.2637242538432514,1985-09-01,LANDSAT 5
0.2168535432991446,1985-10-01,LANDSAT 5
0.04730986735989687,1986-01-01,LANDSAT 5
0.10346672465740264,1986-03-01,LANDSAT 5
0.05939528653391243,1986-04-01,LANDSAT 5
0.12689144875762037,1986-05-01,LANDSAT 5
0.11638674585637537,1986-06-01,LANDSAT 5
0.23434336229436906,1986-07-01,LANDSAT 5
0.20080591538520937,1986-08-01,LANDSAT 5
0.08872978195865705,1986-09-01,LANDSAT 5
0.18129309777355043,1986-10-01,LANDSAT 5
0.1163843615737968,1986-11-01,LANDSAT 5
0.06179512386102424,1986-12-01,LANDSAT 5
0.03007791829455106,1987-01-01,LANDSAT 5
0.042054179240278794,1987-02-01,LANDSAT 5
0.0709309605139775,1987-03-01,LANDSAT 5
0.25333919241155295,1987-05-01,LANDSAT 5
0.19874334120638026,1987-06-01,LANDSAT 5
0.25382706863790644,1987-07-01,LANDSAT 5
0.1673563907473182,1987-08-01,LANDSAT 5
0.12339903477793293,1987-09-01,LANDSAT 5
0.11682124019387051,1987-10-01,LANDSAT 5
0.08228423840084745,1987-11-01,LANDSAT 5
-0.005059508920931821,1987-12-01,LANDSAT 5
0.006803514414138887,1988-01-01,LANDSAT 5
0.04006076592940016,1988-02-01,LANDSAT 5
0.056841650521794275,1988-03-01,LANDSAT 5
0.14861802844826888,1988-04-01,LANDSAT 5
0.2516596315057044,1988-05-01,LANDSAT 5
0.2037767618643361,1988-06-01,LANDSAT 5
0.17488119495185475,1988-07-01,LANDSAT 5
0.2526096701752534,1988-08-01,LANDSAT 5
0.21029296236315168,1988-09-01,LANDSAT 5
0.25516563016008964,1988-10-01,LANDSAT 5
0.06332983367278933,1988-11-01,LANDSAT 5
0.07631447490874614,1988-12-01,LANDSAT 5
0.08817710634940956,1989-01-01,LANDSAT 5
0.005326905524066016,1989-02-01,LANDSAT 5
0.06107536345702876,1989-03-01,LANDSAT 5
0.12297429556503973,1989-04-01,LANDSAT 5
0.11518164851744511,1989-05-01,LANDSAT 5
0.23917719395346565,1989-06-01,LANDSAT 5
0.21947649868271593,1989-07-01,LANDSAT 5
0.18744529434546744,1989-08-01,LANDSAT 5
0.2706290932144776,1989-09-01,LANDSAT 5
0.05697627290923818,1989-12-01,LANDSAT 5
0.019280010644583814,1990-01-01,LANDSAT 5
0.07182563411967334,1990-04-01,LANDSAT 5
0.23526007768981338,1990-05-01,LANDSAT 5
0.25603125754564676,1990-06-01,LANDSAT 5
0.11028458936129089,1990-07-01,LANDSAT 5
0.19186170159974325,1990-08-01,LANDSAT 5
0.2750686281810869,1990-09-01,LANDSAT 5
0.21202608682999344,1990-10-01,LANDSAT 5
0.12221980504275425,1990-11-01,LANDSAT 5
0.07201243196643908,1990-12-01,LANDSAT 5
0.014909281790725695,1991-01-01,LANDSAT 5
0.06034172483086711,1991-02-01,LANDSAT 5
0.12057762966757164,1991-03-01,LANDSAT 5
0.19517031375072597,1991-04-01,LANDSAT 5
0.2079823836390578,1991-05-01,LANDSAT 5
0.26765439781058054,1991-06-01,LANDSAT 5
0.19657456586507943,1991-07-01,LANDSAT 5
0.18859656839062416,1991-08-01,LANDSAT 5
0.1763411989393884,1991-09-01,LANDSAT 5
0.21564680259932978,1991-10-01,LANDSAT 5
0.09759722119107593,1991-11-01,LANDSAT 5
0.010754210016564694,1991-12-01,LANDSAT 5
0.01680275606815522,1992-01-01,LANDSAT 5
0.05503810369345724,1992-02-01,LANDSAT 5
0.043452229815116886,1992-03-01,LANDSAT 5
0.1613902581142831,1992-04-01,LANDSAT 5
0.2102739612794069,1992-05-01,LANDSAT 5
0.1500343708992361,1992-06-01,LANDSAT 5
0.1352685282506867,1992-07-01,LANDSAT 5
0.18752440313080068,1992-08-01,LANDSAT 5
0.2633628867368622,1992-09-01,LANDSAT 5
0.20339177604498473,1992-10-01,LANDSAT 5
0.0936525960103918,1992-11-01,LANDSAT 5
0.07723521888824723,1992-12-01,LANDSAT 5
0.05658556590019835,1993-01-01,LANDSAT 5
0.014842889104613333,1993-02-01,LANDSAT 5
0.03368654690223594,1993-03-01,LANDSAT 5
0.1247882371749507,1993-04-01,LANDSAT 5
0.1344276108061227,1993-05-01,LANDSAT 5
0.17346060709724961,1993-06-01,LANDSAT 5
0.15260035662791446,1993-07-01,LANDSAT 5
0.14123512102704516,1993-08-01,LANDSAT 5
0.15755904533382892,1993-09-01,LANDSAT 5
0.03615526546840001,1993-10-01,LANDSAT 5
0.12319024783064762,1993-11-01,LANDSAT 5
0.06952513076212523,1993-12-01,LANDSAT 5
0.013638439822568215,1994-02-01,LANDSAT 5
0.07050029754822473,1994-03-01,LANDSAT 5
0.10860190968224734,1994-04-01,LANDSAT 5
0.23426596475673667,1994-05-01,LANDSAT 5
0.18628728967441074,1994-06-01,LANDSAT 5
0.1560027273181557,1994-07-01,LANDSAT 5
0.24947413909418736,1994-08-01,LANDSAT 5
0.16268084913707057,1994-09-01,LANDSAT 5
0.22491997726833793,1994-10-01,LANDSAT 5
0.05723632459748798,1994-11-01,LANDSAT 5
0.07666456491885681,1994-12-01,LANDSAT 5
0.07082518439420143,1995-02-01,LANDSAT 5
0.09418187783531938,1995-03-01,LANDSAT 5
