NDVI,month-year,landsat
0.22956084782628053,1984-06-01,LANDSAT 5
0.2724429936494058,1984-07-01,LANDSAT 5
0.3591871913283791,1984-08-01,LANDSAT 5
0.15337042279761234,1984-11-01,LANDSAT 5
0.07416367890285455,1985-01-01,LANDSAT 5
0.12248111058040176,1985-02-01,LANDSAT 5
0.1479085821865054,1985-03-01,LANDSAT 5
0.2933035944249838,1985-05-01,LANDSAT 5
0.3494002808526121,1985-07-01,LANDSAT 5
0.35404731233470343,1985-08-01,LANDSAT 5
0.3247281030511605,1985-09-01,LANDSAT 5
0.13048079861838627,1985-10-01,LANDSAT 5
0.044054199929312664,1985-11-01,LANDSAT 5
0.07732738439049258,1985-12-01,LANDSAT 5
0.05891251718427963,1986-01-01,LANDSAT 5
0.15702775659374724,1986-02-01,LANDSAT 5
0.020104634653796877,1986-03-01,LANDSAT 5
0.14541930995062036,1986-04-01,LANDSAT 5
0.2319704272866213,1986-05-01,LANDSAT 5
0.277015890517648,1986-06-01,LANDSAT 5
0.28714756463578617,1986-07-01,LANDSAT 5
0.2842631911801261,1986-08-01,LANDSAT 5
0.1994719507313362,1986-09-01,LANDSAT 5
0.21476692488636082,1986-10-01,LANDSAT 5
0.09049653727235264,1986-12-01,LANDSAT 5
0.07658832640932897,1987-01-01,LANDSAT 5
0.13238493698968432,1987-02-01,LANDSAT 5
0.17232936846540797,1987-04-01,LANDSAT 5
0.24549708011069657,1987-05-01,LANDSAT 5
0.3669952392797432,1987-06-01,LANDSAT 5
0.31402540164184156,1987-07-01,LANDSAT 5
0.31684688121914767,1987-08-01,LANDSAT 5
0.2748819409619702,1987-09-01,LANDSAT 5
0.23211846057042204,1987-10-01,LANDSAT 5
0.11583480863696374,1988-03-01,LANDSAT 5
0.1165614351406015,1988-04-01,LANDSAT 5
0.18356932710971066,1988-05-01,LANDSAT 5
0.2625985893663575,1988-06-01,LANDSAT 5
0.30538306707087903,1988-07-01,LANDSAT 5
0.22537881374883642,1988-09-01,LANDSAT 5
0.10543980098604917,1988-10-01,LANDSAT 5
0.025186800604251585,1989-03-01,LANDSAT 5
0.05513329611636361,1989-04-01,LANDSAT 5
0.03137753225643643,1989-05-01,LANDSAT 5
0.1743447059236013,1989-06-01,LANDSAT 5
0.29628763611658065,1989-07-01,LANDSAT 5
0.32879407642747355,1989-08-01,LANDSAT 5
0.23808527308361374,1989-09-01,LANDSAT 5
0.2552013924778986,1989-10-01,LANDSAT 5
0.03044277461380852,1990-02-01,LANDSAT 5
0.1208548167216588,1990-03-01,LANDSAT 5
0.15167348600579475,1990-04-01,LANDSAT 5
0.22403420035630653,1990-05-01,LANDSAT 5
0.32247718483887844,1990-06-01,LANDSAT 5
0.3272912671687454,1990-07-01,LANDSAT 5
0.2974866451420896,1990-08-01,LANDSAT 5
0.2925355261302801,1990-09-01,LANDSAT 5
0.22635969364390562,1990-10-01,LANDSAT 5
0.10723816264628147,1991-03-01,LANDSAT 5
0.06794039175091618,1991-04-01,LANDSAT 5
0.1763021093986222,1991-05-01,LANDSAT 5
0.2994972811489472,1991-06-01,LANDSAT 5
0.3320909830460762,1991-07-01,LANDSAT 5
0.35621185171338476,1991-08-01,LANDSAT 5
0.34524248864897006,1991-09-01,LANDSAT 5
0.22719471722370277,1991-10-01,LANDSAT 5
0.08606995877014326,1992-01-01,LANDSAT 5
0.04480812676747398,1992-03-01,LANDSAT 5
0.18722827079553803,1992-04-01,LANDSAT 5
0.2595794316804069,1992-05-01,LANDSAT 5
0.300457182530786,1992-06-01,LANDSAT 5
0.2530843409969845,1992-07-01,LANDSAT 5
0.23461491606500293,1992-08-01,LANDSAT 5
