NDVI,month-year,landsat
0.24209160767477714,1984-04-01,LANDSAT 5
0.18376995291768503,1984-05-01,LANDSAT 5
0.2066134879809072,1984-06-01,LANDSAT 5
0.259655324715694,1984-07-01,LANDSAT 5
0.25235528042005595,1984-08-01,LANDSAT 5
0.245896078297897,1984-09-01,LANDSAT 5
0.03493496008038767,1984-10-01,LANDSAT 5
0.012999644914114311,1984-11-01,LANDSAT 5
-0.004205007602993775,1984-12-01,LANDSAT 5
0.15099827947092168,1985-01-01,LANDSAT 5
0.07345622795249854,1985-02-01,LANDSAT 5
0.11097441744622816,1985-03-01,LANDSAT 5
0.06148051779346452,1985-04-01,LANDSAT 5
0.30371400537791127,1985-07-01,LANDSAT 5
0.26942475596911936,1985-08-01,LANDSAT 5
0.2535534449791598,1985-09-01,LANDSAT 5
-0.010426361563174799,1985-10-01,LANDSAT 5
0.26629269005876216,1985-11-01,LANDSAT 5
0.1629458468856136,1985-12-01,LANDSAT 5
0.1288174445016697,1986-01-01,LANDSAT 5
0.0753138111071608,1986-02-01,LANDSAT 5
0.2065408845935501,1986-03-01,LANDSAT 5
0.3113718172158729,1986-04-01,LANDSAT 5
0.27061318915803523,1986-05-01,LANDSAT 5
0.30551541386155284,1986-06-01,LANDSAT 5
0.305800498118621,1986-07-01,LANDSAT 5
0.2926549351966344,1986-08-01,LANDSAT 5
0.17879086380053383,1986-09-01,LANDSAT 5
0.21977597384114456,1986-10-01,LANDSAT 5
0.21447710742079668,1986-11-01,LANDSAT 5
0.05848797549990459,1986-12-01,LANDSAT 5
0.1490117182279145,1987-01-01,LANDSAT 5
0.11571490396726446,1987-02-01,LANDSAT 5
0.16087579260107593,1987-03-01,LANDSAT 5
0.30137945845277214,1987-04-01,LANDSAT 5
0.07045136289516944,1987-05-01,LANDSAT 5
0.30711008804446005,1987-06-01,LANDSAT 5
0.25131392113344564,1987-07-01,LANDSAT 5
0.2592335204924914,1987-08-01,LANDSAT 5
0.28424761789564906,1987-09-01,LANDSAT 5
0.1805731988716682,1987-10-01,LANDSAT 5
0.17889765556437245,1987-11-01,LANDSAT 5
0.0514778199867975,1987-12-01,LANDSAT 5
0.08542570161221326,1988-01-01,LANDSAT 5
0.12777852492021477,1988-02-01,LANDSAT 5
0.23152440120258516,1988-03-01,LANDSAT 5
0.21567286688392695,1988-04-01,LANDSAT 5
0.10342420166705875,1988-05-01,LANDSAT 5
0.2761554007828139,1988-06-01,LANDSAT 5
0.25125841546242916,1988-07-01,LANDSAT 5
0.2420252453242292,1988-08-01,LANDSAT 5
0.2791876333339276,1988-09-01,LANDSAT 5
0.297576734528597,1988-10-01,LANDSAT 5
0.18579262544755187,1988-11-01,LANDSAT 5
0.04847884957139095,1988-12-01,LANDSAT 5
0.14643146480969577,1989-01-01,LANDSAT 5
0.09376756350654696,1989-02-01,LANDSAT 5
0.10158925566508839,1989-03-01,LANDSAT 5
0.29170917766202203,1989-04-01,LANDSAT 5
0.14542933546855757,1989-05-01,LANDSAT 5
0.17129759489593377,1989-06-01,LANDSAT 5
0.3288564741048048,1989-07-01,LANDSAT 5
0.29017090732115874,1989-08-01,LANDSAT 5
0.28489113367818897,1989-09-01,LANDSAT 5
0.22217433279699278,1989-10-01,LANDSAT 5
0.11636062794309814,1989-11-01,LANDSAT 5
0.17480544892843106,1989-12-01,LANDSAT 5
0.138868343732402,1990-01-01,LANDSAT 5
0.026128147983151932,1990-04-01,LANDSAT 5
0.15785054302223045,1990-05-01,LANDSAT 5
0.2892191330263471,1990-06-01,LANDSAT 5
0.10744674615349113,1990-07-01,LANDSAT 5
0.2567560441270076,1990-08-01,LANDSAT 5
0.27904207210207815,1990-09-01,LANDSAT 5
0.2844902650171853,1990-10-01,LANDSAT 5
0.1950638662796235,1990-11-01,LANDSAT 5
-0.005858681530795479,1990-12-01,LANDSAT 5
0.02671294034599692,1991-01-01,LANDSAT 5
0.09413235104931446,1991-02-01,LANDSAT 5
0.12067903040871991,1991-03-01,LANDSAT 5
0.382653393848234,1991-04-01,LANDSAT 5
0.2002086959728791,1991-05-01,LANDSAT 5
0.23034051361631147,1991-06-01,LANDSAT 5
0.31804696704734914,1991-07-01,LANDSAT 5
0.31910854377960013,1991-08-01,LANDSAT 5
0.2617992635660054,1991-09-01,LANDSAT 5
0.21674147232459445,1991-10-01,LANDSAT 5
0.07104401281488758,1991-11-01,LANDSAT 5
0.11295501078061736,1991-12-01,LANDSAT 5
0.08849491767919557,1992-01-01,LANDSAT 5
0.16394794892326567,1992-02-01,LANDSAT 5
0.23349715973430632,1992-03-01,LANDSAT 5
0.3195872144467096,1992-04-01,LANDSAT 5
0.3149531000301858,1992-06-01,LANDSAT 5
0.29830306421048297,1992-07-01,LANDSAT 5
0.29093431938184205,1992-08-01,LANDSAT 5
0.2018543413300292,1992-09-01,LANDSAT 5
0.2990077560772134,1992-10-01,LANDSAT 5
0.1173277949997512,1992-11-01,LANDSAT 5
0.03640650021919099,1992-12-01,LANDSAT 5
0.0200507454060776,1993-01-01,LANDSAT 5
0.10712159572578361,1993-02-01,LANDSAT 5
