NDVI,month-year,landsat
0.11871852646805409,1984-04-01,LANDSAT 5
0.28068383862160634,1984-05-01,LANDSAT 5
0.2802801819910229,1984-06-01,LANDSAT 5
0.24203928470207672,1984-07-01,LANDSAT 5
0.28294300448149373,1984-08-01,LANDSAT 5
0.19097082603841462,1984-09-01,LANDSAT 5
0.24537304256154033,1984-10-01,LANDSAT 5
0.15599948642901257,1984-11-01,LANDSAT 5
0.10896518185234018,1984-12-01,LANDSAT 5
0.06550887962165211,1985-01-01,LANDSAT 5
0.07601082244876975,1985-02-01,LANDSAT 5
0.038001330847805305,1985-03-01,LANDSAT 5
0.09166276615739963,1985-04-01,LANDSAT 5
0.3281876019701918,1985-05-01,LANDSAT 5
0.2697628971718951,1985-06-01,LANDSAT 5
0.2845819898901684,1985-07-01,LANDSAT 5
0.24002904481251724,1985-08-01,LANDSAT 5
0.187367426983525,1985-09-01,LANDSAT 5
0.18000467852914698,1985-10-01,LANDSAT 5
0.04088042697782815,1985-11-01,LANDSAT 5
0.16544808418039125,1985-12-01,LANDSAT 5
0.137822795296017,1986-01-01,LANDSAT 5
0.14487577761442033,1986-02-01,LANDSAT 5
0.05693081090665558,1986-03-01,LANDSAT 5
0.2432619650763837,1986-04-01,LANDSAT 5
0.285200042685574,1986-05-01,LANDSAT 5
0.2868283971384454,1986-06-01,LANDSAT 5
0.24988257528877603,1986-07-01,LANDSAT 5
0.23807348311092968,1986-08-01,LANDSAT 5
0.17340047402955122,1986-09-01,LANDSAT 5
0.2054146390111387,1986-10-01,LANDSAT 5
0.1823894327654535,1986-11-01,LANDSAT 5
0.06427489655844419,1986-12-01,LANDSAT 5
0.07365503669781026,1987-01-01,LANDSAT 5
0.10501884987915107,1987-02-01,LANDSAT 5
0.1920395099671022,1987-03-01,LANDSAT 5
0.27394565723656283,1987-04-01,LANDSAT 5
0.3276842909390742,1987-05-01,LANDSAT 5
0.3021336150536358,1987-06-01,LANDSAT 5
0.26982737498688336,1987-07-01,LANDSAT 5
0.259777983712778,1987-08-01,LANDSAT 5
0.2686833824195829,1987-09-01,LANDSAT 5
0.25205165441809607,1987-10-01,LANDSAT 5
0.1293649630352788,1988-03-01,LANDSAT 5
0.22252389928931957,1988-04-01,LANDSAT 5
0.2814623551675284,1988-05-01,LANDSAT 5
0.3043973847393294,1988-06-01,LANDSAT 5
0.28038280924941644,1988-07-01,LANDSAT 5
0.3119398217635932,1988-08-01,LANDSAT 5
0.2705666756764667,1988-09-01,LANDSAT 5
0.22000078695907646,1988-10-01,LANDSAT 5
0.03459740808935431,1989-03-01,LANDSAT 5
0.140320676768992,1989-04-01,LANDSAT 5
0.24453475241444472,1989-05-01,LANDSAT 5
0.2781543433705286,1989-06-01,LANDSAT 5
0.22045994809307612,1989-07-01,LANDSAT 5
0.29194317533156766,1989-08-01,LANDSAT 5
0.245559026563974,1989-09-01,LANDSAT 5
0.188582112752066,1989-10-01,LANDSAT 5
0.03222008653741079,1990-02-01,LANDSAT 5
0.13990267776829282,1990-03-01,LANDSAT 5
0.21545848932291375,1990-04-01,LANDSAT 5
0.19461691056239777,1990-05-01,LANDSAT 5
0.2632524382816355,1990-06-01,LANDSAT 5
0.15691241476941487,1990-07-01,LANDSAT 5
0.30064421313213685,1990-08-01,LANDSAT 5
0.24859681303246445,1990-09-01,LANDSAT 5
0.1987600037517054,1990-10-01,LANDSAT 5
0.13577191748567258,1991-03-01,LANDSAT 5
0.08128778041584209,1991-04-01,LANDSAT 5
0.10896218478611684,1991-05-01,LANDSAT 5
0.2978348831795726,1991-06-01,LANDSAT 5
0.23553068484679246,1991-07-01,LANDSAT 5
0.28351617125890927,1991-08-01,LANDSAT 5
0.2775581157824632,1991-09-01,LANDSAT 5
0.22784960990300074,1991-10-01,LANDSAT 5
0.009581526097422039,1992-01-01,LANDSAT 5
0.08290554950556658,1992-03-01,LANDSAT 5
0.14593912055371586,1992-04-01,LANDSAT 5
0.28082039696867234,1992-05-01,LANDSAT 5
0.2768990757174918,1992-06-01,LANDSAT 5
0.2640050437102972,1992-07-01,LANDSAT 5
0.24048872098681112,1992-08-01,LANDSAT 5
0.2669797725571993,1992-09-01,LANDSAT 5
0.1328043668045482,1992-10-01,LANDSAT 5
0.012288382448742344,1992-11-01,LANDSAT 5
0.01343375907999153,1992-12-01,LANDSAT 5
0.03241715980874551,1993-01-01,LANDSAT 5
0.08598951697521703,1993-02-01,LANDSAT 5
0.04653046402336985,1993-03-01,LANDSAT 5
0.18894223652327014,1993-04-01,LANDSAT 5
0.2540552683936354,1993-05-01,LANDSAT 5
0.227067528850891,1993-06-01,LANDSAT 5
0.14771917522093692,1993-07-01,LANDSAT 5
0.23560700730183814,1993-08-01,LANDSAT 5
0.2564731913722015,1993-09-01,LANDSAT 5
0.17255189156949463,1993-10-01,LANDSAT 5
0.13161264508179188,1993-11-01,LANDSAT 5
0.08922994621518847,1993-12-01,LANDSAT 5
0.06038202856157141,1994-01-01,LANDSAT 5
0.06877386461262054,1994-02-01,LANDSAT 5
0.14131236613189052,1994-03-01,LANDSAT 5
0.206655854112776,1994-04-01,LANDSAT 5
0.2024193522508147,1994-05-01,LANDSAT 5
0.2673221292137052,1994-06-01,LANDSAT 5
