NDVI,month-year,landsat
0.09389046189591926,1984-04-01,LANDSAT 5
0.20880556336770695,1984-05-01,LANDSAT 5
0.2898717680936715,1984-06-01,LANDSAT 5
0.277071056297192,1984-07-01,LANDSAT 5
0.1971274016090114,1984-08-01,LANDSAT 5
0.18535623804421708,1984-09-01,LANDSAT 5
0.08898372043190365,1984-10-01,LANDSAT 5
0.04412300247085062,1984-11-01,LANDSAT 5
0.07152145483378605,1984-12-01,LANDSAT 5
0.06189009712736629,1985-01-01,LANDSAT 5
0.0343911743780776,1985-02-01,LANDSAT 5
0.13430505494622294,1985-03-01,LANDSAT 5
0.21034329082925393,1985-04-01,LANDSAT 5
0.32880030944025096,1985-05-01,LANDSAT 5
0.27135251984326075,1985-06-01,LANDSAT 5
0.2752978291681358,1985-07-01,LANDSAT 5
0.2881504964770412,1985-08-01,LANDSAT 5
0.16027058689217943,1985-09-01,LANDSAT 5
0.08263964583503731,1985-10-01,LANDSAT 5
0.19429387640256568,1985-11-01,LANDSAT 5
0.029501104256835397,1986-01-01,LANDSAT 5
0.026776490409553575,1986-02-01,LANDSAT 5
0.10044947598978997,1986-03-01,LANDSAT 5
0.14127130963757048,1986-04-01,LANDSAT 5
0.3007452896658028,1986-05-01,LANDSAT 5
0.30468597262361485,1986-06-01,LANDSAT 5
0.17649447163045734,1986-07-01,LANDSAT 5
0.3040396443014048,1986-08-01,LANDSAT 5
0.2534110004402893,1986-09-01,LANDSAT 5
0.11031363372050612,1986-10-01,LANDSAT 5
0.16891345819836442,1986-11-01,LANDSAT 5
0.031524674001289055,1987-01-01,LANDSAT 5
0.027234387770226333,1987-02-01,LANDSAT 5
0.07256799115232183,1987-03-01,LANDSAT 5
0.19939010293775708,1987-04-01,LANDSAT 5
0.15500867945401106,1987-05-01,LANDSAT 5
0.2348044022902552,1987-06-01,LANDSAT 5
0.24912993515755963,1987-07-01,LANDSAT 5
0.28465408218177474,1987-08-01,LANDSAT 5
0.17824448169144017,1987-09-01,LANDSAT 5
0.17424627237236806,1987-10-01,LANDSAT 5
0.10277458557060347,1987-11-01,LANDSAT 5
0.016106071194042944,1987-12-01,LANDSAT 5
0.06510986498904499,1988-01-01,LANDSAT 5
0.05122795176237471,1988-02-01,LANDSAT 5
0.03344259762521279,1988-03-01,LANDSAT 5
0.1632182868618557,1988-04-01,LANDSAT 5
0.2058013490906109,1988-05-01,LANDSAT 5
0.18943546418289597,1988-06-01,LANDSAT 5
0.23039578397579039,1988-07-01,LANDSAT 5
0.28193317426473136,1988-08-01,LANDSAT 5
0.29041574225627265,1988-09-01,LANDSAT 5
0.23046221936755606,1988-10-01,LANDSAT 5
0.020282682370723004,1988-11-01,LANDSAT 5
0.10422538682103792,1988-12-01,LANDSAT 5
0.0384610638472023,1989-01-01,LANDSAT 5
0.09483470125179924,1989-02-01,LANDSAT 5
0.12193066879142135,1989-03-01,LANDSAT 5
0.16616473858898387,1989-04-01,LANDSAT 5
0.2651190756841294,1989-05-01,LANDSAT 5
0.18408068990558715,1989-06-01,LANDSAT 5
0.20349344834477867,1989-07-01,LANDSAT 5
0.2585279364199175,1989-08-01,LANDSAT 5
0.19137139952639098,1989-09-01,LANDSAT 5
0.2176219661466038,1989-10-01,LANDSAT 5
0.07025823752334039,1989-11-01,LANDSAT 5
0.01925315510992297,1989-12-01,LANDSAT 5
-0.0029357915212459627,1990-01-01,LANDSAT 5
0.16175401193811842,1990-04-01,LANDSAT 5
0.33630323756349073,1990-05-01,LANDSAT 5
