NDVI,month-year,landsat
0.21257269241715884,1984-03-01,LANDSAT 5
0.4305986631995477,1984-07-01,LANDSAT 5
0.40714507093886776,1984-08-01,LANDSAT 5
0.48904254006746317,1984-09-01,LANDSAT 5
0.07878095638975394,1984-10-01,LANDSAT 5
0.3158592065797714,1984-11-01,LANDSAT 5
0.2404603001056224,1984-12-01,LANDSAT 5
0.24232654438995477,1985-02-01,LANDSAT 5
0.2997370868023095,1985-03-01,LANDSAT 5
0.38393890620229726,1985-04-01,LANDSAT 5
0.28414780964137454,1985-06-01,LANDSAT 5
0.4453614612805593,1985-07-01,LANDSAT 5
0.5461044353715994,1985-08-01,LANDSAT 5
0.3287975164090398,1985-09-01,LANDSAT 5
0.37404699643630646,1985-10-01,LANDSAT 5
0.2899258435710911,1985-11-01,LANDSAT 5
0.0564199104645205,1986-01-01,LANDSAT 5
0.0674132131400325,1986-02-01,LANDSAT 5
0.32334068132062577,1986-04-01,LANDSAT 5
0.37858630896216167,1986-05-01,LANDSAT 5
0.17571323095714958,1986-07-01,LANDSAT 5
0.3439504889568262,1986-08-01,LANDSAT 5
0.2282608648140159,1986-09-01,LANDSAT 5
0.10024603145457385,1986-10-01,LANDSAT 5
0.25002196349558203,1986-11-01,LANDSAT 5
0.19567113841262213,1986-12-01,LANDSAT 5
0.23866422446753002,1987-01-01,LANDSAT 5
0.06482007085236453,1987-02-01,LANDSAT 5
0.22292176814366665,1987-03-01,LANDSAT 5
0.41659470908496166,1987-05-01,LANDSAT 5
0.3283839117198303,1987-06-01,LANDSAT 5
0.4107851793189387,1987-07-01,LANDSAT 5
0.43149314692695945,1987-08-01,LANDSAT 5
0.45618391252221757,1987-09-01,LANDSAT 5
0.38537092882461926,1987-10-01,LANDSAT 5
0.26656609344574395,1987-11-01,LANDSAT 5
0.05279847864199592,1987-12-01,LANDSAT 5
0.183436786598355,1988-02-01,LANDSAT 5
0.20467419004299245,1988-03-01,LANDSAT 5
0.346083917688233,1988-04-01,LANDSAT 5
0.3382443406856167,1988-05-01,LANDSAT 5
0.42461223333227827,1988-06-01,LANDSAT 5
0.41621381747765257,1988-07-01,LANDSAT 5
0.4769192885599207,1988-08-01,LANDSAT 5
0.3776413566307624,1988-09-01,LANDSAT 5
0.3118039886348799,1988-10-01,LANDSAT 5
0.1612347896171068,1989-01-01,LANDSAT 5
0.04134641886628616,1989-02-01,LANDSAT 5
0.20435756344292233,1989-03-01,LANDSAT 5
0.3295976295491715,1989-04-01,LANDSAT 5
0.19644106119715546,1989-05-01,LANDSAT 5
0.21555315802076075,1989-06-01,LANDSAT 5
0.07252539600353286,1989-07-01,LANDSAT 5
0.5374596364128028,1989-08-01,LANDSAT 5
0.4662733598557502,1989-09-01,LANDSAT 5
0.3744398860220839,1989-10-01,LANDSAT 5
0.18522335232372317,1989-11-01,LANDSAT 5
0.033772454979355195,1989-12-01,LANDSAT 5
0.19818602886795414,1990-01-01,LANDSAT 5
0.21025368036635844,1990-05-01,LANDSAT 5
0.3555261478025513,1990-06-01,LANDSAT 5
0.41910550544030606,1990-07-01,LANDSAT 5
0.14795135931203607,1990-08-01,LANDSAT 5
0.30703818307104674,1990-09-01,LANDSAT 5
0.22178800998625237,1990-10-01,LANDSAT 5
0.2510428167202544,1990-11-01,LANDSAT 5
0.17311308352555088,1990-12-01,LANDSAT 5
0.12428079849840244,1991-02-01,LANDSAT 5
0.2856912892203254,1991-03-01,LANDSAT 5
0.4578174965890841,1991-05-01,LANDSAT 5
0.3577956225097101,1991-06-01,LANDSAT 5
0.37497996682667917,1991-07-01,LANDSAT 5
0.42082646008035685,1991-08-01,LANDSAT 5
0.425019851560422,1991-09-01,LANDSAT 5
0.023532933682434153,1991-10-01,LANDSAT 5
0.13123260374782247,1991-11-01,LANDSAT 5
0.22420411907389604,1992-01-01,LANDSAT 5
0.18462238009790635,1992-03-01,LANDSAT 5
0.17993170282860793,1992-04-01,LANDSAT 5
0.43241018206261544,1992-05-01,LANDSAT 5
0.2862949018261226,1992-06-01,LANDSAT 5
0.2764308833666148,1992-07-01,LANDSAT 5
0.4421564416837522,1992-08-01,LANDSAT 5
0.03764117087454927,1992-09-01,LANDSAT 5
0.20151957633611547,1992-10-01,LANDSAT 5
0.2530604815975445,1992-11-01,LANDSAT 5
0.04908813304133705,1992-12-01,LANDSAT 5
0.04908813304133705,1993-01-01,LANDSAT 5
0.21572037909161287,1993-02-01,LANDSAT 5
0.06416071262142382,1993-03-01,LANDSAT 5
0.13412106643187285,1993-04-01,LANDSAT 5
0.2510245712320238,1993-05-01,LANDSAT 5
0.3707786482902144,1993-06-01,LANDSAT 5
0.3503650517897527,1993-07-01,LANDSAT 5
0.46398799746845,1993-08-01,LANDSAT 5
0.14411407172345994,1993-09-01,LANDSAT 5
0.1818500528309082,1993-10-01,LANDSAT 5
0.23360756534723295,1993-12-01,LANDSAT 5
0.019908088149044118,1994-02-01,LANDSAT 5
0.32661642116393896,1994-04-01,LANDSAT 5
0.43421237929086176,1994-05-01,LANDSAT 5
0.24028529618262784,1994-06-01,LANDSAT 5
0.18587995373991423,1994-07-01,LANDSAT 5
0.31641011190657786,1994-08-01,LANDSAT 5
0.24017434150115483,1994-09-01,LANDSAT 5
0.17974456148376597,1994-10-01,LANDSAT 5
0.31463544192449505,1994-11-01,LANDSAT 5
0.24352739824794364,1994-12-01,LANDSAT 5
0.25479278009530604,1995-01-01,LANDSAT 5
0.15057559180479566,1995-02-01,LANDSAT 5
0.2379880519453093,1995-03-01,LANDSAT 5
0.24397923270970753,1995-04-01,LANDSAT 5
0.465650190117874,1995-05-01,LANDSAT 5
0.40353690579202395,1995-06-01,LANDSAT 5
0.2258032640259242,1995-07-01,LANDSAT 5
0.4644057641518941,1995-08-01,LANDSAT 5
0.27503897302271585,1995-09-01,LANDSAT 5
0.4325930766713313,1995-10-01,LANDSAT 5
0.30378112482203873,1995-11-01,LANDSAT 5
0.059790434384011666,1995-12-01,LANDSAT 5
0.08656048690417983,1996-01-01,LANDSAT 5
0.20235166006110333,1996-02-01,LANDSAT 5
0.1345888673867151,1996-03-01,LANDSAT 5
0.3448619208679626,1996-04-01,LANDSAT 5
0.23470266393153402,1996-06-01,LANDSAT 5
0.4739425535189335,1996-07-01,LANDSAT 5
0.2932560155398551,1996-08-01,LANDSAT 5
0.13489605446715214,1996-09-01,LANDSAT 5
0.38786304187539516,1996-10-01,LANDSAT 5
0.17561122810362126,1996-11-01,LANDSAT 5
0.13012979135845784,1996-12-01,LANDSAT 5
0.07405445049497439,1997-01-01,LANDSAT 5
0.0885438344953887,1997-02-01,LANDSAT 5
0.45306809591475594,1997-05-01,LANDSAT 5
0.39295576689322703,1997-06-01,LANDSAT 5
0.3485797533048744,1997-07-01,LANDSAT 5
0.4631365477549209,1997-08-01,LANDSAT 5
0.3546931527737581,1997-10-01,LANDSAT 5
0.2707847483729025,1997-12-01,LANDSAT 5
0.17976920658011905,1998-02-01,LANDSAT 5
0.12146582696417076,1998-03-01,LANDSAT 5
0.4502861338274148,1998-04-01,LANDSAT 5
0.21557191675599918,1998-05-01,LANDSAT 5
0.3550895508419147,1998-06-01,LANDSAT 5
0.272266101053631,1998-07-01,LANDSAT 5
0.27901919650323626,1998-08-01,LANDSAT 5
0.46105302736216996,1998-09-01,LANDSAT 5
0.38596865215932574,1998-10-01,LANDSAT 5
0.2803763375156028,1998-11-01,LANDSAT 5
0.4446557951831943,1999-07-01,LANDSAT 7
0.36351111281954834,1999-08-01,LANDSAT 7
0.49083888985950713,1999-09-01,LANDSAT 7
0.2953282145890598,1999-10-01,LANDSAT 7
0.28818837440548617,1999-11-01,LANDSAT 7
0.20579958224305697,1999-12-01,LANDSAT 7
