NDVI,month-year,landsat
0.1311241004759301,1984-06-01,LANDSAT 5
0.17049514303141358,1984-07-01,LANDSAT 5
0.15283199871190087,1984-08-01,LANDSAT 5
0.19684618639187482,1984-09-01,LANDSAT 5
0.1710069903480402,1984-11-01,LANDSAT 5
0.12346568432885209,1985-02-01,LANDSAT 5
0.16703174615092975,1985-03-01,LANDSAT 5
0.12062381425980609,1985-04-01,LANDSAT 5
0.11573848409968393,1985-07-01,LANDSAT 5
0.1367817509929722,1985-08-01,LANDSAT 5
0.08800070402166112,1985-09-01,LANDSAT 5
0.12439299595783093,1985-10-01,LANDSAT 5
0.16525863590239326,1985-11-01,LANDSAT 5
0.08550515878060648,1985-12-01,LANDSAT 5
0.10455565030723367,1986-01-01,LANDSAT 5
0.07094401536315406,1986-02-01,LANDSAT 5
0.10166400260069679,1986-03-01,LANDSAT 5
0.11253550013879303,1986-04-01,LANDSAT 5
0.11969445453282122,1986-05-01,LANDSAT 5
0.15763089789493195,1986-06-01,LANDSAT 5
0.17918068622809036,1986-07-01,LANDSAT 5
0.1975821485675555,1986-08-01,LANDSAT 5
0.17740061983751573,1986-09-01,LANDSAT 5
0.15983189394344738,1986-10-01,LANDSAT 5
0.11583909536075405,1986-11-01,LANDSAT 5
0.10411743988084546,1986-12-01,LANDSAT 5
0.09666609227057214,1987-01-01,LANDSAT 5
0.10936157090916664,1987-02-01,LANDSAT 5
0.08958644354814548,1987-03-01,LANDSAT 5
0.049603075964654776,1987-04-01,LANDSAT 5
0.1482753507992629,1987-05-01,LANDSAT 5
0.1616851540170844,1987-06-01,LANDSAT 5
0.1463433062133696,1987-07-01,LANDSAT 5
0.1903695879813216,1987-08-01,LANDSAT 5
0.19986083401246388,1987-09-01,LANDSAT 5
0.11913223287231157,1987-10-01,LANDSAT 5
0.10346879456247612,1987-12-01,LANDSAT 5
0.10528429872609707,1988-02-01,LANDSAT 5
0.1351004805589112,1988-03-01,LANDSAT 5
0.11805475903734897,1988-04-01,LANDSAT 5
0.1412917255460567,1988-05-01,LANDSAT 5
0.12110384289477458,1988-06-01,LANDSAT 5
0.16650643289949188,1988-07-01,LANDSAT 5
0.2347981567753382,1988-08-01,LANDSAT 5
0.20516790914696462,1988-09-01,LANDSAT 5
0.17683031032968252,1988-10-01,LANDSAT 5
0.12818480079792507,1989-03-01,LANDSAT 5
0.14320271304547702,1989-04-01,LANDSAT 5
0.14140130457430844,1989-05-01,LANDSAT 5
0.14099808856153132,1989-06-01,LANDSAT 5
0.053892823031112,1989-07-01,LANDSAT 5
0.0673169620471584,1989-08-01,LANDSAT 5
0.19480391299201302,1989-09-01,LANDSAT 5
0.16835487696597176,1989-10-01,LANDSAT 5
0.11021161054242816,1990-03-01,LANDSAT 5
0.12512704090254426,1990-04-01,LANDSAT 5
0.12478442612159125,1990-05-01,LANDSAT 5
0.11609704159707493,1990-06-01,LANDSAT 5
0.11888682671519633,1990-07-01,LANDSAT 5
0.17016938455111896,1990-08-01,LANDSAT 5
0.20767764771241612,1990-09-01,LANDSAT 5
0.1978429862464353,1990-10-01,LANDSAT 5
0.09843077604259305,1991-02-01,LANDSAT 5
0.10444820032562004,1991-03-01,LANDSAT 5
0.130491773133457,1991-04-01,LANDSAT 5
0.14126271172103394,1991-05-01,LANDSAT 5
0.13811212687448793,1991-06-01,LANDSAT 5
0.14425938082545775,1991-07-01,LANDSAT 5
0.19863684686662506,1991-08-01,LANDSAT 5
0.2108768656967871,1991-09-01,LANDSAT 5
0.17430479324808446,1991-10-01,LANDSAT 5
0.14665694370802934,1991-11-01,LANDSAT 5
0.12223410669489596,1992-03-01,LANDSAT 5
0.14958190838920804,1992-04-01,LANDSAT 5
0.1545698213669943,1992-05-01,LANDSAT 5
0.17863862894947108,1992-06-01,LANDSAT 5
0.14396629122736013,1992-07-01,LANDSAT 5
0.1436519403074788,1992-08-01,LANDSAT 5
0.1743995379419248,1992-09-01,LANDSAT 5
0.1529709182012653,1992-10-01,LANDSAT 5
0.11976393353735204,1992-11-01,LANDSAT 5
0.04696814155765796,1992-12-01,LANDSAT 5
0.09598374729648676,1993-01-01,LANDSAT 5
0.0716280638768254,1993-02-01,LANDSAT 5
0.1349967894647963,1993-03-01,LANDSAT 5
0.12342282024283341,1993-04-01,LANDSAT 5
0.14568822176061222,1993-05-01,LANDSAT 5
0.12901588880051934,1993-06-01,LANDSAT 5
0.11719451009135924,1993-07-01,LANDSAT 5
0.16621524509580735,1993-08-01,LANDSAT 5
0.1876576707655426,1993-09-01,LANDSAT 5
0.1648410147820184,1993-10-01,LANDSAT 5
0.09756704370487279,1993-11-01,LANDSAT 5
0.07012672977836579,1993-12-01,LANDSAT 5
0.07107852008815978,1994-01-01,LANDSAT 5
0.09946993749976263,1994-02-01,LANDSAT 5
0.09582696229201974,1994-03-01,LANDSAT 5
0.1157816284983872,1994-04-01,LANDSAT 5
0.12739790996778308,1994-05-01,LANDSAT 5
0.13606875070450478,1994-06-01,LANDSAT 5
0.09259404858378424,1994-07-01,LANDSAT 5
0.13274426135896894,1994-08-01,LANDSAT 5
0.08482782882498481,1994-09-01,LANDSAT 5
0.11795486393135117,1994-10-01,LANDSAT 5
