NDVI,month-year,landsat
0.26415832774221853,1984-03-01,LANDSAT 5
0.31848893514169063,1984-04-01,LANDSAT 5
0.30675734135351407,1984-05-01,LANDSAT 5
0.22264437245615973,1984-06-01,LANDSAT 5
0.2887023916401102,1984-07-01,LANDSAT 5
0.2532561926077506,1984-08-01,LANDSAT 5
0.1337161240558582,1984-10-01,LANDSAT 5
0.04477222767744157,1984-12-01,LANDSAT 5
0.2091481152898192,1985-01-01,LANDSAT 5
0.2496933788736812,1985-03-01,LANDSAT 5
0.1688717522560785,1985-04-01,LANDSAT 5
0.25952333862883453,1985-07-01,LANDSAT 5
0.2908181258347465,1985-08-01,LANDSAT 5
0.3517020361850597,1985-09-01,LANDSAT 5
0.3322943609122134,1985-11-01,LANDSAT 5
0.2518874874428934,1985-12-01,LANDSAT 5
0.20007939126990362,1986-01-01,LANDSAT 5
0.2906214958256609,1986-03-01,LANDSAT 5
0.2291660292053295,1986-06-01,LANDSAT 5
0.3824789206622125,1986-07-01,LANDSAT 5
0.3360647556822914,1986-08-01,LANDSAT 5
0.23834969109491688,1986-09-01,LANDSAT 5
0.20349096264676933,1986-10-01,LANDSAT 5
0.25483394056807857,1986-11-01,LANDSAT 5
0.18178913256689538,1986-12-01,LANDSAT 5
0.19866624890435325,1987-01-01,LANDSAT 5
0.13773484557655985,1987-02-01,LANDSAT 5
0.29895041616569945,1987-03-01,LANDSAT 5
0.34332345165463407,1987-04-01,LANDSAT 5
0.1631834128911309,1987-05-01,LANDSAT 5
0.3342030598999251,1987-06-01,LANDSAT 5
0.37862336742644465,1987-07-01,LANDSAT 5
0.2892575582895505,1987-08-01,LANDSAT 5
0.3214538173460681,1987-09-01,LANDSAT 5
0.21459920478560646,1987-10-01,LANDSAT 5
0.2007175502108775,1987-11-01,LANDSAT 5
0.021923313417618228,1987-12-01,LANDSAT 5
0.14436150356140462,1988-01-01,LANDSAT 5
0.17448646838260617,1988-02-01,LANDSAT 5
0.2788446538735795,1988-03-01,LANDSAT 5
0.19888044920911171,1988-04-01,LANDSAT 5
0.09399078041315079,1988-05-01,LANDSAT 5
0.3277532265751461,1988-06-01,LANDSAT 5
0.230443793687987,1988-07-01,LANDSAT 5
0.19702465891621385,1988-08-01,LANDSAT 5
0.3027792703380549,1988-09-01,LANDSAT 5
0.36170447963409236,1988-10-01,LANDSAT 5
0.27448594017539474,1988-11-01,LANDSAT 5
0.17218834853283213,1989-01-01,LANDSAT 5
0.13331790006935268,1989-03-01,LANDSAT 5
0.34611866252663337,1989-04-01,LANDSAT 5
0.0997001211503938,1989-05-01,LANDSAT 5
0.20869279868304538,1989-06-01,LANDSAT 5
0.3581833801407817,1989-07-01,LANDSAT 5
0.3235650614787438,1989-08-01,LANDSAT 5
0.3500982982026843,1989-09-01,LANDSAT 5
0.27947275948790556,1989-10-01,LANDSAT 5
0.09011732313992263,1989-11-01,LANDSAT 5
0.20900693614469512,1989-12-01,LANDSAT 5
0.24766498658557587,1990-05-01,LANDSAT 5
0.35672674887548883,1990-06-01,LANDSAT 5
0.08337971895026342,1990-07-01,LANDSAT 5
0.3112553811924909,1990-08-01,LANDSAT 5
0.3112513094832777,1990-10-01,LANDSAT 5
0.08084671912789826,1990-12-01,LANDSAT 5
0.1471548446869324,1991-02-01,LANDSAT 5
0.21855671516930114,1991-03-01,LANDSAT 5
0.4697266212060876,1991-04-01,LANDSAT 5
0.28930827350254146,1991-05-01,LANDSAT 5
0.2156160266793479,1991-06-01,LANDSAT 5
0.3417854803020337,1991-07-01,LANDSAT 5
0.3851143772644464,1991-08-01,LANDSAT 5
0.21299325446958986,1991-09-01,LANDSAT 5
0.26080508769009636,1991-10-01,LANDSAT 5
0.09881002908485712,1991-11-01,LANDSAT 5
0.1614868723392399,1991-12-01,LANDSAT 5
0.10989963723408282,1992-01-01,LANDSAT 5
0.22011879768063808,1992-02-01,LANDSAT 5
0.26925742325487995,1992-03-01,LANDSAT 5
0.41246400186764065,1992-04-01,LANDSAT 5
0.38074468942374895,1992-06-01,LANDSAT 5
0.33112513345022876,1992-07-01,LANDSAT 5
0.3789122655897085,1992-08-01,LANDSAT 5
0.0969620190804867,1992-09-01,LANDSAT 5
0.34537547533971225,1992-10-01,LANDSAT 5
0.167522138058234,1992-11-01,LANDSAT 5
0.08292005165497364,1992-12-01,LANDSAT 5
0.10803516784002318,1993-01-01,LANDSAT 5
0.05814073116441716,1993-02-01,LANDSAT 5
0.3084965227675518,1993-03-01,LANDSAT 5
0.38666220332993545,1993-04-01,LANDSAT 5
0.4145706776369074,1993-05-01,LANDSAT 5
0.27097985335162317,1993-06-01,LANDSAT 5
0.33343223237430875,1993-07-01,LANDSAT 5
0.18414510798560807,1993-08-01,LANDSAT 5
0.27960415136227285,1993-09-01,LANDSAT 5
0.05547198638002854,1993-10-01,LANDSAT 5
0.20876966231747832,1993-12-01,LANDSAT 5
0.12813537893132837,1994-01-01,LANDSAT 5
0.0704879105548784,1994-02-01,LANDSAT 5
0.11082647685686309,1994-03-01,LANDSAT 5
0.07442468201111474,1994-04-01,LANDSAT 5
0.38799943274093524,1994-05-01,LANDSAT 5
0.3867492207562474,1994-06-01,LANDSAT 5
0.16948693401506307,1994-07-01,LANDSAT 5
0.33724675536670884,1994-08-01,LANDSAT 5
