NDVI,month-year,landsat
0.16560387123228332,1984-04-01,LANDSAT 5
0.22816548033657613,1984-05-01,LANDSAT 5
0.22445186409735093,1984-06-01,LANDSAT 5
0.23711536658991433,1984-07-01,LANDSAT 5
0.24680048651139788,1984-08-01,LANDSAT 5
0.311739844726535,1984-09-01,LANDSAT 5
0.2223986396119785,1984-10-01,LANDSAT 5
0.05698005626211327,1984-11-01,LANDSAT 5
0.1349242647130691,1984-12-01,LANDSAT 5
0.08576804950821668,1985-01-01,LANDSAT 5
0.26904658780985835,1985-03-01,LANDSAT 5
0.21762166063323318,1985-05-01,LANDSAT 5
0.23620024636975076,1985-06-01,LANDSAT 5
0.2436487083948171,1985-07-01,LANDSAT 5
0.23820166540634616,1985-08-01,LANDSAT 5
0.2273045094221996,1985-09-01,LANDSAT 5
0.1585036632078446,1985-10-01,LANDSAT 5
0.1376939110491274,1985-11-01,LANDSAT 5
0.2449956213892499,1985-12-01,LANDSAT 5
0.138322231232194,1986-01-01,LANDSAT 5
0.2620663537399713,1986-02-01,LANDSAT 5
0.2071621776798775,1986-03-01,LANDSAT 5
0.23506507002152519,1986-04-01,LANDSAT 5
0.23062399047883012,1986-05-01,LANDSAT 5
0.22572373348716263,1986-06-01,LANDSAT 5
0.2433937308064858,1986-07-01,LANDSAT 5
0.24026908755500165,1986-08-01,LANDSAT 5
0.22915164011135009,1986-09-01,LANDSAT 5
0.21409141367071644,1986-10-01,LANDSAT 5
0.13774365984402184,1986-11-01,LANDSAT 5
0.01021063650531715,1986-12-01,LANDSAT 5
0.10599638590531008,1987-01-01,LANDSAT 5
0.22308691451742504,1987-02-01,LANDSAT 5
0.2938334912913794,1987-03-01,LANDSAT 5
0.23219263890157224,1987-04-01,LANDSAT 5
0.20749629054891655,1987-05-01,LANDSAT 5
0.19465322235821636,1987-06-01,LANDSAT 5
0.2402084019561629,1987-07-01,LANDSAT 5
0.2220473116519686,1987-08-01,LANDSAT 5
0.21720610803185053,1987-09-01,LANDSAT 5
0.1852260580722027,1987-10-01,LANDSAT 5
0.24402391927327388,1988-03-01,LANDSAT 5
0.15416367122763577,1988-04-01,LANDSAT 5
0.2168438278601734,1988-05-01,LANDSAT 5
0.1837930621402477,1988-06-01,LANDSAT 5
0.22455768805549092,1988-07-01,LANDSAT 5
0.21780743849570147,1988-08-01,LANDSAT 5
0.21078667470885637,1988-09-01,LANDSAT 5
0.12678607640142198,1988-10-01,LANDSAT 5
0.16723829681613275,1988-11-01,LANDSAT 5
0.06714449486234349,1988-12-01,LANDSAT 5
0.1561294281854102,1989-01-01,LANDSAT 5
0.23557991952149582,1989-02-01,LANDSAT 5
0.224063788916536,1989-03-01,LANDSAT 5
0.19459761060084152,1989-04-01,LANDSAT 5
0.23580816359708437,1989-05-01,LANDSAT 5
0.20805605604872293,1989-06-01,LANDSAT 5
0.2237334678409737,1989-07-01,LANDSAT 5
0.2245146436339534,1989-08-01,LANDSAT 5
0.2262713581429571,1989-09-01,LANDSAT 5
0.1978093775936655,1989-10-01,LANDSAT 5
0.16490233552461922,1989-11-01,LANDSAT 5
0.08117995570265539,1989-12-01,LANDSAT 5
0.13237396737210044,1990-01-01,LANDSAT 5
0.1376393907120431,1990-02-01,LANDSAT 5
0.2521111817748347,1990-03-01,LANDSAT 5
0.21520398123102177,1990-04-01,LANDSAT 5
0.21925207161453705,1990-05-01,LANDSAT 5
0.23729368980091484,1990-06-01,LANDSAT 5
0.2285039488174178,1990-07-01,LANDSAT 5
0.22941437622288677,1990-08-01,LANDSAT 5
0.21242183079767937,1990-09-01,LANDSAT 5
0.1676550703287828,1990-10-01,LANDSAT 5
0.21486874537553824,1991-03-01,LANDSAT 5
0.2456201012425755,1991-04-01,LANDSAT 5
0.2146853814216623,1991-05-01,LANDSAT 5
0.21996333980517532,1991-06-01,LANDSAT 5
0.22806018022888558,1991-07-01,LANDSAT 5
0.19037410139049835,1991-08-01,LANDSAT 5
0.20960249456642702,1991-09-01,LANDSAT 5
0.18674283518518395,1991-10-01,LANDSAT 5
0.28353603116989406,1992-03-01,LANDSAT 5
0.20729914423311682,1992-04-01,LANDSAT 5
0.21273353822152893,1992-05-01,LANDSAT 5
0.22018265092218603,1992-06-01,LANDSAT 5
0.2224316562607485,1992-07-01,LANDSAT 5
0.17418672818469094,1992-08-01,LANDSAT 5
0.2063374316184754,1992-09-01,LANDSAT 5
0.16188127423926332,1992-10-01,LANDSAT 5
0.17800197027294554,1992-11-01,LANDSAT 5
0.1359441366169917,1992-12-01,LANDSAT 5
