NDVI,month-year,landsat
0.12632826365279173,1984-03-01,LANDSAT 5
0.15543275933883774,1984-04-01,LANDSAT 5
0.24907665858397027,1984-05-01,LANDSAT 5
0.2107040402042605,1984-06-01,LANDSAT 5
0.21420834291323726,1984-07-01,LANDSAT 5
0.24417981187720053,1984-08-01,LANDSAT 5
0.04750867759137334,1984-09-01,LANDSAT 5
0.16515086873958257,1984-10-01,LANDSAT 5
0.03821098830324154,1984-11-01,LANDSAT 5
0.043072397512578034,1984-12-01,LANDSAT 5
0.0642348988597678,1985-01-01,LANDSAT 5
0.05906390669414882,1985-02-01,LANDSAT 5
0.05666165503151666,1985-03-01,LANDSAT 5
0.08988754188178218,1985-04-01,LANDSAT 5
0.17656862967236614,1985-05-01,LANDSAT 5
0.19363175153353784,1985-06-01,LANDSAT 5
0.17791814187247912,1985-07-01,LANDSAT 5
0.16830912414497054,1985-08-01,LANDSAT 5
0.2106273286359859,1985-09-01,LANDSAT 5
0.07042013941223796,1985-10-01,LANDSAT 5
0.05020990487165811,1985-11-01,LANDSAT 5
0.034701875999837394,1986-01-01,LANDSAT 5
0.09013203679728948,1986-02-01,LANDSAT 5
0.12306329673582457,1986-03-01,LANDSAT 5
0.18754447289514278,1986-04-01,LANDSAT 5
0.20745544149364942,1986-05-01,LANDSAT 5
0.184330372042973,1986-06-01,LANDSAT 5
0.2681846739830477,1986-07-01,LANDSAT 5
0.2091446090628585,1986-08-01,LANDSAT 5
0.16319107661064713,1986-09-01,LANDSAT 5
0.23177696225733024,1986-10-01,LANDSAT 5
0.04316040862005775,1986-11-01,LANDSAT 5
0.0374932151907878,1986-12-01,LANDSAT 5
0.052977464833252295,1987-01-01,LANDSAT 5
0.09656844569598438,1987-02-01,LANDSAT 5
0.0918128971158312,1987-03-01,LANDSAT 5
0.21332112203973524,1987-04-01,LANDSAT 5
0.1986575896688457,1987-05-01,LANDSAT 5
0.17457533317663707,1987-06-01,LANDSAT 5
0.2712185349792101,1987-07-01,LANDSAT 5
0.2112399593381973,1987-08-01,LANDSAT 5
0.23521087256476392,1987-09-01,LANDSAT 5
0.16273295168721133,1987-10-01,LANDSAT 5
0.04894739331821122,1988-03-01,LANDSAT 5
0.08236114192791037,1988-04-01,LANDSAT 5
0.18507993386705338,1988-05-01,LANDSAT 5
0.22006704367473223,1988-06-01,LANDSAT 5
0.2264461776204415,1988-07-01,LANDSAT 5
0.20872282853781082,1988-08-01,LANDSAT 5
0.20138547549854394,1988-09-01,LANDSAT 5
0.16978471368262693,1988-10-01,LANDSAT 5
0.07017011465448951,1989-03-01,LANDSAT 5
0.16089443788604252,1989-04-01,LANDSAT 5
0.19074511046001327,1989-05-01,LANDSAT 5
0.21806735354921006,1989-06-01,LANDSAT 5
0.20181182567423872,1989-07-01,LANDSAT 5
0.23092556357624885,1989-08-01,LANDSAT 5
0.2738728802038339,1989-09-01,LANDSAT 5
0.10585379885896855,1989-10-01,LANDSAT 5
0.11865326247624185,1990-04-01,LANDSAT 5
0.12388476719913659,1990-05-01,LANDSAT 5
0.24151068037667797,1990-06-01,LANDSAT 5
0.18821808564103606,1990-07-01,LANDSAT 5
0.12862320156926044,1990-08-01,LANDSAT 5
