NDVI,month-year,landsat
0.2941129950187627,1984-03-01,LANDSAT 5
0.3511897666058201,1984-04-01,LANDSAT 5
0.3462528826151009,1984-05-01,LANDSAT 5
0.29322650447515725,1984-06-01,LANDSAT 5
0.3430905753139102,1984-07-01,LANDSAT 5
0.2793472932610073,1984-09-01,LANDSAT 5
0.35487000712730493,1984-10-01,LANDSAT 5
0.3592221669314885,1984-11-01,LANDSAT 5
0.25433257578254925,1984-12-01,LANDSAT 5
0.3001721197695147,1985-01-01,LANDSAT 5
0.32866009834796905,1985-04-01,LANDSAT 5
0.34128972972529725,1985-08-01,LANDSAT 5
0.3475519124045521,1985-09-01,LANDSAT 5
0.18370242199141462,1985-10-01,LANDSAT 5
0.24544782336314955,1985-11-01,LANDSAT 5
0.2538930121023462,1986-01-01,LANDSAT 5
0.31381371328682117,1986-03-01,LANDSAT 5
0.15762912955188962,1986-04-01,LANDSAT 5
0.35881543555606993,1986-05-01,LANDSAT 5
0.3085431790354866,1986-06-01,LANDSAT 5
0.2643108811260593,1986-07-01,LANDSAT 5
0.1968024046535844,1986-08-01,LANDSAT 5
0.2456137614171742,1986-09-01,LANDSAT 5
0.36763415876371336,1986-10-01,LANDSAT 5
-0.0014616576903840593,1986-11-01,LANDSAT 5
0.16859134926033928,1986-12-01,LANDSAT 5
0.24514931641442753,1987-01-01,LANDSAT 5
0.2749530036861526,1987-02-01,LANDSAT 5
0.22210733614492612,1987-03-01,LANDSAT 5
0.3275972013882355,1987-04-01,LANDSAT 5
0.29271084264694935,1987-05-01,LANDSAT 5
0.19179241599885904,1987-06-01,LANDSAT 5
0.2639812265408183,1987-07-01,LANDSAT 5
0.29880400917572064,1987-08-01,LANDSAT 5
0.1827208798895153,1987-09-01,LANDSAT 5
0.35260976082254636,1987-10-01,LANDSAT 5
0.1956160466897169,1987-11-01,LANDSAT 5
0.21078067344226908,1987-12-01,LANDSAT 5
0.24709141812834648,1988-01-01,LANDSAT 5
0.2547285750907531,1988-02-01,LANDSAT 5
0.2694824961976621,1988-03-01,LANDSAT 5
0.4053077335902579,1988-04-01,LANDSAT 5
0.3714836247668684,1988-06-01,LANDSAT 5
0.22639963594561557,1988-07-01,LANDSAT 5
0.24023524379773453,1988-08-01,LANDSAT 5
0.2518283612736804,1988-09-01,LANDSAT 5
0.26718817978426407,1988-10-01,LANDSAT 5
0.32908986078756797,1988-11-01,LANDSAT 5
0.28085688515958596,1988-12-01,LANDSAT 5
0.11358392962898035,1989-01-01,LANDSAT 5
0.013771916694446171,1989-02-01,LANDSAT 5
0.28148922971018603,1989-03-01,LANDSAT 5
0.3065022032311096,1989-04-01,LANDSAT 5
0.3285880497586995,1989-05-01,LANDSAT 5
0.20791504489722978,1989-06-01,LANDSAT 5
0.23036366625997498,1989-07-01,LANDSAT 5
0.2316443032091734,1989-08-01,LANDSAT 5
0.3897335220335068,1989-09-01,LANDSAT 5
0.25882038242434574,1989-10-01,LANDSAT 5
0.33028222844306626,1989-11-01,LANDSAT 5
0.1429786651074541,1989-12-01,LANDSAT 5
0.1953657252860727,1990-01-01,LANDSAT 5
0.2807225470679748,1990-02-01,LANDSAT 5
0.3992281034011046,1990-04-01,LANDSAT 5
0.1910631643696607,1990-05-01,LANDSAT 5
0.2671814086785165,1990-06-01,LANDSAT 5
0.21236163421056534,1990-07-01,LANDSAT 5
0.25436002398608465,1990-08-01,LANDSAT 5
0.24606425718143776,1990-09-01,LANDSAT 5
0.4188275040225492,1990-10-01,LANDSAT 5
0.29952838732631376,1990-11-01,LANDSAT 5
