NDVI,month-year,landsat
0.31011888270330257,1984-04-01,LANDSAT 5
0.3699937369626779,1984-05-01,LANDSAT 5
0.3159879218920835,1984-06-01,LANDSAT 5
0.5194632196240662,1984-09-01,LANDSAT 5
0.3518442068714041,1984-10-01,LANDSAT 5
0.11717855427837676,1984-11-01,LANDSAT 5
0.05831834938294138,1984-12-01,LANDSAT 5
0.046545100404445726,1985-01-01,LANDSAT 5
0.029289808234766724,1985-02-01,LANDSAT 5
0.4282760368605759,1985-05-01,LANDSAT 5
0.4208211798989586,1985-07-01,LANDSAT 5
0.5327823687847851,1985-08-01,LANDSAT 5
0.4053280260651376,1985-09-01,LANDSAT 5
0.1260687727540929,1985-10-01,LANDSAT 5
0.14430112753968083,1986-01-01,LANDSAT 5
0.1714123829228258,1986-03-01,LANDSAT 5
0.3089997977999986,1986-05-01,LANDSAT 5
0.4214145167793117,1986-06-01,LANDSAT 5
0.10426876829763426,1986-07-01,LANDSAT 5
0.3360737875397687,1986-08-01,LANDSAT 5
0.38647169020868666,1986-09-01,LANDSAT 5
0.260255045285246,1986-11-01,LANDSAT 5
0.045919038435855625,1987-01-01,LANDSAT 5
0.059134110795955756,1987-02-01,LANDSAT 5
0.20560210322612452,1987-03-01,LANDSAT 5
0.17460776006125758,1987-04-01,LANDSAT 5
0.3844727672427862,1987-05-01,LANDSAT 5
0.23370158427617058,1987-06-01,LANDSAT 5
0.3809314634723729,1987-07-01,LANDSAT 5
0.33930044819662786,1987-08-01,LANDSAT 5
0.196756386751537,1987-09-01,LANDSAT 5
0.24058916655100393,1987-10-01,LANDSAT 5
0.07147093690861446,1987-11-01,LANDSAT 5
0.11062872623621663,1987-12-01,LANDSAT 5
0.14802374666678195,1988-01-01,LANDSAT 5
0.09514753203005553,1988-02-01,LANDSAT 5
0.20408365858336297,1988-03-01,LANDSAT 5
0.29121707060456004,1988-04-01,LANDSAT 5
0.33960858233644164,1988-05-01,LANDSAT 5
0.3048272370175693,1988-06-01,LANDSAT 5
0.23988452992950993,1988-07-01,LANDSAT 5
0.46484092464421367,1988-08-01,LANDSAT 5
0.4202980780339127,1988-09-01,LANDSAT 5
0.3322093002203776,1988-10-01,LANDSAT 5
0.2539862612278538,1988-11-01,LANDSAT 5
0.11393904671507216,1988-12-01,LANDSAT 5
0.13370888431704908,1989-01-01,LANDSAT 5
0.10302874519122947,1989-02-01,LANDSAT 5
0.08999549881238077,1989-03-01,LANDSAT 5
0.3122084941938251,1989-04-01,LANDSAT 5
0.28972531579532296,1989-05-01,LANDSAT 5
0.30973301363106726,1989-06-01,LANDSAT 5
0.43545888599307636,1989-07-01,LANDSAT 5
0.3575490075224971,1989-08-01,LANDSAT 5
0.4526319487240287,1989-09-01,LANDSAT 5
