NDVI,month-year,landsat
0.3201045261194276,1984-04-01,LANDSAT 5
0.41073560363336936,1984-05-01,LANDSAT 5
0.36746119472624894,1984-06-01,LANDSAT 5
0.4609018721086208,1984-07-01,LANDSAT 5
0.38349683608307716,1984-08-01,LANDSAT 5
0.33641199122010246,1984-09-01,LANDSAT 5
0.39641446692546217,1984-10-01,LANDSAT 5
0.2834194579834417,1984-12-01,LANDSAT 5
0.33619102277587737,1985-01-01,LANDSAT 5
0.3197536292059422,1985-02-01,LANDSAT 5
0.35261607046693993,1985-04-01,LANDSAT 5
0.1478233903069187,1985-06-01,LANDSAT 5
0.359317025781038,1985-07-01,LANDSAT 5
0.17459500323789504,1985-08-01,LANDSAT 5
0.323195501170048,1985-09-01,LANDSAT 5
0.2678787160326282,1985-10-01,LANDSAT 5
0.32331523137125245,1985-11-01,LANDSAT 5
0.33287609046264627,1986-01-01,LANDSAT 5
0.3363869536321973,1986-02-01,LANDSAT 5
0.3285164338953936,1986-03-01,LANDSAT 5
0.39401019520468794,1986-04-01,LANDSAT 5
0.3563273406780926,1986-05-01,LANDSAT 5
0.3651569018130747,1986-06-01,LANDSAT 5
0.3338861306276889,1986-07-01,LANDSAT 5
0.36689848270769565,1986-08-01,LANDSAT 5
0.2742919750490788,1986-09-01,LANDSAT 5
0.29945953364642874,1986-10-01,LANDSAT 5
0.14675380580173292,1986-11-01,LANDSAT 5
0.21071030777850763,1986-12-01,LANDSAT 5
0.3263513117980931,1987-01-01,LANDSAT 5
0.291629741996559,1987-02-01,LANDSAT 5
0.39690837313595045,1987-03-01,LANDSAT 5
0.41354061683696575,1987-04-01,LANDSAT 5
0.2425016814958724,1987-05-01,LANDSAT 5
0.33279762771415045,1987-06-01,LANDSAT 5
0.3653455160777501,1987-07-01,LANDSAT 5
0.3928337478016709,1987-08-01,LANDSAT 5
0.3984098846126547,1987-09-01,LANDSAT 5
0.3814541046055271,1987-10-01,LANDSAT 5
0.3213904770089894,1987-11-01,LANDSAT 5
0.23611134839333447,1987-12-01,LANDSAT 5
0.2791385114336933,1988-01-01,LANDSAT 5
0.23950446883351756,1988-02-01,LANDSAT 5
0.26326978576222854,1988-03-01,LANDSAT 5
0.3139310195123848,1988-04-01,LANDSAT 5
0.3212741446975378,1988-05-01,LANDSAT 5
0.3157901179098505,1988-06-01,LANDSAT 5
0.36907117592912186,1988-07-01,LANDSAT 5
0.32878954567582,1988-08-01,LANDSAT 5
0.25999667329866505,1988-09-01,LANDSAT 5
0.39649880388410946,1988-10-01,LANDSAT 5
0.3229983902366859,1988-11-01,LANDSAT 5
0.37104418885458434,1988-12-01,LANDSAT 5
0.29221191048529965,1989-01-01,LANDSAT 5
0.30747839742543337,1989-02-01,LANDSAT 5
0.23529146705772708,1989-03-01,LANDSAT 5
0.350839199896053,1989-04-01,LANDSAT 5
0.34761179479873466,1989-05-01,LANDSAT 5
0.35016560116815926,1989-06-01,LANDSAT 5
0.3405505865663015,1989-07-01,LANDSAT 5
0.2932603918802705,1989-08-01,LANDSAT 5
0.33774127349073,1989-09-01,LANDSAT 5
0.014158580993136325,1989-10-01,LANDSAT 5
0.4307081423003987,1989-11-01,LANDSAT 5
0.30213048923938196,1989-12-01,LANDSAT 5
0.3207794036343616,1990-01-01,LANDSAT 5
0.3446829161948062,1990-04-01,LANDSAT 5
0.27466803533665013,1990-05-01,LANDSAT 5
0.32712248915098757,1990-06-01,LANDSAT 5
0.3193496101638121,1990-07-01,LANDSAT 5
0.3201053380375622,1990-08-01,LANDSAT 5
0.2773089091409647,1990-09-01,LANDSAT 5
0.379188708914409,1990-10-01,LANDSAT 5
0.34778779216254724,1990-11-01,LANDSAT 5
0.22251563720698925,1990-12-01,LANDSAT 5
0.22452260246868425,1991-01-01,LANDSAT 5
0.3205295596404546,1991-02-01,LANDSAT 5
0.29974572296402674,1991-03-01,LANDSAT 5
0.30943556610736317,1991-04-01,LANDSAT 5
0.37060664666866255,1991-05-01,LANDSAT 5
0.3085467359200916,1991-06-01,LANDSAT 5
0.25792985232437504,1991-07-01,LANDSAT 5
0.35233592452791523,1991-08-01,LANDSAT 5
0.22657231200302794,1991-09-01,LANDSAT 5
0.26799686424038094,1991-10-01,LANDSAT 5
0.3175087869194395,1991-11-01,LANDSAT 5
0.18040934194082767,1991-12-01,LANDSAT 5
0.19668718733122423,1992-01-01,LANDSAT 5
0.22977074363957897,1992-02-01,LANDSAT 5
0.37774671706530344,1992-03-01,LANDSAT 5
0.30676152829020303,1992-04-01,LANDSAT 5
0.2976090019628538,1992-05-01,LANDSAT 5
0.3462532405657756,1992-06-01,LANDSAT 5
0.3154502744153574,1992-07-01,LANDSAT 5
0.26368817905741054,1992-08-01,LANDSAT 5
0.1362277082055304,1992-09-01,LANDSAT 5
0.32012801377499245,1992-10-01,LANDSAT 5
0.28731261065955505,1992-11-01,LANDSAT 5
0.20771173470837026,1992-12-01,LANDSAT 5
0.2249048301180838,1993-01-01,LANDSAT 5
0.25847279364547915,1993-02-01,LANDSAT 5
0.23401369003490613,1993-03-01,LANDSAT 5
0.31635648806782407,1993-04-01,LANDSAT 5
0.34426838926399445,1993-05-01,LANDSAT 5
