NDVI,month-year,landsat
0.1258423896556896,1984-03-01,LANDSAT 5
0.2793786367807982,1984-04-01,LANDSAT 5
0.5037786186368952,1984-05-01,LANDSAT 5
0.3668681978289094,1984-06-01,LANDSAT 5
0.264672537697881,1984-07-01,LANDSAT 5
0.42932446089824705,1984-08-01,LANDSAT 5
0.28215891718902925,1984-09-01,LANDSAT 5
0.3955040991061275,1984-10-01,LANDSAT 5
0.31141867831172787,1984-11-01,LANDSAT 5
0.2508231766954487,1984-12-01,LANDSAT 5
0.12066573477792966,1985-01-01,LANDSAT 5
0.28244692204302346,1985-08-01,LANDSAT 5
0.26430759469571247,1985-09-01,LANDSAT 5
0.29630313378720663,1985-10-01,LANDSAT 5
0.12255201673260714,1985-11-01,LANDSAT 5
0.1898286439597938,1986-01-01,LANDSAT 5
0.1515663420801183,1986-02-01,LANDSAT 5
0.1440839990145401,1986-03-01,LANDSAT 5
0.319848881377229,1986-04-01,LANDSAT 5
0.19089410573345666,1986-05-01,LANDSAT 5
0.5063214068870112,1986-06-01,LANDSAT 5
0.44488510379940965,1986-07-01,LANDSAT 5
0.05225916440879833,1986-08-01,LANDSAT 5
0.34580010092562924,1986-09-01,LANDSAT 5
0.216138436905866,1986-10-01,LANDSAT 5
0.14842465345040182,1986-12-01,LANDSAT 5
0.030174961309739373,1987-01-01,LANDSAT 5
0.17415428334386368,1987-02-01,LANDSAT 5
0.29404066163134157,1987-03-01,LANDSAT 5
0.356080160852181,1987-04-01,LANDSAT 5
0.2918939894765551,1987-05-01,LANDSAT 5
0.5008233917917105,1987-06-01,LANDSAT 5
0.4568288748974598,1987-07-01,LANDSAT 5
0.4488586661912534,1987-08-01,LANDSAT 5
0.3411182285138826,1987-09-01,LANDSAT 5
0.2465649618520139,1987-10-01,LANDSAT 5
0.2625400965274945,1987-11-01,LANDSAT 5
0.12121044523354628,1987-12-01,LANDSAT 5
0.22093296344021132,1988-01-01,LANDSAT 5
0.06764867311830373,1988-02-01,LANDSAT 5
0.1552573148788083,1988-03-01,LANDSAT 5
0.32850327990540445,1988-04-01,LANDSAT 5
0.434702787570071,1988-05-01,LANDSAT 5
0.4436171635824408,1988-06-01,LANDSAT 5
0.2758431255992307,1988-07-01,LANDSAT 5
0.48251640005096746,1988-08-01,LANDSAT 5
0.4036792379388821,1988-09-01,LANDSAT 5
0.3245884593778933,1988-10-01,LANDSAT 5
0.06437656732488652,1988-11-01,LANDSAT 5
0.24366965514590821,1988-12-01,LANDSAT 5
0.20250010084656245,1989-01-01,LANDSAT 5
0.04229421241978265,1989-02-01,LANDSAT 5
0.12438773685330644,1989-03-01,LANDSAT 5
0.22826960812036093,1989-04-01,LANDSAT 5
0.5113267474930506,1989-05-01,LANDSAT 5
0.3905355359725288,1989-06-01,LANDSAT 5
0.26690787973121644,1989-07-01,LANDSAT 5
0.15139673477627003,1989-08-01,LANDSAT 5
0.40027970374452815,1989-09-01,LANDSAT 5
0.08134920046444127,1989-10-01,LANDSAT 5
0.2122091353320608,1989-11-01,LANDSAT 5
0.06412471939184479,1989-12-01,LANDSAT 5
0.17528851002389378,1990-01-01,LANDSAT 5
0.28023428314584464,1990-04-01,LANDSAT 5
0.12258490768326989,1990-05-01,LANDSAT 5
0.3178951853277149,1990-06-01,LANDSAT 5
0.48519318191416594,1990-07-01,LANDSAT 5
0.48833623167119183,1990-08-01,LANDSAT 5
0.4247485200812951,1990-09-01,LANDSAT 5
0.03089806924417527,1990-10-01,LANDSAT 5
0.3001685158715134,1990-11-01,LANDSAT 5
0.17290064769620275,1990-12-01,LANDSAT 5
0.13310512591361648,1991-02-01,LANDSAT 5
0.26664938041605246,1991-03-01,LANDSAT 5
0.39564356039246057,1991-04-01,LANDSAT 5
0.5060122241578965,1991-05-01,LANDSAT 5
0.48598808330946863,1991-06-01,LANDSAT 5
0.49900915306466953,1991-07-01,LANDSAT 5
0.4442376910553273,1991-08-01,LANDSAT 5
0.44651995165126024,1991-09-01,LANDSAT 5
0.3790116690118164,1991-10-01,LANDSAT 5
0.036172450214914414,1991-11-01,LANDSAT 5
0.011885328676592883,1991-12-01,LANDSAT 5
0.10143654132426962,1992-01-01,LANDSAT 5
0.050273637264264114,1992-02-01,LANDSAT 5
0.22097666683951617,1992-03-01,LANDSAT 5
0.4404437371669,1992-04-01,LANDSAT 5
0.1907378508114769,1992-05-01,LANDSAT 5
0.2280484951461605,1992-06-01,LANDSAT 5
0.3165312455777541,1992-07-01,LANDSAT 5
0.37514174242423637,1992-08-01,LANDSAT 5
0.3895097297963124,1992-09-01,LANDSAT 5
0.10187306682970028,1992-10-01,LANDSAT 5
0.048507948704921935,1992-11-01,LANDSAT 5
0.14178726928477065,1992-12-01,LANDSAT 5
0.10749594186332324,1993-01-01,LANDSAT 5
0.18843444036062562,1993-03-01,LANDSAT 5
0.2717461685289429,1993-05-01,LANDSAT 5
0.49264612897490434,1993-06-01,LANDSAT 5
0.44116255573624885,1993-07-01,LANDSAT 5
0.2943479654634858,1993-08-01,LANDSAT 5
0.4489093698470928,1993-09-01,LANDSAT 5
0.2511824356051346,1993-10-01,LANDSAT 5
0.036870213751095886,1993-11-01,LANDSAT 5
0.057177223661431034,1993-12-01,LANDSAT 5
0.0809908325241068,1994-01-01,LANDSAT 5
0.11914455939666622,1994-02-01,LANDSAT 5
0.20028247779314493,1994-03-01,LANDSAT 5
0.3091600764479781,1994-04-01,LANDSAT 5
0.4734636495889868,1994-05-01,LANDSAT 5
0.13130684144233842,1994-06-01,LANDSAT 5
0.5246112458977296,1994-07-01,LANDSAT 5
0.45082713872252744,1994-08-01,LANDSAT 5
0.4392925257649116,1994-09-01,LANDSAT 5
0.4099119422345239,1994-10-01,LANDSAT 5
0.19422258595606356,1994-11-01,LANDSAT 5
0.2455904664038652,1994-12-01,LANDSAT 5
0.09137330736649002,1995-01-01,LANDSAT 5
0.18165099958794437,1995-02-01,LANDSAT 5
0.19744130753048858,1995-03-01,LANDSAT 5
0.4254676140101142,1995-04-01,LANDSAT 5
0.4008271476998096,1995-05-01,LANDSAT 5
0.43626232477104626,1995-06-01,LANDSAT 5
0.4477650189287815,1995-07-01,LANDSAT 5
0.3778707675575595,1995-08-01,LANDSAT 5
0.2519990165410985,1995-09-01,LANDSAT 5
0.3031529470882808,1995-10-01,LANDSAT 5
0.2876165297889227,1995-11-01,LANDSAT 5
0.10454070871906396,1996-02-01,LANDSAT 5
0.16163673202032403,1996-03-01,LANDSAT 5
0.049304831779917346,1996-04-01,LANDSAT 5
0.5176203156470308,1996-05-01,LANDSAT 5
0.33982991745377594,1996-06-01,LANDSAT 5
0.47538714667161197,1996-07-01,LANDSAT 5
0.15555159086887466,1996-09-01,LANDSAT 5
0.23914709984901908,1996-11-01,LANDSAT 5
0.23890040042056254,1996-12-01,LANDSAT 5
0.21460761305804446,1997-01-01,LANDSAT 5
0.23503512602642815,1997-03-01,LANDSAT 5
0.3317220474897062,1997-04-01,LANDSAT 5
0.42087119460040306,1997-05-01,LANDSAT 5
0.5214140304800968,1997-06-01,LANDSAT 5
0.3700215714379172,1997-07-01,LANDSAT 5
0.4216705306139098,1997-08-01,LANDSAT 5
0.2780160376878857,1997-09-01,LANDSAT 5
0.15879116158483836,1997-11-01,LANDSAT 5
0.20934783897980752,1997-12-01,LANDSAT 5
0.2224967766635592,1998-01-01,LANDSAT 5
0.07383422880728854,1998-02-01,LANDSAT 5
0.3341247209317732,1998-03-01,LANDSAT 5
0.29092791675179475,1998-04-01,LANDSAT 5
0.46221393703116714,1998-05-01,LANDSAT 5
0.46895502938547495,1998-08-01,LANDSAT 5
0.26033907103697235,1998-09-01,LANDSAT 5
0.34237356269886016,1998-10-01,LANDSAT 5
0.32104372146311255,1998-11-01,LANDSAT 5
0.2855431492366418,1998-12-01,LANDSAT 5
0.2010010739614558,1999-06-01,LANDSAT 7
0.3177883838496248,1999-07-01,LANDSAT 7
0.3822643076769774,1999-08-01,LANDSAT 7
0.2975336612698271,1999-09-01,LANDSAT 7
0.3768515629189474,1999-10-01,LANDSAT 7
0.2679031703849291,1999-11-01,LANDSAT 7
0.23147934795216915,1999-12-01,LANDSAT 7
0.20728756418774633,2000-01-01,LANDSAT 7
0.26613452072246485,2000-02-01,LANDSAT 7
0.18043123845611364,2000-03-01,LANDSAT 7
0.30687317461714336,2000-04-01,LANDSAT 7
0.17063125567496867,2000-05-01,LANDSAT 7
0.3344016387184666,2000-06-01,LANDSAT 7
0.40418107654546553,2000-07-01,LANDSAT 7
0.2894502890233935,2000-08-01,LANDSAT 7
0.3629247666470715,2000-09-01,LANDSAT 7
0.27858759049461673,2000-10-01,LANDSAT 7
0.01271476799275287,2000-12-01,LANDSAT 7
0.049500446336809965,2001-01-01,LANDSAT 7
0.02869963735655493,2001-02-01,LANDSAT 7
0.2669588223517545,2001-03-01,LANDSAT 7
0.40107947437077085,2001-04-01,LANDSAT 7
0.45033912390918673,2001-05-01,LANDSAT 7
0.35270303043531837,2001-06-01,LANDSAT 7
0.5001520823610849,2001-07-01,LANDSAT 7
0.4040469943160086,2001-08-01,LANDSAT 7
0.3268286515106297,2001-09-01,LANDSAT 7
0.2558283911706757,2001-10-01,LANDSAT 7
0.3132848546815882,2001-11-01,LANDSAT 7
0.20308683513150982,2001-12-01,LANDSAT 7
0.23079189328828537,2002-01-01,LANDSAT 7
0.13915212499496282,2002-02-01,LANDSAT 7
0.2869727669003168,2002-03-01,LANDSAT 7
0.1294126037166157,2002-04-01,LANDSAT 7
0.43454152622509606,2002-05-01,LANDSAT 7
0.42513216279808963,2002-06-01,LANDSAT 7
0.33258100344499386,2002-07-01,LANDSAT 7
0.4062486855376711,2002-08-01,LANDSAT 7
0.3475832120410392,2002-09-01,LANDSAT 7
0.4570506266081388,2002-10-01,LANDSAT 7
0.152789637977603,2002-11-01,LANDSAT 7
0.06727396546176886,2003-01-01,LANDSAT 7
0.028832024407273907,2003-02-01,LANDSAT 7
0.24840912848168015,2003-03-01,LANDSAT 7
0.447408242128068,2003-05-01,LANDSAT 7
0.33738703997007324,2003-07-01,LANDSAT 7
0.440989220032967,2003-08-01,LANDSAT 7
0.489315527444249,2003-09-01,LANDSAT 7
0.4499600674044922,2003-10-01,LANDSAT 7
0.3452190364364947,2003-11-01,LANDSAT 7
0.3017612463194313,2003-12-01,LANDSAT 7
0.22946514436535936,2004-01-01,LANDSAT 7
-0.18132834197967365,2004-02-01,LANDSAT 7
0.2122839245771303,2004-03-01,LANDSAT 7
0.47335067782437956,2004-04-01,LANDSAT 7
0.5361744253801619,2004-05-01,LANDSAT 7
0.5205474508362576,2004-06-01,LANDSAT 7
0.4931341196055074,2004-07-01,LANDSAT 7
0.5172218436867286,2004-08-01,LANDSAT 7
0.48374919814798933,2004-09-01,LANDSAT 7
0.0801897208962516,2004-10-01,LANDSAT 7
0.02771737023510497,2004-12-01,LANDSAT 7
0.09082795132226411,2005-01-01,LANDSAT 7
-0.0708472335467474,2005-02-01,LANDSAT 7
0.256916869343353,2005-03-01,LANDSAT 7
0.3226950176092453,2005-04-01,LANDSAT 7
0.3793782359276671,2005-05-01,LANDSAT 7
0.46306048358611357,2005-06-01,LANDSAT 7
0.3587138032743857,2005-07-01,LANDSAT 7
0.45813458719478667,2005-08-01,LANDSAT 7
0.31292914995419097,2005-09-01,LANDSAT 7
0.41823824235124857,2005-10-01,LANDSAT 7
0.11950151748632748,2005-11-01,LANDSAT 7
0.08307891406250234,2005-12-01,LANDSAT 7
0.21847087741210283,2006-01-01,LANDSAT 7
0.18355920974409473,2006-02-01,LANDSAT 7
0.29582338158620014,2006-03-01,LANDSAT 7
0.31611075278063705,2006-04-01,LANDSAT 7
0.36892143647087944,2006-05-01,LANDSAT 7
0.46093635640670927,2006-06-01,LANDSAT 7
0.31164288499779985,2006-07-01,LANDSAT 7
0.3441907572273857,2006-08-01,LANDSAT 7
0.273056919411574,2006-09-01,LANDSAT 7
0.36977141036232947,2006-10-01,LANDSAT 7
0.13792908699431786,2006-11-01,LANDSAT 7
0.13552660745158013,2006-12-01,LANDSAT 7
0.17588427874519758,2007-01-01,LANDSAT 7
0.1485051855764622,2007-02-01,LANDSAT 7
0.25498978604432465,2007-03-01,LANDSAT 7
0.3496703883013365,2007-04-01,LANDSAT 7
0.4169920977960669,2007-05-01,LANDSAT 7
0.479328827741304,2007-06-01,LANDSAT 7
0.49970878200069624,2007-07-01,LANDSAT 7
0.36137946057253045,2007-08-01,LANDSAT 7
0.27530917097827656,2007-09-01,LANDSAT 7
0.23649051725821427,2007-10-01,LANDSAT 7
0.1569873405365268,2007-11-01,LANDSAT 7
0.06052058263077528,2007-12-01,LANDSAT 7
0.043615211045644246,2008-01-01,LANDSAT 7
0.1329138920965068,2008-02-01,LANDSAT 7
0.23452977822942275,2008-03-01,LANDSAT 7
0.3288699509458664,2008-04-01,LANDSAT 7
0.3518731122052043,2008-05-01,LANDSAT 7
0.3245606216010107,2008-06-01,LANDSAT 7
0.4345804364299062,2008-07-01,LANDSAT 7
0.48899064745559123,2008-08-01,LANDSAT 7
0.4095219835521203,2008-09-01,LANDSAT 7
0.3653250745025233,2008-10-01,LANDSAT 7
0.24373047810981718,2008-11-01,LANDSAT 7
0.09750182526194762,2008-12-01,LANDSAT 7
0.10588994592751272,2009-01-01,LANDSAT 7
0.2171077251966629,2009-02-01,LANDSAT 7
0.1536727417011868,2009-03-01,LANDSAT 7
0.2964229812844066,2009-04-01,LANDSAT 7
0.40041108325714914,2009-05-01,LANDSAT 7
0.38750631128571394,2009-06-01,LANDSAT 7
0.5225813181394325,2009-07-01,LANDSAT 7
0.4007856263584404,2009-08-01,LANDSAT 7
0.14665489744869542,2009-09-01,LANDSAT 7
0.39636196973239785,2009-10-01,LANDSAT 7
0.3171999454895753,2009-11-01,LANDSAT 7
0.24512903314046047,2009-12-01,LANDSAT 7
0.16654051792253866,2010-01-01,LANDSAT 7
0.19087707855108152,2010-02-01,LANDSAT 7
0.24772942942311363,2010-03-01,LANDSAT 7
0.3814901715296677,2010-04-01,LANDSAT 7
0.33078789322416413,2010-05-01,LANDSAT 7
0.4109424075689398,2010-06-01,LANDSAT 7
0.501718810212188,2010-07-01,LANDSAT 7
0.4419749300613444,2010-08-01,LANDSAT 7
0.3974282071737249,2010-09-01,LANDSAT 7
0.3726418595800597,2010-10-01,LANDSAT 7
0.23457428091308716,2010-11-01,LANDSAT 7
0.11555688104124792,2010-12-01,LANDSAT 7
0.11373201815077871,2011-01-01,LANDSAT 7
0.06899320430448527,2011-02-01,LANDSAT 7
0.04146268443030264,2011-03-01,LANDSAT 7
0.3642009250731497,2011-04-01,LANDSAT 7
0.5280286437030073,2011-05-01,LANDSAT 7
0.4462334407121095,2011-06-01,LANDSAT 7
0.5078867183795515,2011-07-01,LANDSAT 7
0.4402844807845993,2011-08-01,LANDSAT 7
0.41978433247862634,2011-09-01,LANDSAT 7
0.34535937801444616,2011-10-01,LANDSAT 7
0.27104171191477106,2011-11-01,LANDSAT 7
0.24383396650384842,2011-12-01,LANDSAT 7
0.1445862121402345,2012-01-01,LANDSAT 7
0.17540316389020297,2012-02-01,LANDSAT 7
0.16498715760346402,2012-03-01,LANDSAT 7
0.43694122748833025,2012-04-01,LANDSAT 7
0.46038017766848166,2012-05-01,LANDSAT 7
0.32434528113545263,2012-06-01,LANDSAT 7
0.42062286610854516,2012-07-01,LANDSAT 7
0.4205216012622532,2012-08-01,LANDSAT 7
0.4386644208439704,2012-09-01,LANDSAT 7
0.2511873848471987,2012-10-01,LANDSAT 7
0.21319406084170373,2012-11-01,LANDSAT 7
0.2792486809056978,2012-12-01,LANDSAT 7
0.050308753211690205,2013-01-01,LANDSAT 7
0.2474785993568222,2013-02-01,LANDSAT 7
0.2780981986504037,2013-03-01,LANDSAT 7
0.33562866858672913,2013-04-01,LANDSAT 7
0.23495069224568438,2013-05-01,LANDSAT 7
0.3062159106530509,2013-06-01,LANDSAT 7
0.3791486688609223,2013-07-01,LANDSAT 7
0.4834842561257749,2013-08-01,LANDSAT 7
0.46608619087168607,2013-09-01,LANDSAT 7
0.4000762281338105,2013-10-01,LANDSAT 7
0.277703873885695,2013-11-01,LANDSAT 7
0.14307701587929816,2013-12-01,LANDSAT 7
0.15662571489028537,2014-01-01,LANDSAT 7
0.14527459469375167,2014-02-01,LANDSAT 7
0.09666999936885402,2014-03-01,LANDSAT 7
0.36236860731341186,2014-04-01,LANDSAT 7
0.3451494223457711,2014-05-01,LANDSAT 7
0.4285148018298065,2014-06-01,LANDSAT 7
0.46933394096863534,2014-07-01,LANDSAT 7
0.491997994686903,2014-08-01,LANDSAT 7
0.5456589707682074,2014-09-01,LANDSAT 7
0.4066694641935075,2014-10-01,LANDSAT 7
0.14252167013041625,2014-11-01,LANDSAT 7
0.2033713706394959,2015-01-01,LANDSAT 7
0.11823911488625073,2015-02-01,LANDSAT 7
0.18307372382438514,2015-03-01,LANDSAT 7
0.23996913807718007,2015-04-01,LANDSAT 7
0.516312993477354,2015-05-01,LANDSAT 7
0.29092142038158497,2015-06-01,LANDSAT 7
0.34278715212491995,2015-07-01,LANDSAT 7
0.4578731882296652,2015-08-01,LANDSAT 7
0.3743188837224278,2015-09-01,LANDSAT 7
0.33862590631754474,2015-10-01,LANDSAT 7
0.29096591979181174,2015-11-01,LANDSAT 7
0.20004887353097206,2015-12-01,LANDSAT 7
0.12384065891984397,2016-01-01,LANDSAT 7
0.06885457996520487,2016-02-01,LANDSAT 7
0.19429595792737864,2016-03-01,LANDSAT 7
0.47383055783930894,2016-04-01,LANDSAT 7
0.5094142600334178,2016-05-01,LANDSAT 7
0.4233436997875428,2016-06-01,LANDSAT 7
0.46359391962325297,2016-07-01,LANDSAT 7
0.4437739859293444,2016-08-01,LANDSAT 7
0.4252544034016769,2016-09-01,LANDSAT 7
0.18255718351170427,2016-10-01,LANDSAT 7
0.2783950047807553,2016-11-01,LANDSAT 7
0.12548277635812516,2016-12-01,LANDSAT 7
0.058621960916815964,2017-01-01,LANDSAT 7
0.2593858148503446,2017-02-01,LANDSAT 7
0.08555991381380898,2017-03-01,LANDSAT 7
0.43005307727228675,2017-04-01,LANDSAT 7
0.34619246028240125,2017-05-01,LANDSAT 7
0.4328609546271113,2017-06-01,LANDSAT 7
0.4993790952374316,2017-07-01,LANDSAT 7
0.49990058430868417,2017-08-01,LANDSAT 7
0.35273097215435045,2017-09-01,LANDSAT 7
0.3739655817873782,2017-10-01,LANDSAT 7
0.3295319369906927,2017-11-01,LANDSAT 7
0.23502666374206357,2017-12-01,LANDSAT 7
0.2174595138766894,2018-01-01,LANDSAT 7
0.18782537019672563,2018-02-01,LANDSAT 7
0.21166008172035927,2018-03-01,LANDSAT 7
0.28678608227912394,2018-04-01,LANDSAT 7
0.40949441274994597,2018-05-01,LANDSAT 7
0.30696988457185254,2018-06-01,LANDSAT 7
0.347260543387004,2018-07-01,LANDSAT 7
0.15400304816372112,2018-08-01,LANDSAT 7
0.43147413262625783,2018-09-01,LANDSAT 7
0.225695152839331,2018-11-01,LANDSAT 7
0.052575448946298446,2018-12-01,LANDSAT 7
0.17743763995145737,2019-01-01,LANDSAT 7
0.09332989031322923,2019-02-01,LANDSAT 7
0.316063173806072,2019-03-01,LANDSAT 7
0.37203297942581237,2019-04-01,LANDSAT 7
0.4126588849735636,2019-05-01,LANDSAT 7
0.3661847356281241,2019-06-01,LANDSAT 7
0.40868873174423176,2019-07-01,LANDSAT 7
0.31367860385936785,2019-08-01,LANDSAT 7
0.4414028466695496,2019-09-01,LANDSAT 7
0.4565332184502897,2019-10-01,LANDSAT 7
0.16855325662888684,2019-11-01,LANDSAT 7
0.24281383601531367,2019-12-01,LANDSAT 7
0.25203966630170377,2020-01-01,LANDSAT 7
0.14042678095499672,2020-02-01,LANDSAT 7
0.25335308684418645,2020-03-01,LANDSAT 7
0.26432935254392653,2020-04-01,LANDSAT 7
0.4702774926916835,2020-05-01,LANDSAT 7
0.42209935743698856,2020-06-01,LANDSAT 7
0.4471300287063565,2020-07-01,LANDSAT 7
0.4262340497606556,2020-08-01,LANDSAT 7
0.4595238239431881,2020-09-01,LANDSAT 7
0.23588745615725223,2020-10-01,LANDSAT 7
0.22677584939633513,2020-11-01,LANDSAT 7
0.13270177305509093,2020-12-01,LANDSAT 7
