NDVI,month-year,landsat
0.32093228566589,1984-04-01,LANDSAT 5
0.24884916072652055,1984-06-01,LANDSAT 5
0.5232023232127998,1984-07-01,LANDSAT 5
0.37453775565772307,1984-08-01,LANDSAT 5
0.366864897349215,1984-10-01,LANDSAT 5
0.31106489095636836,1984-11-01,LANDSAT 5
0.029475834367888695,1985-01-01,LANDSAT 5
0.2017227238428024,1985-02-01,LANDSAT 5
0.24762917855061925,1985-03-01,LANDSAT 5
0.3202338722428834,1985-04-01,LANDSAT 5
0.5194103111827945,1985-06-01,LANDSAT 5
0.3932323621929831,1985-07-01,LANDSAT 5
0.5162104041420945,1985-08-01,LANDSAT 5
0.33222693163819333,1985-09-01,LANDSAT 5
0.10287167354768335,1985-10-01,LANDSAT 5
0.27963144825006636,1985-11-01,LANDSAT 5
0.1282986470646298,1986-01-01,LANDSAT 5
0.09607092467932783,1986-02-01,LANDSAT 5
0.1799825845294364,1986-03-01,LANDSAT 5
0.29474873486231423,1986-04-01,LANDSAT 5
0.4913174356070942,1986-05-01,LANDSAT 5
0.3751701305274736,1986-06-01,LANDSAT 5
0.46754030790282164,1986-07-01,LANDSAT 5
0.45956282559599076,1986-08-01,LANDSAT 5
0.17049886452341725,1986-09-01,LANDSAT 5
0.4070932982810986,1986-10-01,LANDSAT 5
0.2066498283959353,1986-11-01,LANDSAT 5
0.18268806542895608,1986-12-01,LANDSAT 5
0.017565345225857943,1987-01-01,LANDSAT 5
0.2085324569606654,1987-03-01,LANDSAT 5
0.3472887638108477,1987-04-01,LANDSAT 5
0.426703547300803,1987-05-01,LANDSAT 5
0.48458947882936554,1987-06-01,LANDSAT 5
0.5405092110368924,1987-07-01,LANDSAT 5
0.39316120207897287,1987-08-01,LANDSAT 5
0.4927788434976604,1987-09-01,LANDSAT 5
0.3566240666639842,1987-10-01,LANDSAT 5
0.2493781557123813,1987-11-01,LANDSAT 5
0.141041895363324,1987-12-01,LANDSAT 5
0.1402526996600395,1988-01-01,LANDSAT 5
0.11143311908820722,1988-02-01,LANDSAT 5
0.2075572327512541,1988-03-01,LANDSAT 5
0.33488515645953176,1988-04-01,LANDSAT 5
0.3685357175454304,1988-05-01,LANDSAT 5
0.41155372970616955,1988-06-01,LANDSAT 5
0.3967551972911469,1988-07-01,LANDSAT 5
0.2667093120673938,1988-08-01,LANDSAT 5
0.2990359468919674,1988-09-01,LANDSAT 5
0.3556212384099773,1988-10-01,LANDSAT 5
0.27213192268596503,1988-11-01,LANDSAT 5
0.15411888823398856,1988-12-01,LANDSAT 5
0.1787267133065752,1989-01-01,LANDSAT 5
0.08514637605611919,1989-02-01,LANDSAT 5
0.21544567025036415,1989-03-01,LANDSAT 5
0.16573474057628657,1989-04-01,LANDSAT 5
0.45622672059063657,1989-06-01,LANDSAT 5
0.48293784379730254,1989-07-01,LANDSAT 5
0.4604804417218641,1989-08-01,LANDSAT 5
0.4990932333898918,1989-09-01,LANDSAT 5
0.3256649409547298,1989-10-01,LANDSAT 5
0.2111081246849643,1989-11-01,LANDSAT 5
0.13335153033060415,1989-12-01,LANDSAT 5
0.11068878298617298,1990-01-01,LANDSAT 5
0.04297684782279572,1990-04-01,LANDSAT 5
0.42719754088062806,1990-05-01,LANDSAT 5
0.42913898099555,1990-06-01,LANDSAT 5
0.49326296656040225,1990-07-01,LANDSAT 5
0.35132226225020496,1990-08-01,LANDSAT 5
0.3264146406319722,1990-09-01,LANDSAT 5
0.31630293642496377,1990-10-01,LANDSAT 5
0.2756103177597566,1990-11-01,LANDSAT 5
0.06082670107637098,1990-12-01,LANDSAT 5
0.10748811997231245,1991-01-01,LANDSAT 5
0.18142604062714998,1991-02-01,LANDSAT 5
0.21159458614197962,1991-03-01,LANDSAT 5
0.41068563789733126,1991-06-01,LANDSAT 5
0.40595623734788616,1991-07-01,LANDSAT 5
0.3214739492241983,1991-08-01,LANDSAT 5
0.3975127089737671,1991-09-01,LANDSAT 5
0.3445939742421173,1991-10-01,LANDSAT 5
0.04292825366797439,1991-11-01,LANDSAT 5
0.160024853651252,1991-12-01,LANDSAT 5
0.1367411337682532,1992-01-01,LANDSAT 5
0.1640750924058568,1992-02-01,LANDSAT 5
0.22981503704373415,1992-03-01,LANDSAT 5
0.19187881288307504,1992-04-01,LANDSAT 5
0.3148215082153639,1992-05-01,LANDSAT 5
0.35701029134442275,1992-06-01,LANDSAT 5
0.477646073728814,1992-07-01,LANDSAT 5
0.4091458730485962,1992-08-01,LANDSAT 5
0.42027637921785127,1992-09-01,LANDSAT 5
0.3170572947374684,1992-10-01,LANDSAT 5
0.19530681185940074,1992-12-01,LANDSAT 5
0.08295919828606724,1993-01-01,LANDSAT 5
0.11262375653582375,1993-02-01,LANDSAT 5
0.16399198223825817,1993-03-01,LANDSAT 5
0.15669567241176988,1993-04-01,LANDSAT 5
0.36170821851114743,1993-05-01,LANDSAT 5
0.4508297322352566,1993-06-01,LANDSAT 5
0.27829063050098374,1993-07-01,LANDSAT 5
0.521388816359651,1993-08-01,LANDSAT 5
0.34671467074366313,1993-09-01,LANDSAT 5
0.3555933842128866,1993-10-01,LANDSAT 5
0.21067627628613644,1993-11-01,LANDSAT 5
0.14217423487133532,1993-12-01,LANDSAT 5
0.1593287297286084,1994-01-01,LANDSAT 5
0.08375270273884695,1994-02-01,LANDSAT 5
0.16339824213440293,1994-03-01,LANDSAT 5
0.24640509916341344,1994-04-01,LANDSAT 5
0.38589287507049075,1994-05-01,LANDSAT 5
0.33408640760013514,1994-06-01,LANDSAT 5
0.3694818587400561,1994-07-01,LANDSAT 5
0.3437867523086127,1994-08-01,LANDSAT 5
0.4066071318283128,1994-09-01,LANDSAT 5
0.3743677198407079,1994-10-01,LANDSAT 5
0.2831904053440708,1994-11-01,LANDSAT 5
0.1335073368452308,1994-12-01,LANDSAT 5
0.04166810136716506,1995-01-01,LANDSAT 5
0.17012992474888547,1995-02-01,LANDSAT 5
0.16695673873542655,1995-03-01,LANDSAT 5
0.32827208456721824,1995-04-01,LANDSAT 5
0.5014725157543111,1995-05-01,LANDSAT 5
0.3622978809977047,1995-06-01,LANDSAT 5
0.5201123867097518,1995-07-01,LANDSAT 5
0.4683680530962264,1995-08-01,LANDSAT 5
0.2924980455237802,1995-09-01,LANDSAT 5
0.2666685042499975,1995-10-01,LANDSAT 5
0.16140919997275827,1995-11-01,LANDSAT 5
0.13244185234713993,1995-12-01,LANDSAT 5
0.09998540836969379,1996-01-01,LANDSAT 5
0.05840822323813032,1996-02-01,LANDSAT 5
0.12989101894181315,1996-03-01,LANDSAT 5
0.2470322252882435,1996-04-01,LANDSAT 5
0.30640559145841606,1996-05-01,LANDSAT 5
0.515643895757347,1996-06-01,LANDSAT 5
0.5010868328744341,1996-07-01,LANDSAT 5
0.31292713687947066,1996-08-01,LANDSAT 5
0.4484986650107558,1996-09-01,LANDSAT 5
0.3456787091215426,1996-10-01,LANDSAT 5
0.11303676766623921,1997-01-01,LANDSAT 5
0.06285503533658444,1997-02-01,LANDSAT 5
0.18113266118539043,1997-03-01,LANDSAT 5
0.3050061915214416,1997-04-01,LANDSAT 5
0.350883268966979,1997-05-01,LANDSAT 5
0.41964255787442933,1997-06-01,LANDSAT 5
0.4491660679738857,1997-07-01,LANDSAT 5
0.5224960557269727,1997-08-01,LANDSAT 5
0.44883093050017675,1997-09-01,LANDSAT 5
0.22089928182990165,1997-10-01,LANDSAT 5
0.2828091147410804,1997-11-01,LANDSAT 5
0.18817553341243523,1997-12-01,LANDSAT 5
0.14035171631440127,1998-01-01,LANDSAT 5
0.11120431457032842,1998-03-01,LANDSAT 5
0.3894553127655,1998-04-01,LANDSAT 5
0.4527314835486271,1998-05-01,LANDSAT 5
0.3297740925464103,1998-06-01,LANDSAT 5
0.4466503098840845,1998-07-01,LANDSAT 5
0.4824240240942637,1998-08-01,LANDSAT 5
0.2733555489379931,1998-09-01,LANDSAT 5
0.40349528544536356,1998-10-01,LANDSAT 5
0.2030063049995509,1998-11-01,LANDSAT 5
0.2492136876270941,1998-12-01,LANDSAT 5
0.3938103011158155,1999-07-01,LANDSAT 7
0.3469856741182634,1999-08-01,LANDSAT 7
0.3040142152215872,1999-09-01,LANDSAT 7
0.34929685738981026,1999-10-01,LANDSAT 7
0.28912439167029336,1999-11-01,LANDSAT 7
0.11020134491812934,1999-12-01,LANDSAT 7
0.10481902742197598,2000-01-01,LANDSAT 7
0.10152299895300054,2000-02-01,LANDSAT 7
0.220167199361602,2000-03-01,LANDSAT 7
0.37526138556694244,2000-04-01,LANDSAT 7
0.3173725739915691,2000-05-01,LANDSAT 7
0.4332899240972227,2000-06-01,LANDSAT 7
0.45729905280837546,2000-07-01,LANDSAT 7
0.3521610669142537,2000-08-01,LANDSAT 7
0.2960727779962343,2000-09-01,LANDSAT 7
0.20782337101642812,2000-10-01,LANDSAT 7
0.22877589266001963,2000-11-01,LANDSAT 7
0.12079823284352632,2000-12-01,LANDSAT 7
0.08993583322198745,2001-01-01,LANDSAT 7
0.09311560698161563,2001-02-01,LANDSAT 7
0.20869597628658845,2001-03-01,LANDSAT 7
0.353668151392267,2001-04-01,LANDSAT 7
0.4058081788265819,2001-05-01,LANDSAT 7
0.47785662293628267,2001-06-01,LANDSAT 7
0.5174562548489405,2001-07-01,LANDSAT 7
0.4724955338100269,2001-08-01,LANDSAT 7
0.43459569574709994,2001-09-01,LANDSAT 7
0.24029075778292155,2001-10-01,LANDSAT 7
0.24559862229586937,2001-11-01,LANDSAT 7
0.15265563210597508,2001-12-01,LANDSAT 7
0.08716450531568236,2002-01-01,LANDSAT 7
0.1604342201358274,2002-02-01,LANDSAT 7
0.20182869014418398,2002-03-01,LANDSAT 7
0.48782621309413554,2002-05-01,LANDSAT 7
0.48668730808935623,2002-06-01,LANDSAT 7
0.47298712186774405,2002-07-01,LANDSAT 7
0.3257496247463725,2002-08-01,LANDSAT 7
0.4289002988336745,2002-09-01,LANDSAT 7
0.2763544477377703,2002-10-01,LANDSAT 7
0.240788361004637,2002-11-01,LANDSAT 7
0.19015966736730047,2002-12-01,LANDSAT 7
0.1655251910658147,2003-01-01,LANDSAT 7
0.08564760098328844,2003-02-01,LANDSAT 7
0.2423308293626122,2003-03-01,LANDSAT 7
0.39617218613862104,2003-04-01,LANDSAT 7
0.28634081143179496,2003-05-01,LANDSAT 7
0.3482325717809184,2003-07-01,LANDSAT 7
0.29868423121998533,2003-08-01,LANDSAT 7
0.3045900109375509,2003-09-01,LANDSAT 7
0.4286765559019486,2003-10-01,LANDSAT 7
0.28030565135073005,2003-11-01,LANDSAT 7
0.21642115727721598,2003-12-01,LANDSAT 7
0.16812293082497057,2004-01-01,LANDSAT 7
0.06894509173448708,2004-02-01,LANDSAT 7
0.22760376916680244,2004-03-01,LANDSAT 7
0.3831510839700682,2004-04-01,LANDSAT 7
0.3715485102322311,2004-05-01,LANDSAT 7
0.358140166123616,2004-06-01,LANDSAT 7
0.4987732948001294,2004-07-01,LANDSAT 7
0.492120830604197,2004-08-01,LANDSAT 7
0.5289590000988081,2004-09-01,LANDSAT 7
0.2982195817963867,2004-10-01,LANDSAT 7
0.2533899079627369,2004-12-01,LANDSAT 7
0.1734755540501039,2005-02-01,LANDSAT 7
0.24012999730083803,2005-03-01,LANDSAT 7
0.30830276123985023,2005-04-01,LANDSAT 7
0.4338168878281729,2005-05-01,LANDSAT 7
0.46138346774807965,2005-06-01,LANDSAT 7
0.49915483738560207,2005-07-01,LANDSAT 7
0.3942031654818987,2005-08-01,LANDSAT 7
0.487062518907764,2005-09-01,LANDSAT 7
0.41456030815395256,2005-10-01,LANDSAT 7
0.2582841218700825,2005-11-01,LANDSAT 7
0.18039761222424477,2005-12-01,LANDSAT 7
0.21515396414773152,2006-01-01,LANDSAT 7
0.13477532165225456,2006-02-01,LANDSAT 7
0.2303809371325035,2006-03-01,LANDSAT 7
0.2422233449241288,2006-04-01,LANDSAT 7
0.38192682577756704,2006-05-01,LANDSAT 7
0.3616497077407256,2006-06-01,LANDSAT 7
0.4693167485234224,2006-07-01,LANDSAT 7
0.46219077901519073,2006-08-01,LANDSAT 7
0.46788484507520217,2006-09-01,LANDSAT 7
0.4265329821985127,2006-10-01,LANDSAT 7
0.26195885953497317,2006-11-01,LANDSAT 7
0.181261108450125,2006-12-01,LANDSAT 7
0.09406275026209535,2007-01-01,LANDSAT 7
0.11909952377047156,2007-02-01,LANDSAT 7
0.23981646339268337,2007-03-01,LANDSAT 7
0.14555536434380426,2007-04-01,LANDSAT 7
0.4940301308754254,2007-05-01,LANDSAT 7
0.4612147499451873,2007-06-01,LANDSAT 7
0.41681382026852287,2007-07-01,LANDSAT 7
0.4362498932817933,2007-08-01,LANDSAT 7
0.32815222964713364,2007-09-01,LANDSAT 7
0.46813381091877365,2007-10-01,LANDSAT 7
0.3332634751501993,2007-11-01,LANDSAT 7
0.04880518141842235,2007-12-01,LANDSAT 7
0.10899579273378077,2008-01-01,LANDSAT 7
0.11070651242065134,2008-02-01,LANDSAT 7
0.189428369911373,2008-03-01,LANDSAT 7
0.2951681490264405,2008-04-01,LANDSAT 7
0.31858922865350503,2008-05-01,LANDSAT 7
0.5251794351032117,2008-06-01,LANDSAT 7
0.45631138651337433,2008-07-01,LANDSAT 7
0.5304836513344975,2008-08-01,LANDSAT 7
0.42240197776901567,2008-09-01,LANDSAT 7
0.34750918436254774,2008-10-01,LANDSAT 7
0.2795032781562283,2008-11-01,LANDSAT 7
0.1282406256108583,2008-12-01,LANDSAT 7
0.10679416732319516,2009-01-01,LANDSAT 7
0.1899115607978272,2009-02-01,LANDSAT 7
0.15425689850251492,2009-03-01,LANDSAT 7
0.29163949214833096,2009-04-01,LANDSAT 7
0.4447477284239406,2009-05-01,LANDSAT 7
0.4175945327333624,2009-06-01,LANDSAT 7
0.515127484013176,2009-07-01,LANDSAT 7
0.506012750232473,2009-08-01,LANDSAT 7
0.38552308810121155,2009-09-01,LANDSAT 7
0.35036762738107957,2009-10-01,LANDSAT 7
0.030751142648815954,2009-11-01,LANDSAT 7
0.07687131388145273,2009-12-01,LANDSAT 7
0.11652327610823632,2010-01-01,LANDSAT 7
0.05344830065983155,2010-02-01,LANDSAT 7
