NDVI,month-year,landsat
0.09431842749877635,1984-04-01,LANDSAT 5
0.10822018310378359,1984-05-01,LANDSAT 5
0.0899540637110534,1984-06-01,LANDSAT 5
0.07663831274676926,1984-07-01,LANDSAT 5
0.13089345436235983,1984-08-01,LANDSAT 5
0.10739527109547897,1984-09-01,LANDSAT 5
0.121126743015236,1984-10-01,LANDSAT 5
0.10893610688660404,1984-11-01,LANDSAT 5
0.07647208487636341,1984-12-01,LANDSAT 5
0.09558294581375897,1985-01-01,LANDSAT 5
0.11463166070734222,1985-03-01,LANDSAT 5
0.0886764821771702,1985-04-01,LANDSAT 5
0.11192219269990834,1985-05-01,LANDSAT 5
0.08896549898279447,1985-06-01,LANDSAT 5
0.09597467685591769,1985-07-01,LANDSAT 5
0.10692939062653922,1985-08-01,LANDSAT 5
0.09969528334708151,1985-09-01,LANDSAT 5
0.049594381394064954,1985-10-01,LANDSAT 5
0.0777149057858875,1985-11-01,LANDSAT 5
0.066275346342817,1986-01-01,LANDSAT 5
0.08639814787561718,1986-02-01,LANDSAT 5
0.10881798120938282,1986-03-01,LANDSAT 5
0.10385281482135554,1986-04-01,LANDSAT 5
0.07903747402492323,1986-05-01,LANDSAT 5
0.10147532397737755,1986-06-01,LANDSAT 5
0.09188854269815211,1986-07-01,LANDSAT 5
0.08577929905027729,1986-08-01,LANDSAT 5
0.0983115597327522,1986-09-01,LANDSAT 5
0.09901574717085129,1986-10-01,LANDSAT 5
0.09559385381559377,1986-11-01,LANDSAT 5
0.051180044274745116,1986-12-01,LANDSAT 5
0.09041650574053237,1987-01-01,LANDSAT 5
0.05553143949163039,1987-02-01,LANDSAT 5
0.1098850586162373,1987-03-01,LANDSAT 5
0.10543434102755647,1987-04-01,LANDSAT 5
0.10044493609990976,1987-05-01,LANDSAT 5
0.10710925801857524,1987-06-01,LANDSAT 5
0.09373502385949281,1987-07-01,LANDSAT 5
0.0934454012526015,1987-08-01,LANDSAT 5
0.07608891609254372,1987-09-01,LANDSAT 5
0.07883151228432991,1987-10-01,LANDSAT 5
0.10209884219825135,1988-03-01,LANDSAT 5
0.1128927226012572,1988-04-01,LANDSAT 5
0.11038011385112631,1988-05-01,LANDSAT 5
0.08842004483199632,1988-06-01,LANDSAT 5
0.09221411603981565,1988-07-01,LANDSAT 5
0.09093760075485717,1988-08-01,LANDSAT 5
0.09830231540841566,1988-09-01,LANDSAT 5
0.09755372277799411,1988-10-01,LANDSAT 5
0.08243560032843285,1989-01-01,LANDSAT 5
0.08154327501955427,1989-03-01,LANDSAT 5
0.09884643655558775,1989-04-01,LANDSAT 5
0.07968884766047389,1989-05-01,LANDSAT 5
0.09970132447879677,1989-06-01,LANDSAT 5
0.09826420814991436,1989-07-01,LANDSAT 5
0.06920426685004405,1989-08-01,LANDSAT 5
0.0951637312890572,1989-09-01,LANDSAT 5
0.08908513222944231,1989-10-01,LANDSAT 5
0.07689593920161185,1989-11-01,LANDSAT 5
0.06443062649237047,1990-02-01,LANDSAT 5
0.07988378537210564,1990-04-01,LANDSAT 5
0.10422654203923637,1990-05-01,LANDSAT 5
0.09941613046028737,1990-06-01,LANDSAT 5
0.07300455649811284,1990-08-01,LANDSAT 5
0.0958884837755055,1990-09-01,LANDSAT 5
0.10347709763458118,1990-10-01,LANDSAT 5
0.09054592214935522,1991-03-01,LANDSAT 5
0.11346185279083855,1991-04-01,LANDSAT 5
0.10971998147994166,1991-05-01,LANDSAT 5
0.10203636417657513,1991-06-01,LANDSAT 5
0.06224687495979592,1991-07-01,LANDSAT 5
0.08728823481130353,1991-08-01,LANDSAT 5
0.10029939391733277,1991-09-01,LANDSAT 5
0.08835063720480749,1991-10-01,LANDSAT 5
0.08888672057894303,1991-11-01,LANDSAT 5
0.04413805540037362,1991-12-01,LANDSAT 5
0.08400318032037263,1992-01-01,LANDSAT 5
0.049347643130737695,1992-02-01,LANDSAT 5
0.11938707039994562,1992-03-01,LANDSAT 5
0.09952572838360339,1992-04-01,LANDSAT 5
0.07059493634787355,1992-05-01,LANDSAT 5
0.10826109333057653,1992-06-01,LANDSAT 5
0.10106195159259017,1992-07-01,LANDSAT 5
0.10198929818616745,1992-08-01,LANDSAT 5
0.11175764735975335,1992-09-01,LANDSAT 5
0.10830516058215449,1992-10-01,LANDSAT 5
0.10111907010439262,1992-11-01,LANDSAT 5
0.07253339166183329,1992-12-01,LANDSAT 5
0.09512251612161214,1993-01-01,LANDSAT 5
0.0918721107379449,1993-02-01,LANDSAT 5
0.13255004869856785,1993-03-01,LANDSAT 5
0.12421590195628489,1993-04-01,LANDSAT 5
0.11406798033793977,1993-05-01,LANDSAT 5
0.11167080903010058,1993-06-01,LANDSAT 5
0.11105621810067683,1993-07-01,LANDSAT 5
0.11189900471331941,1993-08-01,LANDSAT 5
0.11806551832123877,1993-09-01,LANDSAT 5
0.05740056164022299,1993-10-01,LANDSAT 5
0.1028899163672835,1993-11-01,LANDSAT 5
0.08860543489677115,1993-12-01,LANDSAT 5
0.0961336466050437,1994-01-01,LANDSAT 5
0.07077497727462345,1994-02-01,LANDSAT 5
0.07859672775795619,1994-03-01,LANDSAT 5
0.09676731948789537,1994-04-01,LANDSAT 5
0.10261075776452497,1994-05-01,LANDSAT 5
0.10160344066861272,1994-06-01,LANDSAT 5
0.09814068686394037,1994-07-01,LANDSAT 5
0.09170930160975739,1994-08-01,LANDSAT 5
0.10308852713048947,1994-09-01,LANDSAT 5
0.10626401111434236,1994-10-01,LANDSAT 5
0.10561575061837632,1994-11-01,LANDSAT 5
0.060274479649434484,1994-12-01,LANDSAT 5
0.06362293918345908,1995-01-01,LANDSAT 5
0.06685769273061763,1995-02-01,LANDSAT 5
0.122272292093824,1995-03-01,LANDSAT 5
0.12617681050954055,1995-04-01,LANDSAT 5
0.11507032704963528,1995-05-01,LANDSAT 5
0.10468550452225052,1995-06-01,LANDSAT 5
0.0783881476092412,1995-07-01,LANDSAT 5
0.10922045630552403,1995-08-01,LANDSAT 5
0.11571372135076127,1995-09-01,LANDSAT 5
0.1151168098636369,1995-10-01,LANDSAT 5
0.10244235212785804,1995-11-01,LANDSAT 5
0.08371060965765226,1995-12-01,LANDSAT 5
0.06175931102479539,1996-01-01,LANDSAT 5
0.0669111384444046,1996-02-01,LANDSAT 5
0.10453122193751216,1996-03-01,LANDSAT 5
0.11377558772562017,1996-04-01,LANDSAT 5
0.09513233571023094,1996-05-01,LANDSAT 5
0.10788176737807659,1996-06-01,LANDSAT 5
0.08490939229080134,1996-07-01,LANDSAT 5
0.10066563624531959,1996-08-01,LANDSAT 5
0.10207521271602785,1996-09-01,LANDSAT 5
0.09684045704616695,1996-10-01,LANDSAT 5
0.08071786334120025,1996-11-01,LANDSAT 5
0.05238666913807007,1996-12-01,LANDSAT 5
0.07152692901470054,1997-01-01,LANDSAT 5
0.08560772600419395,1997-02-01,LANDSAT 5
0.08831769611188148,1997-03-01,LANDSAT 5
0.10433928308343705,1997-04-01,LANDSAT 5
0.09223362071686612,1997-05-01,LANDSAT 5
0.1047844750206129,1997-06-01,LANDSAT 5
0.10594564033470513,1997-07-01,LANDSAT 5
0.09800705930953771,1997-08-01,LANDSAT 5
0.10061071847576092,1997-09-01,LANDSAT 5
0.12427674276885518,1997-10-01,LANDSAT 5
0.09926101009673237,1997-11-01,LANDSAT 5
0.09648426184313041,1997-12-01,LANDSAT 5
0.09953513746692595,1998-01-01,LANDSAT 5
0.07154774001372137,1998-02-01,LANDSAT 5
0.12052966590305805,1998-03-01,LANDSAT 5
0.1348482858227017,1998-04-01,LANDSAT 5
0.11770890379081375,1998-05-01,LANDSAT 5
0.11943208193181212,1998-06-01,LANDSAT 5
0.10226480570012544,1998-07-01,LANDSAT 5
0.10092824466705898,1998-08-01,LANDSAT 5
0.11221203176139241,1998-09-01,LANDSAT 5
0.12634446200181482,1998-10-01,LANDSAT 5
0.1078535793824752,1998-11-01,LANDSAT 5
0.10190300763276212,1998-12-01,LANDSAT 5
0.10991443901257639,1999-07-01,LANDSAT 7
0.115260128125466,1999-08-01,LANDSAT 7
0.11944258906872772,1999-09-01,LANDSAT 7
0.12279770352637415,1999-10-01,LANDSAT 7
0.10887308751023647,1999-11-01,LANDSAT 7
0.08901005183260208,1999-12-01,LANDSAT 7
0.09199643504104299,2000-01-01,LANDSAT 7
0.06430061708132516,2000-02-01,LANDSAT 7
0.11665604949410449,2000-03-01,LANDSAT 7
0.13174504298738374,2000-04-01,LANDSAT 7
0.11709067249797321,2000-05-01,LANDSAT 7
0.11949924283792505,2000-06-01,LANDSAT 7
0.11030825751009095,2000-07-01,LANDSAT 7
0.10301571916480474,2000-08-01,LANDSAT 7
0.1166501288251547,2000-09-01,LANDSAT 7
0.10112780599064998,2000-10-01,LANDSAT 7
0.08783890391057539,2000-11-01,LANDSAT 7
0.09997868739318932,2000-12-01,LANDSAT 7
0.09683707252854488,2001-01-01,LANDSAT 7
0.10373462987243415,2001-02-01,LANDSAT 7
0.07772263074198017,2001-03-01,LANDSAT 7
0.09460565952483392,2001-04-01,LANDSAT 7
0.12406209114198696,2001-05-01,LANDSAT 7
0.11247520853054217,2001-06-01,LANDSAT 7
0.09830449410540795,2001-07-01,LANDSAT 7
0.10630618118315135,2001-08-01,LANDSAT 7
0.10201094532218087,2001-09-01,LANDSAT 7
0.09192180750023182,2001-10-01,LANDSAT 7
0.10321938545004551,2001-11-01,LANDSAT 7
0.09023599906930695,2001-12-01,LANDSAT 7
