NDVI,month-year,landsat
0.10028504997777002,1984-05-01,LANDSAT 5
0.4085597745381493,1984-06-01,LANDSAT 5
0.22708402966517477,1984-07-01,LANDSAT 5
0.3825114661368496,1984-09-01,LANDSAT 5
0.2957716616926531,1984-10-01,LANDSAT 5
0.08516822220841265,1984-11-01,LANDSAT 5
0.1994168744030782,1984-12-01,LANDSAT 5
0.1830602262505027,1985-01-01,LANDSAT 5
0.165509295698358,1985-02-01,LANDSAT 5
0.23952630288008536,1985-03-01,LANDSAT 5
0.3075355496921628,1985-04-01,LANDSAT 5
0.3757105476877288,1985-08-01,LANDSAT 5
0.45681553246140705,1985-09-01,LANDSAT 5
0.2152843138518153,1985-10-01,LANDSAT 5
0.09757855923791456,1985-11-01,LANDSAT 5
0.10645680130628346,1985-12-01,LANDSAT 5
0.15624367490231889,1986-01-01,LANDSAT 5
0.01170015947219239,1986-02-01,LANDSAT 5
0.19549778218098263,1986-03-01,LANDSAT 5
0.30024136288202213,1986-04-01,LANDSAT 5
0.34756395787455585,1986-05-01,LANDSAT 5
0.26548199876715556,1986-06-01,LANDSAT 5
0.41467899415743603,1986-07-01,LANDSAT 5
0.2379428048374652,1986-08-01,LANDSAT 5
0.11678544779933496,1986-09-01,LANDSAT 5
0.20504447469519274,1986-10-01,LANDSAT 5
0.13837214231482084,1986-12-01,LANDSAT 5
0.11194586939749804,1987-01-01,LANDSAT 5
0.04131282147779891,1987-02-01,LANDSAT 5
0.030497155774397378,1987-03-01,LANDSAT 5
0.28058233431367696,1987-04-01,LANDSAT 5
0.2970817054538096,1987-05-01,LANDSAT 5
0.42181950156496784,1987-06-01,LANDSAT 5
0.2124117672369427,1987-07-01,LANDSAT 5
0.4178967877813573,1987-08-01,LANDSAT 5
0.37870307773668294,1987-09-01,LANDSAT 5
0.27218954208454205,1987-10-01,LANDSAT 5
0.23496895951758592,1987-11-01,LANDSAT 5
0.1088673167458213,1987-12-01,LANDSAT 5
0.07157309073558225,1988-01-01,LANDSAT 5
0.07408156985556275,1988-02-01,LANDSAT 5
0.17148888128703726,1988-03-01,LANDSAT 5
0.2968619934962448,1988-04-01,LANDSAT 5
0.24094902911437913,1988-05-01,LANDSAT 5
0.3547279923566521,1988-06-01,LANDSAT 5
0.3855062026233487,1988-07-01,LANDSAT 5
0.2940084329950963,1988-08-01,LANDSAT 5
0.3685605555952077,1988-09-01,LANDSAT 5
0.1592119629053003,1988-10-01,LANDSAT 5
0.2526379819341261,1988-11-01,LANDSAT 5
0.14293165666858137,1988-12-01,LANDSAT 5
0.09769910065009607,1989-01-01,LANDSAT 5
0.0013119059163809838,1989-02-01,LANDSAT 5
0.17995516550698734,1989-04-01,LANDSAT 5
0.1988849920858419,1989-05-01,LANDSAT 5
0.38536371093446936,1989-06-01,LANDSAT 5
0.45098373488653276,1989-07-01,LANDSAT 5
0.41727634659986756,1989-08-01,LANDSAT 5
0.01708395845052028,1989-09-01,LANDSAT 5
0.3223725622797918,1989-10-01,LANDSAT 5
0.29404434382986555,1989-11-01,LANDSAT 5
0.045890255885488895,1989-12-01,LANDSAT 5
0.26757158932115815,1990-04-01,LANDSAT 5
0.16676940092016895,1990-05-01,LANDSAT 5
0.4022019629588426,1990-06-01,LANDSAT 5
0.22203372211820843,1990-07-01,LANDSAT 5
0.4654592273793781,1990-08-01,LANDSAT 5
0.4083348307024912,1990-09-01,LANDSAT 5
0.3194326634263868,1990-10-01,LANDSAT 5
0.21993471000382356,1990-11-01,LANDSAT 5
0.10908458268767925,1990-12-01,LANDSAT 5
0.017215221292728768,1991-01-01,LANDSAT 5
0.1742729983261852,1991-02-01,LANDSAT 5
0.225177940575018,1991-03-01,LANDSAT 5
0.39052638195891154,1991-04-01,LANDSAT 5
0.3837882900540443,1991-05-01,LANDSAT 5
0.29790236578975077,1991-06-01,LANDSAT 5
0.45689163576817493,1991-07-01,LANDSAT 5
0.33857586832580616,1991-08-01,LANDSAT 5
0.29969567731297275,1991-09-01,LANDSAT 5
0.015652198206014652,1991-10-01,LANDSAT 5
0.0887159685875011,1991-11-01,LANDSAT 5
0.13642654402226265,1991-12-01,LANDSAT 5
0.07569923876492776,1992-01-01,LANDSAT 5
0.12354147661010828,1992-02-01,LANDSAT 5
0.09581843998968348,1992-04-01,LANDSAT 5
0.30738370068997767,1992-05-01,LANDSAT 5
0.29502309299682006,1992-06-01,LANDSAT 5
0.5016137062506745,1992-08-01,LANDSAT 5
0.4300638511462306,1992-09-01,LANDSAT 5
0.20782099975138804,1992-11-01,LANDSAT 5
0.18108592406041837,1992-12-01,LANDSAT 5
