NDVI,month-year,landsat
0.12986443454653523,1984-03-01,LANDSAT 5
0.10153989319062269,1984-04-01,LANDSAT 5
0.08798046003858326,1984-05-01,LANDSAT 5
0.11506528163851125,1984-06-01,LANDSAT 5
0.12090926378449088,1984-07-01,LANDSAT 5
0.0645313572228453,1984-08-01,LANDSAT 5
0.04712822207937078,1984-09-01,LANDSAT 5
0.21616082785076127,1984-10-01,LANDSAT 5
0.020481180803214025,1984-11-01,LANDSAT 5
0.03923688248604265,1984-12-01,LANDSAT 5
0.16337249149948946,1985-01-01,LANDSAT 5
0.18339671370155758,1985-02-01,LANDSAT 5
0.1712346537001448,1985-03-01,LANDSAT 5
0.1557284178401678,1985-04-01,LANDSAT 5
0.19999157610717344,1985-06-01,LANDSAT 5
0.23579909022372691,1985-07-01,LANDSAT 5
0.04952728583493512,1985-08-01,LANDSAT 5
0.06737194105414683,1985-09-01,LANDSAT 5
0.03901480906320226,1985-11-01,LANDSAT 5
0.10583329230773653,1985-12-01,LANDSAT 5
0.1216285931355941,1986-01-01,LANDSAT 5
0.009759865968776,1986-02-01,LANDSAT 5
0.0831719767465476,1986-03-01,LANDSAT 5
0.13500445819253415,1986-04-01,LANDSAT 5
0.13080660331033026,1986-05-01,LANDSAT 5
0.11641763427867444,1986-06-01,LANDSAT 5
0.053311874629124824,1986-07-01,LANDSAT 5
0.13290302323808942,1986-08-01,LANDSAT 5
0.13040213581505541,1986-09-01,LANDSAT 5
0.055245520694823205,1986-10-01,LANDSAT 5
0.12624553306121486,1986-11-01,LANDSAT 5
0.06799958149892464,1986-12-01,LANDSAT 5
0.0433981614568609,1987-01-01,LANDSAT 5
0.014784453433408033,1987-02-01,LANDSAT 5
0.1403832030894557,1987-03-01,LANDSAT 5
0.14915575172761616,1987-04-01,LANDSAT 5
0.1329504974246057,1987-05-01,LANDSAT 5
0.025886473670322204,1987-06-01,LANDSAT 5
0.0739444369672078,1987-07-01,LANDSAT 5
0.12440163970081454,1987-08-01,LANDSAT 5
0.10506769648308727,1987-09-01,LANDSAT 5
0.011812113794792191,1987-10-01,LANDSAT 5
0.1322883798170039,1988-03-01,LANDSAT 5
0.10802665826518083,1988-04-01,LANDSAT 5
0.06994574702771537,1988-05-01,LANDSAT 5
0.1251188962217744,1988-06-01,LANDSAT 5
0.035246548685553575,1988-07-01,LANDSAT 5
0.1145435646970101,1988-08-01,LANDSAT 5
0.11831809922942316,1988-09-01,LANDSAT 5
0.10048024029886263,1988-10-01,LANDSAT 5
0.13171466412055619,1989-01-01,LANDSAT 5
0.04453800271623196,1989-03-01,LANDSAT 5
0.09367100171285714,1989-04-01,LANDSAT 5
0.09274958970230747,1989-05-01,LANDSAT 5
0.11669342162668203,1989-06-01,LANDSAT 5
0.12125748936867996,1989-07-01,LANDSAT 5
0.11002795240976306,1989-08-01,LANDSAT 5
0.04288517321867113,1989-09-01,LANDSAT 5
0.10279815357144458,1989-10-01,LANDSAT 5
0.10631340104494119,1989-11-01,LANDSAT 5
0.1569218045913585,1990-01-01,LANDSAT 5
0.040901469222185495,1990-02-01,LANDSAT 5
0.10820275400517286,1990-03-01,LANDSAT 5
0.03746720700465725,1990-04-01,LANDSAT 5
0.045303479762417616,1990-05-01,LANDSAT 5
0.19349490714130393,1990-06-01,LANDSAT 5
0.05667471958178668,1990-08-01,LANDSAT 5
0.05201820608118261,1990-09-01,LANDSAT 5
0.10128234395931295,1990-10-01,LANDSAT 5
0.13342390148050326,1991-03-01,LANDSAT 5
0.04421264042717378,1991-04-01,LANDSAT 5
0.11529700387583511,1991-05-01,LANDSAT 5
0.07188998887822293,1991-06-01,LANDSAT 5
0.07512448661093256,1991-07-01,LANDSAT 5
0.0930900779513361,1991-08-01,LANDSAT 5
0.04187372605593679,1991-09-01,LANDSAT 5
0.05992945838663334,1991-10-01,LANDSAT 5
0.09819062025366997,1991-11-01,LANDSAT 5
0.04781984181256602,1991-12-01,LANDSAT 5
0.10422410491943951,1992-01-01,LANDSAT 5
0.03656643798980947,1992-02-01,LANDSAT 5
0.109946193496763,1992-03-01,LANDSAT 5
0.06982033544923008,1992-04-01,LANDSAT 5
0.024603734856134617,1992-05-01,LANDSAT 5
0.09768114576918292,1992-06-01,LANDSAT 5
0.08277820460593815,1992-07-01,LANDSAT 5
0.11822339827787108,1992-08-01,LANDSAT 5
0.0942541118521161,1992-09-01,LANDSAT 5
0.0647264119963092,1992-10-01,LANDSAT 5
0.11041855039325023,1992-11-01,LANDSAT 5
0.10320672022918052,1992-12-01,LANDSAT 5
0.0693859106660975,1993-01-01,LANDSAT 5
0.02919832870910047,1993-02-01,LANDSAT 5
0.15691450243616975,1993-03-01,LANDSAT 5
0.16006808100665276,1993-04-01,LANDSAT 5
0.05816670690969197,1993-05-01,LANDSAT 5
0.12275623040419623,1993-06-01,LANDSAT 5
0.10972506299591067,1993-07-01,LANDSAT 5
0.11513130316177675,1993-08-01,LANDSAT 5
0.12436328479603202,1993-09-01,LANDSAT 5
0.03531520678453809,1993-10-01,LANDSAT 5
0.0919262324862821,1993-11-01,LANDSAT 5
0.08441519425571456,1993-12-01,LANDSAT 5
0.08354980336316274,1994-01-01,LANDSAT 5
0.071038056266332,1994-02-01,LANDSAT 5
0.09062967151672151,1994-03-01,LANDSAT 5
0.08624205387332953,1994-04-01,LANDSAT 5
0.04339799014586284,1994-05-01,LANDSAT 5
0.085352652120166,1994-06-01,LANDSAT 5
0.11946552966866364,1994-07-01,LANDSAT 5
0.11820621744674135,1994-08-01,LANDSAT 5
0.10552058409986735,1994-09-01,LANDSAT 5
0.1269461588813205,1994-10-01,LANDSAT 5
0.09240182679503246,1994-11-01,LANDSAT 5
0.05151528119947131,1994-12-01,LANDSAT 5
0.06365123638546304,1995-01-01,LANDSAT 5
0.031072945938708213,1995-02-01,LANDSAT 5
0.12792544688527982,1995-03-01,LANDSAT 5
0.04799517055616112,1995-04-01,LANDSAT 5
0.03378325906062078,1995-05-01,LANDSAT 5
0.12841025542490273,1995-06-01,LANDSAT 5
0.10472700182166268,1995-07-01,LANDSAT 5
0.11536216076269719,1995-08-01,LANDSAT 5
0.07950018191480036,1995-09-01,LANDSAT 5
0.046157160961708736,1995-10-01,LANDSAT 5
0.05289626040181011,1995-11-01,LANDSAT 5
0.048554774255809154,1995-12-01,LANDSAT 5
0.11512648199231193,1996-01-01,LANDSAT 5
0.13696805164182085,1996-02-01,LANDSAT 5
0.14131512049594078,1996-03-01,LANDSAT 5
0.12959022519577143,1996-04-01,LANDSAT 5
0.10439560921337497,1996-05-01,LANDSAT 5
0.1286250498242041,1996-06-01,LANDSAT 5
0.019891671023968882,1996-07-01,LANDSAT 5
0.10909442250987667,1996-08-01,LANDSAT 5
0.10534661270809001,1996-09-01,LANDSAT 5
0.11847276396929797,1996-10-01,LANDSAT 5
0.014025989917214097,1996-11-01,LANDSAT 5
0.10604862666534869,1996-12-01,LANDSAT 5
0.11280862750196528,1997-01-01,LANDSAT 5
0.07259561526813743,1997-02-01,LANDSAT 5
0.039444467160539086,1997-03-01,LANDSAT 5
0.1419009702165409,1997-04-01,LANDSAT 5
0.08181430098233686,1997-05-01,LANDSAT 5
0.05608903723021399,1997-06-01,LANDSAT 5
0.07973770733915939,1997-07-01,LANDSAT 5
0.11823839518548429,1997-08-01,LANDSAT 5
0.11236856629312979,1997-09-01,LANDSAT 5
0.06799449474112276,1997-10-01,LANDSAT 5
0.005194078679767622,1997-11-01,LANDSAT 5
0.1262733841725671,1997-12-01,LANDSAT 5
0.029888931203184838,1998-01-01,LANDSAT 5
0.12059090459850662,1998-02-01,LANDSAT 5
0.03247838461042844,1998-03-01,LANDSAT 5
0.15532862570866554,1998-04-01,LANDSAT 5
0.1246198027651714,1998-05-01,LANDSAT 5
0.1490042454965647,1998-06-01,LANDSAT 5
0.09711353296848584,1998-07-01,LANDSAT 5
0.13205068041805765,1998-08-01,LANDSAT 5
0.06607116826551271,1998-09-01,LANDSAT 5
0.0793856168228897,1998-10-01,LANDSAT 5
0.16820848259649032,1998-11-01,LANDSAT 5
0.04664500675662783,1998-12-01,LANDSAT 5
0.16238952995915026,1999-06-01,LANDSAT 7
0.14237383487588248,1999-07-01,LANDSAT 7
0.12247430318311892,1999-08-01,LANDSAT 7
0.10364371199887319,1999-09-01,LANDSAT 7
0.13519216860033675,1999-10-01,LANDSAT 7
0.09542282423141309,1999-11-01,LANDSAT 7
0.09588148994857724,1999-12-01,LANDSAT 7
0.09052224730395461,2000-01-01,LANDSAT 7
0.09486976381800433,2000-02-01,LANDSAT 7
0.11338186156215345,2000-03-01,LANDSAT 7
0.1516695935692471,2000-04-01,LANDSAT 7
0.14195464876486452,2000-05-01,LANDSAT 7
0.25048521654584605,2000-06-01,LANDSAT 7
0.14350603093123723,2000-07-01,LANDSAT 7
0.13178632683882888,2000-08-01,LANDSAT 7
