NDVI,month-year,landsat
0.13605894366130156,1984-03-01,LANDSAT 5
0.17162144731081352,1984-04-01,LANDSAT 5
0.21158945737823553,1984-05-01,LANDSAT 5
0.1493895448903886,1984-06-01,LANDSAT 5
0.07988395328198532,1984-07-01,LANDSAT 5
0.03442843953003219,1984-08-01,LANDSAT 5
0.0428277695144422,1984-09-01,LANDSAT 5
0.06136304814116584,1984-11-01,LANDSAT 5
0.04841996513030287,1984-12-01,LANDSAT 5
0.24071959591618938,1985-01-01,LANDSAT 5
0.2684514331842579,1985-02-01,LANDSAT 5
0.3053186375611133,1985-03-01,LANDSAT 5
0.27229960534278963,1985-04-01,LANDSAT 5
0.2508848492268518,1985-06-01,LANDSAT 5
0.13137874913777645,1985-08-01,LANDSAT 5
0.15154977656420413,1985-09-01,LANDSAT 5
0.021599242222996164,1985-11-01,LANDSAT 5
0.11176594920715856,1985-12-01,LANDSAT 5
0.2686257553440178,1986-01-01,LANDSAT 5
0.0934743222913147,1986-02-01,LANDSAT 5
0.04391425550373727,1986-03-01,LANDSAT 5
0.2835812069935442,1986-04-01,LANDSAT 5
0.20567238469716684,1986-05-01,LANDSAT 5
0.16121413983095792,1986-06-01,LANDSAT 5
0.129113571431608,1986-07-01,LANDSAT 5
0.2303065679548825,1986-08-01,LANDSAT 5
0.19435425541893536,1986-09-01,LANDSAT 5
0.08704102158477538,1986-10-01,LANDSAT 5
0.25182361279692095,1986-11-01,LANDSAT 5
0.18425413998666018,1986-12-01,LANDSAT 5
0.14599417796267516,1987-01-01,LANDSAT 5
0.01667947969234036,1987-02-01,LANDSAT 5
0.24408148042440975,1987-03-01,LANDSAT 5
0.25194710875540566,1987-04-01,LANDSAT 5
0.22122243510607403,1987-05-01,LANDSAT 5
0.14598200646904333,1987-06-01,LANDSAT 5
0.1426838170544932,1987-07-01,LANDSAT 5
0.2076275714879109,1987-08-01,LANDSAT 5
0.1885508394484475,1987-09-01,LANDSAT 5
0.1241391940342348,1987-10-01,LANDSAT 5
0.27102357074161565,1988-03-01,LANDSAT 5
0.2085761144508624,1988-04-01,LANDSAT 5
0.23314225859975699,1988-05-01,LANDSAT 5
0.1966896629811559,1988-06-01,LANDSAT 5
0.10521919900810425,1988-07-01,LANDSAT 5
0.19295166052965193,1988-08-01,LANDSAT 5
0.21428143413536355,1988-09-01,LANDSAT 5
0.20980110283281994,1988-10-01,LANDSAT 5
0.17241753896413312,1989-01-01,LANDSAT 5
0.08887839624130467,1989-03-01,LANDSAT 5
0.1871738421249478,1989-04-01,LANDSAT 5
0.18978062307147744,1989-05-01,LANDSAT 5
0.22597845668079092,1989-06-01,LANDSAT 5
0.20341863157137535,1989-07-01,LANDSAT 5
0.2034303693811352,1989-08-01,LANDSAT 5
0.033892396453362776,1989-09-01,LANDSAT 5
0.20639958926277802,1989-10-01,LANDSAT 5
0.20005736244972097,1989-11-01,LANDSAT 5
0.1983697804117438,1990-01-01,LANDSAT 5
0.11800031422240655,1990-02-01,LANDSAT 5
0.032595048195950105,1990-03-01,LANDSAT 5
0.2014647672245601,1990-04-01,LANDSAT 5
0.0858028200738346,1990-05-01,LANDSAT 5
