NDVI,month-year,landsat
0.2541594145782373,1984-04-01,LANDSAT 5
0.23648786680080347,1984-06-01,LANDSAT 5
0.3681384587460562,1984-07-01,LANDSAT 5
0.33569006584085737,1984-09-01,LANDSAT 5
0.043298806932837046,1984-10-01,LANDSAT 5
0.09467636870429552,1984-11-01,LANDSAT 5
0.11922452865900982,1984-12-01,LANDSAT 5
0.05168620540159334,1985-01-01,LANDSAT 5
0.2409921481143343,1985-03-01,LANDSAT 5
0.3962702546064083,1985-05-01,LANDSAT 5
0.3130763639183152,1985-08-01,LANDSAT 5
0.31642648346110697,1985-09-01,LANDSAT 5
0.1419418055128279,1985-10-01,LANDSAT 5
0.17917439533615748,1985-11-01,LANDSAT 5
0.11316663233817571,1985-12-01,LANDSAT 5
0.11030872625019898,1986-01-01,LANDSAT 5
0.13495935189629926,1986-03-01,LANDSAT 5
0.20291097693188204,1986-04-01,LANDSAT 5
0.2797651619519731,1986-05-01,LANDSAT 5
0.3800879105190375,1986-06-01,LANDSAT 5
0.28317926241637653,1986-07-01,LANDSAT 5
0.27379805118412753,1986-08-01,LANDSAT 5
0.3361530151457168,1986-09-01,LANDSAT 5
0.06887340161408059,1986-12-01,LANDSAT 5
0.05402192600915165,1987-02-01,LANDSAT 5
0.1207328003530086,1987-03-01,LANDSAT 5
0.24769844799325053,1987-04-01,LANDSAT 5
0.2257875402579032,1987-05-01,LANDSAT 5
0.27375967396137046,1987-06-01,LANDSAT 5
0.259270920189888,1987-07-01,LANDSAT 5
0.33356222077450715,1987-08-01,LANDSAT 5
0.16128991491788494,1987-09-01,LANDSAT 5
0.06410058528905425,1987-10-01,LANDSAT 5
0.10599362849858125,1987-11-01,LANDSAT 5
0.12877961956270706,1987-12-01,LANDSAT 5
0.0505466208559392,1988-01-01,LANDSAT 5
0.0841666964295745,1988-02-01,LANDSAT 5
0.0350637040535396,1988-03-01,LANDSAT 5
0.29979795907035944,1988-04-01,LANDSAT 5
0.33767179502515277,1988-05-01,LANDSAT 5
0.3011040198700334,1988-06-01,LANDSAT 5
0.2923360440091767,1988-07-01,LANDSAT 5
0.33130041262010196,1988-08-01,LANDSAT 5
0.2921578284046037,1988-09-01,LANDSAT 5
0.2640236454455483,1988-10-01,LANDSAT 5
0.17938154825805167,1988-11-01,LANDSAT 5
0.13409744049794547,1988-12-01,LANDSAT 5
0.11211011384399827,1989-01-01,LANDSAT 5
0.1203581782291173,1989-02-01,LANDSAT 5
0.14680356594523075,1989-03-01,LANDSAT 5
0.21901412194710917,1989-04-01,LANDSAT 5
0.26983246852082693,1989-05-01,LANDSAT 5
0.31730263757450033,1989-06-01,LANDSAT 5
0.3358923877787196,1989-07-01,LANDSAT 5
0.2698361634385325,1989-08-01,LANDSAT 5
0.26391907661741454,1989-09-01,LANDSAT 5
0.29393140332696854,1989-10-01,LANDSAT 5
0.19875009746717684,1989-11-01,LANDSAT 5
0.04148025595935251,1989-12-01,LANDSAT 5
0.019883113991969403,1990-01-01,LANDSAT 5
0.22921612012508452,1990-04-01,LANDSAT 5
0.40111924371391533,1990-05-01,LANDSAT 5
0.35652237537434106,1990-06-01,LANDSAT 5
0.18096763007774205,1990-07-01,LANDSAT 5
0.19245216086739547,1990-08-01,LANDSAT 5
0.33799574990182735,1990-09-01,LANDSAT 5
0.3351094007548745,1990-10-01,LANDSAT 5
0.1497283785353066,1990-11-01,LANDSAT 5
0.197674786372924,1990-12-01,LANDSAT 5
0.12322245488283734,1991-01-01,LANDSAT 5
0.16942840043471905,1991-02-01,LANDSAT 5
0.06677137464244948,1991-03-01,LANDSAT 5
0.17351638982283407,1991-04-01,LANDSAT 5
0.24589344995426124,1991-05-01,LANDSAT 5
0.2439289222492854,1991-06-01,LANDSAT 5
0.3258067942334307,1991-07-01,LANDSAT 5
0.19488495085539986,1991-08-01,LANDSAT 5
0.3721137213199117,1991-09-01,LANDSAT 5
0.27523057826038627,1991-10-01,LANDSAT 5
0.12224627135706066,1991-11-01,LANDSAT 5
0.12509537775888738,1991-12-01,LANDSAT 5
0.1055128898996546,1992-01-01,LANDSAT 5
0.10564232205687259,1992-02-01,LANDSAT 5
0.13849688233400423,1992-03-01,LANDSAT 5
0.2213344966157025,1992-04-01,LANDSAT 5
0.06224726203052239,1992-05-01,LANDSAT 5
0.21651212012811968,1992-06-01,LANDSAT 5
0.30458562369730485,1992-07-01,LANDSAT 5
0.21758324490496267,1992-08-01,LANDSAT 5
0.3841582903691526,1992-09-01,LANDSAT 5
0.29366239549041645,1992-10-01,LANDSAT 5
0.17843223326582613,1992-11-01,LANDSAT 5
0.09766496540714079,1992-12-01,LANDSAT 5
0.17058978319319557,1993-01-01,LANDSAT 5
0.0704243273359287,1993-02-01,LANDSAT 5
0.008715454897354962,1993-03-01,LANDSAT 5
0.22746814803805773,1993-04-01,LANDSAT 5
0.33642580096519226,1993-05-01,LANDSAT 5
0.19154097193105674,1993-06-01,LANDSAT 5
0.26950434142557467,1993-07-01,LANDSAT 5
0.3071852529546416,1993-08-01,LANDSAT 5
0.22690953417162063,1993-09-01,LANDSAT 5
0.30751681452808044,1993-10-01,LANDSAT 5
0.13623332471108054,1993-11-01,LANDSAT 5
0.004626540284406457,1993-12-01,LANDSAT 5
0.048053608189111356,1994-01-01,LANDSAT 5
0.15428137570787545,1994-02-01,LANDSAT 5
