NDVI,month-year,landsat
0.08230935370727716,1984-03-01,LANDSAT 5
0.20157031792630653,1984-04-01,LANDSAT 5
0.07991720202799041,1984-07-01,LANDSAT 5
0.372614819881698,1984-08-01,LANDSAT 5
0.31979870468504773,1984-09-01,LANDSAT 5
0.2160415951729608,1984-10-01,LANDSAT 5
0.03240492844736429,1985-01-01,LANDSAT 5
0.1287350523817069,1985-03-01,LANDSAT 5
0.3994836559457566,1985-08-01,LANDSAT 5
0.2964723904994652,1985-09-01,LANDSAT 5
0.2617348111316064,1985-10-01,LANDSAT 5
0.1760412770789465,1985-11-01,LANDSAT 5
0.01727681990907131,1986-02-01,LANDSAT 5
0.2160752901289974,1986-04-01,LANDSAT 5
0.08505149291473971,1986-05-01,LANDSAT 5
0.3259143104427046,1986-06-01,LANDSAT 5
0.3165246643237078,1986-07-01,LANDSAT 5
0.323738811977215,1986-08-01,LANDSAT 5
0.2688871323253973,1986-10-01,LANDSAT 5
0.21055651111819013,1986-11-01,LANDSAT 5
0.04990720946106668,1986-12-01,LANDSAT 5
0.0646400061531923,1987-01-01,LANDSAT 5
0.0961252266758194,1987-02-01,LANDSAT 5
0.09866699675709856,1987-03-01,LANDSAT 5
0.27133306489443504,1987-04-01,LANDSAT 5
0.3476123881311401,1987-05-01,LANDSAT 5
0.3044849349241962,1987-06-01,LANDSAT 5
0.3028494088787536,1987-07-01,LANDSAT 5
0.409648316796855,1987-08-01,LANDSAT 5
0.2134910751710992,1987-10-01,LANDSAT 5
0.011860981416070858,1988-01-01,LANDSAT 5
0.027609129976047374,1988-02-01,LANDSAT 5
0.12168158764607483,1988-03-01,LANDSAT 5
0.22065520446914857,1988-04-01,LANDSAT 5
0.3385547540394362,1988-05-01,LANDSAT 5
0.13914379328616172,1988-06-01,LANDSAT 5
0.20994513006642737,1988-07-01,LANDSAT 5
0.20494871794394856,1988-08-01,LANDSAT 5
0.21453692076511102,1988-09-01,LANDSAT 5
0.21018249330525557,1988-10-01,LANDSAT 5
0.1287101450371048,1988-11-01,LANDSAT 5
0.06813431651924741,1988-12-01,LANDSAT 5
0.011856674589009939,1989-01-01,LANDSAT 5
0.037231852089593565,1989-02-01,LANDSAT 5
0.10994382587391258,1989-03-01,LANDSAT 5
0.2368886606153223,1989-05-01,LANDSAT 5
0.3514366184755267,1989-06-01,LANDSAT 5
0.35096047822643955,1989-07-01,LANDSAT 5
0.3537825814898268,1989-09-01,LANDSAT 5
0.2767088817748615,1989-10-01,LANDSAT 5
0.15269781625549741,1989-11-01,LANDSAT 5
0.0862059061216612,1989-12-01,LANDSAT 5
0.042749305386677386,1990-01-01,LANDSAT 5
0.1269910546051337,1990-04-01,LANDSAT 5
0.2735211050383417,1990-05-01,LANDSAT 5
0.3616345568522427,1990-07-01,LANDSAT 5
0.17186472110003334,1990-08-01,LANDSAT 5
0.17425033670344656,1990-09-01,LANDSAT 5
0.18664362114838648,1990-10-01,LANDSAT 5
0.1535154763610631,1990-11-01,LANDSAT 5
0.06191928712556847,1991-03-01,LANDSAT 5
0.24405311431751625,1991-04-01,LANDSAT 5
0.23238912872678735,1991-05-01,LANDSAT 5
0.3322230658429521,1991-06-01,LANDSAT 5
0.3438964428295899,1991-08-01,LANDSAT 5
0.2478055872778429,1991-10-01,LANDSAT 5
0.04393408959794448,1991-11-01,LANDSAT 5
-0.00589573661904229,1991-12-01,LANDSAT 5
0.06351400983806808,1992-01-01,LANDSAT 5
0.003224541175576913,1992-02-01,LANDSAT 5
0.044108380689287074,1992-03-01,LANDSAT 5
0.2940350535929078,1992-06-01,LANDSAT 5
0.41437329413046164,1992-07-01,LANDSAT 5
0.4195171853358068,1992-08-01,LANDSAT 5
0.3415926707082332,1992-09-01,LANDSAT 5
0.19809843998575138,1992-10-01,LANDSAT 5
0.007995585664935948,1992-12-01,LANDSAT 5
0.007917097621606197,1993-02-01,LANDSAT 5
0.03373766119006259,1993-03-01,LANDSAT 5
0.12469231636765615,1993-04-01,LANDSAT 5
0.31044150233965484,1993-05-01,LANDSAT 5
0.42091704158918375,1993-08-01,LANDSAT 5
0.29569448278179744,1993-09-01,LANDSAT 5
0.2527029353605121,1993-10-01,LANDSAT 5
0.16148677634631356,1993-11-01,LANDSAT 5
0.12346529985791792,1993-12-01,LANDSAT 5
0.0037404164077590512,1994-01-01,LANDSAT 5
0.006454882409839832,1994-02-01,LANDSAT 5
0.078531512962366,1994-03-01,LANDSAT 5
0.18053427261964652,1994-04-01,LANDSAT 5
0.23822126007408503,1994-05-01,LANDSAT 5
0.332724999200193,1994-06-01,LANDSAT 5
0.2327285466042043,1994-07-01,LANDSAT 5
0.3640866646731615,1994-08-01,LANDSAT 5
0.41453407926844815,1994-09-01,LANDSAT 5
0.2151385315660182,1994-10-01,LANDSAT 5
0.14359029957656472,1994-11-01,LANDSAT 5
-0.008656542124206456,1994-12-01,LANDSAT 5
0.0026295496758137007,1995-01-01,LANDSAT 5
0.006491559423676315,1995-02-01,LANDSAT 5
0.09718369393245276,1995-03-01,LANDSAT 5
0.28463190337583427,1995-05-01,LANDSAT 5
0.3404846451173657,1995-06-01,LANDSAT 5
0.19706052686036088,1995-07-01,LANDSAT 5
0.13630893723267493,1995-08-01,LANDSAT 5
0.33777357652370393,1995-09-01,LANDSAT 5
0.2648246991126677,1995-10-01,LANDSAT 5
-0.010128738988104848,1995-12-01,LANDSAT 5
0.027092685184204063,1996-01-01,LANDSAT 5
0.10963230162454915,1996-03-01,LANDSAT 5
0.08448918630119234,1996-04-01,LANDSAT 5
0.41744686844377765,1996-07-01,LANDSAT 5
0.07260257363728499,1996-08-01,LANDSAT 5
0.24531493765222653,1996-10-01,LANDSAT 5
0.02567543871975913,1997-01-01,LANDSAT 5
0.04289714575604483,1997-02-01,LANDSAT 5
0.04975381505191057,1997-03-01,LANDSAT 5
0.1270873393395695,1997-04-01,LANDSAT 5
0.18245700954703692,1997-05-01,LANDSAT 5
0.23436487154442445,1997-06-01,LANDSAT 5
0.35125658810179333,1997-07-01,LANDSAT 5
0.29046239261036283,1997-09-01,LANDSAT 5
0.3169277902673358,1997-10-01,LANDSAT 5
0.05884380074060558,1997-11-01,LANDSAT 5
0.015044350354396599,1997-12-01,LANDSAT 5
0.029220843745571642,1998-02-01,LANDSAT 5
0.026376232210310685,1998-03-01,LANDSAT 5
0.15823353453527592,1998-04-01,LANDSAT 5
0.23955283066763108,1998-05-01,LANDSAT 5
0.40125560231287943,1998-07-01,LANDSAT 5
0.20309419730156036,1998-08-01,LANDSAT 5
0.25756989751980774,1998-09-01,LANDSAT 5
0.2625272932340985,1998-10-01,LANDSAT 5
0.12471185059989429,1998-11-01,LANDSAT 5
0.03854477924960289,1998-12-01,LANDSAT 5
0.3666589360124487,1999-07-01,LANDSAT 7
0.30126874236871787,1999-08-01,LANDSAT 7
0.26731825124402453,1999-09-01,LANDSAT 7
0.21433193263696684,1999-10-01,LANDSAT 7
0.15695394916733263,1999-11-01,LANDSAT 7
0.01761314957611373,1999-12-01,LANDSAT 7
0.05647412718813748,2000-02-01,LANDSAT 7
0.09012588821661176,2000-03-01,LANDSAT 7
0.15554309497233454,2000-04-01,LANDSAT 7
0.18539263160144842,2000-05-01,LANDSAT 7
0.311299756355321,2000-06-01,LANDSAT 7
0.3241132489244674,2000-07-01,LANDSAT 7
0.2079494168077038,2000-08-01,LANDSAT 7
0.3239234832431164,2000-09-01,LANDSAT 7
0.21045578774792084,2000-10-01,LANDSAT 7
0.06574407500191051,2000-12-01,LANDSAT 7
0.01671700056352518,2001-01-01,LANDSAT 7
0.09245927534528116,2001-03-01,LANDSAT 7
0.23339495543894234,2001-04-01,LANDSAT 7
0.27878786416893725,2001-05-01,LANDSAT 7
0.2914685031882665,2001-06-01,LANDSAT 7
0.2344962098299106,2001-07-01,LANDSAT 7
0.3825662444399614,2001-08-01,LANDSAT 7
0.17849356037096414,2001-09-01,LANDSAT 7
0.12529483798427687,2001-10-01,LANDSAT 7
0.16887779318751486,2001-11-01,LANDSAT 7
0.14174449857407675,2001-12-01,LANDSAT 7
0.10221923701356787,2002-01-01,LANDSAT 7
0.07553265322350224,2002-02-01,LANDSAT 7
0.038417958432374104,2002-03-01,LANDSAT 7
0.1509560875677419,2002-04-01,LANDSAT 7
0.3673535154836217,2002-05-01,LANDSAT 7
0.3536805869147457,2002-06-01,LANDSAT 7
0.21247827837204883,2002-07-01,LANDSAT 7
0.34377761054989053,2002-08-01,LANDSAT 7
0.3275742846247834,2002-09-01,LANDSAT 7
0.06479313480872145,2002-11-01,LANDSAT 7
0.10904996729044716,2002-12-01,LANDSAT 7
0.1453282212250962,2003-01-01,LANDSAT 7
0.08718871448344327,2003-02-01,LANDSAT 7
0.07724912009634605,2003-03-01,LANDSAT 7
0.07174013237066225,2003-04-01,LANDSAT 7
0.2379024010933105,2003-05-01,LANDSAT 7
0.32526065865510245,2003-07-01,LANDSAT 7
0.29645721041548645,2003-08-01,LANDSAT 7
0.29999764683363916,2003-09-01,LANDSAT 7
0.24578380478927023,2003-10-01,LANDSAT 7
0.07622882879791971,2003-11-01,LANDSAT 7
0.06833298421196114,2003-12-01,LANDSAT 7
0.044945719965397875,2004-01-01,LANDSAT 7
0.053405198268113595,2004-02-01,LANDSAT 7
0.284377639811636,2004-03-01,LANDSAT 7
