NDVI,month-year,landsat
0.3184136835622384,1984-04-01,LANDSAT 5
0.30619950241014243,1984-05-01,LANDSAT 5
0.3082867415263508,1984-06-01,LANDSAT 5
0.44833785319129604,1984-07-01,LANDSAT 5
0.5099871613045782,1984-08-01,LANDSAT 5
0.31645161045063497,1984-09-01,LANDSAT 5
0.3472605312196415,1984-10-01,LANDSAT 5
0.13731362039782977,1984-11-01,LANDSAT 5
0.10131722346593515,1984-12-01,LANDSAT 5
0.1981609666949497,1985-01-01,LANDSAT 5
0.3116488135647671,1985-03-01,LANDSAT 5
0.3783299854860192,1985-04-01,LANDSAT 5
0.4531029849219864,1985-05-01,LANDSAT 5
0.4375013985474778,1985-07-01,LANDSAT 5
0.4040478601772189,1985-08-01,LANDSAT 5
0.3178878970481807,1985-09-01,LANDSAT 5
0.35213343438385236,1985-10-01,LANDSAT 5
0.20385729925559637,1985-11-01,LANDSAT 5
0.28622044288445414,1985-12-01,LANDSAT 5
0.15617970224670272,1986-01-01,LANDSAT 5
0.17779041538178667,1986-02-01,LANDSAT 5
0.2500112195464408,1986-03-01,LANDSAT 5
0.23267891781209676,1986-04-01,LANDSAT 5
0.38387539414503413,1986-05-01,LANDSAT 5
0.3718876723062217,1986-06-01,LANDSAT 5
0.4007838493220306,1986-07-01,LANDSAT 5
0.3669887227742589,1986-08-01,LANDSAT 5
0.23573307862531195,1986-09-01,LANDSAT 5
0.34037595418494776,1986-10-01,LANDSAT 5
0.227597433333955,1986-11-01,LANDSAT 5
0.18622937710784193,1987-02-01,LANDSAT 5
0.2253952704385632,1987-03-01,LANDSAT 5
0.16217143439863244,1987-04-01,LANDSAT 5
0.4076164456985739,1987-05-01,LANDSAT 5
0.42246758508969756,1987-06-01,LANDSAT 5
0.34949774795885336,1987-07-01,LANDSAT 5
0.41068513079765184,1987-08-01,LANDSAT 5
0.2509783663914535,1987-09-01,LANDSAT 5
0.2886216834032248,1987-10-01,LANDSAT 5
0.180192847151932,1987-11-01,LANDSAT 5
0.18566838126480473,1987-12-01,LANDSAT 5
0.1858534595565934,1988-01-01,LANDSAT 5
0.16653709688972665,1988-02-01,LANDSAT 5
0.18186680362556396,1988-03-01,LANDSAT 5
0.3830297088733962,1988-04-01,LANDSAT 5
0.43799849389176354,1988-05-01,LANDSAT 5
0.39707061784602143,1988-06-01,LANDSAT 5
0.46450722909546777,1988-07-01,LANDSAT 5
0.41345258118997114,1988-08-01,LANDSAT 5
0.2713726387685226,1988-09-01,LANDSAT 5
0.31999165486890346,1988-10-01,LANDSAT 5
0.32311835412862816,1988-11-01,LANDSAT 5
0.21841467765024564,1988-12-01,LANDSAT 5
0.19051731052664744,1989-01-01,LANDSAT 5
0.055910819861695334,1989-02-01,LANDSAT 5
0.18386609021557299,1989-03-01,LANDSAT 5
0.3255625415124005,1989-04-01,LANDSAT 5
0.33477557973949135,1989-05-01,LANDSAT 5
0.31259395800271816,1989-06-01,LANDSAT 5
0.38661220722280226,1989-07-01,LANDSAT 5
0.3313278720509704,1989-08-01,LANDSAT 5
0.410971129729978,1989-09-01,LANDSAT 5
0.38501735860807684,1989-10-01,LANDSAT 5
0.24646075857374433,1989-11-01,LANDSAT 5
0.1904958289569584,1989-12-01,LANDSAT 5
0.15736837291873923,1990-01-01,LANDSAT 5
0.3961498866115499,1990-04-01,LANDSAT 5
0.1503053232314014,1990-05-01,LANDSAT 5
0.37977111268906194,1990-06-01,LANDSAT 5
0.21686864278314452,1990-07-01,LANDSAT 5
0.41798418068473153,1990-08-01,LANDSAT 5
0.11095670626895869,1990-09-01,LANDSAT 5
0.3875814195863118,1990-10-01,LANDSAT 5
0.26720175716300004,1990-11-01,LANDSAT 5
0.17339055083746535,1990-12-01,LANDSAT 5
0.16291483668062798,1991-02-01,LANDSAT 5
0.24754628831425995,1991-03-01,LANDSAT 5
0.3694128399148073,1991-04-01,LANDSAT 5
0.43373397203177066,1991-05-01,LANDSAT 5
0.4090299548106354,1991-06-01,LANDSAT 5
0.3733979920406618,1991-07-01,LANDSAT 5
0.40861305286162164,1991-08-01,LANDSAT 5
0.39204984118251235,1991-09-01,LANDSAT 5
0.34679920304652195,1991-10-01,LANDSAT 5
0.3202467193100241,1991-11-01,LANDSAT 5
0.15892328067700773,1991-12-01,LANDSAT 5
0.13116033228819363,1992-01-01,LANDSAT 5
0.13523274658408538,1992-02-01,LANDSAT 5
0.2822118491703785,1992-03-01,LANDSAT 5
0.351018714792386,1992-04-01,LANDSAT 5
0.35676785675592,1992-05-01,LANDSAT 5
0.17297592143269863,1992-06-01,LANDSAT 5
0.35509512416612016,1992-07-01,LANDSAT 5
0.3751003981861402,1992-08-01,LANDSAT 5
0.27577648150635214,1992-09-01,LANDSAT 5
0.32635561602713004,1992-10-01,LANDSAT 5
0.1987018093899201,1992-11-01,LANDSAT 5
0.20542883916513918,1992-12-01,LANDSAT 5
0.16545199532162336,1993-01-01,LANDSAT 5
0.08381532872728205,1993-02-01,LANDSAT 5
0.14949435023018168,1993-03-01,LANDSAT 5
0.39686805210643317,1993-04-01,LANDSAT 5
0.38236834269462566,1993-05-01,LANDSAT 5
0.4306382671564364,1993-06-01,LANDSAT 5
0.34635657156119126,1993-07-01,LANDSAT 5
0.1896154384053989,1993-08-01,LANDSAT 5
0.4311856318501199,1993-09-01,LANDSAT 5
0.3027753305929854,1993-10-01,LANDSAT 5
0.04756486029839936,1993-11-01,LANDSAT 5
0.15508482486983857,1993-12-01,LANDSAT 5
0.15814453532097225,1994-01-01,LANDSAT 5
-0.0035081844272936776,1994-02-01,LANDSAT 5
0.25950548062833084,1994-03-01,LANDSAT 5
0.28569598028058873,1994-04-01,LANDSAT 5
0.36840565191649166,1994-05-01,LANDSAT 5
0.3371915602144834,1994-06-01,LANDSAT 5
0.36064729220602415,1994-07-01,LANDSAT 5
0.3113312157222638,1994-08-01,LANDSAT 5
0.3096040218452778,1994-09-01,LANDSAT 5
0.3854764822219432,1994-10-01,LANDSAT 5
0.094176843757938,1994-11-01,LANDSAT 5
0.16066788442944488,1995-01-01,LANDSAT 5
0.05884836426477857,1995-02-01,LANDSAT 5
0.23469395366298704,1995-03-01,LANDSAT 5
0.42959836020569186,1995-04-01,LANDSAT 5
0.3270769856971827,1995-05-01,LANDSAT 5
0.23790721131894582,1995-06-01,LANDSAT 5
0.39413612032475887,1995-07-01,LANDSAT 5
0.28343253116252404,1995-08-01,LANDSAT 5
0.28427476125802287,1995-09-01,LANDSAT 5
0.32915058105207334,1995-10-01,LANDSAT 5
0.10553715067045542,1995-11-01,LANDSAT 5
0.07778139988274703,1995-12-01,LANDSAT 5
0.16106286038005724,1996-01-01,LANDSAT 5
0.147680258737045,1996-03-01,LANDSAT 5
0.20467273545942352,1996-04-01,LANDSAT 5
0.3474335344683099,1996-05-01,LANDSAT 5
0.26730749643144325,1996-06-01,LANDSAT 5
0.4538696110157852,1996-07-01,LANDSAT 5
0.34986822181885424,1996-08-01,LANDSAT 5
0.255889676628368,1996-09-01,LANDSAT 5
0.4058708830596369,1996-10-01,LANDSAT 5
0.171989002667388,1996-11-01,LANDSAT 5
0.012087328884170223,1996-12-01,LANDSAT 5
0.03956735182610521,1997-01-01,LANDSAT 5
0.01650992824859962,1997-02-01,LANDSAT 5
0.14529675517859855,1997-03-01,LANDSAT 5
0.3923606746543757,1997-04-01,LANDSAT 5
0.2875581289158073,1997-05-01,LANDSAT 5
0.0911068708915427,1997-06-01,LANDSAT 5
0.4260199094328812,1997-07-01,LANDSAT 5
0.4123314406046663,1997-08-01,LANDSAT 5
0.05969995162836424,1997-09-01,LANDSAT 5
0.22361350379983613,1997-10-01,LANDSAT 5
0.3091432114963351,1997-11-01,LANDSAT 5
0.10033066824331179,1997-12-01,LANDSAT 5
0.1860512406680554,1998-01-01,LANDSAT 5
0.1211120979711249,1998-02-01,LANDSAT 5
0.2481567832757734,1998-04-01,LANDSAT 5
0.11429474584936186,1998-05-01,LANDSAT 5
0.42736709311090976,1998-06-01,LANDSAT 5
0.30052199537760815,1998-07-01,LANDSAT 5
0.397552985220758,1998-08-01,LANDSAT 5
0.3177223464294711,1998-09-01,LANDSAT 5
0.24331192437497653,1998-10-01,LANDSAT 5
0.14043329209474467,1998-11-01,LANDSAT 5
0.22136251783626437,1998-12-01,LANDSAT 5
0.3921016994016165,1999-07-01,LANDSAT 7
0.39318581487081594,1999-08-01,LANDSAT 7
0.3702490399080512,1999-09-01,LANDSAT 7
0.3270325884670076,1999-10-01,LANDSAT 7
0.27873027018289587,1999-11-01,LANDSAT 7
0.18115236265231793,1999-12-01,LANDSAT 7
0.22292213652702597,2000-01-01,LANDSAT 7
0.2004494343688615,2000-02-01,LANDSAT 7
