NDVI,month-year,landsat
0.166368288501055,1984-05-01,LANDSAT 5
0.14363754155048142,1984-06-01,LANDSAT 5
0.1747733875047483,1984-07-01,LANDSAT 5
0.08039115009752379,1984-08-01,LANDSAT 5
0.1829274568874115,1984-09-01,LANDSAT 5
0.18493219298468694,1984-10-01,LANDSAT 5
0.18991914742748833,1984-11-01,LANDSAT 5
0.05651409083572525,1984-12-01,LANDSAT 5
0.20307768663222533,1985-01-01,LANDSAT 5
0.26020521743109787,1985-02-01,LANDSAT 5
0.23816729024140693,1985-03-01,LANDSAT 5
0.19416450116918907,1985-04-01,LANDSAT 5
0.17898858942062829,1985-05-01,LANDSAT 5
0.13751406458443247,1985-07-01,LANDSAT 5
0.10890750046441745,1985-08-01,LANDSAT 5
0.08734981089484012,1985-09-01,LANDSAT 5
0.21088161427457305,1985-10-01,LANDSAT 5
0.08584853483526894,1985-11-01,LANDSAT 5
0.21110316810643448,1985-12-01,LANDSAT 5
0.22394281198071936,1986-01-01,LANDSAT 5
0.17444201127160938,1986-02-01,LANDSAT 5
0.2123269920995047,1986-03-01,LANDSAT 5
0.17570714867596993,1986-04-01,LANDSAT 5
0.15661694297924317,1986-05-01,LANDSAT 5
0.1551822811960884,1986-06-01,LANDSAT 5
0.16188062167480566,1986-07-01,LANDSAT 5
0.147092853726625,1986-08-01,LANDSAT 5
0.12190628751197542,1986-09-01,LANDSAT 5
0.17983662446208287,1986-10-01,LANDSAT 5
0.17765616321680627,1986-11-01,LANDSAT 5
0.14690289814856222,1986-12-01,LANDSAT 5
0.16658684032565724,1987-01-01,LANDSAT 5
0.1658259054742697,1987-02-01,LANDSAT 5
0.20673412338875335,1987-03-01,LANDSAT 5
0.1766302126466186,1987-04-01,LANDSAT 5
0.159321678853373,1987-05-01,LANDSAT 5
0.12176382993469888,1987-06-01,LANDSAT 5
0.15698320172622615,1987-07-01,LANDSAT 5
0.12752560508912783,1987-08-01,LANDSAT 5
0.14057179102851272,1987-09-01,LANDSAT 5
0.1327019109503149,1987-10-01,LANDSAT 5
0.16953285199995727,1988-03-01,LANDSAT 5
0.14968211614106408,1988-04-01,LANDSAT 5
0.15344890241713688,1988-05-01,LANDSAT 5
0.12842602396185993,1988-06-01,LANDSAT 5
0.1371715448089397,1988-07-01,LANDSAT 5
0.1619214019198998,1988-08-01,LANDSAT 5
0.1587233722142351,1988-09-01,LANDSAT 5
0.12009330761026867,1988-10-01,LANDSAT 5
0.17486088196726055,1988-12-01,LANDSAT 5
0.17342472576591694,1989-03-01,LANDSAT 5
0.15420390601912573,1989-04-01,LANDSAT 5
0.15457814775326545,1989-05-01,LANDSAT 5
0.1568353177133106,1989-06-01,LANDSAT 5
0.1470906818933881,1989-07-01,LANDSAT 5
0.15203678619289607,1989-08-01,LANDSAT 5
0.15799591343283403,1989-09-01,LANDSAT 5
0.14299079948211652,1989-10-01,LANDSAT 5
0.14436533549404323,1989-11-01,LANDSAT 5
0.1654007817659532,1990-03-01,LANDSAT 5
0.1218956593808962,1990-04-01,LANDSAT 5
0.15289159660303733,1990-05-01,LANDSAT 5
0.15004717164996192,1990-06-01,LANDSAT 5
0.16371288521810753,1990-08-01,LANDSAT 5
0.15461601904961872,1990-09-01,LANDSAT 5
0.17516900515494205,1990-10-01,LANDSAT 5
0.1641376818349375,1991-03-01,LANDSAT 5
0.19954961364261595,1991-04-01,LANDSAT 5
0.1606012065997456,1991-05-01,LANDSAT 5
0.162698590470415,1991-06-01,LANDSAT 5
0.15781880653220515,1991-07-01,LANDSAT 5
0.11708595273875255,1991-08-01,LANDSAT 5
0.1415799658282326,1991-09-01,LANDSAT 5
0.13012477642288495,1991-10-01,LANDSAT 5
0.13767617722906103,1991-11-01,LANDSAT 5
0.24799991617886621,1992-03-01,LANDSAT 5
0.17003454236007962,1992-04-01,LANDSAT 5
0.15851184872498816,1992-05-01,LANDSAT 5
0.155929108610076,1992-06-01,LANDSAT 5
0.14810811983538227,1992-07-01,LANDSAT 5
0.1957155589281675,1992-08-01,LANDSAT 5
0.18322836743963644,1992-09-01,LANDSAT 5
0.16732389546852003,1992-10-01,LANDSAT 5
0.15875582876120267,1992-11-01,LANDSAT 5
0.11436004076574804,1992-12-01,LANDSAT 5
0.1047155666819331,1993-01-01,LANDSAT 5
0.1859210859521033,1993-02-01,LANDSAT 5
0.266083290274929,1993-03-01,LANDSAT 5
0.23914113054673153,1993-04-01,LANDSAT 5
0.17720157265604447,1993-05-01,LANDSAT 5
0.17560134110498957,1993-06-01,LANDSAT 5
0.16846594743597823,1993-07-01,LANDSAT 5
0.1554275391470021,1993-08-01,LANDSAT 5
0.16798054477870808,1993-09-01,LANDSAT 5
0.1535108214860635,1993-10-01,LANDSAT 5
0.14476454584739606,1993-11-01,LANDSAT 5
0.206463964413668,1993-12-01,LANDSAT 5
0.1816140962010648,1994-01-01,LANDSAT 5
0.22157907814341865,1994-02-01,LANDSAT 5
0.14674232987123442,1994-03-01,LANDSAT 5
0.15108882958515735,1994-04-01,LANDSAT 5
