NDVI,month-year,landsat
0.047371732196146356,1984-03-01,LANDSAT 5
0.10414694479533619,1984-04-01,LANDSAT 5
0.1341928815840278,1984-06-01,LANDSAT 5
0.1588434676301362,1984-07-01,LANDSAT 5
0.13766541337916977,1984-08-01,LANDSAT 5
0.10818110985708802,1984-11-01,LANDSAT 5
0.05939439343783405,1984-12-01,LANDSAT 5
0.10890034726776898,1985-01-01,LANDSAT 5
0.08476871966318633,1985-02-01,LANDSAT 5
0.09956489195949486,1985-03-01,LANDSAT 5
0.06774501149468651,1985-04-01,LANDSAT 5
0.15960475015852812,1985-07-01,LANDSAT 5
0.14164352008381736,1985-08-01,LANDSAT 5
0.10624945184092396,1985-09-01,LANDSAT 5
0.049283547043606823,1985-10-01,LANDSAT 5
0.10967881153200267,1985-11-01,LANDSAT 5
-0.024202778658657345,1985-12-01,LANDSAT 5
0.11941561440660435,1986-01-01,LANDSAT 5
0.10957333502657854,1986-02-01,LANDSAT 5
0.13726472655865876,1986-04-01,LANDSAT 5
0.10501488649558634,1986-05-01,LANDSAT 5
0.13751225568392267,1986-06-01,LANDSAT 5
0.16581697940470894,1986-07-01,LANDSAT 5
0.1360658193347754,1986-08-01,LANDSAT 5
0.1310056593974501,1986-09-01,LANDSAT 5
0.12680898060462234,1986-10-01,LANDSAT 5
0.13146338420355555,1986-11-01,LANDSAT 5
0.10480169916315865,1986-12-01,LANDSAT 5
0.13604816752340354,1987-01-01,LANDSAT 5
0.06129599204650947,1987-02-01,LANDSAT 5
0.04909346872696637,1987-03-01,LANDSAT 5
0.10571246207833429,1987-04-01,LANDSAT 5
0.1116210985473646,1987-05-01,LANDSAT 5
0.13116105578747703,1987-06-01,LANDSAT 5
0.14342894903809048,1987-07-01,LANDSAT 5
0.11769648895217348,1987-08-01,LANDSAT 5
0.16309948816062897,1987-09-01,LANDSAT 5
0.07874779640107679,1987-10-01,LANDSAT 5
0.006791671303999978,1987-11-01,LANDSAT 5
0.11275412581831044,1987-12-01,LANDSAT 5
0.13414307586044158,1988-01-01,LANDSAT 5
0.10396408240825013,1988-02-01,LANDSAT 5
0.1081200897979818,1988-03-01,LANDSAT 5
0.08862794807427223,1988-04-01,LANDSAT 5
0.12490004374787908,1988-05-01,LANDSAT 5
0.16005294412754156,1988-06-01,LANDSAT 5
0.15890733381441663,1988-07-01,LANDSAT 5
0.16545400079584777,1988-08-01,LANDSAT 5
0.12860969507067427,1988-09-01,LANDSAT 5
0.11967797799229007,1988-10-01,LANDSAT 5
0.06750446146340736,1988-11-01,LANDSAT 5
0.08565354496744709,1989-01-01,LANDSAT 5
0.06761096830364717,1989-02-01,LANDSAT 5
0.075318673568983,1989-03-01,LANDSAT 5
0.11499024761827428,1989-04-01,LANDSAT 5
0.11655750324101273,1989-05-01,LANDSAT 5
0.13490521880572157,1989-06-01,LANDSAT 5
0.10670770942875844,1989-07-01,LANDSAT 5
0.04119123951927665,1989-08-01,LANDSAT 5
0.120464189269455,1989-09-01,LANDSAT 5
0.11248541783923004,1989-11-01,LANDSAT 5
0.08788618339858721,1989-12-01,LANDSAT 5
0.08625064607832912,1990-01-01,LANDSAT 5
0.09884367553764026,1990-03-01,LANDSAT 5
0.05507032565239126,1990-05-01,LANDSAT 5
0.13389174908003443,1990-06-01,LANDSAT 5
0.10306204441172226,1990-07-01,LANDSAT 5
0.056949365141070483,1990-08-01,LANDSAT 5
0.10878286430532542,1990-09-01,LANDSAT 5
0.08833054841995923,1990-10-01,LANDSAT 5
0.062048325092867423,1990-11-01,LANDSAT 5
0.10142773292054635,1990-12-01,LANDSAT 5
0.10164198470129347,1991-01-01,LANDSAT 5
0.10908436817184454,1991-02-01,LANDSAT 5
0.07786213691654188,1991-03-01,LANDSAT 5
0.06803884145601316,1991-04-01,LANDSAT 5
0.10944988604932732,1991-05-01,LANDSAT 5
0.12746530426201333,1991-06-01,LANDSAT 5
0.07525982660984311,1991-07-01,LANDSAT 5
0.09775462384596746,1991-08-01,LANDSAT 5
0.06233367732118953,1991-09-01,LANDSAT 5
0.12573578016959497,1991-10-01,LANDSAT 5
0.12332446392806494,1991-11-01,LANDSAT 5
0.07890104137840022,1991-12-01,LANDSAT 5
0.12078170320298844,1992-01-01,LANDSAT 5
0.10095725738654332,1992-02-01,LANDSAT 5
0.12794207413088174,1992-03-01,LANDSAT 5
0.03771183452769534,1992-04-01,LANDSAT 5
0.10186626757232527,1992-05-01,LANDSAT 5
0.07197741356201855,1992-06-01,LANDSAT 5
0.10068743304119838,1992-08-01,LANDSAT 5
0.06514676975917151,1992-09-01,LANDSAT 5
0.1258179551163454,1992-10-01,LANDSAT 5
0.036054067727137144,1992-11-01,LANDSAT 5
0.09937249591556468,1992-12-01,LANDSAT 5
0.09291296500081911,1993-01-01,LANDSAT 5
0.09440836566179224,1993-02-01,LANDSAT 5
0.10727331558026053,1993-03-01,LANDSAT 5
0.1058761155228096,1993-04-01,LANDSAT 5
0.08309643415130798,1993-05-01,LANDSAT 5
0.0808986432633743,1993-06-01,LANDSAT 5
0.11769420216086697,1993-07-01,LANDSAT 5
0.11510013325966918,1993-08-01,LANDSAT 5
0.1384692473924985,1993-09-01,LANDSAT 5
0.10427023222125115,1993-10-01,LANDSAT 5
0.03075367778465241,1993-11-01,LANDSAT 5
0.10786216785292405,1993-12-01,LANDSAT 5
-0.014424338482119591,1994-01-01,LANDSAT 5
0.05065063664175186,1994-02-01,LANDSAT 5
0.11920871686040224,1994-03-01,LANDSAT 5
0.09538899653461372,1994-04-01,LANDSAT 5
0.1098391746264354,1994-05-01,LANDSAT 5
0.08470881916514633,1994-07-01,LANDSAT 5
0.10695715487465647,1994-08-01,LANDSAT 5
0.030501047071684197,1994-09-01,LANDSAT 5
0.10824489404765349,1994-10-01,LANDSAT 5
0.10926804266598653,1994-11-01,LANDSAT 5
0.07052454570106459,1994-12-01,LANDSAT 5
0.060607171750028166,1995-02-01,LANDSAT 5
0.12321893914108431,1995-03-01,LANDSAT 5
0.12822348902711808,1995-04-01,LANDSAT 5
0.1307759208814963,1995-05-01,LANDSAT 5
0.10753848408263418,1995-06-01,LANDSAT 5
0.09176311291289367,1995-07-01,LANDSAT 5
0.056800708226594575,1995-08-01,LANDSAT 5
0.10565803128083334,1995-09-01,LANDSAT 5
0.08446619605051445,1995-10-01,LANDSAT 5
0.09980820459343734,1995-11-01,LANDSAT 5
0.1277103536635742,1995-12-01,LANDSAT 5
0.10541565536719645,1996-01-01,LANDSAT 5
0.0887600120064949,1996-02-01,LANDSAT 5
0.08916367818042337,1996-03-01,LANDSAT 5
0.10179553043639786,1996-04-01,LANDSAT 5
0.10003228537934854,1996-05-01,LANDSAT 5
0.11929214469377464,1996-06-01,LANDSAT 5
0.12882146295588667,1996-07-01,LANDSAT 5
0.13157887911920083,1996-08-01,LANDSAT 5
0.13009393832001728,1996-09-01,LANDSAT 5
0.1194970075315312,1996-10-01,LANDSAT 5
0.08942262057048427,1996-12-01,LANDSAT 5
0.09969980054866469,1997-01-01,LANDSAT 5
0.06468939888866239,1997-02-01,LANDSAT 5
0.08746318667225388,1997-03-01,LANDSAT 5
0.08487576863505653,1997-05-01,LANDSAT 5
0.01748613714911536,1997-06-01,LANDSAT 5
0.07469093370747724,1997-07-01,LANDSAT 5
0.13318642938058287,1997-09-01,LANDSAT 5
0.12810388948539148,1997-11-01,LANDSAT 5
0.0277382204553518,1997-12-01,LANDSAT 5
0.09843016816527261,1998-01-01,LANDSAT 5
0.05892854072264976,1998-02-01,LANDSAT 5
0.12479297396407417,1998-03-01,LANDSAT 5
0.1015945466763293,1998-04-01,LANDSAT 5
0.0872716442370815,1998-05-01,LANDSAT 5
0.14220016985154213,1998-06-01,LANDSAT 5
0.16808456467370783,1998-07-01,LANDSAT 5
0.1243205748695797,1998-08-01,LANDSAT 5
0.08192646246071535,1998-09-01,LANDSAT 5
0.098818605606073,1998-11-01,LANDSAT 5
0.1147312091091125,1998-12-01,LANDSAT 5
0.1269013678201955,1999-07-01,LANDSAT 7
0.14466848002420324,1999-08-01,LANDSAT 7
0.0909909378573698,1999-09-01,LANDSAT 7
0.12407650273090166,1999-10-01,LANDSAT 7
0.07123155049726194,1999-11-01,LANDSAT 7
0.11609636568593093,1999-12-01,LANDSAT 7
0.10063602175112339,2000-01-01,LANDSAT 7
0.11372898267073606,2000-02-01,LANDSAT 7
0.1073506755364382,2000-03-01,LANDSAT 7
0.1315435143142615,2000-04-01,LANDSAT 7
0.12611845577573796,2000-05-01,LANDSAT 7
0.1295415466339581,2000-06-01,LANDSAT 7
0.14839499941184256,2000-07-01,LANDSAT 7
0.13829389216234028,2000-08-01,LANDSAT 7
0.3627863659671526,2000-09-01,LANDSAT 7
0.1148320935217051,2000-10-01,LANDSAT 7
0.06562192928574621,2000-11-01,LANDSAT 7
0.08444492858101854,2000-12-01,LANDSAT 7
0.12055645855280746,2001-01-01,LANDSAT 7
0.10083494366306252,2001-02-01,LANDSAT 7
0.10273002501920986,2001-03-01,LANDSAT 7
0.12643347793518478,2001-04-01,LANDSAT 7
0.11492287461110383,2001-05-01,LANDSAT 7
0.14888389468532653,2001-06-01,LANDSAT 7
0.15558312140607888,2001-07-01,LANDSAT 7
0.11345636858594733,2001-08-01,LANDSAT 7
0.1204124863145442,2001-09-01,LANDSAT 7
0.14202978953676762,2001-11-01,LANDSAT 7
0.07352136003720355,2001-12-01,LANDSAT 7
0.09623247145858205,2002-01-01,LANDSAT 7
0.08018255800041217,2002-02-01,LANDSAT 7
0.08894691377185375,2002-03-01,LANDSAT 7
0.13600071652161577,2002-04-01,LANDSAT 7
0.12875313359233456,2002-05-01,LANDSAT 7
0.1444139694829864,2002-06-01,LANDSAT 7
