NDVI,month-year,landsat
0.04439809889070774,1984-04-01,LANDSAT 5
0.3185389095852597,1984-08-01,LANDSAT 5
0.21835397230965561,1984-09-01,LANDSAT 5
0.29861109198853136,1984-10-01,LANDSAT 5
0.20731914303826246,1984-11-01,LANDSAT 5
0.14130809348973475,1984-12-01,LANDSAT 5
0.033916190688278385,1985-01-01,LANDSAT 5
0.2337972875051295,1985-04-01,LANDSAT 5
0.34100262086865435,1985-05-01,LANDSAT 5
0.24559917579825374,1985-08-01,LANDSAT 5
0.3066184554354087,1985-09-01,LANDSAT 5
0.30017299131995623,1985-10-01,LANDSAT 5
0.025899555435671694,1986-01-01,LANDSAT 5
0.02363089625398425,1986-02-01,LANDSAT 5
0.21225102585580416,1986-04-01,LANDSAT 5
0.21414544574381553,1986-05-01,LANDSAT 5
0.3176946824756992,1986-07-01,LANDSAT 5
0.18862538228741496,1986-08-01,LANDSAT 5
0.13878767786461357,1986-10-01,LANDSAT 5
0.18765509007842063,1986-11-01,LANDSAT 5
0.12012428039362878,1986-12-01,LANDSAT 5
0.08565628200464954,1987-01-01,LANDSAT 5
0.10823833389549173,1987-02-01,LANDSAT 5
0.11490107052700707,1987-03-01,LANDSAT 5
0.30914167993908054,1987-05-01,LANDSAT 5
0.3674767002699139,1987-06-01,LANDSAT 5
0.15440280203069828,1987-07-01,LANDSAT 5
0.27192310311808776,1987-08-01,LANDSAT 5
0.17537330251694191,1987-10-01,LANDSAT 5
0.02546650714886923,1988-02-01,LANDSAT 5
0.11695127513594798,1988-03-01,LANDSAT 5
0.21624358155704304,1988-04-01,LANDSAT 5
0.3266898418106583,1988-05-01,LANDSAT 5
0.18685392686877586,1988-06-01,LANDSAT 5
0.23943962425345783,1988-07-01,LANDSAT 5
0.2584893760956303,1988-08-01,LANDSAT 5
0.055390660365400024,1988-11-01,LANDSAT 5
0.127030698787046,1988-12-01,LANDSAT 5
0.08975452502216053,1989-01-01,LANDSAT 5
0.02264152838433052,1989-02-01,LANDSAT 5
0.03694038023227931,1989-03-01,LANDSAT 5
0.0948796458857426,1989-04-01,LANDSAT 5
0.18933518582819756,1989-05-01,LANDSAT 5
0.3612591053627085,1989-06-01,LANDSAT 5
0.34585142873392577,1989-07-01,LANDSAT 5
0.36625817950607853,1989-08-01,LANDSAT 5
0.35497579166032156,1989-09-01,LANDSAT 5
0.03708471855593991,1989-11-01,LANDSAT 5
0.12270616698681552,1989-12-01,LANDSAT 5
0.015561362543926496,1990-01-01,LANDSAT 5
