NDVI,month-year,landsat
0.0799262543337575,1984-03-01,LANDSAT 5
0.2713996689894776,1984-06-01,LANDSAT 5
0.26912342821708235,1984-08-01,LANDSAT 5
0.17460623967949992,1984-11-01,LANDSAT 5
0.18408705542086878,1985-04-01,LANDSAT 5
0.2146602506518471,1985-07-01,LANDSAT 5
0.3671396534772108,1985-08-01,LANDSAT 5
0.077549247158264,1985-10-01,LANDSAT 5
-0.00777768162340111,1985-11-01,LANDSAT 5
0.11966233452275332,1986-03-01,LANDSAT 5
0.03860326473625844,1986-04-01,LANDSAT 5
0.33817665466864333,1986-05-01,LANDSAT 5
0.3225932614310949,1986-06-01,LANDSAT 5
0.22089753965254244,1986-07-01,LANDSAT 5
0.38753672331863986,1986-08-01,LANDSAT 5
0.25696770846082956,1986-09-01,LANDSAT 5
0.10005520091147592,1986-11-01,LANDSAT 5
0.0353013965500399,1986-12-01,LANDSAT 5
0.08835007606903358,1987-01-01,LANDSAT 5
0.029374911881391498,1987-02-01,LANDSAT 5
0.08647485428059752,1987-03-01,LANDSAT 5
0.22428523569177053,1987-04-01,LANDSAT 5
0.33928797702950775,1987-05-01,LANDSAT 5
0.19620536125587834,1987-06-01,LANDSAT 5
0.14035084841217607,1987-07-01,LANDSAT 5
0.375883228459474,1987-08-01,LANDSAT 5
0.173151497471297,1987-09-01,LANDSAT 5
0.2680150151032696,1987-10-01,LANDSAT 5
0.1427333383568036,1987-11-01,LANDSAT 5
0.07418801018131833,1988-02-01,LANDSAT 5
0.06994596094916242,1988-03-01,LANDSAT 5
0.2316393864097344,1988-04-01,LANDSAT 5
0.06633924934689522,1988-05-01,LANDSAT 5
0.31985777496489576,1988-06-01,LANDSAT 5
0.30959409349878475,1988-07-01,LANDSAT 5
0.29351594967487593,1988-08-01,LANDSAT 5
0.2632346457730266,1988-09-01,LANDSAT 5
0.2472361287314744,1988-10-01,LANDSAT 5
0.02370903082191944,1989-01-01,LANDSAT 5
0.03545413162981984,1989-02-01,LANDSAT 5
0.011057958525878367,1989-03-01,LANDSAT 5
0.059962408033869076,1989-04-01,LANDSAT 5
0.22392598290109303,1989-05-01,LANDSAT 5
0.2442555236342223,1989-06-01,LANDSAT 5
0.3248553872485555,1989-07-01,LANDSAT 5
0.19079046045941692,1989-08-01,LANDSAT 5
0.3626322584405052,1989-09-01,LANDSAT 5
0.06409361604514573,1989-12-01,LANDSAT 5
0.12245427352099071,1990-04-01,LANDSAT 5
0.3433131232109076,1990-05-01,LANDSAT 5
0.23662503810317542,1990-06-01,LANDSAT 5
0.34771960424516624,1990-07-01,LANDSAT 5
0.2858949766251834,1990-08-01,LANDSAT 5
0.3884481493926702,1990-09-01,LANDSAT 5
0.09693749646082134,1990-10-01,LANDSAT 5
0.0605859644171565,1990-11-01,LANDSAT 5
0.042055623067941465,1990-12-01,LANDSAT 5
0.03574787435328489,1991-02-01,LANDSAT 5
0.13469709561172005,1991-05-01,LANDSAT 5
0.2579967112749516,1991-06-01,LANDSAT 5
0.3753935111757531,1991-07-01,LANDSAT 5
0.386806955969751,1991-08-01,LANDSAT 5
0.36244343169152615,1991-09-01,LANDSAT 5
0.17082721355299138,1991-10-01,LANDSAT 5
0.006901873944259832,1992-02-01,LANDSAT 5
0.11742366766354892,1992-03-01,LANDSAT 5
0.17949158283040406,1992-04-01,LANDSAT 5
0.3768227893115608,1992-05-01,LANDSAT 5
0.3259135742266762,1992-06-01,LANDSAT 5
0.26989931326748917,1992-07-01,LANDSAT 5
0.23161920912311743,1992-08-01,LANDSAT 5
0.3764823454009739,1992-09-01,LANDSAT 5
0.1949485963725759,1992-10-01,LANDSAT 5
-0.004047257338938583,1992-11-01,LANDSAT 5
0.06800409388595044,1993-03-01,LANDSAT 5
0.13773400166599095,1993-04-01,LANDSAT 5
0.025439992056206236,1993-05-01,LANDSAT 5
0.35622576922312804,1993-06-01,LANDSAT 5
0.03799337514166173,1993-07-01,LANDSAT 5
0.33306230742657733,1993-08-01,LANDSAT 5
0.23346687437177008,1993-09-01,LANDSAT 5
0.23900971517537517,1993-10-01,LANDSAT 5
0.1357323239359699,1993-11-01,LANDSAT 5
0.03475864028024129,1994-01-01,LANDSAT 5
0.052096795463875904,1994-02-01,LANDSAT 5
0.1376374414485382,1994-03-01,LANDSAT 5
0.19775006912234266,1994-04-01,LANDSAT 5
0.28402674594636246,1994-05-01,LANDSAT 5
0.2872020172045487,1994-06-01,LANDSAT 5
0.3933475849074361,1994-07-01,LANDSAT 5
0.13078274712841145,1994-08-01,LANDSAT 5
0.4116166253624078,1994-09-01,LANDSAT 5
0.15324048898211173,1994-10-01,LANDSAT 5
0.0959233953359168,1994-11-01,LANDSAT 5
0.028839871312550013,1995-01-01,LANDSAT 5
0.04397805536173714,1995-02-01,LANDSAT 5
0.03494129172979752,1995-03-01,LANDSAT 5
0.08211311408803311,1995-04-01,LANDSAT 5
0.21917153646878038,1995-05-01,LANDSAT 5
0.3910850774645608,1995-06-01,LANDSAT 5
0.3791688522300363,1995-07-01,LANDSAT 5
0.2883852404245606,1995-08-01,LANDSAT 5
0.3965204797238065,1995-09-01,LANDSAT 5
0.21941499397683759,1995-10-01,LANDSAT 5
0.01708043821123604,1996-03-01,LANDSAT 5
0.13679420067929338,1996-04-01,LANDSAT 5
0.26713247150631886,1996-05-01,LANDSAT 5
0.3838781287245943,1996-06-01,LANDSAT 5
0.37785044292831194,1996-07-01,LANDSAT 5
0.32171972443364166,1996-08-01,LANDSAT 5
0.2888964132936155,1996-09-01,LANDSAT 5
0.13147380459509633,1996-10-01,LANDSAT 5
0.03284482580867806,1997-01-01,LANDSAT 5
0.028841479336535945,1997-02-01,LANDSAT 5
0.12968902960499173,1997-04-01,LANDSAT 5
0.3427947735806395,1997-05-01,LANDSAT 5
0.04443206337509103,1997-06-01,LANDSAT 5
0.2665696720615235,1997-07-01,LANDSAT 5
0.17769618875609455,1997-08-01,LANDSAT 5
0.11624235611400634,1997-09-01,LANDSAT 5
0.021597549952632973,1997-12-01,LANDSAT 5
0.054730402883786014,1998-01-01,LANDSAT 5
0.23166422495516545,1998-05-01,LANDSAT 5
0.32144023547946887,1998-06-01,LANDSAT 5
0.3142876713200215,1998-07-01,LANDSAT 5
0.2274671586424418,1998-08-01,LANDSAT 5
0.304184506729788,1998-09-01,LANDSAT 5
0.2477405444926785,1998-10-01,LANDSAT 5
0.15999370433866608,1998-11-01,LANDSAT 5
0.15381036892744257,1998-12-01,LANDSAT 5
0.2320812297505075,1999-07-01,LANDSAT 7
0.34639685394749525,1999-08-01,LANDSAT 7
0.3487194089132813,1999-09-01,LANDSAT 7
0.2328127588321364,1999-10-01,LANDSAT 7
0.09107536446067589,1999-11-01,LANDSAT 7
0.07484175854426935,1999-12-01,LANDSAT 7
0.026845936504889874,2000-01-01,LANDSAT 7
0.10305498190617192,2000-03-01,LANDSAT 7
0.15696865645804664,2000-04-01,LANDSAT 7
0.3063003008381515,2000-05-01,LANDSAT 7
0.3483734931966387,2000-06-01,LANDSAT 7
0.1786527507657098,2000-07-01,LANDSAT 7
0.21215792090416719,2000-08-01,LANDSAT 7
0.16662097070282564,2000-09-01,LANDSAT 7
0.07328856612163055,2000-10-01,LANDSAT 7
0.018875025450329812,2000-12-01,LANDSAT 7
0.0016561204111308478,2001-01-01,LANDSAT 7
0.031750387688253875,2001-02-01,LANDSAT 7
0.0539205648299937,2001-03-01,LANDSAT 7
0.010557991697000856,2001-04-01,LANDSAT 7
0.381578749615377,2001-05-01,LANDSAT 7
0.4106626188309241,2001-06-01,LANDSAT 7
0.3972054066552837,2001-07-01,LANDSAT 7
0.33554801337909673,2001-08-01,LANDSAT 7
