NDVI,month-year,landsat
0.5077130441721451,1984-04-01,LANDSAT 5
0.46873408682762335,1984-06-01,LANDSAT 5
0.2714000229463767,1984-07-01,LANDSAT 5
0.4536315239827743,1984-09-01,LANDSAT 5
0.12019932830012017,1984-10-01,LANDSAT 5
0.28923122019569153,1984-11-01,LANDSAT 5
0.28277548132444136,1985-01-01,LANDSAT 5
0.34953575634798106,1985-03-01,LANDSAT 5
0.24014341182790008,1985-04-01,LANDSAT 5
0.1894545781516643,1985-08-01,LANDSAT 5
0.35786947011564846,1985-09-01,LANDSAT 5
0.3594884693964396,1985-10-01,LANDSAT 5
0.4599082763194319,1985-11-01,LANDSAT 5
0.39231851807619617,1985-12-01,LANDSAT 5
0.18822178954521535,1986-01-01,LANDSAT 5
0.23413084708164136,1986-02-01,LANDSAT 5
0.3221369627574683,1986-03-01,LANDSAT 5
0.35597844409032864,1986-04-01,LANDSAT 5
0.3815265474432955,1986-05-01,LANDSAT 5
0.45806754383449344,1986-06-01,LANDSAT 5
0.4214288622357992,1986-07-01,LANDSAT 5
0.3796789389960718,1986-08-01,LANDSAT 5
0.3318515008184267,1986-09-01,LANDSAT 5
0.059814326347474946,1986-10-01,LANDSAT 5
0.254152582102634,1986-11-01,LANDSAT 5
0.019007071715001964,1986-12-01,LANDSAT 5
0.024854080390728398,1987-01-01,LANDSAT 5
0.20229847048428312,1987-02-01,LANDSAT 5
0.3765349638672266,1987-03-01,LANDSAT 5
0.2802452617264318,1987-04-01,LANDSAT 5
0.051451951776956155,1987-05-01,LANDSAT 5
0.3459291283777734,1987-06-01,LANDSAT 5
0.3742912405475287,1987-07-01,LANDSAT 5
0.3567710113942018,1987-08-01,LANDSAT 5
0.3707100854190198,1987-09-01,LANDSAT 5
0.24817481403483682,1987-10-01,LANDSAT 5
0.17990801349605515,1987-12-01,LANDSAT 5
0.23043093051153576,1988-01-01,LANDSAT 5
0.22883579455652084,1988-02-01,LANDSAT 5
0.5099950794281962,1988-04-01,LANDSAT 5
0.41881264636422094,1988-05-01,LANDSAT 5
0.35203779151490144,1988-06-01,LANDSAT 5
0.4342995992947715,1988-07-01,LANDSAT 5
0.4375315056702514,1988-08-01,LANDSAT 5
0.4641592937916967,1988-09-01,LANDSAT 5
0.3286174192436065,1988-10-01,LANDSAT 5
0.39567639466545307,1988-11-01,LANDSAT 5
0.07883220541718339,1988-12-01,LANDSAT 5
0.04589453354606869,1989-01-01,LANDSAT 5
0.09045508028489924,1989-02-01,LANDSAT 5
0.5007441047252322,1989-03-01,LANDSAT 5
0.4992302393505192,1989-04-01,LANDSAT 5
0.058226869892642544,1989-05-01,LANDSAT 5
0.24032579277190838,1989-06-01,LANDSAT 5
0.47781960839978194,1989-07-01,LANDSAT 5
0.42049875842490986,1989-08-01,LANDSAT 5
0.3672458598389901,1989-09-01,LANDSAT 5
0.22265825734398798,1989-10-01,LANDSAT 5
0.2658503829919124,1989-11-01,LANDSAT 5
0.07571603154979675,1989-12-01,LANDSAT 5
0.0733803649967639,1990-01-01,LANDSAT 5
0.4805433156823686,1990-04-01,LANDSAT 5
0.4037638722309847,1990-05-01,LANDSAT 5
0.48219982007157497,1990-06-01,LANDSAT 5
0.45545985344346435,1990-07-01,LANDSAT 5
0.1936444370552715,1990-08-01,LANDSAT 5
0.38386645043043544,1990-09-01,LANDSAT 5
0.06521409355175317,1990-10-01,LANDSAT 5
0.35241946667371804,1990-11-01,LANDSAT 5
0.33214905733456723,1990-12-01,LANDSAT 5
0.3059199081738488,1991-01-01,LANDSAT 5
0.1391163526420301,1991-02-01,LANDSAT 5
0.33308480468013285,1991-03-01,LANDSAT 5
0.34686937110485644,1991-05-01,LANDSAT 5
0.4048638720163811,1991-06-01,LANDSAT 5
0.4066386502186685,1991-07-01,LANDSAT 5
0.4392188180645942,1991-08-01,LANDSAT 5
0.26889400747735787,1991-09-01,LANDSAT 5
0.2905645586314464,1991-10-01,LANDSAT 5
0.33268114638577156,1991-11-01,LANDSAT 5
-0.01393432107511499,1991-12-01,LANDSAT 5
0.19361892135987457,1992-01-01,LANDSAT 5
0.23611016832176143,1992-02-01,LANDSAT 5
0.3111060105799208,1992-03-01,LANDSAT 5
0.4383830720152811,1992-04-01,LANDSAT 5
0.3275910736970975,1992-05-01,LANDSAT 5
0.33281142537038755,1992-06-01,LANDSAT 5
0.46023054169621164,1992-07-01,LANDSAT 5
