NDVI,month-year,landsat
0.5319708697024537,1984-04-01,LANDSAT 5
0.4442759905771275,1984-06-01,LANDSAT 5
0.16260455431697318,1984-07-01,LANDSAT 5
0.5419804073531712,1984-09-01,LANDSAT 5
0.20160822526914648,1984-11-01,LANDSAT 5
0.12427238090235437,1984-12-01,LANDSAT 5
0.20259787772569413,1985-01-01,LANDSAT 5
0.1247562743454392,1985-03-01,LANDSAT 5
0.10135964127386508,1985-04-01,LANDSAT 5
0.5821033976731425,1985-05-01,LANDSAT 5
0.36743060277642603,1985-08-01,LANDSAT 5
0.508941078658349,1985-09-01,LANDSAT 5
0.3738022551181449,1985-10-01,LANDSAT 5
0.14771373034590599,1985-12-01,LANDSAT 5
0.12094558961811454,1986-01-01,LANDSAT 5
0.05837105541940812,1986-02-01,LANDSAT 5
0.16103774790609687,1986-03-01,LANDSAT 5
0.27509912054683683,1986-04-01,LANDSAT 5
0.36953990258494884,1986-05-01,LANDSAT 5
0.53660107614679,1986-06-01,LANDSAT 5
0.3734981032000753,1986-07-01,LANDSAT 5
0.284344945466936,1986-08-01,LANDSAT 5
0.4599479973447304,1986-09-01,LANDSAT 5
0.0411516856366819,1987-02-01,LANDSAT 5
0.28302569176122405,1987-03-01,LANDSAT 5
0.3199211240468104,1987-04-01,LANDSAT 5
0.5562672049135051,1987-05-01,LANDSAT 5
0.3753364484768861,1987-06-01,LANDSAT 5
0.3649388076932298,1987-07-01,LANDSAT 5
0.4802133688684486,1987-08-01,LANDSAT 5
0.2867556867626611,1987-09-01,LANDSAT 5
0.13318604452310615,1987-11-01,LANDSAT 5
0.0652954549285244,1988-01-01,LANDSAT 5
0.21747859554785656,1988-02-01,LANDSAT 5
0.4127837784537846,1988-04-01,LANDSAT 5
0.5366057229969827,1988-05-01,LANDSAT 5
0.4728221323346389,1988-06-01,LANDSAT 5
0.42061774200962226,1988-07-01,LANDSAT 5
0.46933202551016323,1988-08-01,LANDSAT 5
0.538169110838335,1988-09-01,LANDSAT 5
0.4171873653867733,1988-10-01,LANDSAT 5
0.1945386884466054,1988-11-01,LANDSAT 5
0.2771424236585923,1988-12-01,LANDSAT 5
0.1849582165025401,1989-01-01,LANDSAT 5
0.2483840249299898,1989-02-01,LANDSAT 5
0.10812153928153156,1989-03-01,LANDSAT 5
0.40087452419876546,1989-04-01,LANDSAT 5
0.49542454538381153,1989-05-01,LANDSAT 5
0.3659734578531005,1989-06-01,LANDSAT 5
0.5426408761391323,1989-07-01,LANDSAT 5
0.4235547224599904,1989-08-01,LANDSAT 5
0.436105286807257,1989-09-01,LANDSAT 5
0.43539570825815477,1989-10-01,LANDSAT 5
0.19631464987610867,1989-11-01,LANDSAT 5
0.022700955451681454,1989-12-01,LANDSAT 5
0.015065427825563806,1990-01-01,LANDSAT 5
0.23886710133824743,1990-04-01,LANDSAT 5
0.6059409197655208,1990-05-01,LANDSAT 5
0.4435568368628205,1990-06-01,LANDSAT 5
0.41441317790134985,1990-07-01,LANDSAT 5
0.05103394138486062,1990-08-01,LANDSAT 5
0.42761846491712635,1990-09-01,LANDSAT 5
0.42093690073619117,1990-10-01,LANDSAT 5
0.10016830905389248,1990-11-01,LANDSAT 5
0.2610214011359586,1990-12-01,LANDSAT 5
0.06017638397177221,1991-01-01,LANDSAT 5
0.09403222390689715,1991-02-01,LANDSAT 5
0.028744370229534254,1991-03-01,LANDSAT 5
0.21400920396652007,1991-04-01,LANDSAT 5
0.416400642644636,1991-05-01,LANDSAT 5
0.22799656736654236,1991-06-01,LANDSAT 5
0.2726241766349915,1991-07-01,LANDSAT 5
0.18811788978934835,1991-08-01,LANDSAT 5
0.5149792489123514,1991-09-01,LANDSAT 5
0.2482193266846863,1991-10-01,LANDSAT 5
0.16624107503402843,1991-11-01,LANDSAT 5
0.23435342226044445,1991-12-01,LANDSAT 5
0.21265456203411687,1992-01-01,LANDSAT 5
0.134012780569822,1992-02-01,LANDSAT 5
0.14515852261771045,1992-03-01,LANDSAT 5
0.37798830480371826,1992-04-01,LANDSAT 5
0.31408812032710476,1992-05-01,LANDSAT 5
0.537788301228997,1992-06-01,LANDSAT 5
0.45834407722189835,1992-07-01,LANDSAT 5
0.23291816848575625,1992-08-01,LANDSAT 5
0.5596257147062838,1992-09-01,LANDSAT 5
0.46874176206894047,1992-10-01,LANDSAT 5
0.2982791129019763,1992-11-01,LANDSAT 5
0.06155419973887611,1992-12-01,LANDSAT 5
0.06249296158164314,1993-01-01,LANDSAT 5
0.16152187579605382,1993-02-01,LANDSAT 5
0.14941817260579543,1993-03-01,LANDSAT 5
0.17013487863782426,1993-04-01,LANDSAT 5
0.5963432164334421,1993-05-01,LANDSAT 5
0.4566101590471832,1993-06-01,LANDSAT 5
0.44555161428745554,1993-07-01,LANDSAT 5
0.4254003949565222,1993-08-01,LANDSAT 5
0.48307383718483166,1993-09-01,LANDSAT 5
